compiler_identifier	native_identifier	status
INPUT_LINE_CAPACITY	Eingabezeilenkapazität	project-proposal
MAX_ARGUMENT_COUNT	maximale_Argumentanzahl	project-proposal
MAX_SCRIPT_DEPTH	maximale_Skriptverschachtelung	project-proposal
argument_count	Argumentanzahl	project-proposal
arguments	Argumente	project-proposal
buffer	Übertragungspuffer_2	project-proposal
bytes_read	gelesene_Bytes	project-proposal
bytes_written	geschriebene_Byteanzahl	project-proposal
capacity	Kapazität	project-proposal
character	Zeichen	project-proposal
child_pid	Kindprozesskennung	project-proposal
cleanup	Sockel_schließen	project-proposal
command	Befehl	project-proposal
command_aliases	lokale_Befehlsnamen	project-proposal
command_cat	Dateiinhalt_anzeigen	project-proposal
command_echo	Argumente_ausgeben	project-proposal
command_matches	Befehl_stimmt_überein	project-proposal
command_names	Grundbefehle	project-proposal
command_pid	Prozesskennungen_anzeigen	project-proposal
command_pwd	Arbeitsverzeichnis_anzeigen	project-proposal
command_run	Programm_ausführen	project-proposal
command_source	Befehlsdatei_auswerten	project-proposal
command_stat	Dateiinformationen_anzeigen	project-proposal
command_udp	Datagrammrücklauf_prüfen	project-proposal
command_uname	Systemkennung_anzeigen	project-proposal
current	aktuelle_Position	project-proposal
digit_text	Ziffernzeichen	project-proposal
file_descriptor	Dateideskriptor_2	project-proposal
file_name	Dateiname	project-proposal
input	Eingabe	project-proposal
input_descriptor	Eingabedeskriptor	project-proposal
input_line	Eingabezeile	project-proposal
input_stream	Eingabestrom	project-proposal
left	links	project-proposal
length	Länge	project-proposal
message	Nachricht	project-proposal
message_length	Nachrichtenlänge_in_Bytes	project-proposal
name	Systemidentität	project-proposal
number	vorzeichenloser_Betrag	project-proposal
operation	Operation	project-proposal
output	Ausgabeposition	project-proposal
overflow	ungültige_Eingabezeile	project-proposal
path	Pfad	project-proposal
position	Position	project-proposal
print_help	Hilfe_anzeigen	project-proposal
quote	Anführungszeichen	project-proposal
read_line	Eingabezeile_lesen	project-proposal
receive_address	Empfängeradresse	project-proposal
receive_socket	Empfangssockel	project-proposal
received_data	empfangene_Daten	project-proposal
received_length	empfangene_Byteanzahl	project-proposal
right	rechts	project-proposal
run_input	Eingabe_auswerten	project-proposal
script_depth	Skriptverschachtelungstiefe	project-proposal
send_socket	Sendesockel	project-proposal
size	Ziffernanzahl	project-proposal
source_address	Absenderadresse	project-proposal
source_address_length	Absenderadresslänge	project-proposal
split_arguments	Argumente_trennen	project-proposal
status	Status	project-proposal
text	Text	project-proposal
text_equal	Texte_gleich	project-proposal
text_length	Textlänge_in_Bytes	project-proposal
value	Wert	project-proposal
wait_status	Beendigungsstatus_des_Kindprozesses	project-proposal
write_error	Fehler_melden	project-proposal
write_integer	Ganzzahl_schreiben	project-proposal
write_text	Text_schreiben	project-proposal
