standard_identifier	native_identifier	category	status
AF_INET	Netzverbundadressfamilienkennung	network-declaration	project-proposal
AF_UNSPEC	nicht_festgelegte_Adressfamilie	network-declaration	project-proposal
CHAR_BIT	CHAR_BIT	integer-limit	pending-language-review
CHAR_MAX	CHAR_MAX	integer-limit	pending-language-review
CHAR_MIN	CHAR_MIN	integer-limit	pending-language-review
CHECK	CHECK	variable	pending-language-review
E2BIG	E2BIG	error-code	pending-language-review
EACCES	EACCES	error-code	pending-language-review
EADDRINUSE	EADDRINUSE	error-code	pending-language-review
EAFNOSUPPORT	EAFNOSUPPORT	error-code	pending-language-review
EAGAIN	EAGAIN	error-code	pending-language-review
EBADF	EBADF	error-code	pending-language-review
EBUSY	EBUSY	error-code	pending-language-review
ECHILD	ECHILD	error-code	pending-language-review
EEXIST	EEXIST	error-code	pending-language-review
EFAULT	EFAULT	error-code	pending-language-review
EFBIG	EFBIG	error-code	pending-language-review
EINTR	EINTR	error-code	pending-language-review
EINVAL	EINVAL	error-code	pending-language-review
EIO	EIO	error-code	pending-language-review
EISDIR	EISDIR	error-code	pending-language-review
EMFILE	EMFILE	error-code	pending-language-review
EMSGSIZE	EMSGSIZE	error-code	pending-language-review
ENETUNREACH	ENETUNREACH	error-code	pending-language-review
ENFILE	ENFILE	error-code	pending-language-review
ENODEV	ENODEV	error-code	pending-language-review
ENOENT	ENOENT	error-code	pending-language-review
ENOEXEC	ENOEXEC	error-code	pending-language-review
ENOMEM	ENOMEM	error-code	pending-language-review
ENOSPC	ENOSPC	error-code	pending-language-review
ENOSYS	ENOSYS	error-code	pending-language-review
ENOTCONN	ENOTCONN	error-code	pending-language-review
ENOTDIR	ENOTDIR	error-code	pending-language-review
ENOTTY	ENOTTY	error-code	pending-language-review
EOPNOTSUPP	EOPNOTSUPP	error-code	pending-language-review
EPERM	EPERM	error-code	pending-language-review
EPROTONOSUPPORT	EPROTONOSUPPORT	error-code	pending-language-review
ERANGE	ERANGE	error-code	pending-language-review
EROFS	EROFS	error-code	pending-language-review
ESPIPE	ESPIPE	error-code	pending-language-review
ESRCH	ESRCH	error-code	pending-language-review
EXIT_FAILURE	EXIT_FAILURE	interface-constant	pending-language-review
EXIT_SUCCESS	EXIT_SUCCESS	interface-constant	pending-language-review
FD_CLOEXEC	FD_CLOEXEC	interface-constant	pending-language-review
F_DUPFD	F_DUPFD	interface-constant	pending-language-review
F_GETFD	F_GETFD	interface-constant	pending-language-review
F_GETFL	F_GETFL	interface-constant	pending-language-review
F_OK	F_OK	interface-constant	pending-language-review
F_SETFD	F_SETFD	interface-constant	pending-language-review
F_SETFL	F_SETFL	interface-constant	pending-language-review
INADDR_ANY	beliebige_lokale_Adresse	network-declaration	project-proposal
INADDR_LOOPBACK	Rückschleifenadresse	network-declaration	project-proposal
INT_MAX	INT_MAX	integer-limit	pending-language-review
INT_MIN	INT_MIN	integer-limit	pending-language-review
IPPROTO_IP	Netzverbundgrundprotokoll	network-declaration	project-proposal
IPPROTO_UDP	Benutzerdatagrammprotokoll	network-declaration	project-proposal
LLONG_MAX	LLONG_MAX	integer-limit	pending-language-review
LLONG_MIN	LLONG_MIN	integer-limit	pending-language-review
LONG_MAX	LONG_MAX	integer-limit	pending-language-review
LONG_MIN	LONG_MIN	integer-limit	pending-language-review
NULL	NULL	interface-constant	pending-language-review
O_ACCMODE	O_ACCMODE	interface-constant	pending-language-review
O_APPEND	O_APPEND	interface-constant	pending-language-review
O_CREAT	O_CREAT	interface-constant	pending-language-review
O_DIRECTORY	O_DIRECTORY	interface-constant	pending-language-review
O_EXCL	O_EXCL	interface-constant	pending-language-review
O_RDONLY	O_RDONLY	interface-constant	pending-language-review
O_RDWR	O_RDWR	interface-constant	pending-language-review
O_TRUNC	O_TRUNC	interface-constant	pending-language-review
O_WRONLY	O_WRONLY	interface-constant	pending-language-review
PF_INET	Netzverbundprotokollfamilie	network-declaration	project-proposal
R_OK	R_OK	interface-constant	pending-language-review
SC0	SC0	implementation-helper	pending-language-review
SC1	SC1	implementation-helper	pending-language-review
SC2	SC2	implementation-helper	pending-language-review
SC3	SC3	implementation-helper	pending-language-review
SCHAR_MAX	SCHAR_MAX	integer-limit	pending-language-review
SCHAR_MIN	SCHAR_MIN	integer-limit	pending-language-review
SC_accept	SC_Verbindung_annehmen	internal-name	derived-from-call-role
SC_bind	SC_lokale_Adresse_zuordnen	internal-name	derived-from-call-role
SC_connect	SC_Gegenstelle_verbinden	internal-name	derived-from-call-role
SC_getpeername	SC_Gegenstellenadresse_ermitteln	internal-name	derived-from-call-role
SC_getsockname	SC_lokale_Endpunktadresse_ermitteln	internal-name	derived-from-call-role
SC_listen	SC_Verbindungsannahme_vorbereiten	internal-name	derived-from-call-role
SC_recv	SC_empfangen	internal-name	derived-from-call-role
SC_recvfrom	SC_mit_Absenderadresse_empfangen	internal-name	derived-from-call-role
SC_send	SC_senden	internal-name	derived-from-call-role
SC_sendto	SC_an_Zieladresse_senden	internal-name	derived-from-call-role
SC_setsockopt	SC_Endpunktoption_setzen	internal-name	derived-from-call-role
SC_shutdown	SC_Übertragungsrichtung_schließen	internal-name	derived-from-call-role
SC_socket	SC_Kommunikationsendpunkt_anlegen	internal-name	derived-from-call-role
SEEK_CUR	SEEK_CUR	interface-constant	pending-language-review
SEEK_END	SEEK_END	interface-constant	pending-language-review
SEEK_SET	SEEK_SET	interface-constant	pending-language-review
SHRT_MAX	SHRT_MAX	integer-limit	pending-language-review
SHRT_MIN	SHRT_MIN	integer-limit	pending-language-review
SHUT_RD	Empfang_beenden	network-declaration	project-proposal
SHUT_RDWR	beide_Richtungen_beenden	network-declaration	project-proposal
SHUT_WR	Senden_beenden	network-declaration	project-proposal
SOCK_DGRAM	Datagrammendpunkt	network-declaration	project-proposal
SOCK_STREAM	Datenstromendpunkt	network-declaration	project-proposal
STDERR_FILENO	STDERR_FILENO	interface-constant	pending-language-review
STDIN_FILENO	STDIN_FILENO	interface-constant	pending-language-review
STDOUT_FILENO	STDOUT_FILENO	interface-constant	pending-language-review
SYS_access	SYS_Zugriffsrechte_prüfen	internal-name	derived-from-call-role
SYS_brk	SYS_Speicherende_setzen	internal-name	derived-from-call-role
SYS_chdir	SYS_Arbeitsverzeichnis_wechseln	internal-name	derived-from-call-role
SYS_close	SYS_schließen	internal-name	derived-from-call-role
SYS_creat	SYS_Datei_anlegen	internal-name	derived-from-call-role
SYS_dup	SYS_offenen_Dateiverweis_duplizieren	internal-name	derived-from-call-role
SYS_dup2	SYS_Dateiverweis_auf_Kennung_duplizieren	internal-name	derived-from-call-role
SYS_execve	SYS_Programmbild_ersetzen	internal-name	derived-from-call-role
SYS_exit	SYS_sofort_beenden	internal-name	derived-from-call-role
SYS_fcntl	SYS_Dateizugriff_steuern	internal-name	derived-from-call-role
SYS_fork	SYS_Prozess_verzweigen	internal-name	derived-from-call-role
SYS_fstat	SYS_Zustand_offener_Datei_ermitteln	internal-name	derived-from-call-role
SYS_fsync	SYS_Dateidaten_synchronisieren	internal-name	derived-from-call-role
SYS_getcwd	SYS_Arbeitsverzeichnispfad_ermitteln	internal-name	derived-from-call-role
SYS_getegid	SYS_wirksame_Gruppenkennung_ermitteln	internal-name	derived-from-call-role
SYS_geteuid	SYS_wirksame_Benutzerkennung_ermitteln	internal-name	derived-from-call-role
SYS_getgid	SYS_Gruppenkennung_ermitteln	internal-name	derived-from-call-role
SYS_getpid	SYS_Prozesskennung_ermitteln	internal-name	derived-from-call-role
SYS_getppid	SYS_Elternprozesskennung_ermitteln	internal-name	derived-from-call-role
SYS_getuid	SYS_Benutzerkennung_ermitteln	internal-name	derived-from-call-role
SYS_lseek	SYS_Dateiposition_verschieben	internal-name	derived-from-call-role
SYS_lstat	SYS_Verknüpfungszustand_ermitteln	internal-name	derived-from-call-role
SYS_open	SYS_öffnen	internal-name	derived-from-call-role
SYS_read	SYS_lesen	internal-name	derived-from-call-role
SYS_socketcall	SYS_socketcall	implementation-helper	pending-language-review
SYS_stat	SYS_Dateizustand	internal-name	derived-from-call-role
SYS_sync	SYS_alle_Dateidaten_synchronisieren	internal-name	derived-from-call-role
SYS_uname	SYS_Systeminformationen_ermitteln	internal-name	derived-from-call-role
SYS_write	SYS_schreiben	internal-name	derived-from-call-role
S_IFCHR	S_IFCHR	interface-constant	pending-language-review
S_IFDIR	S_IFDIR	interface-constant	pending-language-review
S_IFMT	S_IFMT	interface-constant	pending-language-review
S_IFREG	S_IFREG	interface-constant	pending-language-review
S_IRGRP	S_IRGRP	interface-constant	pending-language-review
S_IROTH	S_IROTH	interface-constant	pending-language-review
S_IRUSR	S_IRUSR	interface-constant	pending-language-review
S_ISCHR	S_ISCHR	interface-constant	pending-language-review
S_ISDIR	S_ISDIR	interface-constant	pending-language-review
S_ISREG	S_ISREG	interface-constant	pending-language-review
S_IWGRP	S_IWGRP	interface-constant	pending-language-review
S_IWOTH	S_IWOTH	interface-constant	pending-language-review
S_IWUSR	S_IWUSR	interface-constant	pending-language-review
S_IXGRP	S_IXGRP	interface-constant	pending-language-review
S_IXOTH	S_IXOTH	interface-constant	pending-language-review
S_IXUSR	S_IXUSR	interface-constant	pending-language-review
UCHAR_MAX	UCHAR_MAX	integer-limit	pending-language-review
UINT_MAX	UINT_MAX	integer-limit	pending-language-review
ULLONG_MAX	ULLONG_MAX	integer-limit	pending-language-review
ULONG_MAX	ULONG_MAX	integer-limit	pending-language-review
USHRT_MAX	USHRT_MAX	integer-limit	pending-language-review
WEXITSTATUS	WEXITSTATUS	interface-constant	pending-language-review
WIFEXITED	WIFEXITED	interface-constant	pending-language-review
WNOHANG	WNOHANG	interface-constant	pending-language-review
W_OK	W_OK	interface-constant	pending-language-review
X_OK	X_OK	interface-constant	pending-language-review
_LIBC_ARPA_INET_H	_include_Netzadressumwandlung_Bytereihenfolge	internal-name	derived-from-native-header-path
_LIBC_NETINET_IN_H	_include_Netzverbund_Adresse	internal-name	derived-from-native-header-path
_LIBC_STDDEF_H	_include_Grunddefinitionen	internal-name	derived-from-native-header-path
_LIBC_STDINT_H	_include_Ganzzahltypen	internal-name	derived-from-native-header-path
_LIBC_SYSCALL_H	_include_System_syscall	internal-name	derived-from-native-header-path
_LIBC_SYS_SOCKET_H	_include_System_socket	internal-name	derived-from-native-header-path
_LIBC_SYS_STAT_H	_include_System_stat	internal-name	derived-from-native-header-path
_LIBC_SYS_TYPES_H	_include_System_Datentypen	internal-name	derived-from-native-header-path
_LIBC_SYS_UTSNAME_H	_include_System_Systemkennung	internal-name	derived-from-native-header-path
_LIBC_SYS_WAIT_H	_include_System_Kindwartung	internal-name	derived-from-native-header-path
__posix_library_test	__posix_library_test	variable	pending-language-review
_exit	sofort_beenden	function	project-proposal
a	a	variable	pending-language-review
a1	a1	variable	pending-language-review
a2	a2	variable	pending-language-review
a3	a3	variable	pending-language-review
a4	a4	variable	pending-language-review
a5	a5	variable	pending-language-review
a6	a6	variable	pending-language-review
abs	abs	function	pending-language-review
accept	Verbindung_annehmen	function	project-proposal
access	Zugriffsrechte_prüfen	function	project-proposal
address	address	variable	pending-language-review
address_len	address_len	variable	pending-language-review
address_length	address_length	variable	pending-language-review
argc	argc	implementation-helper	pending-language-review
args	args	variable	pending-language-review
args_fail	args_fail	implementation-helper	pending-language-review
args_pass	args_pass	implementation-helper	pending-language-review
argument	argument	variable	pending-language-review
arguments	Argumente	variable	project-proposal
argv	Argumente_2	variable	project-proposal
atoi	atoi	function	pending-language-review
atol	atol	function	pending-language-review
available	available	variable	pending-language-review
b	b	variable	pending-language-review
backlog	backlog	variable	pending-language-review
bind	lokale_Adresse_zuordnen	function	project-proposal
blkcnt_t	blkcnt_t	scalar-type	pending-language-review
blksize_t	blksize_t	scalar-type	pending-language-review
brk	Speicherende_setzen	function	project-proposal
bsearch	bsearch	function	pending-language-review
bss_zeroed	bss_zeroed	implementation-helper	pending-language-review
buf	Übertragungspuffer	variable	project-proposal
buffer	Übertragungspuffer_2	variable	project-proposal
byte	byte	implementation-helper	pending-language-review
bytes	bytes	implementation-helper	pending-language-review
c	c	variable	pending-language-review
call	call	variable	pending-language-review
calloc	calloc	function	pending-language-review
capacity	capacity	variable	pending-language-review
character	character	variable	pending-language-review
chdir	Arbeitsverzeichnis_wechseln	function	project-proposal
checks	checks	implementation-helper	pending-language-review
child	child	variable	pending-language-review
client	client	implementation-helper	pending-language-review
cloexec_fail	cloexec_fail	implementation-helper	pending-language-review
cloexec_pass	cloexec_pass	implementation-helper	pending-language-review
close	schließen	function	project-proposal
cmd	cmd	variable	pending-language-review
compare	compare	variable	pending-language-review
compare_int	compare_int	variable	pending-language-review
connect	Gegenstelle_verbinden	function	project-proposal
copy	copy	implementation-helper	pending-language-review
copy_length	copy_length	variable	pending-language-review
count	count	variable	pending-language-review
creat	Datei_anlegen	function	project-proposal
current	current	variable	pending-language-review
cursor	cursor	variable	pending-language-review
cwd	cwd	implementation-helper	pending-language-review
decoded	decoded	implementation-helper	pending-language-review
delimiters	delimiters	variable	pending-language-review
dest_addr	dest_addr	variable	pending-language-review
dest_len	dest_len	variable	pending-language-review
destination	destination	variable	pending-language-review
dev_t	dev_t	scalar-type	pending-language-review
digit	digit	variable	pending-language-review
digit_value	digit_value	variable	pending-language-review
div	div	function	pending-language-review
div_t	div_t	variable	pending-language-review
domain	domain	variable	pending-language-review
dup	offenen_Dateiverweis_duplizieren	function	project-proposal
dup2	Dateiverweis_auf_Kennung_duplizieren	function	project-proposal
element_size	element_size	variable	pending-language-review
elements	elements	variable	pending-language-review
end_pointer	end_pointer	variable	pending-language-review
environ	environ	variable	pending-language-review
envp	envp	variable	pending-language-review
errno	errno	variable	pending-language-review
execve	Programmbild_ersetzen	function	project-proposal
expected_errno	expected_errno	implementation-helper	pending-language-review
failed_with	failed_with	implementation-helper	pending-language-review
failure	failure	implementation-helper	pending-language-review
failures	failures	implementation-helper	pending-language-review
fcntl	Dateizugriff_steuern	function	project-proposal
fd	Dateideskriptor	variable	project-proposal
first	first	implementation-helper	pending-language-review
first_match	first_match	variable	pending-language-review
flags	flags	variable	pending-language-review
fork	Prozess_verzweigen	function	project-proposal
found	found	variable	pending-language-review
free	free	function	pending-language-review
fstat	Zustand_offener_Datei_ermitteln	function	project-proposal
fsync	Dateidaten_synchronisieren	function	project-proposal
getcwd	Arbeitsverzeichnispfad_ermitteln	function	project-proposal
getegid	wirksame_Gruppenkennung_ermitteln	function	project-proposal
getenv	getenv	function	pending-language-review
geteuid	wirksame_Benutzerkennung_ermitteln	function	project-proposal
getgid	Gruppenkennung_ermitteln	function	project-proposal
getpeername	Gegenstellenadresse_ermitteln	function	project-proposal
getpid	Prozesskennung_ermitteln	function	project-proposal
getppid	Elternprozesskennung_ermitteln	function	project-proposal
getsockname	lokale_Endpunktadresse_ermitteln	function	project-proposal
getuid	Benutzerkennung_ermitteln	function	project-proposal
gid_t	gid_t	scalar-type	pending-language-review
heap_block	heap_block	variable	pending-language-review
heap_head	heap_head	variable	pending-language-review
high	high	variable	pending-language-review
hole	hole	variable	pending-language-review
hostlong	_32_Bit_Wert_in_Rechnerreihenfolge	network-declaration	project-proposal
hostshort	_16_Bit_Wert_in_Rechnerreihenfolge	network-declaration	project-proposal
how	how	variable	pending-language-review
htonl	_32_Bit_in_Netzreihenfolge	function	project-proposal
htons	_16_Bit_in_Netzreihenfolge	function	project-proposal
i	i	implementation-helper	pending-language-review
in_addr	Netzverbundadresse	network-declaration	project-proposal
in_addr_t	Typ_des_Netzverbundadresswerts	network-declaration	project-proposal
in_port_t	Typ_der_Kommunikationsportnummer	network-declaration	project-proposal
increment	increment	variable	pending-language-review
index	index	variable	pending-language-review
ino_t	ino_t	scalar-type	pending-language-review
input	input	variable	pending-language-review
int16_t	int16_t	scalar-type	pending-language-review
int32_t	int32_t	scalar-type	pending-language-review
int64_t	int64_t	scalar-type	pending-language-review
int8_t	int8_t	scalar-type	pending-language-review
intptr_t	intptr_t	scalar-type	pending-language-review
