original	localized	language
Activate	Activate	si
ActivateAll	Activateall	si
Active	Active	si
ActiveInterruptManager	Activeinterruptmanager	si
ActiveMemoryManager	Activeමතකයmanager	si
Add	Add	si
AddDriver	Adddriver	si
AddRunnableThread	Addrunnablethread	si
AddTask	Addtask	si
AddThread	Addthread	si
Address	Address	si
AlignedMalloc	Alignedmalloc	si
AlignmentCheck	Alignmentcheck	si
AllocateBlock	Allocateblock	si
AllocatePID	Allocatepid	si
AmountOfMemory	Amountofමතකය	si
ArrayToUint16	Arraytounsignedinteger16	si
ArrayToUint32	Arraytounsignedinteger32	si
ArrayToUint48	Arraytounsignedinteger48	si
ArrayToUint48_BE	Arraytounsignedinteger48be	si
ArrayToUint64	Arraytounsignedinteger64	si
Atime	Atime	si
AtimeNsec	Atimensec	si
BLOCKS_PER_BYTE	Blockperbyte	si
BLOCK_SIZE	Blocksize	si
Backend	Backend	si
BaseAddr	Baseaddress	si
Bind	Bind	si
Blksize	Blksize	si
Blocked	Blocked	si
BlockedState	Blockedstate	si
Blocks	Block	si
BoundRangeExceeded	Boundrangeexceeded	si
BroadcastMacAddress	Broadcastmacaddress	si
BytesPerSector	Bytespersector	si
BytesToString	Bytestostring	si
Checksum	Checksum	si
Clear	Clear	si
Clone	Clone	si
CloneAddressSpaceCOW	Cloneaddressspacecow	si
Connect	Connect	si
ContainsCoordinate	Containscoordinate	si
CopyPageFrameBlock	Copypageframeblock	si
CpuState	Cpustate	si
Create	Create	si
CreateFromData	Createfromdata	si
CreateFromFunction	Createfromfunction	si
CreatePtrFromFunction	Createpointerfromfunction	si
Cs	Cs	si
Ctime	Ctime	si
CtimeNsec	Ctimensec	si
CurrentPID	Currentpid	si
CurrentParentPID	Currentparentpid	si
Data	Data	si
Deactivate	Deactivate	si
Deactive	Deactive	si
Decrement	Decrement	si
Delete	Delete	si
DescriptorPrivilegeLevel	Descriptorprivilegelevel	si
DescriptorType	Descriptortype	si
Destroy	Destroy	si
Dev	Dඋපකරණය	si
DeviceHasFunctions	Dඋපකරණයhasfunctions	si
DeviceNotAvailable	Dඋපකරණයnotavailable	si
Device_id	Dඋපකරණයid	si
DisableInt	Disableint	si
Disconnect	Disconnect	si
DivideByZero	Dividebyzero	si
DoHandleInterrupt	Dohandleinterrupt	si
DoubleFault	Doublefault	si
Draw	Draw	si
DriverManager	Drivermanager	si
Ds	Ds	si
Dynamic	Dynamic	si
E2BIG	E2big	si
EACCES	Eacces	si
EADDRINUSE	Eaddrinuse	si
EAFNOSUPPORT	Eafnosupport	si
EAGAIN	Eagain	si
EBADF	Ebadf	si
EBUSY	Ebusy	si
ECHILD	Echild	si
EEXIST	Eexist	si
EFAULT	Efault	si
EFBIG	Efbig	si
EINTR	Eintr	si
EINVAL	Einval	si
EIO	Eio	si
EISDIR	Eisdir	si
EMFILE	Emfile	si
EMSGSIZE	Emsgsize	si
ENETUNREACH	Enetunreach	si
ENFILE	Enfile	si
ENODEV	Enodev	si
ENOENT	Enoent	si
ENOEXEC	Enoexec	si
ENOMEM	Enomem	si
ENOSPC	Enospc	si
ENOSYS	Enosys	si
ENOTCONN	Enotconn	si
ENOTDIR	Enotdir	si
ENOTTY	Enotty	si
EOPNOTSUPP	Eopnotsupp	si
EPERM	Eperm	si
EPROTONOSUPPORT	Eprotonosupport	si
ERANGE	Erange	si
EROFS	Erofs	si
ESPIPE	Espipe	si
ESRCH	Esrch	si
Eax	Eax	si
Ebp	Ebp	si
Ebx	Ebx	si
Ecx	Ecx	si
Edi	Edi	si
Edx	Edx	si
Eflags	Eflags	si
Eip	Eip	si
Elf	Elf	si
Elf32Dyn	Elf32dyn	si
Elf32Note	Elf32සටහන	si
Elf32Rel	Elf32rel	si
Elf32Rela	Elf32rela	si
Elf32Sym	Elf32sym	si
ElfHeader	Elfheader	si
ElfProgramHeader	Elfprogramheader	si
ElfSectionHeader	Elfsectionheader	si
EnablePaging	Enablepaging	si
Enabled	Enabled	si
EntryNumber	Entrynumber	si
EqualBytes	Equalbytes	si
Es	Es	si
Esi	Esi	si
Esp	Esp	si
FPUBuffer	Fpubuffer	si
FPUOffset	Fpuoffset	si
Family	Family	si
FileName	Fileනම	si
Fill	Fill	si
FillRectangle	Fillrectangle	si
First	First	si
FirstFree	Firstfree	si
FirstFreeSize	Firstfreesize	si
Flags	Flags	si
FloatingPointException	Floatingpointexception	si
Flush	Flush	si
FlushTlsTable	Flushtlstable	si
Focussable	Focussable	si
Free	Free	si
Fs	Fs	si
GB	Gb	si
GDT_ENTRIES	Gdtentry	si
GOT	Got	si
GPFException	Gpfexception	si
GatewayIP	Gatewayip	si
GdtAddressHigh	Gdtaddresshigh	si
GdtAddressLow	Gdtaddresslow	si
GdtDescriptor	Gdtdescriptor	si
GdtEntry	Gdtentry_2	si
GdtSize	Gdtsize	si
GetAt	Getat	si
GetBackend	Getbackend	si
GetBaseAddressRegister	Getbaseaddressregister	si
GetBitmaspSize	Getbitmaspsize	si
GetBytesFromPtr	Getbytesfrompointer	si
GetCR0	Getcr0	si
GetCR2	Getcr2	si
GetCR3	Getcr3	si
GetCR4	Getcr4	si
GetColorIndex	Getcolorindex	si
GetDeviceDescriptor	Getඋපකරණයdescriptor	si
GetDriver	Getdriver	si
GetESP0	Getesp0	si
GetEntry	Getentry	si
GetFileSize	Getfilesize	si
GetFocus	Getfocus	si
GetFrameBufferSegment	Getframebuffersegment	si
GetFuncPtrFromPtr	Getfuncpointerfrompointer	si
GetFunctionName	Getfunctionනම	si
GetHandler	Gethandler	si
GetIPAddress	Getipaddress	si
GetMACAddress	Getmacaddress	si
GetMACFromCache	Getmacfromcache	si
GetNextReadyThread	Getඊලඟreadythread	si
GetNodeAt	Getnodeat	si
GetProvider	Providerget	si
GetSS0	Getss0	si
GetStr	Getstr	si
GetUint32ArrayFromPtr	Getunsignedinteger32arrayfrompointer	si
GetUintptrArrayFromPtr	Getunsignedintegerpointerarrayfrompointer	si
GetValue	Getඅගය	si
GetValueInPageDir	Getඅගයinpagedirectory	si
Gid	Gid	si
Gs	Gs	si
HandleException	Handleexception	si
HandleFatalInterruptFrame	Handlefatalinterruptframe	si
HandleInterrupt	Handleinterrupt	si
HandleInterrupt1	Handleinterrupt1	si
HandleUserDatagramProtocolMessage	Handleuserdatagramprotocolmessage	si
IDT_DESC_PRESENT	Idtdescriptorpresent	si
IDT_INTERRUPT_GATE	Idtinterruptgate	si
IDriver	IDriver	si
IEtherFrameHandler	IEthernetframehandler	si
IInternetProtocolHandler	IInternetprotocolhandler	si
IInterruptHandler	IInterrupthandler	si
IKeyboardEventHandler	IKeyboardeventhandler	si
IMouseEventHandler	IMouseeventhandler	si
IPCIControllerHandler	Ipcicontrollerhandler	si
IPCache	Ipcache	si
IP_BE	Ipnetworkbyteorder	si
IRawDataHandler	IRawdatahandler	si
ITimerEventHandler	ITimereventhandler	si
IUserDatagramProtocolHandler	IUserdatagramprotocolhandler	si
IUserDatagramProtocolSocket	IUserdatagramprotocolsocket	si
IWidget	IWidget	si
Identify	Identify	si
Increment	Increment	si
IndexOf	Indexof	si
Init	Init	si
InitDriver	Initdriver	si
InitialThreadUserJump	Initialthreaduserjump	si
Ino	Ino	si
Install	Install	si
Interrupt	Interrupt	si
InterruptActive	Interruptactive	si
InterruptDeactive	Interruptdeactive	si
InterruptManager	Interruptmanager	si
InterruptNumber	Interruptnumber	si
InvalidOpcode	Invalidopcode	si
InvalidTSS	Invalidtss	si
IsKernel	Iskernel	si
IsPresent	Ispresent	si
IsUserSpace	Isuserspace	si
KB	Kb	si
KCS_INDEX	Kcsindex	si
KCS_SELECTOR	Kcsselector	si
KDS_INDEX	Kdsindex	si
KDS_SELECTOR	Kdsselector	si
KERNEL_HEAP_START	Kernelheapstart	si
KERNEL_VIRT_ADDR	Kernelvirtaddress	si
KGS_INDEX	Kgsindex	si
KGS_SELECTOR	Kgsselector	si
K핵심	KKernelEntry	si
LIDT	Lidt	si
Last	Last	si
Len	Len	si
Limit	Limit	si
Link	Link	si
LinkMap	Linkmap	si
LinkedList	Linkedlist	si
Listen	Listen	si
LoadElf	Loadelf	si
MAC	Mac	si
MAC0	Mac0	si
MAC1	Mac1	si
MAC2	Mac2	si
MAC3	Mac3	si
MAC4	Mac4	si
MAC5	Mac5	si
MACAddress0Port	Macaddress0port	si
MACAddress2Port	Macaddress2port	si
MACAddress4Port	Macaddress4port	si
MACCache	Maccache	si
MAX_QUEUE_SIZE	Maxqueuesize	si
MB	Mb	si
MBR	Mbr	si
MHex출력	MHexadecimalprint	si
MHex출력XY	MHexadecimalprintxy	si
MUint16출력	MUnsignedinteger16print	si
MUint16출력XY	MUnsignedinteger16printxy	si
MUint32출력	MUnsignedinteger32print	si
MUint32출력XY	MUnsignedinteger32printxy	si
MUint64출력	MUnsignedinteger64print	si
MUint64출력XY	MUnsignedinteger64printxy	si
Machine	Machine	si
MachineCheck	Machinecheck	si
MakeRangePrivateWritable	Makerangeprivatewritable	si
Malloc	Malloc	si
MemCmp	Memcmp	si
MemCpy	Memcopy	si
MemMove	Memmove	si
MemSet	Memset	si
MemoryOper	Mමතකයoper	si
Mode	Mode	si
ModelToScreen	Set_local_coordinates	si
Mtime	Mtime	si
MtimeNsec	Mtimensec	si
MyHandleInterrupt	Myhandleinterrupt	si
MyTest	Mytest	si
M긴급로그Hex8	MEmergencyloghexadecimal8	si
M긴급로그Uint32	MEmergencylogunsignedinteger32	si
M긴급로그문자열	MEmergencylogstring	si
M직렬로그초기화	MSerialloginit	si
M출력	MPrint	si
M출력BytesXY	MPrintbytesxy	si
M출력Hex	MPrinthexadecimal	si
M출력Uint16	MPrintunsignedinteger16	si
M출력Uint32	MPrintunsignedinteger32	si
M출력XY	MPrintxy	si
M테스트	M테스트	si
NMI	Nmi	si
New	Nනව	si
NewInterruptHandler	Nනවinterrupthandler	si
Next	Nඊලඟ	si
Nlink	Nlink	si
Node	Node	si
Nodename	Nodename	si
OnEtherFrameReceived	Ethernetframereceivewhen	si
OnGetDriver	Ongetdriver	si
OnInternetProtocolReceived	Internetprotocolreceivewhen	si
OnKeyDown	Onkeyපහළ	si
OnKeyUp	Onkeyඉහළ	si
OnMouseDown	Onmouseපහළ	si
OnMouseMove	Onmousemove	si
OnMouseUp	Onmouseඉහළ	si
