english	localized	language
a	a	st
access	access	st
ack	ack	st
activate	activate	st
active	active	st
add	add	st
addend	addend	st
addr	addr	st
addralign	addralign	st
address	address	st
advanced	advanced	st
af	af	st
after	after	st
align	align	st
aligned	aligned	st
alignment	alignment	st
all	all	st
alloc	alloc	st
allocate	allocate	st
allocated	allocated	st
am	am	st
amd	amd	st
amount	amount	st
and	and	st
append	append	st
args	args	st
argument	argument	st
arguments	arguments	st
arp	arp	st
arp콘솔	arp콘솔	st
array	array	st
assembly	assembly	st
at	at	st
ata	ata	st
atime	atime	st
attachment	attachment	st
attempts	attempts	st
attr	attr	st
attribute	attribute	st
attributes	attributes	st
aux	aux	st
avail	avail	st
available	available	st
b	b	st
ba	ba	st
back	back	st
backend	backend	st
backup	backup	st
bar	bar	st
base	base	st
be	be	st
bh	bh	st
big	big	st
bind	bind	st
bios	bios	st
bit	bit	st
bitmap	bitmap	st
bitmasp	bitmasp	st
bits	bits	st
blksize	blksize	st
block	block	st
blocked	blocked	st
blocking	blocking	st
blocks	blocks	st
boot	boot	st
bootable	bootable	st
bootloader	bootloader	st
bound	bound	st
bpb	bpb	st
break	break	st
brk	brk	st
broadcast	broadcast	st
buf	buf	st
buffer	buffer	st
buffers	buffers	st
bufptr	bufptr	st
bus	bus	st
button	button	st
buttons	buttons	st
by	by	st
byte	byte	st
bytes	bytes	st
c	c	st
cache	cache	st
call	call	st
candidate	candidate	st
cap	cap	st
capable	capable	st
card	card	st
central	central	st
char	char	st
chdir	chdir	st
check	check	st
checked	checked	st
checksum	checksum	st
child	child	st
chunk	chunk	st
class	class	st
clear	clear	st
cloexec	cloexec	st
clone	clone	st
close	close	st
cluster	cluster	st
cmp	cmp	st
code	code	st
col	col	st
color	color	st
colordepth	colordepth	st
command	command	st
commandport	commandport	st
common	common	st
component	component	st
connect	connect	st
connected	connected	st
console	console	st
constant	constant	st
contains	contains	st
contents	contents	st
control	control	st
controller	controller	st
coordinate	coordinate	st
copies	copies	st
copy	copy	st
count	count	st
cow	cow	st
cpu	cpu	st
cpustate	cpustate	st
cpy	cpy	st
cr	cr	st
creat	creat	st
create	create	st
crtc	crtc	st
cs	cs	st
ctime	ctime	st
cur	cur	st
current	current	st
cursor	cursor	st
cylinder	cylinder	st
d	d	st
data	data	st
databuffer	databuffer	st
datagram	datagram	st
dataport	dataport	st
date	date	st
deactivate	deactivate	st
deactive	deactive	st
debug	debug	st
decrement	decrement	st
default	default	st
delete	delete	st
delta	delta	st
depth	depth	st
desc	desc	st
descr	descr	st
description	description	st
descriptor	descriptor	st
descriptors	descriptors	st
descsz	descsz	st
destination	destination	st
destroy	destroy	st
dev	dev	st
device	device	st
diff	diff	st
digits	digits	st
dir	dir	st
directory	directory	st
dirent	dirent	st
disable	disable	st
discard	discard	st
disconnect	disconnect	st
dispatch	dispatch	st
divide	divide	st
divisor	divisor	st
do	do	st
domain	domain	st
double	double	st
down	down	st
draw	draw	st
drive	drive	st
driver	driver	st
drivercount	drivercount	st
drivers	drivers	st
drv	drv	st
ds	ds	st
dst	dst	st
dstptr	dstptr	st
dup	dup	st
dword	dword	st
dyn	dyn	st
dynamic	dynamic	st
e	e	st
