english	localized	language
a	JT	lt
access	prieiti	lt
ack	ack	lt
activate	Įjungti	lt
active	Aktyvus	lt
add	Pridėti	lt
addend	addend	lt
addr	addr	lt
addralign	addralign	lt
address	address	lt
advanced	Išsamiau	lt
af	af	lt
after	after	lt
align	Lygiuotė	lt
aligned	aligned	lt
alignment	alignment	lt
all	Visi	lt
alloc	alloc	lt
allocate	allocate	lt
allocated	allocated	lt
am	am	lt
amd	amd	lt
amount	Kiekis	lt
and	ir	lt
append	append	lt
args	args	lt
argument	argument	lt
arguments	Argumentai	lt
arp	arp	lt
arp콘솔	arp콘솔	lt
array	Masyvas	lt
assembly	assembly	lt
at	at	lt
ata	ata	lt
atime	atime	lt
attachment	attachment	lt
attempts	attempts	lt
attr	attr	lt
attribute	Atributas	lt
attributes	Požymiai	lt
aux	aux	lt
avail	avail	lt
available	Prieinama	lt
b	b	lt
ba	ba	lt
back	Atgal	lt
backend	backend	lt
backup	backup	lt
bar	Juosta	lt
base	base	lt
be	be	lt
bh	bh	lt
big	big	lt
bind	bind	lt
bios	bios	lt
bit	bit	lt
bitmap	bitmap	lt
bitmasp	bitmasp	lt
bits	bitų	lt
blksize	blksize	lt
block	Blokas	lt
blocked	blocked	lt
blocking	blocking	lt
blocks	Blokai	lt
boot	boot	lt
bootable	bootable	lt
bootloader	bootloader	lt
bound	bound	lt
bpb	bpb	lt
break	break	lt
brk	brk	lt
broadcast	broadcast	lt
buf	buf	lt
buffer	buffer	lt
buffers	Buferiai	lt
bufptr	bufptr	lt
bus	bus	lt
button	Mygtukas	lt
buttons	Mygtukai	lt
by	by	lt
byte	byte	lt
bytes	Baitų	lt
c	DB	lt
cache	cache	lt
call	call	lt
candidate	candidate	lt
cap	cap	lt
capable	capable	lt
card	Kortų	lt
central	Centrinisrajonas	lt
char	char	lt
chdir	chdir	lt
check	check	lt
checked	checked	lt
checksum	Kontrolinėsuma	lt
child	child	lt
chunk	chunk	lt
class	Klasė	lt
clear	Išvalyti	lt
cloexec	cloexec	lt
clone	clone	lt
close	Užverti	lt
cluster	cluster	lt
cmp	cmp	lt
code	code	lt
col	col	lt
color	Spalva	lt
colordepth	colordepth	lt
command	Komanda	lt
commandport	commandport	lt
common	bendrinis	lt
component	component	lt
connect	Prisijungti	lt
connected	connected	lt
console	console	lt
constant	Konstanta	lt
contains	contains	lt
contents	Turinys	lt
control	Valdymas	lt
controller	controller	lt
coordinate	coordinate	lt
copies	copies	lt
copy	Kopijuoti	lt
count	count	lt
cow	cow	lt
cpu	cpu	lt
cpustate	cpustate	lt
cpy	cpy	lt
cr	cr	lt
creat	creat	lt
create	create	lt
crtc	crtc	lt
cs	cs	lt
ctime	ctime	lt
cur	cur	lt
current	Dabartinis	lt
cursor	Žymeklis	lt
cylinder	cylinder	lt
d	RT	lt
data	data	lt
databuffer	databuffer	lt
datagram	datagram	lt
dataport	dataport	lt
date	Data	lt
deactivate	Išjungti	lt
deactive	deactive	lt
