english	localized	language
a	a	lv
access	piekļūt	lv
ack	ack	lv
activate	Aktivizēt	lv
active	Aktīvs	lv
add	Pievienot	lv
addend	addend	lv
addr	addr	lv
addralign	addralign	lv
address	address	lv
advanced	Paplašināti	lv
af	af	lv
after	after	lv
align	Līdzināt	lv
aligned	aligned	lv
alignment	alignment	lv
all	Visi	lv
alloc	alloc	lv
allocate	allocate	lv
allocated	allocated	lv
am	am	lv
amd	amd	lv
amount	Apjoms	lv
and	and	lv
append	append	lv
args	args	lv
argument	argument	lv
arguments	Parametri	lv
arp	arp	lv
arp콘솔	arp콘솔	lv
array	Masīvs	lv
assembly	assembly	lv
at	at	lv
ata	ata	lv
atime	atime	lv
attachment	attachment	lv
attempts	attempts	lv
attr	attr	lv
attribute	atribūts	lv
attributes	Atribūti	lv
aux	aux	lv
avail	avail	lv
available	Pieejams	lv
b	b	lv
ba	ba	lv
back	Atpakaļ	lv
backend	backend	lv
backup	backup	lv
bar	Josla	lv
base	base	lv
be	be	lv
bh	bh	lv
big	big	lv
bind	bind	lv
bios	bios	lv
bit	bit	lv
bitmap	bitmap	lv
bitmasp	bitmasp	lv
bits	biti	lv
blksize	blksize	lv
block	Bloks	lv
blocked	blocked	lv
blocking	blocking	lv
blocks	blocks	lv
boot	boot	lv
bootable	bootable	lv
bootloader	bootloader	lv
bound	bound	lv
bpb	bpb	lv
break	break	lv
brk	brk	lv
broadcast	broadcast	lv
buf	buf	lv
buffer	buffer	lv
buffers	Buferi	lv
bufptr	bufptr	lv
bus	bus	lv
button	Pogas	lv
buttons	buttons	lv
by	by	lv
byte	byte	lv
bytes	Baiti	lv
c	c	lv
cache	cache	lv
call	call	lv
candidate	candidate	lv
cap	cap	lv
capable	capable	lv
card	card	lv
central	central	lv
char	char	lv
chdir	chdir	lv
check	check	lv
checked	checked	lv
checksum	checksum	lv
child	bērns	lv
chunk	chunk	lv
class	Klase	lv
clear	Notīrīt	lv
cloexec	cloexec	lv
clone	clone	lv
close	Aizvērt	lv
cluster	cluster	lv
cmp	cmp	lv
code	code	lv
col	col	lv
color	Krāsa	lv
colordepth	colordepth	lv
command	Komanda	lv
commandport	commandport	lv
common	kopējie	lv
component	component	lv
connect	Savienoties	lv
connected	connected	lv
console	console	lv
constant	Konstants	lv
contains	contains	lv
contents	Saturs	lv
control	Ctrl	lv
controller	controller	lv
coordinate	coordinate	lv
copies	copies	lv
copy	Kopēt	lv
count	count	lv
cow	cow	lv
cpu	cpu	lv
cpustate	cpustate	lv
cpy	cpy	lv
cr	cr	lv
creat	creat	lv
create	create	lv
crtc	crtc	lv
cs	cs	lv
ctime	ctime	lv
cur	cur	lv
current	Pašreizējais	lv
cursor	cursor	lv
cylinder	cylinder	lv
d	d	lv
data	data	lv
databuffer	databuffer	lv
datagram	datagram	lv
dataport	dataport	lv
date	Datums	lv
deactivate	Deaktivizēt	lv
deactive	deactive	lv
debug	Atkļūdot	lv
decrement	decrement	lv
default	Noklusētais	lv
delete	Dzēst	lv
delta	delta	lv
depth	depth	lv
desc	desc	lv
descr	descr	lv
description	Apraksts	lv
descriptor	descriptor	lv
descriptors	descriptors	lv
descsz	descsz	lv
destination	Mērķis	lv
destroy	Iznīcināt	lv
dev	dev	lv
device	Ierīce	lv
diff	diff	lv
digits	digits	lv
dir	dir	lv
directory	Mape	lv
dirent	dirent	lv
disable	Izslēgt	lv
discard	Izmest	lv
disconnect	Atvienoties	lv
dispatch	dispatch	lv
divide	divide	lv
divisor	divisor	lv
do	do	lv
domain	Domēns	lv
double	double	lv
down	Lejup	lv
draw	draw	lv
drive	drive	lv
driver	driver	lv
drivercount	drivercount	lv
drivers	drivers	lv
drv	drv	lv
ds	ds	lv
dst	dst	lv
dstptr	dstptr	lv
dup	dup	lv
dword	dword	lv
dyn	dyn	lv
dynamic	dynamic	lv
e	A	lv
eacces	eacces	lv
eaddrinuse	eaddrinuse	lv
eafnosupport	eafnosupport	lv
eagain	eagain	lv
eax	eax	lv
ebadf	ebadf	lv
ebp	ebp	lv
ebusy	ebusy	lv
ebx	ebx	lv
echild	echild	lv
echo	echo	lv
ecx	ecx	lv
edi	edi	lv
edx	edx	lv
eexist	eexist	lv
ef	ef	lv
efault	efault	lv
efbig	efbig	lv
eflags	eflags	lv
ehsize	ehsize	lv
eintr	eintr	lv
einval	einval	lv
eio	eio	lv
eip	eip	lv
eisdir	eisdir	lv
elf	elf	lv
emfile	emfile	lv
empty	Tukšs	lv
emsgsize	emsgsize	lv
enable	Ieslēgt	lv
enabled	ieslēgt	lv
end	Beigas	lv
enetunreach	enetunreach	lv
enfile	enfile	lv
enodev	enodev	lv
enoent	enoent	lv
enoexec	enoexec	lv
