original	localized	language
Activate	Aktivizēt	lv
ActivateAll	AktivizētVisi	lv
Active	Aktīvs	lv
ActiveInterruptManager	AktīvsPārtraukumsmanager	lv
ActiveMemoryManager	AktīvsAtmiņamanager	lv
Add	Pievienot	lv
AddDriver	Pievienotdriver	lv
AddRunnableThread	Pievienotrunnablethread	lv
AddTask	Pievienottask	lv
AddThread	Pievienotthread	lv
Address	Address	lv
AlignedMalloc	Alignedmalloc	lv
AlignmentCheck	Alignmentcheck	lv
AllocateBlock	AllocateBloks	lv
AllocatePID	Allocatepid	lv
AmountOfMemory	ApjomsnoAtmiņa	lv
ArrayToUint16	Masīvstounsignedinteger16	lv
ArrayToUint32	Masīvstounsignedinteger32	lv
ArrayToUint48	Masīvstounsignedinteger48	lv
ArrayToUint48_BE	Masīvstounsignedinteger48be	lv
ArrayToUint64	Masīvstounsignedinteger64	lv
Atime	Atime	lv
AtimeNsec	Atimensec	lv
BLOCKS_PER_BYTE	Bloksperbyte	lv
BLOCK_SIZE	BloksIzmērs	lv
Backend	Backend	lv
BaseAddr	Baseaddress	lv
Bind	Bind	lv
Blksize	Blksize	lv
Blocked	Blocked	lv
BlockedState	BlockedStāvoklis	lv
Blocks	Bloks	lv
BoundRangeExceeded	BoundApgabalsexceeded	lv
BroadcastMacAddress	Broadcastmacaddress	lv
BytesPerSector	Baitipersector	lv
BytesToString	Baititovirkne	lv
Checksum	Checksum	lv
Clear	Notīrīt	lv
Clone	Clone	lv
CloneAddressSpaceCOW	Cloneaddressspacecow	lv
Connect	Savienoties	lv
ContainsCoordinate	Containscoordinate	lv
CopyPageFrameBlock	KopētLapaIetvarsBloks	lv
CpuState	CpuStāvoklis	lv
Create	Create	lv
CreateFromData	Createfromdata	lv
CreateFromFunction	CreatefromFunkcija	lv
CreatePtrFromFunction	CreateKursorsfromFunkcija	lv
Cs	Cs	lv
Ctime	Ctime	lv
CtimeNsec	Ctimensec	lv
CurrentPID	Pašreizējaispid	lv
CurrentParentPID	Pašreizējaisvecākspid	lv
Data	Data	lv
Deactivate	Deaktivizēt	lv
Deactive	Deactive	lv
Decrement	Decrement	lv
Delete	Dzēst	lv
DescriptorPrivilegeLevel	Descriptorprivilegelevel	lv
DescriptorType	DescriptorTips	lv
Destroy	Iznīcināt	lv
Dev	Ierīce	lv
DeviceHasFunctions	IerīcehasFunkcijas	lv
DeviceNotAvailable	IerīcenotPieejams	lv
Device_id	Ierīceid	lv
DisableInt	Izslēgtint	lv
Disconnect	Atvienoties	lv
DivideByZero	Dividebyzero	lv
DoHandleInterrupt	DohandlePārtraukums	lv
DoubleFault	Doublefault	lv
Draw	Draw	lv
DriverManager	Drivermanager	lv
Ds	Ds	lv
Dynamic	Dynamic	lv
E2BIG	E2big	lv
EACCES	Eacces	lv
EADDRINUSE	Eaddrinuse	lv
EAFNOSUPPORT	Eafnosupport	lv
EAGAIN	Eagain	lv
EBADF	Ebadf	lv
EBUSY	Ebusy	lv
ECHILD	Echild	lv
EEXIST	Eexist	lv
EFAULT	Efault	lv
EFBIG	Efbig	lv
EINTR	Eintr	lv
EINVAL	Einval	lv
EIO	Eio	lv
EISDIR	Eisdir	lv
EMFILE	Emfile	lv
EMSGSIZE	Emsgsize	lv
ENETUNREACH	Enetunreach	lv
ENFILE	Enfile	lv
ENODEV	Enodev	lv
ENOENT	Enoent	lv
ENOEXEC	Enoexec	lv
ENOMEM	Enomem	lv
ENOSPC	Enospc	lv
ENOSYS	Enosys	lv
ENOTCONN	Enotconn	lv
ENOTDIR	Enotdir	lv
ENOTTY	Enotty	lv
EOPNOTSUPP	Eopnotsupp	lv
EPERM	Eperm	lv
EPROTONOSUPPORT	Eprotonosupport	lv
ERANGE	Erange	lv
EROFS	Erofs	lv
ESPIPE	Espipe	lv
ESRCH	Esrch	lv
Eax	Eax	lv
Ebp	Ebp	lv
Ebx	Ebx	lv
Ecx	Ecx	lv
Edi	Edi	lv
Edx	Edx	lv
Eflags	Eflags	lv
Eip	Eip	lv
Elf	Elf	lv
Elf32Dyn	Elf32dyn	lv
Elf32Note	Elf32Piezīme	lv
Elf32Rel	Elf32rel	lv
Elf32Rela	Elf32rela	lv
Elf32Sym	Elf32sym	lv
ElfHeader	Elfheader	lv
ElfProgramHeader	Elfprogrammaheader	lv
ElfSectionHeader	Elfsectionheader	lv
EnablePaging	Ieslēgtpaging	lv
Enabled	Ieslēgt	lv
EntryNumber	IerakstsSkaitlis	lv
EqualBytes	VienādsBaiti	lv
Es	Es	lv
Esi	Esi	lv
Esp	Esp	lv
FPUBuffer	Fpubuffer	lv
FPUOffset	Fpuoffset	lv
Family	Family	lv
FileName	FailsNosaukums	lv
Fill	Fill	lv
FillRectangle	FillTaisnstūris	lv
First	Pirmais	lv
FirstFree	PirmaisBrīvs	lv
FirstFreeSize	PirmaisBrīvsIzmērs	lv
Flags	Karogi	lv
FloatingPointException	Peldošspointexception	lv
Flush	Flush	lv
FlushTlsTable	FlushtlsTabula	lv
Focussable	Focussable	lv
