standard_identifier	native_identifier	category	status
AF_INET	互聯網路位址族	network-declaration	project-proposal
AF_UNSPEC	未指定位址族	network-declaration	project-proposal
CHAR_BIT	每位元組位元數	integer-limit	project-proposal
CHAR_MAX	字元整數最大值	integer-limit	project-proposal
CHAR_MIN	字元整數最小值	integer-limit	project-proposal
CHECK	檢查條件	variable	project-proposal
E2BIG	錯誤引數列表過大	error-code	project-proposal
EACCES	錯誤沒有存取權限	error-code	project-proposal
EADDRINUSE	錯誤位址已占用	error-code	project-proposal
EAFNOSUPPORT	錯誤不支援位址族	error-code	project-proposal
EAGAIN	錯誤暫時無法使用	error-code	project-proposal
EBADF	錯誤描述編號無效	error-code	project-proposal
EBUSY	錯誤資源使用中	error-code	project-proposal
ECHILD	錯誤沒有子行程	error-code	project-proposal
EEXIST	錯誤檔案已存在	error-code	project-proposal
EFAULT	錯誤記憶體位址無效	error-code	project-proposal
EFBIG	錯誤檔案過大	error-code	project-proposal
EINTR	錯誤操作被中斷	error-code	project-proposal
EINVAL	錯誤引數無效	error-code	project-proposal
EIO	錯誤輸入輸出失敗	error-code	project-proposal
EISDIR	錯誤是目錄	error-code	project-proposal
EMFILE	錯誤行程檔案數量上限	error-code	project-proposal
EMSGSIZE	錯誤訊息過大	error-code	project-proposal
ENETUNREACH	錯誤網路無法到達	error-code	project-proposal
ENFILE	錯誤系統檔案數量上限	error-code	project-proposal
ENODEV	錯誤裝置不存在	error-code	project-proposal
ENOENT	錯誤檔案或目錄不存在	error-code	project-proposal
ENOEXEC	錯誤執行格式無效	error-code	project-proposal
ENOMEM	錯誤記憶體不足	error-code	project-proposal
ENOSPC	錯誤儲存空間不足	error-code	project-proposal
ENOSYS	錯誤功能未實作	error-code	project-proposal
ENOTCONN	錯誤端點未連接	error-code	project-proposal
ENOTDIR	錯誤不是目錄	error-code	project-proposal
ENOTTY	錯誤裝置不適用操作	error-code	project-proposal
EOPNOTSUPP	錯誤不支援操作	error-code	project-proposal
EPERM	錯誤操作不允許	error-code	project-proposal
EPROTONOSUPPORT	錯誤不支援協定	error-code	project-proposal
ERANGE	錯誤數值超出範圍	error-code	project-proposal
EROFS	錯誤唯讀檔案系統	error-code	project-proposal
ESPIPE	錯誤資料流無法定位	error-code	project-proposal
ESRCH	錯誤行程不存在	error-code	project-proposal
EXIT_FAILURE	失敗結束	interface-constant	project-proposal
EXIT_SUCCESS	成功結束	interface-constant	project-proposal
FD_CLOEXEC	替換程式時關閉	interface-constant	project-proposal
F_DUPFD	複製描述編號	interface-constant	project-proposal
F_GETFD	取得描述編號旗標	interface-constant	project-proposal
F_GETFL	取得檔案狀態旗標	interface-constant	project-proposal
F_OK	檢查存在	interface-constant	project-proposal
F_SETFD	設定描述編號旗標	interface-constant	project-proposal
F_SETFL	設定檔案狀態旗標	interface-constant	project-proposal
INADDR_ANY	任意本機位址	network-declaration	project-proposal
INADDR_LOOPBACK	本機迴送位址	network-declaration	project-proposal
INT_MAX	整數最大值	integer-limit	project-proposal
