english	localized	source	evidence_count
a	a	fallback-English	0
access	acces	gettext	5
ack	ack	fallback-English	0
activate	Activează	gettext	3
active	Activ	gettext	1
add	Adaugă	gettext	29
addend	addend	fallback-English	0
addr	addr	fallback-English	0
addralign	addralign	fallback-English	0
address	address	fallback-English	0
advanced	Avansate	gettext	29
af	af	fallback-English	0
after	after	fallback-English	0
align	Aliniere	gettext	5
aligned	aligned	fallback-English	0
alignment	alignment	fallback-English	0
all	Toate	gettext	3
alloc	alloc	fallback-English	0
allocate	allocate	fallback-English	0
allocated	allocated	fallback-English	0
am	am	fallback-English	0
amd	amd	fallback-English	0
amount	Cantitate	gettext	1
and	și	gettext	1
append	append	fallback-English	0
args	args	fallback-English	0
argument	argument	fallback-English	0
arguments	Argumente	gettext	1
arp	arp	fallback-English	0
arp콘솔	arp콘솔	fallback-English	0
array	Vector	gettext	5
assembly	assembly	fallback-English	0
at	at	fallback-English	0
ata	ata	fallback-English	0
atime	atime	fallback-English	0
attachment	attachment	fallback-English	0
attempts	attempts	fallback-English	0
attr	attr	fallback-English	0
attribute	atribut	gettext	5
attributes	Atribute	gettext	1
aux	aux	fallback-English	0
avail	avail	fallback-English	0
available	Disponibil	gettext	7
b	b	fallback-English	0
ba	ba	fallback-English	0
back	Înapoi	gettext	18
backend	backend	fallback-English	0
backup	backup	fallback-English	0
bar	Bară	gettext	2
base	base	fallback-English	0
be	be	fallback-English	0
bh	bh	fallback-English	0
big	big	fallback-English	0
bind	bind	fallback-English	0
bios	bios	fallback-English	0
bit	bit	fallback-English	0
bitmap	bitmap	fallback-English	0
bitmasp	bitmasp	fallback-English	0
bits	biți	gettext	1
blksize	blksize	fallback-English	0
block	Bloc	gettext	5
blocked	blocked	fallback-English	0
blocking	blocking	fallback-English	0
blocks	Blocuri	gettext	1
boot	boot	fallback-English	0
bootable	bootable	fallback-English	0
bootloader	bootloader	fallback-English	0
bound	bound	fallback-English	0
bpb	bpb	fallback-English	0
break	break	fallback-English	0
brk	brk	fallback-English	0
broadcast	broadcast	fallback-English	0
buf	buf	fallback-English	0
buffer	buffer	fallback-English	0
buffers	Buffere	gettext	2
bufptr	bufptr	fallback-English	0
bus	bus	fallback-English	0
button	Buton	gettext	2
buttons	Ordineabutoanelor	gettext	5
by	by	fallback-English	0
byte	byte	fallback-English	0
bytes	Octeți	gettext	6
c	c	fallback-English	0
cache	cache	fallback-English	0
call	call	fallback-English	0
candidate	candidate	fallback-English	0
cap	cap	fallback-English	0
capable	capable	fallback-English	0
card	Cărți	gettext	1
central	central	fallback-English	0
char	char	fallback-English	0
chdir	chdir	fallback-English	0
check	check	fallback-English	0
checked	checked	fallback-English	0
checksum	checksum	fallback-English	0
child	copil	gettext	5
chunk	chunk	fallback-English	0
class	Clasa	gettext	5
clear	Golește	gettext	10
cloexec	cloexec	fallback-English	0
clone	clone	fallback-English	0
close	Închide	gettext	35
cluster	cluster	fallback-English	0
cmp	cmp	fallback-English	0
code	code	fallback-English	0
col	col	fallback-English	0
color	Culoare	gettext	2
colordepth	colordepth	fallback-English	0
command	Comandă	gettext	23
commandport	commandport	fallback-English	0
common	comun	gettext	5
component	component	fallback-English	0
connect	Conectează	gettext	5
connected	connected	fallback-English	0
console	console	fallback-English	0
constant	Constantă	gettext	1
contains	contains	fallback-English	0
contents	Conținut	gettext	48
control	control	fallback-English	0
controller	controller	fallback-English	0
coordinate	coordinate	fallback-English	0
copies	copies	fallback-English	0
copy	Copiază	gettext	31
count	count	fallback-English	0
cow	cow	fallback-English	0
cpu	cpu	fallback-English	0
cpustate	cpustate	fallback-English	0
cpy	cpy	fallback-English	0
cr	cr	fallback-English	0
creat	creat	fallback-English	0
create	create	fallback-English	0
crtc	crtc	fallback-English	0
cs	cs	fallback-English	0
ctime	ctime	fallback-English	0
cur	cur	fallback-English	0
current	Curentă	gettext	5
cursor	cursor	fallback-English	0
cylinder	cylinder	fallback-English	0
d	d	fallback-English	0
data	data	fallback-English	0
databuffer	databuffer	fallback-English	0
datagram	datagram	fallback-English	0
dataport	dataport	fallback-English	0
date	Dată	gettext	7
deactivate	Dezactivează	gettext	3
deactive	deactive	fallback-English	0
debug	Depanează	gettext	10
