english	localized	language
a	a	mg
access	access	mg
ack	ack	mg
activate	Alefaso	mg
active	miasa	mg
add	Ampidiro	mg
addend	addend	mg
addr	addr	mg
addralign	addralign	mg
address	address	mg
advanced	Avolenta	mg
af	af	mg
after	after	mg
align	ampifanitsio	mg
aligned	aligned	mg
alignment	alignment	mg
all	all	mg
alloc	alloc	mg
allocate	allocate	mg
allocated	allocated	mg
am	am	mg
amd	amd	mg
amount	Habetsaka	mg
and	and	mg
append	append	mg
args	args	mg
argument	argument	mg
arguments	arguments	mg
arp	arp	mg
arp콘솔	arp콘솔	mg
array	array	mg
assembly	assembly	mg
at	at	mg
ata	ata	mg
atime	atime	mg
attachment	attachment	mg
attempts	attempts	mg
attr	attr	mg
attribute	Marikamanokana	mg
attributes	attributes	mg
aux	aux	mg
avail	avail	mg
available	Azoampiasaina	mg
b	b	mg
ba	ba	mg
back	Mihemotra	mg
backend	backend	mg
backup	backup	mg
bar	Anja	mg
base	base	mg
be	be	mg
bh	bh	mg
big	big	mg
bind	bind	mg
bios	bios	mg
bit	bit	mg
bitmap	bitmap	mg
bitmasp	bitmasp	mg
bits	bits	mg
blksize	blksize	mg
block	block	mg
blocked	blocked	mg
blocking	blocking	mg
blocks	blocks	mg
boot	boot	mg
bootable	bootable	mg
bootloader	bootloader	mg
bound	bound	mg
bpb	bpb	mg
break	break	mg
brk	brk	mg
broadcast	broadcast	mg
buf	buf	mg
buffer	buffer	mg
buffers	Arikahombo	mg
bufptr	bufptr	mg
bus	bus	mg
button	button	mg
buttons	buttons	mg
by	by	mg
byte	byte	mg
bytes	Octet	mg
c	c	mg
cache	cache	mg
call	call	mg
candidate	candidate	mg
cap	cap	mg
capable	capable	mg
card	card	mg
central	central	mg
char	char	mg
chdir	chdir	mg
check	check	mg
checked	checked	mg
checksum	checksum	mg
child	Zanaka	mg
chunk	chunk	mg
class	Sokajy	mg
clear	Foano	mg
cloexec	cloexec	mg
clone	clone	mg
close	hidio	mg
cluster	cluster	mg
cmp	cmp	mg
code	code	mg
col	col	mg
color	color	mg
colordepth	colordepth	mg
command	Baiko	mg
commandport	commandport	mg
common	common	mg
component	component	mg
connect	Atomboy	mg
connected	connected	mg
console	Konsoly	mg
constant	constant	mg
contains	contains	mg
contents	Mpiaty	mg
control	control	mg
controller	controller	mg
coordinate	coordinate	mg
copies	copies	mg
copy	Adikao	mg
count	count	mg
cow	cow	mg
cpu	cpu	mg
cpustate	cpustate	mg
cpy	cpy	mg
cr	cr	mg
creat	creat	mg
create	create	mg
crtc	crtc	mg
cs	cs	mg
ctime	ctime	mg
cur	cur	mg
current	current	mg
cursor	cursor	mg
cylinder	cylinder	mg
d	d	mg
data	data	mg
databuffer	databuffer	mg
datagram	datagram	mg
dataport	dataport	mg
date	Daty	mg
deactivate	Atsaharo	mg
deactive	deactive	mg
debug	debug	mg
decrement	decrement	mg
default	Tsotra	mg
delete	Fafao	mg
delta	delta	mg
depth	depth	mg
desc	desc	mg
descr	descr	mg
description	Fanoritsoritana	mg
descriptor	descriptor	mg
descriptors	descriptors	mg
descsz	descsz	mg
destination	destination	mg
destroy	destroy	mg
dev	dev	mg
device	Periferika	mg
diff	diff	mg
digits	digits	mg
dir	dir	mg
directory	Lahatahiry	mg
dirent	dirent	mg
disable	disable	mg
discard	discard	mg
disconnect	Atsaharo	mg
dispatch	dispatch	mg
divide	divide	mg
divisor	divisor	mg
do	do	mg
domain	domain	mg
double	double	mg
down	down	mg
draw	draw	mg
drive	drive	mg
driver	driver	mg
drivercount	drivercount	mg
drivers	drivers	mg
drv	drv	mg
ds	ds	mg
dst	dst	mg
dstptr	dstptr	mg
dup	dup	mg
dword	dword	mg
dyn	dyn	mg
dynamic	dynamic	mg
e	e	mg
eacces	eacces	mg
eaddrinuse	eaddrinuse	mg
eafnosupport	eafnosupport	mg
eagain	eagain	mg
eax	eax	mg
ebadf	ebadf	mg
ebp	ebp	mg
ebusy	ebusy	mg
ebx	ebx	mg
echild	echild	mg
echo	echo	mg
ecx	ecx	mg
edi	edi	mg
edx	edx	mg
eexist	eexist	mg
ef	ef	mg
efault	efault	mg
efbig	efbig	mg
eflags	eflags	mg
ehsize	ehsize	mg
eintr	eintr	mg
einval	einval	mg
eio	eio	mg
eip	eip	mg
eisdir	eisdir	mg
elf	elf	mg
emfile	emfile	mg
empty	Foana	mg
emsgsize	emsgsize	mg
enable	enable	mg
enabled	enabled	mg
end	end	mg
enetunreach	enetunreach	mg
