original	localized	language
Activate	Alefaso	mg
ActivateAll	Alefasoall	mg
Active	Miasa	mg
ActiveInterruptManager	MiasainterruptMpandrindra	mg
ActiveMemoryManager	MiasaArikaMpandrindra	mg
Add	Ampidiro	mg
AddDriver	Ampidirodriver	mg
AddRunnableThread	Ampidirorunnablethread	mg
AddTask	Ampidirotask	mg
AddThread	Ampidirothread	mg
Address	Address	mg
AlignedMalloc	Alignedmalloc	mg
AlignmentCheck	Alignmentcheck	mg
AllocateBlock	Allocateblock	mg
AllocatePID	Allocatepid	mg
AmountOfMemory	HabetsakaaminnyArika	mg
ArrayToUint16	Arraytounsignedinteger16	mg
ArrayToUint32	Arraytounsignedinteger32	mg
ArrayToUint48	Arraytounsignedinteger48	mg
ArrayToUint48_BE	Arraytounsignedinteger48be	mg
ArrayToUint64	Arraytounsignedinteger64	mg
Atime	Atime	mg
AtimeNsec	Atimensec	mg
BLOCKS_PER_BYTE	Blockperbyte	mg
BLOCK_SIZE	BlockHabe	mg
Backend	Backend	mg
BaseAddr	Baseaddress	mg
Bind	Bind	mg
Blksize	Blksize	mg
Blocked	Blocked	mg
BlockedState	Blockedstate	mg
Blocks	Block	mg
BoundRangeExceeded	BoundElanelanaexceeded	mg
BroadcastMacAddress	Broadcastmacaddress	mg
BytesPerSector	Octetpersector	mg
BytesToString	Octettostring	mg
Checksum	Checksum	mg
Clear	Foano	mg
Clone	Clone	mg
CloneAddressSpaceCOW	Cloneaddressspacecow	mg
Connect	Atomboy	mg
ContainsCoordinate	Containscoordinate	mg
CopyPageFrameBlock	AdikaoPEJYframeblock	mg
CpuState	Cpustate	mg
Create	Create	mg
CreateFromData	Createfromdata	mg
CreateFromFunction	Createfromfunction	mg
CreatePtrFromFunction	Createpointerfromfunction	mg
Cs	Cs	mg
Ctime	Ctime	mg
CtimeNsec	Ctimensec	mg
CurrentPID	Currentpid	mg
CurrentParentPID	CurrentRenypid	mg
Data	Data	mg
Deactivate	Atsaharo	mg
Deactive	Deactive	mg
Decrement	Decrement	mg
Delete	Fafao	mg
DescriptorPrivilegeLevel	Descriptorprivilegelevel	mg
DescriptorType	DescriptorKarazana	mg
Destroy	Destroy	mg
Dev	Periferika	mg
DeviceHasFunctions	Periferikahasfunctions	mg
DeviceNotAvailable	PeriferikanotAzoampiasaina	mg
Device_id	Periferikaid	mg
DisableInt	Disableint	mg
Disconnect	Atsaharo_2	mg
DivideByZero	Dividebyzero	mg
DoHandleInterrupt	Dohandleinterrupt	mg
DoubleFault	Doublefault	mg
Draw	Draw	mg
DriverManager	DriverMpandrindra	mg
Ds	Ds	mg
Dynamic	Dynamic	mg
E2BIG	E2big	mg
EACCES	Eacces	mg
EADDRINUSE	Eaddrinuse	mg
EAFNOSUPPORT	Eafnosupport	mg
EAGAIN	Eagain	mg
EBADF	Ebadf	mg
EBUSY	Ebusy	mg
ECHILD	Echild	mg
EEXIST	Eexist	mg
EFAULT	Efault	mg
EFBIG	Efbig	mg
EINTR	Eintr	mg
EINVAL	Einval	mg
EIO	Eio	mg
EISDIR	Eisdir	mg
EMFILE	Emfile	mg
EMSGSIZE	Emsgsize	mg
ENETUNREACH	Enetunreach	mg
ENFILE	Enfile	mg
ENODEV	Enodev	mg
ENOENT	Enoent	mg
ENOEXEC	Enoexec	mg
ENOMEM	Enomem	mg
ENOSPC	Enospc	mg
ENOSYS	Enosys	mg
ENOTCONN	Enotconn	mg
ENOTDIR	Enotdir	mg
ENOTTY	Enotty	mg
EOPNOTSUPP	Eopnotsupp	mg
EPERM	Eperm	mg
EPROTONOSUPPORT	Eprotonosupport	mg
ERANGE	Erange	mg
EROFS	Erofs	mg
ESPIPE	Espipe	mg
ESRCH	Esrch	mg
Eax	Eax	mg
Ebp	Ebp	mg
Ebx	Ebx	mg
Ecx	Ecx	mg
Edi	Edi	mg
Edx	Edx	mg
Eflags	Eflags	mg
Eip	Eip	mg
Elf	Elf	mg
Elf32Dyn	Elf32dyn	mg
Elf32Note	Elf32Fanamarihana	mg
Elf32Rel	Elf32rel	mg
Elf32Rela	Elf32rela	mg
Elf32Sym	Elf32sym	mg
ElfHeader	Elfheader	mg
ElfProgramHeader	Elfrindranasaheader	mg
