identifier	status
AF_INET	pending-language-review
AF_UNSPEC	pending-language-review
CHAR_BIT	pending-language-review
CHAR_MAX	pending-language-review
CHAR_MIN	pending-language-review
CHECK	pending-language-review
E2BIG	pending-language-review
EACCES	pending-language-review
EADDRINUSE	pending-language-review
EAFNOSUPPORT	pending-language-review
EAGAIN	pending-language-review
EBADF	pending-language-review
EBUSY	pending-language-review
ECHILD	pending-language-review
EEXIST	pending-language-review
EFAULT	pending-language-review
EFBIG	pending-language-review
EINTR	pending-language-review
EINVAL	pending-language-review
EIO	pending-language-review
EISDIR	pending-language-review
EMFILE	pending-language-review
EMSGSIZE	pending-language-review
ENETUNREACH	pending-language-review
ENFILE	pending-language-review
ENODEV	pending-language-review
ENOENT	pending-language-review
ENOEXEC	pending-language-review
ENOMEM	pending-language-review
ENOSPC	pending-language-review
ENOSYS	pending-language-review
ENOTCONN	pending-language-review
ENOTDIR	pending-language-review
ENOTTY	pending-language-review
EOPNOTSUPP	pending-language-review
EPERM	pending-language-review
EPROTONOSUPPORT	pending-language-review
ERANGE	pending-language-review
EROFS	pending-language-review
ESPIPE	pending-language-review
ESRCH	pending-language-review
EXIT_FAILURE	pending-language-review
EXIT_SUCCESS	pending-language-review
FD_CLOEXEC	pending-language-review
F_DUPFD	pending-language-review
F_GETFD	pending-language-review
F_GETFL	pending-language-review
F_OK	pending-language-review
F_SETFD	pending-language-review
F_SETFL	pending-language-review
INADDR_ANY	pending-language-review
INADDR_LOOPBACK	pending-language-review
INT_MAX	pending-language-review
INT_MIN	pending-language-review
IPPROTO_IP	pending-language-review
IPPROTO_UDP	pending-language-review
LLONG_MAX	pending-language-review
LLONG_MIN	pending-language-review
LONG_MAX	pending-language-review
LONG_MIN	pending-language-review
NULL	pending-language-review
O_ACCMODE	pending-language-review
O_APPEND	pending-language-review
O_CREAT	pending-language-review
O_DIRECTORY	pending-language-review
O_EXCL	pending-language-review
O_RDONLY	pending-language-review
O_RDWR	pending-language-review
O_TRUNC	pending-language-review
O_WRONLY	pending-language-review
PF_INET	pending-language-review
R_OK	pending-language-review
SC0	pending-language-review
SC1	pending-language-review
SC2	pending-language-review
SC3	pending-language-review
SCHAR_MAX	pending-language-review
SCHAR_MIN	pending-language-review
SC_accept	pending-language-review
SC_bind	pending-language-review
SC_connect	pending-language-review
SC_getpeername	pending-language-review
SC_getsockname	pending-language-review
SC_listen	pending-language-review
SC_recv	pending-language-review
SC_recvfrom	pending-language-review
SC_send	pending-language-review
SC_sendto	pending-language-review
SC_setsockopt	pending-language-review
SC_shutdown	pending-language-review
SC_socket	pending-language-review
SEEK_CUR	pending-language-review
SEEK_END	pending-language-review
SEEK_SET	pending-language-review
SHRT_MAX	pending-language-review
SHRT_MIN	pending-language-review
SHUT_RD	pending-language-review
SHUT_RDWR	pending-language-review
SHUT_WR	pending-language-review
SOCK_DGRAM	pending-language-review
SOCK_STREAM	pending-language-review
STDERR_FILENO	pending-language-review
STDIN_FILENO	pending-language-review
STDOUT_FILENO	pending-language-review
SYS_access	pending-language-review
SYS_brk	pending-language-review
SYS_chdir	pending-language-review
SYS_close	pending-language-review
SYS_creat	pending-language-review
SYS_dup	pending-language-review
SYS_dup2	pending-language-review
SYS_execve	pending-language-review
SYS_fcntl	pending-language-review
SYS_fork	pending-language-review
SYS_fstat	pending-language-review
SYS_fsync	pending-language-review
SYS_getcwd	pending-language-review
SYS_getegid	pending-language-review
SYS_geteuid	pending-language-review
SYS_getgid	pending-language-review
SYS_getpid	pending-language-review
SYS_getppid	pending-language-review
SYS_getuid	pending-language-review
SYS_lseek	pending-language-review
SYS_lstat	pending-language-review
SYS_open	pending-language-review
SYS_socketcall	pending-language-review
SYS_stat	pending-language-review
SYS_sync	pending-language-review
SYS_uname	pending-language-review
S_IFCHR	pending-language-review
S_IFDIR	pending-language-review
S_IFMT	pending-language-review
S_IFREG	pending-language-review
S_IRGRP	pending-language-review
S_IROTH	pending-language-review
S_IRUSR	pending-language-review
S_ISCHR	pending-language-review
S_ISDIR	pending-language-review
S_ISREG	pending-language-review
S_IWGRP	pending-language-review
S_IWOTH	pending-language-review
S_IWUSR	pending-language-review
S_IXGRP	pending-language-review
S_IXOTH	pending-language-review
S_IXUSR	pending-language-review
UCHAR_MAX	pending-language-review
UINT_MAX	pending-language-review
ULLONG_MAX	pending-language-review
ULONG_MAX	pending-language-review
USHRT_MAX	pending-language-review
WEXITSTATUS	pending-language-review
WIFEXITED	pending-language-review
WNOHANG	pending-language-review
W_OK	pending-language-review
X_OK	pending-language-review
_LIBC_ARPA_INET_H	pending-language-review
_LIBC_CTYPE_H	pending-language-review
_LIBC_ERRNO_H	pending-language-review
_LIBC_FCNTL_H	pending-language-review
_LIBC_LIMITS_H	pending-language-review
_LIBC_NETINET_IN_H	pending-language-review
_LIBC_STDDEF_H	pending-language-review
_LIBC_STDINT_H	pending-language-review
_LIBC_STDLIB_H	pending-language-review
_LIBC_STRINGS_H	pending-language-review
_LIBC_STRING_H	pending-language-review
_LIBC_SYSCALL_H	pending-language-review
_LIBC_SYS_SOCKET_H	pending-language-review
_LIBC_SYS_STAT_H	pending-language-review
_LIBC_SYS_TYPES_H	pending-language-review
_LIBC_SYS_UTSNAME_H	pending-language-review
_LIBC_SYS_WAIT_H	pending-language-review
_LIBC_UNISTD_H	pending-language-review
__LINE__	c-or-preprocessor-syntax
__asm__	c-or-preprocessor-syntax
__attribute__	c-or-preprocessor-syntax
__builtin_va_arg	compiler-intrinsic
__builtin_va_end	compiler-intrinsic
__builtin_va_list	compiler-intrinsic
__builtin_va_start	compiler-intrinsic
__cplusplus	c-or-preprocessor-syntax
__posix_library_test	pending-language-review
__syscall6	abi-entry-or-explicit-neutral-name
__syscall_result	abi-entry-or-explicit-neutral-name
__volatile__	c-or-preprocessor-syntax
_exit	pending-language-review
a	pending-language-review
a1	pending-language-review
a2	pending-language-review
a3	pending-language-review
a4	pending-language-review
a5	pending-language-review
a6	pending-language-review
abs	pending-language-review
accept	pending-language-review
access	pending-language-review
address	pending-language-review
address_len	pending-language-review
address_length	pending-language-review
argc	pending-language-review
args	pending-language-review
args_fail	pending-language-review
args_pass	pending-language-review
argument	pending-language-review
arguments	pending-language-review
argv	pending-language-review
atoi	pending-language-review
atol	pending-language-review
available	pending-language-review
b	pending-language-review
backlog	pending-language-review
bind	pending-language-review
blkcnt_t	pending-language-review
blksize_t	pending-language-review
brk	pending-language-review
bsearch	pending-language-review
bss_zeroed	pending-language-review
buf	pending-language-review
buffer	pending-language-review
byte	pending-language-review
bytes	pending-language-review
c	pending-language-review
call	pending-language-review
calloc	pending-language-review
capacity	pending-language-review
char	c-or-preprocessor-syntax
character	pending-language-review
chdir	pending-language-review
checks	pending-language-review
child	pending-language-review
client	pending-language-review
cloexec_fail	pending-language-review
cloexec_pass	pending-language-review
close	pending-language-review
cmd	pending-language-review
compare	pending-language-review
compare_int	pending-language-review
connect	pending-language-review
const	c-or-preprocessor-syntax
copy	pending-language-review
copy_length	pending-language-review
count	pending-language-review
creat	pending-language-review
current	pending-language-review
cursor	pending-language-review
cwd	pending-language-review
decoded	pending-language-review
define	c-or-preprocessor-syntax
delimiters	pending-language-review
dest_addr	pending-language-review
dest_len	pending-language-review
destination	pending-language-review
dev_t	pending-language-review
digit	pending-language-review
digit_value	pending-language-review
div	pending-language-review
div_t	pending-language-review
do	c-or-preprocessor-syntax
domain	pending-language-review
dup	pending-language-review
dup2	pending-language-review
element_size	pending-language-review
elements	pending-language-review
else	c-or-preprocessor-syntax
end_pointer	pending-language-review
endif	c-or-preprocessor-syntax
enum	c-or-preprocessor-syntax
environ	pending-language-review
envp	pending-language-review
errno	pending-language-review
execve	pending-language-review
expected_errno	pending-language-review
extern	c-or-preprocessor-syntax
failed_with	pending-language-review
failure	pending-language-review
failures	pending-language-review
fcntl	pending-language-review
fd	pending-language-review
first	pending-language-review
first_match	pending-language-review
flags	pending-language-review
for	c-or-preprocessor-syntax
fork	pending-language-review
found	pending-language-review
free	pending-language-review
fstat	pending-language-review
fsync	pending-language-review
getcwd	pending-language-review
getegid	pending-language-review
getenv	pending-language-review
geteuid	pending-language-review
getgid	pending-language-review
getpeername	pending-language-review
getpid	pending-language-review
getppid	pending-language-review
getsockname	pending-language-review
getuid	pending-language-review
gid_t	pending-language-review
goto	c-or-preprocessor-syntax
heap_block	pending-language-review
heap_head	pending-language-review
high	pending-language-review
hole	pending-language-review
hostlong	pending-language-review
hostshort	pending-language-review
how	pending-language-review
htonl	pending-language-review
htons	pending-language-review
i	pending-language-review
if	c-or-preprocessor-syntax
ifdef	c-or-preprocessor-syntax
ifndef	c-or-preprocessor-syntax
in_addr	pending-language-review
in_addr_t	pending-language-review
in_port_t	pending-language-review
include	c-or-preprocessor-syntax
increment	pending-language-review
index	pending-language-review
ino_t	pending-language-review
input	pending-language-review
int	c-or-preprocessor-syntax
int16_t	pending-language-review
int32_t	pending-language-review
int64_t	pending-language-review
int8_t	pending-language-review
intptr_t	pending-language-review
is_unsigned	pending-language-review
isalnum	pending-language-review
isalpha	pending-language-review
isatty	pending-language-review
isblank	pending-language-review
iscntrl	pending-language-review
isdigit	pending-language-review
isgraph	pending-language-review
islower	pending-language-review
isprint	pending-language-review
ispunct	pending-language-review
isspace	pending-language-review
isupper	pending-language-review
isxdigit	pending-language-review
iteration	pending-language-review
labs	pending-language-review
last_block	pending-language-review
ldiv	pending-language-review
ldiv_t	pending-language-review
left	pending-language-review
length	pending-language-review
length_of	pending-language-review
level	pending-language-review
limit	pending-language-review
listen	pending-language-review
loaded	pending-language-review
long	c-or-preprocessor-syntax
low	pending-language-review
lseek	pending-language-review
lstat	pending-language-review
m	pending-language-review
machine	pending-language-review
magnitude	pending-language-review
main	abi-entry-or-explicit-neutral-name
malloc	pending-language-review
maximum	pending-language-review
memchr	pending-language-review
memcmp	pending-language-review
memcpy	pending-language-review
memmove	pending-language-review
memory	pending-language-review
memset	pending-language-review
message	pending-language-review
middle	pending-language-review
mode	pending-language-review
mode_t	pending-language-review
n	pending-language-review
name	pending-language-review
negative	pending-language-review
netlong	pending-language-review
netshort	pending-language-review
newfd	pending-language-review
next_block	pending-language-review
nlink_t	pending-language-review
nodename	pending-language-review
noreturn	c-or-preprocessor-syntax
ntohl	pending-language-review
ntohs	pending-language-review
number	pending-language-review
off_t	pending-language-review
offset	pending-language-review
oflag	pending-language-review
old	pending-language-review
oldfd	pending-language-review
open	pending-language-review
option_len	pending-language-review
option_name	pending-language-review
option_value	pending-language-review
options	pending-language-review
overflow	pending-language-review
padding	pending-language-review
parent	pending-language-review
parse_unsigned	pending-language-review
pass	pending-language-review
passed	pending-language-review
path	pending-language-review
pid	pending-language-review
pid_t	pending-language-review
posix_compile_test	pending-language-review
posix_test_heap	pending-language-review
posix_test_process	pending-language-review
private_value	pending-language-review
protocol	pending-language-review
ptrdiff_t	pending-language-review
qsort	pending-language-review
quot	pending-language-review
radix	pending-language-review
raw	pending-language-review
realloc	pending-language-review
reap_nohang	pending-language-review
recv	pending-language-review
recvfrom	pending-language-review
release	pending-language-review
rem	pending-language-review
report	pending-language-review
requested	pending-language-review
result	pending-language-review
return	c-or-preprocessor-syntax
right	pending-language-review
root	pending-language-review
s	pending-language-review
s_addr	pending-language-review
sa_data	pending-language-review
sa_family	pending-language-review
sa_family_t	pending-language-review
saved_environment	pending-language-review
saved_state	pending-language-review
say	pending-language-review
sbrk	pending-language-review
second	pending-language-review
send	pending-language-review
sendto	pending-language-review
server	pending-language-review
server_address	pending-language-review
setsockopt	pending-language-review
short	c-or-preprocessor-syntax
shutdown	pending-language-review
sift_down	pending-language-review
signed	c-or-preprocessor-syntax
sin_addr	pending-language-review
sin_family	pending-language-review
sin_port	pending-language-review
sin_zero	pending-language-review
size	pending-language-review
size_t	pending-language-review
