english	localized	language
a	a	dv
access	access	dv
ack	ack	dv
activate	activate	dv
active	active	dv
add	add	dv
addend	addend	dv
addr	addr	dv
addralign	addralign	dv
address	address	dv
advanced	advanced	dv
af	af	dv
after	after	dv
align	align	dv
aligned	aligned	dv
alignment	alignment	dv
all	all	dv
alloc	alloc	dv
allocate	allocate	dv
allocated	allocated	dv
am	am	dv
amd	amd	dv
amount	amount	dv
and	and	dv
append	append	dv
args	args	dv
argument	argument	dv
arguments	arguments	dv
arp	arp	dv
arp콘솔	arp콘솔	dv
array	array	dv
assembly	assembly	dv
at	at	dv
ata	ata	dv
atime	atime	dv
attachment	attachment	dv
attempts	attempts	dv
attr	attr	dv
attribute	attribute	dv
attributes	attributes	dv
aux	aux	dv
avail	avail	dv
available	available	dv
b	b	dv
ba	ba	dv
back	back	dv
backend	backend	dv
backup	backup	dv
bar	bar	dv
base	base	dv
be	be	dv
bh	bh	dv
big	big	dv
bind	bind	dv
bios	bios	dv
bit	bit	dv
bitmap	bitmap	dv
bitmasp	bitmasp	dv
bits	bits	dv
blksize	blksize	dv
block	block	dv
blocked	blocked	dv
blocking	blocking	dv
blocks	blocks	dv
boot	boot	dv
bootable	bootable	dv
bootloader	bootloader	dv
bound	bound	dv
bpb	bpb	dv
break	break	dv
brk	brk	dv
broadcast	broadcast	dv
buf	buf	dv
buffer	buffer	dv
buffers	buffers	dv
bufptr	bufptr	dv
bus	bus	dv
button	button	dv
buttons	buttons	dv
by	by	dv
byte	byte	dv
bytes	bytes	dv
c	c	dv
cache	cache	dv
call	call	dv
candidate	candidate	dv
cap	cap	dv
capable	capable	dv
card	card	dv
central	central	dv
char	char	dv
chdir	chdir	dv
check	check	dv
checked	checked	dv
checksum	checksum	dv
child	child	dv
chunk	chunk	dv
class	class	dv
clear	clear	dv
cloexec	cloexec	dv
clone	clone	dv
close	close	dv
cluster	cluster	dv
cmp	cmp	dv
code	code	dv
col	col	dv
color	color	dv
colordepth	colordepth	dv
command	command	dv
commandport	commandport	dv
common	common	dv
component	component	dv
connect	connect	dv
connected	connected	dv
console	console	dv
constant	constant	dv
contains	contains	dv
contents	contents	dv
control	control	dv
controller	controller	dv
coordinate	coordinate	dv
copies	copies	dv
copy	copy	dv
count	count	dv
cow	cow	dv
cpu	cpu	dv
cpustate	cpustate	dv
cpy	cpy	dv
cr	cr	dv
creat	creat	dv
create	create	dv
crtc	crtc	dv
cs	cs	dv
ctime	ctime	dv
cur	cur	dv
current	current	dv
cursor	cursor	dv
cylinder	cylinder	dv
d	d	dv
data	data	dv
databuffer	databuffer	dv
datagram	datagram	dv
dataport	dataport	dv
date	date	dv
deactivate	deactivate	dv
deactive	deactive	dv
debug	debug	dv
decrement	decrement	dv
default	default	dv
delete	delete	dv
delta	delta	dv
