english	localized	language
a	а	mk
access	пристап	mk
ack	ack	mk
activate	Активирај	mk
active	активно	mk
add	Додај	mk
addend	addend	mk
addr	addr	mk
addralign	addralign	mk
address	address	mk
advanced	Напредно	mk
af	af	mk
after	after	mk
align	Подреди	mk
aligned	aligned	mk
alignment	alignment	mk
all	Сѐ	mk
alloc	alloc	mk
allocate	allocate	mk
allocated	allocated	mk
am	am	mk
amd	amd	mk
amount	Сума	mk
and	and	mk
append	append	mk
args	args	mk
argument	argument	mk
arguments	Аргументи	mk
arp	arp	mk
arp콘솔	arp콘솔	mk
array	Построи	mk
assembly	assembly	mk
at	at	mk
ata	ata	mk
atime	atime	mk
attachment	attachment	mk
attempts	attempts	mk
attr	attr	mk
attribute	атрибут	mk
attributes	attributes	mk
aux	aux	mk
avail	avail	mk
available	Достапно	mk
b	b	mk
ba	ba	mk
back	Назад	mk
backend	backend	mk
backup	backup	mk
bar	Лента	mk
base	base	mk
be	be	mk
bh	bh	mk
big	big	mk
bind	bind	mk
bios	bios	mk
bit	bit	mk
bitmap	bitmap	mk
bitmasp	bitmasp	mk
bits	bits	mk
blksize	blksize	mk
block	block	mk
blocked	blocked	mk
blocking	blocking	mk
blocks	Соблокови	mk
boot	boot	mk
bootable	bootable	mk
bootloader	bootloader	mk
bound	bound	mk
bpb	bpb	mk
break	break	mk
brk	brk	mk
broadcast	broadcast	mk
buf	buf	mk
buffer	buffer	mk
buffers	Бафери	mk
bufptr	bufptr	mk
bus	bus	mk
button	button	mk
buttons	buttons	mk
by	by	mk
byte	byte	mk
bytes	бајти	mk
c	c	mk
cache	cache	mk
call	call	mk
candidate	candidate	mk
cap	cap	mk
capable	capable	mk
card	Карти	mk
central	central	mk
char	char	mk
chdir	chdir	mk
check	check	mk
checked	checked	mk
checksum	checksum	mk
child	дете	mk
chunk	chunk	mk
class	Класа	mk
clear	Исчисти	mk
cloexec	cloexec	mk
clone	clone	mk
close	Затвори	mk
cluster	cluster	mk
cmp	cmp	mk
code	code	mk
col	col	mk
color	Боја	mk
colordepth	colordepth	mk
command	Команда	mk
commandport	commandport	mk
common	Вообичаено	mk
component	component	mk
connect	Врзисе	mk
connected	connected	mk
console	console	mk
constant	Константа	mk
contains	contains	mk
contents	Содржини	mk
control	control	mk
controller	controller	mk
coordinate	coordinate	mk
copies	copies	mk
copy	Копирај	mk
count	count	mk
cow	cow	mk
cpu	cpu	mk
cpustate	cpustate	mk
cpy	cpy	mk
cr	cr	mk
creat	creat	mk
create	create	mk
crtc	crtc	mk
cs	cs	mk
ctime	ctime	mk
cur	cur	mk
current	current	mk
cursor	cursor	mk
cylinder	cylinder	mk
d	d	mk
data	data	mk
databuffer	databuffer	mk
datagram	datagram	mk
dataport	dataport	mk
date	Датум	mk
deactivate	Деактивирај	mk
deactive	deactive	mk
debug	debug	mk
decrement	decrement	mk
default	Стандардно	mk
delete	Избриши	mk
delta	delta	mk
depth	depth	mk
desc	desc	mk
descr	descr	mk
description	Опис	mk
descriptor	descriptor	mk
descriptors	descriptors	mk
descsz	descsz	mk
destination	Одредиште	mk
destroy	destroy	mk
dev	dev	mk
device	Уред	mk
diff	diff	mk
digits	digits	mk
dir	dir	mk
directory	Директориум	mk
dirent	dirent	mk
disable	disable	mk
discard	discard	mk
disconnect	Одврзисе	mk
dispatch	dispatch	mk
divide	divide	mk
divisor	divisor	mk
do	do	mk
domain	Домен	mk
double	double	mk
down	Долу	mk
draw	draw	mk
drive	drive	mk
driver	driver	mk
drivercount	drivercount	mk
drivers	drivers	mk
drv	drv	mk
ds	ds	mk
dst	dst	mk
dstptr	dstptr	mk
dup	dup	mk
