english	localized	language
a	a	my
access	access	my
ack	ack	my
activate	activate	my
active	active	my
add	add	my
addend	addend	my
addr	addr	my
addralign	addralign	my
address	address	my
advanced	advanced	my
af	af	my
after	after	my
align	align	my
aligned	aligned	my
alignment	alignment	my
all	all	my
alloc	alloc	my
allocate	allocate	my
allocated	allocated	my
am	am	my
amd	amd	my
amount	amount	my
and	and	my
append	append	my
args	args	my
argument	argument	my
arguments	arguments	my
arp	arp	my
arp콘솔	arp콘솔	my
array	array	my
assembly	assembly	my
at	at	my
ata	ata	my
atime	atime	my
attachment	attachment	my
attempts	attempts	my
attr	attr	my
attribute	attribute	my
attributes	attributes	my
aux	aux	my
avail	avail	my
available	available	my
b	b	my
ba	ba	my
back	back	my
backend	backend	my
backup	backup	my
bar	bar	my
base	base	my
be	be	my
bh	bh	my
big	big	my
bind	bind	my
bios	bios	my
bit	bit	my
bitmap	bitmap	my
bitmasp	bitmasp	my
bits	bits	my
blksize	blksize	my
block	block	my
blocked	blocked	my
blocking	blocking	my
blocks	blocks	my
boot	boot	my
bootable	bootable	my
bootloader	bootloader	my
bound	bound	my
bpb	bpb	my
break	break	my
brk	brk	my
broadcast	broadcast	my
buf	buf	my
buffer	buffer	my
buffers	buffers	my
bufptr	bufptr	my
bus	bus	my
button	button	my
buttons	buttons	my
by	by	my
byte	byte	my
bytes	bytes	my
c	c	my
cache	cache	my
call	call	my
candidate	candidate	my
cap	cap	my
capable	capable	my
card	card	my
central	central	my
char	char	my
chdir	chdir	my
check	check	my
checked	checked	my
checksum	checksum	my
child	child	my
chunk	chunk	my
class	class	my
clear	clear	my
cloexec	cloexec	my
clone	clone	my
close	close	my
cluster	cluster	my
cmp	cmp	my
code	code	my
col	col	my
color	color	my
colordepth	colordepth	my
command	command	my
commandport	commandport	my
common	common	my
component	component	my
connect	connect	my
connected	connected	my
console	console	my
constant	constant	my
contains	contains	my
contents	contents	my
control	control	my
controller	controller	my
coordinate	coordinate	my
copies	copies	my
copy	copy	my
count	count	my
cow	cow	my
cpu	cpu	my
cpustate	cpustate	my
cpy	cpy	my
cr	cr	my
creat	creat	my
create	create	my
crtc	crtc	my
cs	cs	my
ctime	ctime	my
cur	cur	my
current	current	my
cursor	cursor	my
cylinder	cylinder	my
d	d	my
data	data	my
databuffer	databuffer	my
datagram	datagram	my
dataport	dataport	my
date	date	my
deactivate	deactivate	my
deactive	deactive	my
debug	debug	my
decrement	decrement	my
default	default	my
delete	delete	my
delta	delta	my
depth	depth	my
desc	desc	my
descr	descr	my
description	description	my
descriptor	descriptor	my
descriptors	descriptors	my
descsz	descsz	my
destination	destination	my
destroy	destroy	my
dev	dev	my
device	device	my
diff	diff	my
digits	digits	my
dir	dir	my
directory	directory	my
dirent	dirent	my
disable	disable	my
discard	discard	my
disconnect	disconnect	my
dispatch	dispatch	my
divide	divide	my
divisor	divisor	my
do	do	my
domain	domain	my
double	double	my
down	down	my
draw	draw	my
drive	drive	my
driver	driver	my
drivercount	drivercount	my
drivers	drivers	my
drv	drv	my
ds	ds	my
dst	dst	my
dstptr	dstptr	my
dup	dup	my
dword	dword	my
dyn	dyn	my
dynamic	dynamic	my
e	e	my
eacces	eacces	my
eaddrinuse	eaddrinuse	my
eafnosupport	eafnosupport	my
eagain	eagain	my
eax	eax	my
ebadf	ebadf	my
ebp	ebp	my
ebusy	ebusy	my
ebx	ebx	my
echild	echild	my
echo	echo	my
ecx	ecx	my
edi	edi	my
edx	edx	my
eexist	eexist	my
ef	ef	my
efault	efault	my
efbig	efbig	my
eflags	eflags	my
ehsize	ehsize	my
eintr	eintr	my
einval	einval	my
eio	eio	my
eip	eip	my
eisdir	eisdir	my
elf	elf	my
emfile	emfile	my
empty	empty	my
emsgsize	emsgsize	my
enable	enable	my
enabled	enabled	my
end	end	my
enetunreach	enetunreach	my
enfile	enfile	my
enodev	enodev	my
enoent	enoent	my
enoexec	enoexec	my
enomem	enomem	my
enospc	enospc	my
enosys	enosys	my
enotconn	enotconn	my
enotdir	enotdir	my
enotty	enotty	my
ensure	ensure	my
entries	entries	my
entry	entry	my
entrypoint	entrypoint	my
entsize	entsize	my
environment	environment	my
eopnotsupp	eopnotsupp	my
eperm	eperm	my
ephemeral	ephemeral	my
eprotonosupport	eprotonosupport	my
equal	equal	my
erange	erange	my
erofs	erofs	my
err	err	my
error	error	my
errorln	errorln	my
es	es	my
esi	esi	my
esp	esp	my
espipe	espipe	my
esrch	esrch	my
ether	ether	my
etherframe	etherframe	my
ethernet	ethernet	my
event	event	my
events	events	my
exceeded	exceeded	my
except	except	my
exception	exception	my
exec	exec	my
execve	execve	my
exists	exists	my
exit	exit	my
exited	exited	my
ext	ext	my
extended	extended	my
f	f	my
family	family	my
fat	fat	my
fatal	fatal	my
fatbuf	fatbuf	my
fatbuffer	fatbuffer	my
fault	fault	my
fb	fb	my
fcntl	fcntl	my
fd	fd	my
fds	fds	my
field	field	my
file	file	my
filename	filename	my
files	files	my
filesz	filesz	my
fill	fill	my
find	find	my
first	first	my
fl	fl	my
flag	flag	my
flags	flags	my
floating	floating	my
flush	flush	my
fn	fn	my
focus	focus	my
focussable	focussable	my
foo	foo	my
for	for	my
forced	forced	my
fork	fork	my
found	found	my
fp	fp	my
fpu	fpu	my
frame	frame	my
free	free	my
frequency	frequency	my
from	from	my
front	front	my
fs	fs	my
fstat	fstat	my
fsync	fsync	my
fuction	fuction	my
full	full	my
func	func	my
function	function	my
functions	functions	my
fxrstor	fxrstor	my
fxsave	fxsave	my
g	g	my
gate	gate	my
gateway	gateway	my
gb	gb	my
gdt	gdt	my
get	get	my
getcwd	getcwd	my
getegid	getegid	my
geteuid	geteuid	my
getgid	getgid	my
getpid	getpid	my
getppid	getppid	my
getuid	getuid	my
gid	gid	my
global	global	my
got	got	my
gpf	gpf	my
gran	gran	my
graphics	graphics	my
grub	grub	my
gs	gs	my
h	h	my
halt	halt	my
handle	handle	my
handler	handler	my
handlers	handlers	my
hardware	hardware	my
has	has	my
hd	hd	my
head	head	my
header	header	my
headertype	headertype	my
heap	heap	my
height	height	my
helper	helper	my
hex	hex	my
hex출력	hex출력	my
hi	hi	my
hidden	hidden	my
high	high	my
hop	hop	my
i	i	my
icmp	icmp	my
icmp콘솔	icmp콘솔	my
id	id	my
ident	ident	my
identify	identify	my
idt	idt	my
idx	idx	my
ifchr	ifchr	my
ifdir	ifdir	my
ifmt	ifmt	my
ifreg	ifreg	my
ifsock	ifsock	my
in	in	my
increment	increment	my
index	index	my
inet	inet	my
info	info	my
init	init	my
initial	initial	my
initialization	initialization	my
initialize	initialize	my
ino	ino	my
inode	inode	my
input	input	my
install	install	my
int	int	my
interconnect	interconnect	my
interface	interface	my
internet	internet	my
internetprotocol	internetprotocol	my
interrupt	interrupt	my
interrupts	interrupts	my
invalid	invalid	my
io	io	my
iomap	iomap	my
ip	ip	my
ipci	ipci	my
ipmessage	ipmessage	my
ipv	ipv	my
ip콘솔	ip콘솔	my
iret	iret	my
is	is	my
ist	ist	my
j	j	my
jmp	jmp	my
jump	jump	my
k	k	my
kb	kb	my
kcs	kcs	my
kds	kds	my
kernel	kernel	my
key	key	my
keyboard	keyboard	my
kgs	kgs	my
kind	kind	my
k핵심	k핵심	my
l	l	my
label	label	my
last	last	my
lba	lba	my
ldt	ldt	my
left	left	my
len	len	my
length	length	my
lengths	lengths	my
level	level	my
lib	lib	my
lidt	lidt	my
lidtaddr	lidtaddr	my
limit	limit	my
line	line	my
link	link	my
linked	linked	my
linker	linker	my
list	list	my
listen	listen	my
listening	listening	my
live	live	my
load	load	my
loader	loader	my
local	local	my
log	log	my
logical	logical	my
loop	loop	my
low	low	my
lseek	lseek	my
lstat	lstat	my
m	m	my
mac	mac	my
machine	machine	my
magicnumber	magicnumber	my
main	ahtika	my
make	make	my
malloc	malloc	my
manager	manager	my
map	map	my
mask	mask	my
master	master	my
matches	matches	my
max	max	my
maximum	maximum	my
mb	mb	my
mbr	mbr	my
media	media	my
mem	mem	my
memory	memory	my
memorymananger	memorymananger	my
memorytest	memorytest	my
memsz	memsz	my
mesg	mesg	my
message	message	my
mics	mics	my
mid	mid	my
minimum	minimum	my
mode	mode	my
model	model	my
mouse	mouse	my
mousemove	mousemove	my
move	move	my
msdospart	msdospart	my
msg	msg	my
mtime	mtime	my
multi	multi	my
multiboot	multiboot	my
