original	localized	language
Activate	Pokreni	sr_Latn
ActivateAll	PokreniSve	sr_Latn
Active	Aktivna	sr_Latn
ActiveInterruptManager	AktivnaОметањеmanager	sr_Latn
ActiveMemoryManager	AktivnaMemorijamanager	sr_Latn
Add	Додај	sr_Latn
AddDriver	Додајdriver	sr_Latn
AddRunnableThread	Додајrunnablethread	sr_Latn
AddTask	ДодајЗадатак	sr_Latn
AddThread	Додајthread	sr_Latn
Address	Address	sr_Latn
AlignedMalloc	Alignedmalloc	sr_Latn
AlignmentCheck	Alignmentcheck	sr_Latn
AllocateBlock	AllocateBlok	sr_Latn
AllocatePID	AllocateПИД	sr_Latn
AmountOfMemory	IznosodMemorija	sr_Latn
ArrayToUint16	Низtounsignedinteger16	sr_Latn
ArrayToUint32	Низtounsignedinteger32	sr_Latn
ArrayToUint48	Низtounsignedinteger48	sr_Latn
ArrayToUint48_BE	Низtounsignedinteger48be	sr_Latn
ArrayToUint64	Низtounsignedinteger64	sr_Latn
Atime	Atime	sr_Latn
AtimeNsec	Atimensec	sr_Latn
BLOCKS_PER_BYTE	Blokperbyte	sr_Latn
BLOCK_SIZE	BlokВеличина	sr_Latn
Backend	Backend	sr_Latn
BaseAddr	Baseaddress	sr_Latn
Bind	Bind	sr_Latn
Blksize	Blksize	sr_Latn
Blocked	Blocked	sr_Latn
BlockedState	BlockedСтање	sr_Latn
Blocks	Blok	sr_Latn
BoundRangeExceeded	BoundOpsegexceeded	sr_Latn
BroadcastMacAddress	Broadcastmacaddress	sr_Latn
BytesPerSector	Bajtovapersector	sr_Latn
BytesToString	Bajtovatoниска	sr_Latn
Checksum	Checksum	sr_Latn
Clear	Очисти	sr_Latn
Clone	Clone	sr_Latn
CloneAddressSpaceCOW	Cloneaddressrazmakcow	sr_Latn
Connect	Povežise	sr_Latn
ContainsCoordinate	Containscoordinate	sr_Latn
CopyPageFrameBlock	УмножиlistOkvirBlok	sr_Latn
CpuState	ПроцесорСтање	sr_Latn
Create	Create	sr_Latn
CreateFromData	Createsadata	sr_Latn
CreateFromFunction	Createsaфункција	sr_Latn
CreatePtrFromFunction	CreatePokazivačsaфункција	sr_Latn
Cs	Cs	sr_Latn
Ctime	Ctime	sr_Latn
CtimeNsec	Ctimensec	sr_Latn
CurrentPID	ТренутноПИД	sr_Latn
CurrentParentPID	ТренутноnadređeniПИД	sr_Latn
Data	Data	sr_Latn
Deactivate	Obustavi	sr_Latn
Deactive	Deactive	sr_Latn
Decrement	Decrement	sr_Latn
Delete	Обриши	sr_Latn
DescriptorPrivilegeLevel	Descriptorprivilegelevel	sr_Latn
DescriptorType	DescriptorВрста	sr_Latn
Destroy	Уништи	sr_Latn
Dev	Уређај	sr_Latn
DeviceHasFunctions	УређајХасФункције	sr_Latn
DeviceNotAvailable	УређајnotRaspoloživo	sr_Latn
Device_id	УређајIB	sr_Latn
DisableInt	ИскључиЦелиброј	sr_Latn
Disconnect	Prekinivezu	sr_Latn
DivideByZero	Dividebyzero	sr_Latn
DoHandleInterrupt	DoРучкаОметање	sr_Latn
DoubleFault	Двострукоfault	sr_Latn
Draw	Draw	sr_Latn
DriverManager	Drivermanager	sr_Latn
Ds	Ds	sr_Latn
Dynamic	Rastegǉivo	sr_Latn
E2BIG	E2big	sr_Latn
EACCES	Eacces	sr_Latn
EADDRINUSE	Eaddrinuse	sr_Latn
EAFNOSUPPORT	Eafnosupport	sr_Latn
EAGAIN	Eagain	sr_Latn
EBADF	Ebadf	sr_Latn
EBUSY	Ebusy	sr_Latn
ECHILD	Echild	sr_Latn
EEXIST	Eexist	sr_Latn
EFAULT	Efault	sr_Latn
EFBIG	Efbig	sr_Latn
EINTR	Eintr	sr_Latn
EINVAL	Einval	sr_Latn
EIO	Eio	sr_Latn
EISDIR	Eisdir	sr_Latn
EMFILE	Emfile	sr_Latn
EMSGSIZE	Emsgsize	sr_Latn
ENETUNREACH	Enetunreach	sr_Latn
ENFILE	Enfile	sr_Latn
ENODEV	Enodev	sr_Latn
ENOENT	Enoent	sr_Latn
ENOEXEC	Enoexec	sr_Latn
ENOMEM	Enomem	sr_Latn
ENOSPC	Enospc	sr_Latn
ENOSYS	Enosys	sr_Latn
ENOTCONN	Enotconn	sr_Latn
ENOTDIR	Enotdir	sr_Latn
ENOTTY	Enotty	sr_Latn
EOPNOTSUPP	Eopnotsupp	sr_Latn
EPERM	Eperm	sr_Latn
EPROTONOSUPPORT	Eprotonosupport	sr_Latn
