original	localized	language
Activate	Activate	en
ActivateAll	Activateall	en
Active	Active	en
ActiveInterruptManager	Activeinterruptmanager	en
ActiveMemoryManager	Activememorymanager	en
Add	Add	en
AddDriver	Adddriver	en
AddRunnableThread	Addrunnablethread	en
AddTask	Addtask	en
AddThread	Addthread	en
Address	Address	en
AlignedMalloc	Alignedmalloc	en
AlignmentCheck	Alignmentcheck	en
AllocateBlock	Allocateblock	en
AllocatePID	Allocatepid	en
AmountOfMemory	Amountofmemory	en
ArrayToUint16	Arraytounsignedinteger16	en
ArrayToUint32	Arraytounsignedinteger32	en
ArrayToUint48	Arraytounsignedinteger48	en
ArrayToUint48_BE	Arraytounsignedinteger48be	en
ArrayToUint64	Arraytounsignedinteger64	en
Atime	Atime	en
AtimeNsec	Atimensec	en
BLOCKS_PER_BYTE	Blockperbyte	en
BLOCK_SIZE	Blocksize	en
Backend	Backend	en
BaseAddr	Baseaddress	en
Bind	Bind	en
Blksize	Blksize	en
Blocked	Blocked	en
BlockedState	Blockedstate	en
Blocks	Block	en
BoundRangeExceeded	Boundrangeexceeded	en
BroadcastMacAddress	Broadcastmacaddress	en
BytesPerSector	Bytespersector	en
BytesToString	Bytestostring	en
Checksum	Checksum	en
Clear	Clear	en
Clone	Clone	en
CloneAddressSpaceCOW	Cloneaddressspacecow	en
Connect	Connect	en
ContainsCoordinate	Containscoordinate	en
CopyPageFrameBlock	Copypageframeblock	en
CpuState	Cpustate	en
Create	Create	en
CreateFromData	Createfromdata	en
CreateFromFunction	Createfromfunction	en
CreatePtrFromFunction	Createpointerfromfunction	en
Cs	Cs	en
Ctime	Ctime	en
CtimeNsec	Ctimensec	en
CurrentPID	Currentpid	en
CurrentParentPID	Currentparentpid	en
Data	Data	en
Deactivate	Deactivate	en
Deactive	Deactive	en
Decrement	Decrement	en
Delete	Delete	en
DescriptorPrivilegeLevel	Descriptorprivilegelevel	en
DescriptorType	Descriptortype	en
Destroy	Destroy	en
Dev	Device	en
DeviceHasFunctions	Devicehasfunctions	en
DeviceNotAvailable	Devicenotavailable	en
Device_id	Deviceid	en
DisableInt	Disableint	en
Disconnect	Disconnect	en
DivideByZero	Dividebyzero	en
DoHandleInterrupt	Dohandleinterrupt	en
DoubleFault	Doublefault	en
Draw	Draw	en
DriverManager	Drivermanager	en
Ds	Ds	en
Dynamic	Dynamic	en
E2BIG	E2big	en
EACCES	Eacces	en
EADDRINUSE	Eaddrinuse	en
EAFNOSUPPORT	Eafnosupport	en
EAGAIN	Eagain	en
EBADF	Ebadf	en
EBUSY	Ebusy	en
ECHILD	Echild	en
EEXIST	Eexist	en
EFAULT	Efault	en
EFBIG	Efbig	en
EINTR	Eintr	en
EINVAL	Einval	en
EIO	Eio	en
EISDIR	Eisdir	en
EMFILE	Emfile	en
EMSGSIZE	Emsgsize	en
ENETUNREACH	Enetunreach	en
ENFILE	Enfile	en
ENODEV	Enodev	en
ENOENT	Enoent	en
ENOEXEC	Enoexec	en
ENOMEM	Enomem	en
ENOSPC	Enospc	en
ENOSYS	Enosys	en
ENOTCONN	Enotconn	en
ENOTDIR	Enotdir	en
ENOTTY	Enotty	en
EOPNOTSUPP	Eopnotsupp	en
EPERM	Eperm	en
EPROTONOSUPPORT	Eprotonosupport	en
ERANGE	Erange	en
EROFS	Erofs	en
ESPIPE	Espipe	en
ESRCH	Esrch	en
Eax	Eax	en
Ebp	Ebp	en
Ebx	Ebx	en
Ecx	Ecx	en
Edi	Edi	en
Edx	Edx	en
Eflags	Eflags	en
Eip	Eip	en
Elf	Elf	en
Elf32Dyn	Elf32dyn	en
Elf32Note	Elf32note	en
Elf32Rel	Elf32rel	en
Elf32Rela	Elf32rela	en
Elf32Sym	Elf32sym	en
ElfHeader	Elfheader	en
ElfProgramHeader	Elfprogramheader	en
ElfSectionHeader	Elfsectionheader	en
EnablePaging	Enablepaging	en
Enabled	Enabled	en
EntryNumber	Entrynumber	en
EqualBytes	Equalbytes	en
Es	Es	en
Esi	Esi	en
Esp	Esp	en
FPUBuffer	Fpubuffer	en
