compiler_identifier	native_identifier	status
INPUT_LINE_CAPACITY	kapasiti_baris_masukan	project-proposal
MAX_ARGUMENT_COUNT	bilangan_argumen_maksimum	project-proposal
MAX_SCRIPT_DEPTH	kedalaman_fail_perintah_maksimum	project-proposal
argument_count	bilangan_argumen	project-proposal
arguments	argumen	project-proposal
buffer	penimbal_pemindahan	project-proposal
bytes_read	bait_dibaca	project-proposal
bytes_written	bilangan_bait_ditulis	project-proposal
capacity	kapasiti	project-proposal
character	aksara	project-proposal
child_pid	pengenal_proses_anak	project-proposal
cleanup	tutup_hujung_komunikasi	project-proposal
command	perintah	project-proposal
command_aliases	nama_perintah_tempatan	project-proposal
command_cat	paparkan_kandungan_fail	project-proposal
command_echo	paparkan_argumen	project-proposal
command_matches	perintah_sepadan	project-proposal
command_names	perintah_rujukan	project-proposal
command_pid	paparkan_pengenal_proses	project-proposal
command_pwd	paparkan_direktori_semasa	project-proposal
command_run	jalankan_atur_cara	project-proposal
command_source	tafsirkan_fail_perintah	project-proposal
command_stat	paparkan_maklumat_fail	project-proposal
command_udp	uji_pengembalian_datagram	project-proposal
command_uname	paparkan_identiti_sistem	project-proposal
current	kedudukan_semasa	project-proposal
digit_text	aksara_digit	project-proposal
file_descriptor	pemerihal_fail	project-proposal
file_name	nama_fail	project-proposal
input	masukan	project-proposal
input_descriptor	pemerihal_masukan	project-proposal
input_line	baris_masukan	project-proposal
input_stream	aliran_masukan	project-proposal
left	kiri	project-proposal
length	panjang	project-proposal
message	mesej	project-proposal
message_length	panjang_mesej_dalam_bait	project-proposal
name	identiti_sistem	project-proposal
number	magnitud_tanpa_tanda	project-proposal
operation	operasi	project-proposal
output	kedudukan_keluaran	project-proposal
overflow	baris_masukan_tidak_sah	project-proposal
path	laluan	project-proposal
position	kedudukan	project-proposal
print_help	paparkan_bantuan	project-proposal
quote	tanda_petik	project-proposal
read_line	baca_baris_masukan	project-proposal
receive_address	alamat_penerima	project-proposal
receive_socket	hujung_komunikasi_penerima	project-proposal
received_data	data_diterima	project-proposal
received_length	bilangan_bait_diterima	project-proposal
right	kanan	project-proposal
run_input	tafsirkan_masukan	project-proposal
script_depth	kedalaman_fail_perintah	project-proposal
send_socket	hujung_komunikasi_penghantar	project-proposal
size	bilangan_digit	project-proposal
source_address	alamat_penghantar	project-proposal
source_address_length	panjang_alamat_penghantar	project-proposal
split_arguments	pisahkan_argumen	project-proposal
status	keadaan	project-proposal
text	teks	project-proposal
text_equal	teks_sama	project-proposal
text_length	panjang_teks_dalam_bait	project-proposal
value	nilai	project-proposal
wait_status	keadaan_penamatan_proses_anak	project-proposal
write_error	laporkan_ralat	project-proposal
write_integer	tulis_nombor_bulat	project-proposal
write_text	tulis_teks	project-proposal
