identifier	status
CHAR_BIT	pending-language-review
CHAR_MAX	pending-language-review
CHAR_MIN	pending-language-review
CHECK	pending-language-review
E2BIG	pending-language-review
EACCES	pending-language-review
EADDRINUSE	pending-language-review
EAFNOSUPPORT	pending-language-review
EAGAIN	pending-language-review
EBADF	pending-language-review
EBUSY	pending-language-review
ECHILD	pending-language-review
EEXIST	pending-language-review
EFAULT	pending-language-review
EFBIG	pending-language-review
EINTR	pending-language-review
EINVAL	pending-language-review
EIO	pending-language-review
EISDIR	pending-language-review
EMFILE	pending-language-review
EMSGSIZE	pending-language-review
ENETUNREACH	pending-language-review
ENFILE	pending-language-review
ENODEV	pending-language-review
ENOENT	pending-language-review
ENOEXEC	pending-language-review
ENOMEM	pending-language-review
ENOSPC	pending-language-review
ENOSYS	pending-language-review
ENOTCONN	pending-language-review
ENOTDIR	pending-language-review
ENOTTY	pending-language-review
EOPNOTSUPP	pending-language-review
EPERM	pending-language-review
EPROTONOSUPPORT	pending-language-review
ERANGE	pending-language-review
EROFS	pending-language-review
ESPIPE	pending-language-review
ESRCH	pending-language-review
EXIT_FAILURE	pending-language-review
EXIT_SUCCESS	pending-language-review
FD_CLOEXEC	pending-language-review
F_DUPFD	pending-language-review
F_GETFD	pending-language-review
F_GETFL	pending-language-review
F_OK	pending-language-review
F_SETFD	pending-language-review
F_SETFL	pending-language-review
INT_MAX	pending-language-review
INT_MIN	pending-language-review
LLONG_MAX	pending-language-review
LLONG_MIN	pending-language-review
LONG_MAX	pending-language-review
LONG_MIN	pending-language-review
NULL	pending-language-review
O_ACCMODE	pending-language-review
O_APPEND	pending-language-review
O_CREAT	pending-language-review
O_DIRECTORY	pending-language-review
O_EXCL	pending-language-review
O_RDONLY	pending-language-review
O_RDWR	pending-language-review
O_TRUNC	pending-language-review
O_WRONLY	pending-language-review
R_OK	pending-language-review
SC0	pending-language-review
SC1	pending-language-review
SC2	pending-language-review
SC3	pending-language-review
SCHAR_MAX	pending-language-review
SCHAR_MIN	pending-language-review
SEEK_CUR	pending-language-review
SEEK_END	pending-language-review
SEEK_SET	pending-language-review
SHRT_MAX	pending-language-review
SHRT_MIN	pending-language-review
STDERR_FILENO	pending-language-review
STDIN_FILENO	pending-language-review
STDOUT_FILENO	pending-language-review
SYS_socketcall	pending-language-review
S_IFCHR	pending-language-review
S_IFDIR	pending-language-review
S_IFMT	pending-language-review
S_IFREG	pending-language-review
S_IRGRP	pending-language-review
S_IROTH	pending-language-review
S_IRUSR	pending-language-review
S_ISCHR	pending-language-review
S_ISDIR	pending-language-review
S_ISREG	pending-language-review
S_IWGRP	pending-language-review
S_IWOTH	pending-language-review
S_IWUSR	pending-language-review
S_IXGRP	pending-language-review
S_IXOTH	pending-language-review
S_IXUSR	pending-language-review
UCHAR_MAX	pending-language-review
UINT_MAX	pending-language-review
ULLONG_MAX	pending-language-review
ULONG_MAX	pending-language-review
