english	localized	source	evidence_count
a	a	fallback-English	0
access	toegang	gettext	5
ack	ack	fallback-English	0
activate	Activeren	gettext	3
active	Actief	gettext	13
add	Toevoegen	gettext	31
addend	addend	fallback-English	0
addr	addr	fallback-English	0
addralign	addralign	fallback-English	0
address	address	fallback-English	0
advanced	Geavanceerd	gettext	30
af	af	fallback-English	0
after	Na	gettext	5
align	Uitlijnen	gettext	6
aligned	aligned	fallback-English	0
alignment	alignment	fallback-English	0
all	Alle	gettext	4
alloc	alloc	fallback-English	0
allocate	allocate	fallback-English	0
allocated	allocated	fallback-English	0
am	am	fallback-English	0
amd	amd	fallback-English	0
amount	Hoeveelheid	gettext	1
and	en	gettext	1
append	append	fallback-English	0
args	args	fallback-English	0
argument	argument	fallback-English	0
arguments	Argumenten	gettext	1
arp	arp	fallback-English	0
arp콘솔	arp콘솔	fallback-English	0
array	Reeks	gettext	5
assembly	assembly	fallback-English	0
at	at	fallback-English	0
ata	ata	fallback-English	0
atime	atime	fallback-English	0
attachment	attachment	fallback-English	0
attempts	attempts	fallback-English	0
attr	attr	fallback-English	0
attribute	attribuut	gettext	5
attributes	Attributen	gettext	1
aux	aux	fallback-English	0
avail	avail	fallback-English	0
available	Beschikbaar	gettext	8
b	b	fallback-English	0
ba	ba	fallback-English	0
back	Terug	gettext	15
backend	backend	fallback-English	0
backup	backup	fallback-English	0
bar	Balk	gettext	2
base	base	fallback-English	0
be	be	fallback-English	0
bh	bh	fallback-English	0
big	Groot	gettext	1
bind	bind	fallback-English	0
bios	bios	fallback-English	0
bit	bit	fallback-English	0
bitmap	bitmap	fallback-English	0
bitmasp	bitmasp	fallback-English	0
bits	bits	fallback-English	0
blksize	blksize	fallback-English	0
block	Blok	gettext	10
blocked	blocked	fallback-English	0
blocking	blocking	fallback-English	0
blocks	Blokjes	gettext	1
boot	boot	fallback-English	0
bootable	bootable	fallback-English	0
bootloader	bootloader	fallback-English	0
bound	bound	fallback-English	0
bpb	bpb	fallback-English	0
break	break	fallback-English	0
brk	brk	fallback-English	0
broadcast	broadcast	fallback-English	0
buf	buf	fallback-English	0
buffer	buffer	fallback-English	0
buffers	buffers	fallback-English	0
bufptr	bufptr	fallback-English	0
bus	bus	fallback-English	0
button	Knop	gettext	8
buttons	Knoppen	gettext	10
by	by	fallback-English	0
byte	byte	fallback-English	0
bytes	bytes	fallback-English	0
c	VB	gettext	1
cache	cache	fallback-English	0
call	call	fallback-English	0
candidate	candidate	fallback-English	0
cap	cap	fallback-English	0
capable	capable	fallback-English	0
card	Kaart	gettext	1
central	central	fallback-English	0
char	char	fallback-English	0
chdir	chdir	fallback-English	0
check	check	fallback-English	0
checked	checked	fallback-English	0
checksum	checksum	fallback-English	0
child	kind	gettext	5
chunk	chunk	fallback-English	0
class	Klasse	gettext	6
clear	Wissen	gettext	18
cloexec	cloexec	fallback-English	0
clone	clone	fallback-English	0
close	Sluiten	gettext	55
cluster	cluster	fallback-English	0
cmp	cmp	fallback-English	0
code	code	fallback-English	0
col	col	fallback-English	0
color	Kleur	gettext	3
colordepth	colordepth	fallback-English	0
command	Opdracht	gettext	23
commandport	commandport	fallback-English	0
common	veelvoorkomend	gettext	5
component	component	fallback-English	0
connect	Verbinden	gettext	5
connected	connected	fallback-English	0
console	console	fallback-English	0
constant	Constante	gettext	1
contains	contains	fallback-English	0
contents	Inhoud	gettext	53
control	Bediening	gettext	1
controller	controller	fallback-English	0
coordinate	coordinate	fallback-English	0
copies	copies	fallback-English	0
copy	Kopiëren	gettext	43
count	Aantal	gettext	1
cow	cow	fallback-English	0
cpu	cpu	fallback-English	0
cpustate	cpustate	fallback-English	0
cpy	cpy	fallback-English	0
cr	cr	fallback-English	0
creat	creat	fallback-English	0
create	create	fallback-English	0
crtc	crtc	fallback-English	0
cs	cs	fallback-English	0
ctime	ctime	fallback-English	0
cur	cur	fallback-English	0
