english	localized	language
a	OT	nb
access	tilgang	nb
ack	ack	nb
activate	Aktiver	nb
active	Aktiv	nb
add	Leggtil	nb
addend	addend	nb
addr	addr	nb
addralign	addralign	nb
address	address	nb
advanced	Avansert	nb
af	af	nb
after	Etter	nb
align	Juster	nb
aligned	aligned	nb
alignment	alignment	nb
all	Alle	nb
alloc	alloc	nb
allocate	allocate	nb
allocated	allocated	nb
am	am	nb
amd	amd	nb
amount	Beløp	nb
and	og	nb
append	append	nb
args	args	nb
argument	argument	nb
arguments	Argumenter	nb
arp	arp	nb
arp콘솔	arp콘솔	nb
array	Tabell	nb
assembly	assembly	nb
at	at	nb
ata	ata	nb
atime	atime	nb
attachment	attachment	nb
attempts	attempts	nb
attr	attr	nb
attribute	egenskap	nb
attributes	Egenskaper	nb
aux	aux	nb
avail	avail	nb
available	Tilgjengelig	nb
b	b	nb
ba	ba	nb
back	Tilbake	nb
backend	backend	nb
backup	backup	nb
bar	Linje	nb
base	base	nb
be	be	nb
bh	bh	nb
big	Stor	nb
bind	bind	nb
bios	bios	nb
bit	bit	nb
bitmap	bitmap	nb
bitmasp	bitmasp	nb
bits	bit	nb
blksize	blksize	nb
block	Blokk	nb
blocked	blocked	nb
blocking	blocking	nb
blocks	Blokker	nb
boot	boot	nb
bootable	bootable	nb
bootloader	bootloader	nb
bound	bound	nb
bpb	bpb	nb
break	break	nb
brk	brk	nb
broadcast	broadcast	nb
buf	buf	nb
buffer	buffer	nb
buffers	Buffere	nb
bufptr	bufptr	nb
bus	bus	nb
button	Knapp	nb
buttons	Knapper	nb
by	by	nb
byte	byte	nb
bytes	Byte	nb
c	O	nb
cache	cache	nb
call	call	nb
candidate	candidate	nb
cap	cap	nb
capable	capable	nb
card	Kort	nb
central	central	nb
char	char	nb
chdir	chdir	nb
check	check	nb
checked	checked	nb
checksum	checksum	nb
child	barn	nb
chunk	chunk	nb
class	Klasse	nb
clear	Tøm	nb
cloexec	cloexec	nb
clone	clone	nb
close	Lukk	nb
cluster	cluster	nb
cmp	cmp	nb
code	code	nb
col	col	nb
color	Farge	nb
colordepth	colordepth	nb
command	Kommando	nb
commandport	commandport	nb
common	Vanlig	nb
component	component	nb
connect	Kobletil	nb
connected	connected	nb
console	console	nb
constant	Konstant	nb
contains	contains	nb
contents	Innhold	nb
control	Kontroll	nb
controller	controller	nb
coordinate	coordinate	nb
copies	copies	nb
copy	Kopier	nb
count	Antall	nb
cow	cow	nb
cpu	cpu	nb
cpustate	cpustate	nb
cpy	cpy	nb
cr	cr	nb
creat	creat	nb
create	create	nb
crtc	crtc	nb
cs	cs	nb
ctime	ctime	nb
cur	cur	nb
current	Gjeldende	nb
cursor	Peker	nb
cylinder	cylinder	nb
d	d	nb
data	data	nb
databuffer	databuffer	nb
datagram	datagram	nb
dataport	dataport	nb
date	Dato	nb
deactivate	Deaktiver	nb
deactive	deactive	nb
debug	Feilsøk	nb
decrement	decrement	nb
default	Standard	nb
delete	Slett	nb
delta	delta	nb
depth	Dybde	nb
desc	desc	nb
descr	descr	nb
description	Beskrivelse	nb
descriptor	descriptor	nb
descriptors	descriptors	nb
descsz	descsz	nb
destination	Mål	nb
destroy	Ødelegg	nb
dev	dev	nb
device	Enhet	nb
diff	diff	nb
digits	digits	nb
dir	dir	nb
directory	Katalog	nb
dirent	dirent	nb
disable	Slåav	nb
discard	Forkast	nb
disconnect	Koblefra	nb
dispatch	dispatch	nb
divide	divide	nb
divisor	divisor	nb
do	do	nb
domain	Domene	nb
double	Dobbel	nb
down	Ned	nb
draw	draw	nb
drive	drive	nb
driver	driver	nb
drivercount	drivercount	nb
drivers	drivers	nb
drv	drv	nb
ds	ds	nb
dst	dst	nb
dstptr	dstptr	nb
dup	dup	nb
dword	dword	nb
dyn	dyn	nb
dynamic	Dynamisk	nb
e	Ø	nb
eacces	eacces	nb
eaddrinuse	eaddrinuse	nb
eafnosupport	eafnosupport	nb
eagain	eagain	nb
eax	eax	nb
ebadf	ebadf	nb
ebp	ebp	nb
ebusy	ebusy	nb
ebx	ebx	nb
echild	echild	nb
echo	echo	nb
ecx	ecx	nb
edi	edi	nb
edx	edx	nb
eexist	eexist	nb
ef	ef	nb
efault	efault	nb
efbig	efbig	nb
eflags	eflags	nb
ehsize	ehsize	nb
eintr	eintr	nb
einval	einval	nb
eio	eio	nb
eip	eip	nb
eisdir	eisdir	nb
elf	elf	nb
emfile	emfile	nb
empty	Tom	nb
emsgsize	emsgsize	nb
enable	Slåpå	nb
enabled	aktivert	nb
end	Slutt	nb
enetunreach	enetunreach	nb
enfile	enfile	nb
enodev	enodev	nb
enoent	enoent	nb
enoexec	enoexec	nb
