original	localized	language
Activate	Aktiver	nb
ActivateAll	AktiverAlle	nb
Active	Aktiv	nb
ActiveInterruptManager	AktivAvbruddmanager	nb
ActiveMemoryManager	AktivMinnemanager	nb
Add	Leggtil	nb
AddDriver	Leggtildriver	nb
AddRunnableThread	Leggtilrunnablethread	nb
AddTask	LeggtilOppgave	nb
AddThread	Leggtilthread	nb
Address	Address	nb
AlignedMalloc	Alignedmalloc	nb
AlignmentCheck	Alignmentcheck	nb
AllocateBlock	AllocateBlokk	nb
AllocatePID	Allocatepid	nb
AmountOfMemory	BeløpavMinne	nb
ArrayToUint16	Tabelltounsignedinteger16	nb
ArrayToUint32	Tabelltounsignedinteger32	nb
ArrayToUint48	Tabelltounsignedinteger48	nb
ArrayToUint48_BE	Tabelltounsignedinteger48be	nb
ArrayToUint64	Tabelltounsignedinteger64	nb
Atime	Atime	nb
AtimeNsec	Atimensec	nb
BLOCKS_PER_BYTE	Blokkperbyte	nb
BLOCK_SIZE	BlokkStørrelse	nb
Backend	Backend	nb
BaseAddr	Baseaddress	nb
Bind	Bind	nb
Blksize	Blksize	nb
Blocked	Blocked	nb
BlockedState	BlockedStatus	nb
Blocks	Blokk	nb
BoundRangeExceeded	BoundOmrådeexceeded	nb
BroadcastMacAddress	Broadcastmacaddress	nb
BytesPerSector	Bytepersector	nb
BytesToString	BytetoStreng	nb
Checksum	Checksum	nb
Clear	Tøm	nb
Clone	Clone	nb
CloneAddressSpaceCOW	CloneaddressMellomromcow	nb
Connect	Kobletil	nb
ContainsCoordinate	Containscoordinate	nb
CopyPageFrameBlock	KopierSideRammeBlokk	nb
CpuState	CpuStatus	nb
Create	Create	nb
CreateFromData	Createfromdata	nb
CreateFromFunction	CreatefromFunksjon	nb
CreatePtrFromFunction	CreatePekerfromFunksjon	nb
Cs	Cs	nb
Ctime	Ctime	nb
CtimeNsec	Ctimensec	nb
CurrentPID	Gjeldendepid	nb
CurrentParentPID	Gjeldendeopphavpid	nb
Data	Data	nb
Deactivate	Deaktiver	nb
Deactive	Deactive	nb
Decrement	Decrement	nb
Delete	Slett	nb
DescriptorPrivilegeLevel	Descriptorprivilegelevel	nb
DescriptorType	DescriptorFiltype	nb
Destroy	Ødelegg	nb
Dev	Enhet	nb
DeviceHasFunctions	EnhethasFunksjoner	nb
DeviceNotAvailable	EnhetnotTilgjengelig	nb
Device_id	Enhetid	nb
DisableInt	Slåavint	nb
Disconnect	Koblefra	nb
DivideByZero	Dividebyzero	nb
DoHandleInterrupt	DoHåndtakAvbrudd	nb
DoubleFault	Dobbelfault	nb
Draw	Draw	nb
DriverManager	Drivermanager	nb
Ds	Ds	nb
Dynamic	Dynamisk	nb
E2BIG	E2Stor	nb
EACCES	Eacces	nb
EADDRINUSE	Eaddrinuse	nb
EAFNOSUPPORT	Eafnosupport	nb
EAGAIN	Eagain	nb
EBADF	Ebadf	nb
EBUSY	Ebusy	nb
ECHILD	Echild	nb
EEXIST	Eexist	nb
EFAULT	Efault	nb
EFBIG	Efbig	nb
EINTR	Eintr	nb
EINVAL	Einval	nb
EIO	Eio	nb
EISDIR	Eisdir	nb
EMFILE	Emfile	nb
EMSGSIZE	Emsgsize	nb
ENETUNREACH	Enetunreach	nb
ENFILE	Enfile	nb
ENODEV	Enodev	nb
ENOENT	Enoent	nb
ENOEXEC	Enoexec	nb
ENOMEM	Enomem	nb
ENOSPC	Enospc	nb
ENOSYS	Enosys	nb
ENOTCONN	Enotconn	nb
ENOTDIR	Enotdir	nb
ENOTTY	Enotty	nb
EOPNOTSUPP	Eopnotsupp	nb
EPERM	Eperm	nb
EPROTONOSUPPORT	Eprotonosupport	nb
ERANGE	Erange	nb
EROFS	Erofs	nb
ESPIPE	Espipe	nb
ESRCH	Esrch	nb
Eax	Eax	nb
Ebp	Ebp	nb
Ebx	Ebx	nb
Ecx	Ecx	nb
Edi	Edi	nb
Edx	Edx	nb
Eflags	Eflags	nb
Eip	Eip	nb
Elf	Elf	nb
Elf32Dyn	Elf32dyn	nb
Elf32Note	Elf32Merknad	nb
Elf32Rel	Elf32rel	nb
Elf32Rela	Elf32rela	nb
Elf32Sym	Elf32sym	nb
ElfHeader	ElfTopptekst	nb
ElfProgramHeader	ElfprogramTopptekst	nb
ElfSectionHeader	ElfsectionTopptekst	nb
EnablePaging	Slåpåpaging	nb
Enabled	Aktivert	nb
EntryNumber	EntryTall	nb
EqualBytes	LikByte	nb
Es	Es	nb
Esi	Esi	nb
Esp	Esp	nb
FPUBuffer	Fpubuffer	nb
FPUOffset	FpuAvstand	nb
Family	Family	nb
FileName	FilNavn	nb
Fill	Fill	nb
FillRectangle	FillRektangel	nb
First	First	nb
FirstFree	FirstLedig	nb
FirstFreeSize	FirstLedigStørrelse	nb
Flags	Flagg	nb
FloatingPointException	Flytendepointexception	nb
Flush	Flush	nb
FlushTlsTable	FlushtlsTabell	nb
Focussable	Focussable	nb
Free	Ledig	nb
Fs	Fs	nb
GB	Gb	nb
GDT_ENTRIES	Gdtentry	nb
GOT	Got	nb
GPFException	Gpfexception	nb
GatewayIP	Gatewayip	nb
GdtAddressHigh	GdtaddressHøy	nb
GdtAddressLow	GdtaddressLav	nb
GdtDescriptor	Gdtdescriptor	nb
GdtEntry	Gdtentry_2	nb
GdtSize	GdtStørrelse	nb
GetAt	Getat	nb
GetBackend	Getbackend	nb
GetBaseAddressRegister	Getbaseaddressregister	nb
GetBitmaspSize	GetbitmaspStørrelse	nb
GetBytesFromPtr	GetBytefromPeker	nb
GetCR0	Getcr0	nb
GetCR2	Getcr2	nb
GetCR3	Getcr3	nb
GetCR4	Getcr4	nb
GetColorIndex	GetFargeIndeks	nb
GetDeviceDescriptor	GetEnhetdescriptor	nb
GetDriver	Getdriver	nb
GetESP0	Getesp0	nb
GetEntry	Getentry	nb
GetFileSize	GetFilStørrelse	nb
GetFocus	GetFokus	nb
GetFrameBufferSegment	GetRammebuffersegment	nb
GetFuncPtrFromPtr	GetfuncPekerfromPeker	nb
GetFunctionName	GetFunksjonNavn	nb
GetHandler	Gethandler	nb
GetIPAddress	Getipaddress	nb
GetMACAddress	Getmacaddress	nb
GetMACFromCache	Getmacfromcache	nb
GetNextReadyThread	GetNesteKlarthread	nb
GetNodeAt	Getnodeat	nb
GetProvider	Providerget	nb
GetSS0	Getss0	nb
GetStr	Getstr	nb
GetUint32ArrayFromPtr	Getunsignedinteger32TabellfromPeker	nb
GetUintptrArrayFromPtr	GetunsignedintegerPekerTabellfromPeker	nb
GetValue	GetVerdi	nb
GetValueInPageDir	GetVerdiInnSideKatalog	nb
Gid	Gid	nb
Gs	Gs	nb
HandleException	Håndtakexception	nb
HandleFatalInterruptFrame	HåndtakfatalAvbruddRamme	nb
HandleInterrupt	HåndtakAvbrudd	nb
HandleInterrupt1	HåndtakAvbrudd1	nb
HandleUserDatagramProtocolMessage	HåndtakBrukerdatagramprotocolMelding	nb
IDT_DESC_PRESENT	IdtdescriptorTilstede	nb
IDT_INTERRUPT_GATE	IdtAvbruddgate	nb
IDriver	IDriver	nb
IEtherFrameHandler	IEthernetRammehandler	nb
IInternetProtocolHandler	IInternettprotocolhandler	nb
IInterruptHandler	IAvbruddhandler	nb
IKeyboardEventHandler	ITastaturHendelsehandler	nb
IMouseEventHandler	IMusHendelsehandler	nb
IPCIControllerHandler	Ipcicontrollerhandler	nb
IPCache	Ipcache	nb
IP_BE	IpNettverkbyteorder	nb
IRawDataHandler	IRawdatahandler	nb
ITimerEventHandler	INedtellingHendelsehandler	nb
IUserDatagramProtocolHandler	IBrukerdatagramprotocolhandler	nb
IUserDatagramProtocolSocket	IBrukerdatagramprotocolsokkel	nb
IWidget	IWidget	nb
Identify	Identify	nb
Increment	Increment	nb
IndexOf	Indeksav	nb
Init	Init	nb
InitDriver	Initdriver	nb
InitialThreadUserJump	InitialthreadBrukerjump	nb
Ino	Ino	nb
Install	Installer	nb
Interrupt	Avbrudd	nb
InterruptActive	AvbruddAktiv	nb
