english	localized	language
a	a	ne
access	access	ne
ack	ack	ne
activate	activate	ne
active	active	ne
add	थप	ne
addend	addend	ne
addr	addr	ne
addralign	addralign	ne
address	address	ne
advanced	advanced	ne
af	af	ne
after	after	ne
align	align	ne
aligned	aligned	ne
alignment	alignment	ne
all	all	ne
alloc	alloc	ne
allocate	allocate	ne
allocated	allocated	ne
am	am	ne
amd	amd	ne
amount	रकम	ne
and	र	ne
append	append	ne
args	args	ne
argument	argument	ne
arguments	arguments	ne
arp	arp	ne
arp콘솔	arp콘솔	ne
array	array	ne
assembly	assembly	ne
at	at	ne
ata	ata	ne
atime	atime	ne
attachment	attachment	ne
attempts	attempts	ne
attr	attr	ne
attribute	attribute	ne
attributes	attributes	ne
aux	aux	ne
avail	avail	ne
available	available	ne
b	b	ne
ba	ba	ne
back	back	ne
backend	backend	ne
backup	backup	ne
bar	bar	ne
base	base	ne
be	be	ne
bh	bh	ne
big	big	ne
bind	bind	ne
bios	bios	ne
bit	bit	ne
bitmap	bitmap	ne
bitmasp	bitmasp	ne
bits	bits	ne
blksize	blksize	ne
block	block	ne
blocked	blocked	ne
blocking	blocking	ne
blocks	blocks	ne
boot	boot	ne
bootable	bootable	ne
bootloader	bootloader	ne
bound	bound	ne
bpb	bpb	ne
break	break	ne
brk	brk	ne
broadcast	broadcast	ne
buf	buf	ne
buffer	buffer	ne
buffers	buffers	ne
bufptr	bufptr	ne
bus	bus	ne
button	button	ne
buttons	buttons	ne
by	by	ne
byte	byte	ne
bytes	bytes	ne
c	c	ne
cache	cache	ne
call	call	ne
candidate	candidate	ne
cap	cap	ne
capable	capable	ne
card	card	ne
central	central	ne
char	char	ne
chdir	chdir	ne
check	check	ne
checked	checked	ne
checksum	checksum	ne
child	child	ne
chunk	chunk	ne
class	class	ne
clear	clear	ne
cloexec	cloexec	ne
clone	clone	ne
close	close	ne
cluster	cluster	ne
cmp	cmp	ne
code	code	ne
col	col	ne
color	color	ne
colordepth	colordepth	ne
command	command	ne
commandport	commandport	ne
common	common	ne
component	component	ne
connect	connect	ne
connected	connected	ne
console	console	ne
constant	अचल	ne
contains	contains	ne
contents	contents	ne
control	control	ne
controller	controller	ne
coordinate	coordinate	ne
copies	copies	ne
copy	copy	ne
count	count	ne
cow	cow	ne
cpu	cpu	ne
cpustate	cpustate	ne
cpy	cpy	ne
cr	cr	ne
creat	creat	ne
create	create	ne
crtc	crtc	ne
cs	cs	ne
ctime	ctime	ne
cur	cur	ne
current	current	ne
cursor	cursor	ne
cylinder	cylinder	ne
d	d	ne
data	data	ne
databuffer	databuffer	ne
datagram	datagram	ne
dataport	dataport	ne
date	date	ne
deactivate	deactivate	ne
deactive	deactive	ne
debug	debug	ne
decrement	decrement	ne
default	default	ne
delete	Delate	ne
delta	delta	ne
depth	depth	ne
desc	desc	ne
descr	descr	ne
description	description	ne
descriptor	descriptor	ne
descriptors	descriptors	ne
descsz	descsz	ne
destination	destination	ne
destroy	destroy	ne
dev	dev	ne
device	device	ne
diff	diff	ne
digits	digits	ne
dir	dir	ne
directory	directory	ne
dirent	dirent	ne
disable	disable	ne
discard	discard	ne
disconnect	disconnect	ne
dispatch	dispatch	ne
divide	divide	ne
divisor	divisor	ne
do	do	ne
domain	domain	ne
double	double	ne
down	down	ne
draw	draw	ne
drive	drive	ne
driver	driver	ne
drivercount	drivercount	ne
drivers	drivers	ne
drv	drv	ne
ds	ds	ne
dst	dst	ne
dstptr	dstptr	ne
dup	dup	ne
dword	dword	ne
dyn	dyn	ne
dynamic	dynamic	ne
e	e	ne
eacces	eacces	ne
eaddrinuse	eaddrinuse	ne
eafnosupport	eafnosupport	ne
eagain	eagain	ne
eax	eax	ne
ebadf	ebadf	ne
ebp	ebp	ne
ebusy	ebusy	ne
ebx	ebx	ne
echild	echild	ne
echo	echo	ne
ecx	ecx	ne
edi	edi	ne
edx	edx	ne
eexist	eexist	ne
ef	ef	ne
efault	efault	ne
efbig	efbig	ne
eflags	eflags	ne
ehsize	ehsize	ne
eintr	eintr	ne
einval	einval	ne
eio	eio	ne
eip	eip	ne
eisdir	eisdir	ne
elf	elf	ne
emfile	emfile	ne
empty	empty	ne
emsgsize	emsgsize	ne
