original	localized	language
Activate	Activate	ne
ActivateAll	Activateall	ne
Active	Active	ne
ActiveInterruptManager	Activeinterruptmanager	ne
ActiveMemoryManager	Activememorymanager	ne
Add	Aथप	ne
AddDriver	Aथपdriver	ne
AddRunnableThread	Aथपrunnablethread	ne
AddTask	Aथपtask	ne
AddThread	Aथपthread	ne
Address	Address	ne
AlignedMalloc	Alignedmalloc	ne
AlignmentCheck	Alignmentcheck	ne
AllocateBlock	Allocateblock	ne
AllocatePID	Allocatepid	ne
AmountOfMemory	Aरकमofmemory	ne
ArrayToUint16	Arraytounsignedinteger16	ne
ArrayToUint32	Arraytounsignedinteger32	ne
ArrayToUint48	Arraytounsignedinteger48	ne
ArrayToUint48_BE	Arraytounsignedinteger48be	ne
ArrayToUint64	Arraytounsignedinteger64	ne
Atime	Atime	ne
AtimeNsec	Atimensec	ne
BLOCKS_PER_BYTE	Blockperbyte	ne
BLOCK_SIZE	Blocksize	ne
Backend	Backend	ne
BaseAddr	Baseaddress	ne
Bind	Bind	ne
Blksize	Blksize	ne
Blocked	Blocked	ne
BlockedState	Blockedstate	ne
Blocks	Block	ne
BoundRangeExceeded	Boundrangeexceeded	ne
BroadcastMacAddress	Broadcastmacaddress	ne
BytesPerSector	Bytespersector	ne
BytesToString	Bytestostring	ne
Checksum	Checksum	ne
Clear	Clear	ne
Clone	Clone	ne
CloneAddressSpaceCOW	Cloneaddressspacecow	ne
Connect	Connect	ne
ContainsCoordinate	Containscoordinate	ne
CopyPageFrameBlock	Copypageframeblock	ne
CpuState	Cpustate	ne
Create	Create	ne
CreateFromData	Createfromdata	ne
CreateFromFunction	Createfromfunction	ne
CreatePtrFromFunction	Createpointerfromfunction	ne
Cs	Cs	ne
Ctime	Ctime	ne
CtimeNsec	Ctimensec	ne
CurrentPID	Currentpid	ne
CurrentParentPID	Currentparentpid	ne
Data	Data	ne
Deactivate	Deactivate	ne
Deactive	Deactive	ne
Decrement	Decrement	ne
Delete	Delate	ne
DescriptorPrivilegeLevel	Descriptorprivilegelevel	ne
DescriptorType	Descriptortype	ne
Destroy	Destroy	ne
Dev	Device	ne
DeviceHasFunctions	Devicehasfunctions	ne
DeviceNotAvailable	Devicenotavailable	ne
Device_id	Deviceid	ne
DisableInt	Disableint	ne
Disconnect	Disconnect	ne
DivideByZero	Dividebyzero	ne
DoHandleInterrupt	Dohandleinterrupt	ne
DoubleFault	Doublefault	ne
Draw	Draw	ne
DriverManager	Drivermanager	ne
Ds	Ds	ne
Dynamic	Dynamic	ne
