english	localized	language
a	a	ur
access	رسائی	ur
ack	ack	ur
activate	فعالکریں	ur
active	فعال	ur
add	شاملکریں	ur
addend	addend	ur
addr	addr	ur
addralign	addralign	ur
address	address	ur
advanced	اعلی	ur
af	af	ur
after	after	ur
align	سیدھ	ur
aligned	aligned	ur
alignment	alignment	ur
all	تمام	ur
alloc	alloc	ur
allocate	allocate	ur
allocated	allocated	ur
am	am	ur
amd	amd	ur
amount	amount	ur
and	and	ur
append	append	ur
args	args	ur
argument	argument	ur
arguments	arguments	ur
arp	arp	ur
arp콘솔	arp콘솔	ur
array	لڑی	ur
assembly	assembly	ur
at	at	ur
ata	ata	ur
atime	atime	ur
attachment	attachment	ur
attempts	attempts	ur
attr	attr	ur
attribute	وصف	ur
attributes	صفتیں	ur
aux	aux	ur
avail	avail	ur
available	دستیاب	ur
b	b	ur
ba	ba	ur
back	پیچھے	ur
backend	backend	ur
backup	backup	ur
bar	bar	ur
base	base	ur
be	be	ur
bh	bh	ur
big	big	ur
bind	bind	ur
bios	bios	ur
bit	bit	ur
bitmap	bitmap	ur
bitmasp	bitmasp	ur
bits	bits	ur
blksize	blksize	ur
block	block	ur
blocked	blocked	ur
blocking	blocking	ur
blocks	blocks	ur
boot	boot	ur
bootable	bootable	ur
bootloader	bootloader	ur
bound	bound	ur
bpb	bpb	ur
break	break	ur
brk	brk	ur
broadcast	broadcast	ur
buf	buf	ur
buffer	buffer	ur
buffers	بفر	ur
bufptr	bufptr	ur
bus	bus	ur
button	بٹن	ur
buttons	buttons	ur
by	by	ur
byte	byte	ur
bytes	بائٹس	ur
c	c	ur
cache	cache	ur
call	call	ur
candidate	candidate	ur
cap	cap	ur
capable	capable	ur
card	card	ur
central	central	ur
char	char	ur
chdir	chdir	ur
check	check	ur
checked	checked	ur
checksum	checksum	ur
child	بچہ	ur
chunk	chunk	ur
class	class	ur
clear	صاف	ur
cloexec	cloexec	ur
clone	clone	ur
close	بندکریں	ur
cluster	cluster	ur
cmp	cmp	ur
code	code	ur
col	col	ur
color	رنگ	ur
colordepth	colordepth	ur
command	کمانڈ	ur
commandport	commandport	ur
common	common	ur
component	component	ur
connect	متصلہوں	ur
connected	connected	ur
console	console	ur
constant	constant	ur
contains	contains	ur
contents	ہدایاتکےموضوعات	ur
control	control	ur
controller	controller	ur
coordinate	coordinate	ur
copies	copies	ur
copy	کاپی	ur
count	count	ur
cow	cow	ur
cpu	سیپییو	ur
cpustate	cpustate	ur
cpy	cpy	ur
cr	cr	ur
creat	creat	ur
create	create	ur
crtc	crtc	ur
cs	cs	ur
ctime	ctime	ur
cur	cur	ur
current	حالیہ	ur
cursor	cursor	ur
cylinder	cylinder	ur
d	d	ur
data	data	ur
databuffer	databuffer	ur
datagram	datagram	ur
dataport	dataport	ur
date	تاریخ	ur
deactivate	غیرفعالکریں	ur
deactive	deactive	ur
debug	debug	ur
decrement	decrement	ur
default	طےشدہ	ur
delete	حذفکریں	ur
delta	delta	ur
depth	depth	ur
desc	desc	ur
descr	descr	ur
description	تفصیل	ur
descriptor	descriptor	ur
descriptors	descriptors	ur
descsz	descsz	ur
destination	destination	ur
destroy	تباہکریں	ur
dev	dev	ur
device	آلہ	ur
diff	diff	ur
digits	digits	ur
dir	dir	ur
directory	ڈائریکٹری	ur
dirent	dirent	ur
disable	معطلکریں	ur
discard	discard	ur
disconnect	اتصالمنطعکریں	ur
dispatch	dispatch	ur
divide	divide	ur
divisor	divisor	ur
do	do	ur
domain	domain	ur
double	double	ur
down	نیچے	ur
draw	draw	ur
drive	drive	ur
driver	driver	ur
drivercount	drivercount	ur
drivers	drivers	ur
drv	drv	ur
ds	ds	ur
dst	dst	ur
dstptr	dstptr	ur
dup	dup	ur
dword	dword	ur
dyn	dyn	ur
dynamic	محرک	ur
e	e	ur
eacces	eacces	ur
eaddrinuse	eaddrinuse	ur
eafnosupport	eafnosupport	ur
eagain	eagain	ur
eax	eax	ur
ebadf	ebadf	ur
ebp	ebp	ur
ebusy	ebusy	ur
ebx	ebx	ur
echild	echild	ur
echo	echo	ur
ecx	ecx	ur
edi	edi	ur
edx	edx	ur
eexist	eexist	ur
ef	ef	ur
efault	efault	ur
efbig	efbig	ur
eflags	eflags	ur
ehsize	ehsize	ur
eintr	eintr	ur
einval	einval	ur
eio	eio	ur
eip	eip	ur
eisdir	eisdir	ur
elf	elf	ur
emfile	emfile	ur
empty	خالی	ur
emsgsize	emsgsize	ur
enable	enable	ur
enabled	فعال	ur
end	آخر	ur
enetunreach	enetunreach	ur
enfile	enfile	ur
enodev	enodev	ur
enoent	enoent	ur
enoexec	enoexec	ur
enomem	enomem	ur
enospc	enospc	ur
enosys	enosys	ur
enotconn	enotconn	ur
enotdir	enotdir	ur
enotty	enotty	ur
ensure	ensure	ur
entries	entries	ur
entry	entry	ur
entrypoint	entrypoint	ur
entsize	entsize	ur
environment	environment	ur
eopnotsupp	eopnotsupp	ur
eperm	eperm	ur
ephemeral	ephemeral	ur
eprotonosupport	eprotonosupport	ur
equal	برابر	ur
erange	erange	ur
erofs	erofs	ur
err	err	ur
error	غلطی	ur
errorln	errorln	ur
es	es	ur
esi	esi	ur
esp	esp	ur
espipe	espipe	ur
esrch	esrch	ur
ether	ether	ur
etherframe	etherframe	ur
ethernet	ایتھرنیٹ	ur
event	واقعہ	ur
events	events	ur
exceeded	exceeded	ur
except	except	ur
exception	exception	ur
exec	exec	ur
execve	execve	ur
exists	exists	ur
exit	exit	ur
exited	exited	ur
ext	ext	ur
extended	توسیعی	ur
f	f	ur
family	family	ur
fat	fat	ur
fatal	fatal	ur
fatbuf	fatbuf	ur
fatbuffer	fatbuffer	ur
fault	fault	ur
fb	fb	ur
fcntl	fcntl	ur
fd	fd	ur
fds	fds	ur
field	field	ur
file	فائل	ur
filename	فائلکانام	ur
files	فائلیں	ur
filesz	filesz	ur
fill	fill	ur
find	تلاش	ur
first	first	ur
fl	fl	ur
flag	flag	ur
flags	جھنڈیاں	ur
floating	فلوٹنگ	ur
flush	flush	ur
fn	fn	ur
focus	فوکس	ur
focussable	focussable	ur
foo	foo	ur
for	for	ur
forced	forced	ur
fork	fork	ur
found	found	ur
fp	fp	ur
fpu	fpu	ur
frame	frame	ur
free	خالی	ur
frequency	فریکوینسی	ur
from	from	ur
front	سامنا	ur
fs	fs	ur
fstat	fstat	ur
fsync	fsync	ur
fuction	fuction	ur
full	full	ur
func	func	ur
function	function	ur
functions	functions	ur
fxrstor	fxrstor	ur
fxsave	fxsave	ur
g	g	ur
gate	gate	ur
gateway	gateway	ur
gb	gb	ur
gdt	gdt	ur
get	get	ur
getcwd	getcwd	ur
getegid	getegid	ur
geteuid	geteuid	ur
getgid	getgid	ur
getpid	getpid	ur
getppid	getppid	ur
getuid	getuid	ur
gid	gid	ur
global	global	ur
got	got	ur
gpf	gpf	ur
gran	gran	ur
graphics	ترسیمیات	ur
grub	grub	ur
gs	gs	ur
h	گ	ur
halt	halt	ur
handle	handle	ur
handler	handler	ur
handlers	handlers	ur
hardware	ہارڈویئر	ur
has	has	ur
hd	hd	ur
head	head	ur
header	header	ur
headertype	headertype	ur
heap	heap	ur
height	اونچائی	ur
