original	before	after	review_status	concept	changed_tokens
Activate	Aفعالکریں	Aفعالکریں	existing-unreviewed		0
ActivateAll	Aفعالکریںتمام	Aفعالکریںتمام	existing-unreviewed		0
Active	Aفعال	Aفعال	existing-unreviewed		0
ActiveInterruptManager	Aفعالمداخلتmanager	Aفعالمداخلتmanager	existing-unreviewed		0
ActiveMemoryManager	Aفعالیادداشتmanager	Aفعالیادداشتmanager	existing-unreviewed		0
Add	Aشاملکریں	Aشاملکریں	existing-unreviewed		0
AddDriver	Aشاملکریںdriver	Aشاملکریںdriver	existing-unreviewed		0
AddRunnableThread	Aشاملکریںrunnablethread	Aشاملکریںrunnablethread	existing-unreviewed		0
AddTask	Aشاملکریںtask	Aشاملکریںtask	existing-unreviewed		0
AddThread	Aشاملکریںthread	Aشاملکریںthread	existing-unreviewed		0
Address	Address	Address	existing-unreviewed		0
AlignedMalloc	Alignedmalloc	Alignedmalloc	existing-unreviewed		0
AlignmentCheck	Alignmentcheck	Alignmentcheck	existing-unreviewed		0
AllocateBlock	Allocateblock	Allocateblock	existing-unreviewed		0
AllocatePID	Allocatepid	Allocatepid	existing-unreviewed		0
AmountOfMemory	Amountبرائےیادداشت	Amountبرائےیادداشت	existing-unreviewed		0
ArrayToUint16	Aلڑیtounsignedinteger16	Aلڑیtounsignedinteger16	existing-unreviewed		0
ArrayToUint32	Aلڑیtounsignedinteger32	Aلڑیtounsignedinteger32	existing-unreviewed		0
ArrayToUint48	Aلڑیtounsignedinteger48	Aلڑیtounsignedinteger48	existing-unreviewed		0
ArrayToUint48_BE	Aلڑیtounsignedinteger48be	Aلڑیtounsignedinteger48be	existing-unreviewed		0
ArrayToUint64	Aلڑیtounsignedinteger64	Aلڑیtounsignedinteger64	existing-unreviewed		0
Atime	Atime	Atime	existing-unreviewed		0
AtimeNsec	Atimensec	Atimensec	existing-unreviewed		0
BLOCKS_PER_BYTE	Blockperbyte	Blockperbyte	existing-unreviewed		0
BLOCK_SIZE	Blockحجم	Blockحجم	existing-unreviewed		0
Backend	Backend	Backend	existing-unreviewed		0
BaseAddr	Baseaddress	Baseaddress	existing-unreviewed		0
