standard_identifier	native_identifier	category	status
AF_INET	internetwork_address_family_code	network-declaration	project-proposal
AF_UNSPEC	unspecified_address_family	network-declaration	project-proposal
CHAR_BIT	bits_per_byte	integer-limit	project-proposal
CHAR_MAX	char_maximum	integer-limit	project-proposal
CHAR_MIN	char_minimum	integer-limit	project-proposal
CHECK	CHECK	variable	english-source
E2BIG	argument_list_too_large	error-code	project-proposal
EACCES	permission_denied	error-code	project-proposal
EADDRINUSE	address_already_in_use	error-code	project-proposal
EAFNOSUPPORT	address_family_not_supported	error-code	project-proposal
EAGAIN	temporarily_unavailable	error-code	project-proposal
EBADF	invalid_file_descriptor	error-code	project-proposal
EBUSY	resource_busy	error-code	project-proposal
ECHILD	no_child_process	error-code	project-proposal
EEXIST	file_already_exists	error-code	project-proposal
EFAULT	invalid_memory_address	error-code	project-proposal
EFBIG	file_too_large	error-code	project-proposal
EINTR	operation_interrupted	error-code	project-proposal
EINVAL	invalid_argument	error-code	project-proposal
EIO	input_output_error	error-code	project-proposal
EISDIR	is_a_directory	error-code	project-proposal
EMFILE	process_file_limit	error-code	project-proposal
EMSGSIZE	message_too_large	error-code	project-proposal
ENETUNREACH	network_unreachable	error-code	project-proposal
ENFILE	system_file_limit	error-code	project-proposal
ENODEV	device_missing	error-code	project-proposal
ENOENT	file_or_directory_missing	error-code	project-proposal
ENOEXEC	invalid_executable_format	error-code	project-proposal
ENOMEM	insufficient_memory	error-code	project-proposal
ENOSPC	no_storage_space	error-code	project-proposal
ENOSYS	function_not_implemented	error-code	project-proposal
ENOTCONN	endpoint_not_connected	error-code	project-proposal
ENOTDIR	not_a_directory	error-code	project-proposal
ENOTTY	inappropriate_device_operation	error-code	project-proposal
EOPNOTSUPP	operation_not_supported	error-code	project-proposal
EPERM	operation_not_permitted	error-code	project-proposal
EPROTONOSUPPORT	protocol_not_supported	error-code	project-proposal
ERANGE	value_out_of_range	error-code	project-proposal
EROFS	read_only_filesystem	error-code	project-proposal
ESPIPE	cannot_seek_stream	error-code	project-proposal
ESRCH	process_missing	error-code	project-proposal
EXIT_FAILURE	failed_exit	interface-constant	project-proposal
EXIT_SUCCESS	successful_exit	interface-constant	project-proposal
FD_CLOEXEC	close_on_program_replacement	interface-constant	project-proposal
F_DUPFD	duplicate_descriptor	interface-constant	project-proposal
F_GETFD	read_descriptor_flags	interface-constant	project-proposal
F_GETFL	read_file_status_flags	interface-constant	project-proposal
F_OK	test_existence	interface-constant	project-proposal
F_SETFD	set_descriptor_flags	interface-constant	project-proposal
F_SETFL	set_file_status_flags	interface-constant	project-proposal
INADDR_ANY	any_local_address	network-declaration	project-proposal
INADDR_LOOPBACK	loopback_address	network-declaration	project-proposal
INT_MAX	integer_maximum	integer-limit	project-proposal
INT_MIN	integer_minimum	integer-limit	project-proposal
IPPROTO_IP	default_internetwork_protocol	network-declaration	project-proposal
IPPROTO_UDP	user_datagram_protocol	network-declaration	project-proposal
LLONG_MAX	long_long_integer_maximum	integer-limit	project-proposal
