english	localized	language
a	a	pau
access	access	pau
ack	ack	pau
activate	activate	pau
active	active	pau
add	add	pau
addend	addend	pau
addr	addr	pau
addralign	addralign	pau
address	address	pau
advanced	advanced	pau
af	af	pau
after	after	pau
align	align	pau
aligned	aligned	pau
alignment	alignment	pau
all	all	pau
alloc	alloc	pau
allocate	allocate	pau
allocated	allocated	pau
am	am	pau
amd	amd	pau
amount	amount	pau
and	and	pau
append	append	pau
args	args	pau
argument	argument	pau
arguments	arguments	pau
arp	arp	pau
arp콘솔	arp콘솔	pau
array	array	pau
assembly	assembly	pau
at	at	pau
ata	ata	pau
atime	atime	pau
attachment	attachment	pau
attempts	attempts	pau
attr	attr	pau
attribute	attribute	pau
attributes	attributes	pau
aux	aux	pau
avail	avail	pau
available	available	pau
b	b	pau
ba	ba	pau
back	back	pau
backend	backend	pau
backup	backup	pau
bar	bar	pau
base	base	pau
be	be	pau
bh	bh	pau
big	big	pau
bind	bind	pau
bios	bios	pau
bit	bit	pau
bitmap	bitmap	pau
bitmasp	bitmasp	pau
bits	bits	pau
blksize	blksize	pau
block	block	pau
blocked	blocked	pau
blocking	blocking	pau
blocks	blocks	pau
boot	boot	pau
bootable	bootable	pau
bootloader	bootloader	pau
bound	bound	pau
bpb	bpb	pau
break	break	pau
brk	brk	pau
broadcast	broadcast	pau
buf	buf	pau
buffer	buffer	pau
buffers	buffers	pau
bufptr	bufptr	pau
bus	bus	pau
button	button	pau
buttons	buttons	pau
by	by	pau
byte	byte	pau
bytes	bytes	pau
c	c	pau
cache	cache	pau
call	call	pau
candidate	candidate	pau
cap	cap	pau
capable	capable	pau
card	card	pau
central	central	pau
char	char	pau
chdir	chdir	pau
check	check	pau
checked	checked	pau
checksum	checksum	pau
child	child	pau
chunk	chunk	pau
class	class	pau
clear	clear	pau
cloexec	cloexec	pau
clone	clone	pau
close	close	pau
cluster	cluster	pau
cmp	cmp	pau
code	code	pau
col	col	pau
color	color	pau
colordepth	colordepth	pau
command	command	pau
commandport	commandport	pau
common	common	pau
component	component	pau
connect	connect	pau
connected	connected	pau
console	console	pau
constant	constant	pau
contains	contains	pau
contents	contents	pau
control	control	pau
controller	controller	pau
coordinate	coordinate	pau
copies	copies	pau
copy	copy	pau
count	count	pau
cow	cow	pau
cpu	cpu	pau
cpustate	cpustate	pau
cpy	cpy	pau
cr	cr	pau
creat	creat	pau
create	create	pau
crtc	crtc	pau
cs	cs	pau
ctime	ctime	pau
cur	cur	pau
current	current	pau
cursor	cursor	pau
cylinder	cylinder	pau
d	d	pau
data	data	pau
databuffer	databuffer	pau
datagram	datagram	pau
dataport	dataport	pau
date	date	pau
deactivate	deactivate	pau
deactive	deactive	pau
debug	debug	pau
decrement	decrement	pau
default	default	pau
delete	delete	pau
delta	delta	pau
depth	depth	pau
desc	desc	pau
descr	descr	pau
description	description	pau
descriptor	descriptor	pau
descriptors	descriptors	pau
descsz	descsz	pau
destination	destination	pau
destroy	destroy	pau
dev	dev	pau
device	device	pau
diff	diff	pau
digits	digits	pau
dir	dir	pau
directory	directory	pau
dirent	dirent	pau
disable	disable	pau
discard	discard	pau
disconnect	disconnect	pau
dispatch	dispatch	pau
divide	divide	pau
divisor	divisor	pau
do	do	pau
domain	domain	pau
double	double	pau
down	down	pau
draw	draw	pau
drive	drive	pau
driver	driver	pau
drivercount	drivercount	pau
drivers	drivers	pau
drv	drv	pau
ds	ds	pau
dst	dst	pau
dstptr	dstptr	pau
dup	dup	pau
dword	dword	pau
dyn	dyn	pau
dynamic	dynamic	pau
e	e	pau
eacces	eacces	pau
eaddrinuse	eaddrinuse	pau
eafnosupport	eafnosupport	pau
eagain	eagain	pau
eax	eax	pau
ebadf	ebadf	pau
ebp	ebp	pau
ebusy	ebusy	pau
ebx	ebx	pau
echild	echild	pau
echo	echo	pau
ecx	ecx	pau
edi	edi	pau
edx	edx	pau
eexist	eexist	pau
ef	ef	pau
efault	efault	pau
efbig	efbig	pau
eflags	eflags	pau
ehsize	ehsize	pau
eintr	eintr	pau
einval	einval	pau
eio	eio	pau
eip	eip	pau
eisdir	eisdir	pau
elf	elf	pau
emfile	emfile	pau
empty	empty	pau
emsgsize	emsgsize	pau
enable	enable	pau
enabled	enabled	pau
end	end	pau
enetunreach	enetunreach	pau
enfile	enfile	pau
enodev	enodev	pau
enoent	enoent	pau
enoexec	enoexec	pau
enomem	enomem	pau
enospc	enospc	pau
enosys	enosys	pau
enotconn	enotconn	pau
enotdir	enotdir	pau
enotty	enotty	pau
ensure	ensure	pau
entries	entries	pau
entry	entry	pau
entrypoint	entrypoint	pau
entsize	entsize	pau
environment	environment	pau
eopnotsupp	eopnotsupp	pau
eperm	eperm	pau
ephemeral	ephemeral	pau
eprotonosupport	eprotonosupport	pau
equal	equal	pau
erange	erange	pau
erofs	erofs	pau
err	err	pau
error	error	pau
errorln	errorln	pau
es	es	pau
esi	esi	pau
esp	esp	pau
espipe	espipe	pau
esrch	esrch	pau
ether	ether	pau
etherframe	etherframe	pau
ethernet	ethernet	pau
event	event	pau
events	events	pau
exceeded	exceeded	pau
except	except	pau
exception	exception	pau
exec	exec	pau
execve	execve	pau
exists	exists	pau
exit	exit	pau
exited	exited	pau
ext	ext	pau
extended	extended	pau
f	f	pau
family	family	pau
fat	fat	pau
fatal	fatal	pau
fatbuf	fatbuf	pau
fatbuffer	fatbuffer	pau
fault	fault	pau
fb	fb	pau
fcntl	fcntl	pau
fd	fd	pau
fds	fds	pau
field	field	pau
file	file	pau
filename	filename	pau
files	files	pau
filesz	filesz	pau
fill	fill	pau
find	find	pau
first	first	pau
fl	fl	pau
flag	flag	pau
flags	flags	pau
floating	floating	pau
flush	flush	pau
fn	fn	pau
focus	focus	pau
focussable	focussable	pau
foo	foo	pau
for	for	pau
forced	forced	pau
fork	fork	pau
found	found	pau
fp	fp	pau
fpu	fpu	pau
frame	frame	pau
free	free	pau
frequency	frequency	pau
from	from	pau
front	front	pau
fs	fs	pau
fstat	fstat	pau
fsync	fsync	pau
fuction	fuction	pau
full	full	pau
func	func	pau
function	function	pau
functions	functions	pau
fxrstor	fxrstor	pau
fxsave	fxsave	pau
g	g	pau
gate	gate	pau
gateway	gateway	pau
gb	gb	pau
gdt	gdt	pau
get	get	pau
getcwd	getcwd	pau
getegid	getegid	pau
geteuid	geteuid	pau
getgid	getgid	pau
getpid	getpid	pau
getppid	getppid	pau
getuid	getuid	pau
gid	gid	pau
global	global	pau
got	got	pau
gpf	gpf	pau
gran	gran	pau
graphics	graphics	pau
grub	grub	pau
gs	gs	pau
h	h	pau
halt	halt	pau
handle	handle	pau
handler	handler	pau
handlers	handlers	pau
hardware	hardware	pau
has	has	pau
hd	hd	pau
head	head	pau
header	header	pau
headertype	headertype	pau
heap	heap	pau
height	height	pau
helper	helper	pau
hex	hex	pau
hex출력	hex출력	pau
hi	hi	pau
hidden	hidden	pau
high	high	pau
hop	hop	pau
i	i	pau
icmp	icmp	pau
icmp콘솔	icmp콘솔	pau
id	id	pau
ident	ident	pau
identify	identify	pau
idt	idt	pau
idx	idx	pau
ifchr	ifchr	pau
ifdir	ifdir	pau
ifmt	ifmt	pau
ifreg	ifreg	pau
ifsock	ifsock	pau
in	in	pau
increment	increment	pau
index	index	pau
