original	localized	language
Activate	Activate	pau
ActivateAll	Activateall	pau
Active	Active	pau
ActiveInterruptManager	Activeinterruptmanager	pau
ActiveMemoryManager	Activememorymanager	pau
Add	Add	pau
AddDriver	Adddriver	pau
AddRunnableThread	Addrunnablethread	pau
AddTask	Addtask	pau
AddThread	Addthread	pau
Address	Address	pau
AlignedMalloc	Alignedmalloc	pau
AlignmentCheck	Alignmentcheck	pau
AllocateBlock	Allocateblock	pau
AllocatePID	Allocatepid	pau
AmountOfMemory	Amountofmemory	pau
ArrayToUint16	Arraytounsignedinteger16	pau
ArrayToUint32	Arraytounsignedinteger32	pau
ArrayToUint48	Arraytounsignedinteger48	pau
ArrayToUint48_BE	Arraytounsignedinteger48be	pau
ArrayToUint64	Arraytounsignedinteger64	pau
Atime	Atime	pau
AtimeNsec	Atimensec	pau
BLOCKS_PER_BYTE	Blockperbyte	pau
BLOCK_SIZE	Blocksize	pau
Backend	Backend	pau
BaseAddr	Baseaddress	pau
Bind	Bind	pau
Blksize	Blksize	pau
Blocked	Blocked	pau
BlockedState	Blockedstate	pau
Blocks	Block	pau
BoundRangeExceeded	Boundrangeexceeded	pau
BroadcastMacAddress	Broadcastmacaddress	pau
BytesPerSector	Bytespersector	pau
BytesToString	Bytestostring	pau
Checksum	Checksum	pau
Clear	Clear	pau
Clone	Clone	pau
CloneAddressSpaceCOW	Cloneaddressspacecow	pau
Connect	Connect	pau
ContainsCoordinate	Containscoordinate	pau
CopyPageFrameBlock	Copypageframeblock	pau
CpuState	Cpustate	pau
Create	Create	pau
CreateFromData	Createfromdata	pau
CreateFromFunction	Createfromfunction	pau
CreatePtrFromFunction	Createpointerfromfunction	pau
Cs	Cs	pau
Ctime	Ctime	pau
CtimeNsec	Ctimensec	pau
CurrentPID	Currentpid	pau
CurrentParentPID	Currentparentpid	pau
Data	Data	pau
Deactivate	Deactivate	pau
Deactive	Deactive	pau
Decrement	Decrement	pau
Delete	Delete	pau
DescriptorPrivilegeLevel	Descriptorprivilegelevel	pau
DescriptorType	Descriptortype	pau
Destroy	Destroy	pau
Dev	Device	pau
DeviceHasFunctions	Devicehasfunctions	pau
DeviceNotAvailable	Devicenotavailable	pau
Device_id	Deviceid	pau
DisableInt	Disableint	pau
Disconnect	Disconnect	pau
DivideByZero	Dividebyzero	pau
DoHandleInterrupt	Dohandleinterrupt	pau
DoubleFault	Doublefault	pau
Draw	Draw	pau
DriverManager	Drivermanager	pau
Ds	Ds	pau
Dynamic	Dynamic	pau
E2BIG	E2big	pau
EACCES	Eacces	pau
EADDRINUSE	Eaddrinuse	pau
EAFNOSUPPORT	Eafnosupport	pau
EAGAIN	Eagain	pau
EBADF	Ebadf	pau
EBUSY	Ebusy	pau
ECHILD	Echild	pau
EEXIST	Eexist	pau
EFAULT	Efault	pau
EFBIG	Efbig	pau
EINTR	Eintr	pau
EINVAL	Einval	pau
EIO	Eio	pau
EISDIR	Eisdir	pau
EMFILE	Emfile	pau
EMSGSIZE	Emsgsize	pau
ENETUNREACH	Enetunreach	pau
ENFILE	Enfile	pau
ENODEV	Enodev	pau
ENOENT	Enoent	pau
ENOEXEC	Enoexec	pau
ENOMEM	Enomem	pau
ENOSPC	Enospc	pau
ENOSYS	Enosys	pau
ENOTCONN	Enotconn	pau
ENOTDIR	Enotdir	pau
ENOTTY	Enotty	pau
EOPNOTSUPP	Eopnotsupp	pau
EPERM	Eperm	pau
EPROTONOSUPPORT	Eprotonosupport	pau
ERANGE	Erange	pau
EROFS	Erofs	pau
ESPIPE	Espipe	pau
ESRCH	Esrch	pau
Eax	Eax	pau
Ebp	Ebp	pau
Ebx	Ebx	pau
Ecx	Ecx	pau
Edi	Edi	pau
Edx	Edx	pau
Eflags	Eflags	pau
Eip	Eip	pau
Elf	Elf	pau
Elf32Dyn	Elf32dyn	pau
Elf32Note	Elf32note	pau
Elf32Rel	Elf32rel	pau
Elf32Rela	Elf32rela	pau
Elf32Sym	Elf32sym	pau
ElfHeader	Elfheader	pau
ElfProgramHeader	Elfprogramheader	pau
ElfSectionHeader	Elfsectionheader	pau
EnablePaging	Enablepaging	pau
Enabled	Enabled	pau
EntryNumber	Entrynumber	pau
EqualBytes	Equalbytes	pau
Es	Es	pau
Esi	Esi	pau
Esp	Esp	pau
FPUBuffer	Fpubuffer	pau
FPUOffset	Fpuoffset	pau
Family	Family	pau
FileName	Filename	pau
Fill	Fill	pau
