english	localized	language
a	a	tpi
access	access	tpi
ack	ack	tpi
activate	activate	tpi
active	active	tpi
add	add	tpi
addend	addend	tpi
addr	addr	tpi
addralign	addralign	tpi
address	address	tpi
advanced	advanced	tpi
af	af	tpi
after	after	tpi
align	align	tpi
aligned	aligned	tpi
alignment	alignment	tpi
all	all	tpi
alloc	alloc	tpi
allocate	allocate	tpi
allocated	allocated	tpi
am	am	tpi
amd	amd	tpi
amount	amount	tpi
and	and	tpi
append	append	tpi
args	args	tpi
argument	argument	tpi
arguments	arguments	tpi
arp	arp	tpi
arp콘솔	arp콘솔	tpi
array	array	tpi
assembly	assembly	tpi
at	at	tpi
ata	ata	tpi
atime	atime	tpi
attachment	attachment	tpi
attempts	attempts	tpi
attr	attr	tpi
attribute	attribute	tpi
attributes	attributes	tpi
aux	aux	tpi
avail	avail	tpi
available	available	tpi
b	b	tpi
ba	ba	tpi
back	back	tpi
backend	backend	tpi
backup	backup	tpi
bar	bar	tpi
base	base	tpi
be	be	tpi
bh	bh	tpi
big	big	tpi
bind	bind	tpi
bios	bios	tpi
bit	bit	tpi
bitmap	bitmap	tpi
bitmasp	bitmasp	tpi
bits	bits	tpi
blksize	blksize	tpi
block	block	tpi
blocked	blocked	tpi
blocking	blocking	tpi
blocks	blocks	tpi
boot	boot	tpi
bootable	bootable	tpi
bootloader	bootloader	tpi
bound	bound	tpi
bpb	bpb	tpi
break	break	tpi
brk	brk	tpi
broadcast	broadcast	tpi
buf	buf	tpi
buffer	buffer	tpi
buffers	buffers	tpi
bufptr	bufptr	tpi
bus	bus	tpi
button	button	tpi
buttons	buttons	tpi
by	by	tpi
byte	byte	tpi
bytes	bytes	tpi
c	c	tpi
cache	cache	tpi
call	call	tpi
candidate	candidate	tpi
cap	cap	tpi
capable	capable	tpi
card	card	tpi
central	central	tpi
char	char	tpi
chdir	chdir	tpi
check	check	tpi
checked	checked	tpi
checksum	checksum	tpi
child	child	tpi
chunk	chunk	tpi
class	class	tpi
clear	clear	tpi
cloexec	cloexec	tpi
clone	clone	tpi
close	close	tpi
cluster	cluster	tpi
cmp	cmp	tpi
code	code	tpi
col	col	tpi
color	color	tpi
colordepth	colordepth	tpi
command	command	tpi
commandport	commandport	tpi
common	common	tpi
component	component	tpi
connect	connect	tpi
connected	connected	tpi
console	console	tpi
constant	constant	tpi
contains	contains	tpi
contents	contents	tpi
control	control	tpi
controller	controller	tpi
coordinate	coordinate	tpi
copies	copies	tpi
copy	copy	tpi
count	count	tpi
cow	cow	tpi
cpu	cpu	tpi
cpustate	cpustate	tpi
cpy	cpy	tpi
cr	cr	tpi
creat	creat	tpi
create	create	tpi
crtc	crtc	tpi
cs	cs	tpi
ctime	ctime	tpi
cur	cur	tpi
current	current	tpi
cursor	cursor	tpi
cylinder	cylinder	tpi
d	d	tpi
data	data	tpi
databuffer	databuffer	tpi
datagram	datagram	tpi
dataport	dataport	tpi
date	date	tpi
deactivate	deactivate	tpi
deactive	deactive	tpi
debug	debug	tpi
decrement	decrement	tpi
default	default	tpi
delete	delete	tpi
delta	delta	tpi
depth	depth	tpi
desc	desc	tpi
descr	descr	tpi
description	description	tpi
descriptor	descriptor	tpi
descriptors	descriptors	tpi
descsz	descsz	tpi
destination	destination	tpi
destroy	destroy	tpi
dev	dev	tpi
device	device	tpi
diff	diff	tpi
digits	digits	tpi
dir	dir	tpi
directory	directory	tpi
dirent	dirent	tpi
disable	disable	tpi
discard	discard	tpi
disconnect	disconnect	tpi
dispatch	dispatch	tpi
divide	divide	tpi
divisor	divisor	tpi
do	do	tpi
domain	domain	tpi
double	double	tpi
down	down	tpi
draw	draw	tpi
drive	drive	tpi
driver	driver	tpi
drivercount	drivercount	tpi
drivers	drivers	tpi
drv	drv	tpi
ds	ds	tpi
dst	dst	tpi
dstptr	dstptr	tpi
dup	dup	tpi
dword	dword	tpi
dyn	dyn	tpi
dynamic	dynamic	tpi
e	e	tpi
eacces	eacces	tpi
eaddrinuse	eaddrinuse	tpi
eafnosupport	eafnosupport	tpi
eagain	eagain	tpi
eax	eax	tpi
ebadf	ebadf	tpi
ebp	ebp	tpi
ebusy	ebusy	tpi
ebx	ebx	tpi
echild	echild	tpi
echo	echo	tpi
ecx	ecx	tpi
edi	edi	tpi
edx	edx	tpi
eexist	eexist	tpi
ef	ef	tpi
efault	efault	tpi
efbig	efbig	tpi
eflags	eflags	tpi
ehsize	ehsize	tpi
eintr	eintr	tpi
einval	einval	tpi
eio	eio	tpi
eip	eip	tpi
eisdir	eisdir	tpi
elf	elf	tpi
emfile	emfile	tpi
empty	empty	tpi
emsgsize	emsgsize	tpi
enable	enable	tpi
enabled	enabled	tpi
end	end	tpi
enetunreach	enetunreach	tpi
enfile	enfile	tpi
enodev	enodev	tpi
enoent	enoent	tpi
enoexec	enoexec	tpi
enomem	enomem	tpi
enospc	enospc	tpi
enosys	enosys	tpi
enotconn	enotconn	tpi
enotdir	enotdir	tpi
enotty	enotty	tpi
ensure	ensure	tpi
entries	entries	tpi
entry	entry	tpi
entrypoint	entrypoint	tpi
entsize	entsize	tpi
environment	environment	tpi
eopnotsupp	eopnotsupp	tpi
eperm	eperm	tpi
ephemeral	ephemeral	tpi
eprotonosupport	eprotonosupport	tpi
equal	equal	tpi
erange	erange	tpi
erofs	erofs	tpi
err	err	tpi
error	error	tpi
errorln	errorln	tpi
es	es	tpi
esi	esi	tpi
esp	esp	tpi
espipe	espipe	tpi
esrch	esrch	tpi
ether	ether	tpi
etherframe	etherframe	tpi
ethernet	ethernet	tpi
event	event	tpi
events	events	tpi
exceeded	exceeded	tpi
except	except	tpi
exception	exception	tpi
exec	exec	tpi
execve	execve	tpi
exists	exists	tpi
exit	exit	tpi
exited	exited	tpi
ext	ext	tpi
extended	extended	tpi
f	f	tpi
family	family	tpi
fat	fat	tpi
fatal	fatal	tpi
fatbuf	fatbuf	tpi
fatbuffer	fatbuffer	tpi
fault	fault	tpi
fb	fb	tpi
fcntl	fcntl	tpi
fd	fd	tpi
fds	fds	tpi
field	field	tpi
file	file	tpi
filename	filename	tpi
files	files	tpi
filesz	filesz	tpi
fill	fill	tpi
find	find	tpi
first	first	tpi
fl	fl	tpi
flag	flag	tpi
flags	flags	tpi
floating	floating	tpi
flush	flush	tpi
fn	fn	tpi
focus	focus	tpi
focussable	focussable	tpi
foo	foo	tpi
for	for	tpi
forced	forced	tpi
fork	fork	tpi
found	found	tpi
fp	fp	tpi
fpu	fpu	tpi
frame	frame	tpi
free	free	tpi
frequency	frequency	tpi
from	from	tpi
front	front	tpi
fs	fs	tpi
fstat	fstat	tpi
fsync	fsync	tpi
fuction	fuction	tpi
full	full	tpi
func	func	tpi
function	function	tpi
functions	functions	tpi
fxrstor	fxrstor	tpi
fxsave	fxsave	tpi
g	g	tpi
gate	gate	tpi
gateway	gateway	tpi
gb	gb	tpi
gdt	gdt	tpi
get	get	tpi
getcwd	getcwd	tpi
getegid	getegid	tpi
geteuid	geteuid	tpi
getgid	getgid	tpi
getpid	getpid	tpi
getppid	getppid	tpi
getuid	getuid	tpi
gid	gid	tpi
global	global	tpi
got	got	tpi
gpf	gpf	tpi
gran	gran	tpi
graphics	graphics	tpi
grub	grub	tpi
gs	gs	tpi
h	h	tpi
halt	halt	tpi
handle	handle	tpi
handler	handler	tpi
handlers	handlers	tpi
hardware	hardware	tpi
has	has	tpi
hd	hd	tpi
head	head	tpi
header	header	tpi
headertype	headertype	tpi
heap	heap	tpi
height	height	tpi
helper	helper	tpi
hex	hex	tpi
hex출력	hex출력	tpi
hi	hi	tpi
hidden	hidden	tpi
high	high	tpi
hop	hop	tpi
i	i	tpi
icmp	icmp	tpi
icmp콘솔	icmp콘솔	tpi
id	id	tpi
ident	ident	tpi
identify	identify	tpi
idt	idt	tpi
idx	idx	tpi
ifchr	ifchr	tpi
ifdir	ifdir	tpi
ifmt	ifmt	tpi
ifreg	ifreg	tpi
ifsock	ifsock	tpi
in	in	tpi
increment	increment	tpi
index	index	tpi
inet	inet	tpi
info	info	tpi
init	init	tpi
initial	initial	tpi
initialization	initialization	tpi
initialize	initialize	tpi
ino	ino	tpi
inode	inode	tpi
input	input	tpi
install	install	tpi
int	int	tpi
interconnect	interconnect	tpi
interface	interface	tpi
internet	internet	tpi
internetprotocol	internetprotocol	tpi
interrupt	interrupt	tpi
interrupts	interrupts	tpi
invalid	invalid	tpi
io	io	tpi
iomap	iomap	tpi
ip	ip	tpi
ipci	ipci	tpi
ipmessage	ipmessage	tpi
ipv	ipv	tpi
ip콘솔	ip콘솔	tpi
iret	iret	tpi
is	is	tpi
ist	ist	tpi
j	j	tpi
jmp	jmp	tpi
jump	jump	tpi
k	k	tpi
kb	kb	tpi
kcs	kcs	tpi
kds	kds	tpi
kernel	kernel	tpi
key	key	tpi
keyboard	keyboard	tpi
kgs	kgs	tpi
kind	kind	tpi
k핵심	k핵심	tpi
l	l	tpi
label	label	tpi
last	last	tpi
lba	lba	tpi
ldt	ldt	tpi
left	left	tpi
len	len	tpi
length	length	tpi
lengths	lengths	tpi
level	level	tpi
lib	lib	tpi
lidt	lidt	tpi
lidtaddr	lidtaddr	tpi
limit	limit	tpi
line	line	tpi
link	link	tpi
linked	linked	tpi
linker	linker	tpi
list	list	tpi
listen	listen	tpi
listening	listening	tpi
live	live	tpi
load	load	tpi
loader	loader	tpi
local	local	tpi
log	log	tpi
logical	logical	tpi
loop	loop	tpi
low	low	tpi
lseek	lseek	tpi
lstat	lstat	tpi
m	m	tpi
mac	mac	tpi
machine	machine	tpi
magicnumber	magicnumber	tpi
main	nambawan	tpi
make	make	tpi
malloc	malloc	tpi
manager	manager	tpi
map	map	tpi
mask	mask	tpi
master	master	tpi
matches	matches	tpi
max	max	tpi
maximum	maximum	tpi
mb	mb	tpi
mbr	mbr	tpi
media	media	tpi
mem	mem	tpi
memory	memory	tpi
memorymananger	memorymananger	tpi
memorytest	memorytest	tpi
memsz	memsz	tpi
mesg	mesg	tpi
message	message	tpi
mics	mics	tpi
mid	mid	tpi
minimum	minimum	tpi
mode	mode	tpi
model	model	tpi
mouse	mouse	tpi
mousemove	mousemove	tpi
move	move	tpi
msdospart	msdospart	tpi
msg	msg	tpi
mtime	mtime	tpi
multi	multi	tpi
multiboot	multiboot	tpi
multitasking	multitasking	tpi
my	my	tpi
myfunction	myfunction	tpi
m긴급로그	m긴급로그	tpi
m긴급로그문자열	m긴급로그문자열	tpi
m직렬로그초기화	m직렬로그초기화	tpi
m출력	m출력	tpi
m테스트	m테스트	tpi
n	n	tpi
name	name	tpi
namesz	namesz	tpi
net	net	tpi
network	network	tpi
new	new	tpi
next	next	tpi
nibble	nibble	tpi
nlink	nlink	tpi
nmi	nmi	tpi
node	node	tpi
nodename	nodename	tpi
noexec	noexec	tpi
none	none	tpi
normal	normal	tpi
norw	norw	tpi
not	not	tpi
note	note	tpi
nsec	nsec	tpi
num	num	tpi
number	number	tpi
o	o	tpi
of	of	tpi
offset	offset	tpi
ok	ok	tpi
old	old	tpi
on	on	tpi
only	only	tpi
opcode	opcode	tpi
open	open	tpi
oper	oper	tpi
operation	operation	tpi
options	options	tpi
order	order	tpi
org	org	tpi
other	other	tpi
out	out	tpi
output	output	tpi
overflow	overflow	tpi
p	p	tpi
packet	packet	tpi
packets	packets	tpi
paddr	paddr	tpi
page	page	tpi
pages	pages	tpi
paging	paging	tpi
param	param	tpi
parameter	parameter	tpi
params	params	tpi
parent	parent	tpi
parse	parse	tpi
part	part	tpi
partition	partition	tpi
partitions	partitions	tpi
path	path	tpi
pause	pause	tpi
payload	payload	tpi
pci	pci	tpi
pde	pde	tpi
pdelen	pdelen	tpi
peer	peer	tpi
pending	pending	tpi
per	per	tpi
peripheral	peripheral	tpi
phentsize	phentsize	tpi
phnum	phnum	tpi
phoff	phoff	tpi
phy	phy	tpi
phyaddr	phyaddr	tpi
phymem	phymem	tpi
phys	phys	tpi
physical	physical	tpi
pic	pic	tpi
pid	pid	tpi
pit	pit	tpi
pixel	pixel	tpi
point	point	tpi
pointer	pointer	tpi
pointers	pointers	tpi
poll	poll	tpi
port	port	tpi
portnumber	portnumber	tpi
pos	pos	tpi
position	position	tpi
posix	posix	tpi
prefetch	prefetch	tpi
prefetchable	prefetchable	tpi
present	present	tpi
prev	prev	tpi
primary	primary	tpi
print	print	tpi
printf	printf	tpi
println	println	tpi
printreg	printreg	tpi
priv	priv	tpi
private	private	tpi
privilege	privilege	tpi
proc	proc	tpi
process	process	tpi
processes	processes	tpi
processing	processing	tpi
program	program	tpi
programmable	programmable	tpi
protocol	protocol	tpi
provided	provided	tpi
provider	provider	tpi
ps	ps	tpi
pt	pt	tpi
pte	pte	tpi
ptr	ptr	tpi
push	push	tpi
put	put	tpi
pv	pv	tpi
queue	queue	tpi
r	r	tpi
range	range	tpi
raw	raw	tpi
rdev	rdev	tpi
read	ritim	tpi
ready	ready	tpi
receive	receive	tpi
received	received	tpi
receiver	receiver	tpi
receviced	receviced	tpi
record	record	tpi
rectangle	rectangle	tpi
recv	recv	tpi
ref	ref	tpi
refs	refs	tpi
reg	reg	tpi
region	region	tpi
register	register	tpi
registeroffset	registeroffset	tpi
registers	registers	tpi
regs	regs	tpi
regtype	regtype	tpi
rel	rel	tpi
rela	rela	tpi
release	release	tpi
released	released	tpi
reload	reload	tpi
relocation	relocation	tpi
remaining	remaining	tpi
remote	remote	tpi
remove	remove	tpi
reply	reply	tpi
request	request	tpi
requested	requested	tpi
reserved	reserved	tpi
reset	reset	tpi
resolve	resolve	tpi
restore	restore	tpi
result	result	tpi
ret	ret	tpi
revision	revision	tpi
rgb	rgb	tpi
right	right	tpi
root	root	tpi
round	round	tpi
route	route	tpi
rs	rs	tpi
rt	rt	tpi
run	run	tpi
runnable	runnable	tpi
