원래경로	변환경로
src/amd_am79c973/amd_am79c973.go	src/amdam79c973/amdam79c973.go
src/arp/arp.go	src/arp/arp.go
src/common/memoperations.go	src/zwykły/pamięćoperation.go
src/common/type.go	src/zwykły/typ.go
src/console/console.go	src/konsola/konsola.go
src/console/console.s	src/konsola/konsola.s
src/drivers/ata/ata.go	src/driver/ata/ata.go
src/drivers/driver/driver.go	src/driver/driver/driver.go
src/drivers/keyboard/keyboard.go	src/driver/klawiatura/klawiatura.go
src/drivers/mouse/mouse.go	src/driver/urządzenie_wskazujące/urządzenie_wskazujące.go
src/drivers/timer/timer.go	src/driver/licznik/licznik.go
src/etherframe/etherframe.go	src/ramka_sieci_o_wspólnym_medium/ramka_sieci_o_wspólnym_medium.go
src/filesystem/elf/elf.go	src/plikSystemowe/format_wykonywalny_i_konsolidowalny/format_wykonywalny_i_konsolidowalny.go
src/filesystem/elf/elfheader.go	src/plikSystemowe/format_wykonywalny_i_konsolidowalny/elfheader.go
src/filesystem/elf/elfsection.go	src/plikSystemowe/format_wykonywalny_i_konsolidowalny/elfsection.go
src/filesystem/elf/linkmap.go	src/plikSystemowe/format_wykonywalny_i_konsolidowalny/odnośnikmap.go
src/filesystem/fat/fat.go	src/plikSystemowe/fat/fat.go
src/filesystem/msdospart/msdospart.go	src/plikSystemowe/msdospartition/msdospartition.go
src/gate/gate.go	src/gate/gate.go
src/gate/gate.s	src/gate/gate.s
src/gate/gate_amd64.go	src/gate/gateamd64.go
src/gate/gate_amd64.s	src/gate/gateamd64.s
src/gdt/gdt.go	src/gdt/gdt.go
src/gdt/gdt.s	src/gdt/gdt.s
src/icmp/icmp.go	src/protokół_komunikatów_sterujących_połączonych_sieci/protokół_komunikatów_sterujących_połączonych_sieci.go
src/interrupt/interrupt.go	src/przerwanie/przerwanie.go
src/interrupt/interrupt.s	src/przerwanie/przerwanie.s
src/ipv4/ipv4.go	src/protokół_połączonych_sieci_4/protokół_połączonych_sieci_4.go
src/memorymanager/memorymanager.go	src/pamięćmanager/pamięćmanager.go
src/multitasking/multi.s	src/multitasking/multi.s
src/multitasking/multitasking.go	src/multitasking/multitasking.go
src/paging/paging.go	src/paging/paging.go
src/paging/paging.s	src/paging/paging.s
src/pci/pci.go	src/pci/pci.go
src/phymem/phymem.go	src/physicalPamięć/physicalPamięć.go
src/port/port.go	src/port/port.go
src/port/port.s	src/port/port.s
src/systemcall/systemcall.go	src/systemowecall/systemowecall.go
src/systemcall/systemcall.s	src/systemowecall/systemowecall.s
src/tasking/process/process.go	src/tasking/proces/proces.go
src/tasking/scheduler/scheduler.go	src/tasking/scheduler/scheduler.go
src/tasking/scheduler/scheduler.s	src/tasking/scheduler/scheduler.s
src/tasking/thread/thread.go	src/tasking/thread/thread.go
src/tasking/tss/tss.go	src/tasking/tss/tss.go
src/tasking/tss/tss.s	src/tasking/tss/tss.s
src/text_mode/text_mode.go	src/tekstTRYB/tekstTRYB.go
src/udp/udp.go	src/protokół_datagramów_użytkownika/protokół_datagramów_użytkownika.go
src/util/array/array.go	src/util/tablica/tablica.go
src/util/list/list.go	src/util/lista/lista.go
src/util/util.go	src/util/util.go
src/vga/vga.go	src/vga/vga.go
src/virtmem/virtmem.go	src/wirtualnePamięć/wirtualnePamięć.go
src/widget/widget.go	src/element_ekranu/element_ekranu.go
main.go	główny.go
main.s	główny.s
asm/constants.inc	rozruch_maszyny/stała.inc
asm/gdt.inc	rozruch_maszyny/gdt.inc
asm/go_asm_offsets.inc	rozruch_maszyny/goasmPrzesunięcie.inc
asm/multiboot_header.s	rozruch_maszyny/multibootheader.s
asm/rt0.s	rozruch_maszyny/rt0.s
go.sh	kompiluj_jądro.sh
linker.ld	układ_konsolidacji.ld
tools/decode-virtualbox-log.sh	narzędzia/odczytaj_dziennik_szeregowy.sh
