english	localized	language
a	OT	pl
access	dostępu	pl
ack	ack	pl
activate	Włącz	pl
active	Aktywne	pl
add	Dodaj	pl
addend	addend	pl
addr	addr	pl
addralign	addralign	pl
address	Adres	pl
advanced	Zaawansowane	pl
af	af	pl
after	Najpierwkoniecwiersza	pl
align	Wyrównanie	pl
aligned	aligned	pl
alignment	alignment	pl
all	Wszystkie	pl
alloc	alloc	pl
allocate	allocate	pl
allocated	allocated	pl
am	am	pl
amd	amd	pl
amount	Ilość	pl
and	oraz	pl
append	append	pl
args	args	pl
argument	argument	pl
arguments	Argumenty	pl
arp	arp	pl
arp콘솔	arp콘솔	pl
array	Tablica	pl
assembly	assembly	pl
at	at	pl
ata	ata	pl
atime	atime	pl
attachment	attachment	pl
attempts	attempts	pl
attr	attr	pl
attribute	atrybut	pl
attributes	Atrybuty	pl
aux	aux	pl
avail	avail	pl
available	Dostępne	pl
b	b	pl
ba	ba	pl
back	Wstecz	pl
backend	backend	pl
backup	backup	pl
bar	Pasek	pl
base	base	pl
be	be	pl
bh	bh	pl
big	big	pl
bind	Dowiąż	pl
bios	bios	pl
bit	bit	pl
bitmap	bitmap	pl
bitmasp	bitmasp	pl
bits	b	pl
blksize	blksize	pl
block	Blok	pl
blocked	blocked	pl
blocking	blocking	pl
blocks	Klocki	pl
boot	boot	pl
bootable	bootable	pl
bootloader	bootloader	pl
bound	bound	pl
bpb	bpb	pl
break	break	pl
brk	brk	pl
broadcast	broadcast	pl
buf	buf	pl
buffer	buffer	pl
buffers	Bufory	pl
bufptr	bufptr	pl
bus	bus	pl
button	Przycisk	pl
buttons	Przyciski	pl
by	by	pl
byte	byte	pl
bytes	Bajty	pl
c	Z	pl
cache	cache	pl
call	call	pl
candidate	candidate	pl
cap	cap	pl
capable	capable	pl
card	Karciane	pl
central	central	pl
char	char	pl
chdir	chdir	pl
check	check	pl
checked	checked	pl
checksum	Sumakontrolna	pl
child	dziecko	pl
chunk	chunk	pl
class	Klasa	pl
clear	Wyczyść	pl
cloexec	cloexec	pl
clone	clone	pl
close	Zamknij	pl
cluster	cluster	pl
cmp	cmp	pl
code	code	pl
col	col	pl
color	Kolor	pl
colordepth	colordepth	pl
command	Polecenie	pl
commandport	commandport	pl
common	zwykły	pl
component	component	pl
connect	Połącz	pl
connected	connected	pl
console	Konsola	pl
constant	Stała	pl
contains	contains	pl
contents	Spistreści	pl
control	Sterowanie	pl
controller	Kontroler	pl
coordinate	coordinate	pl
copies	copies	pl
copy	Kopiuj	pl
count	Liczba	pl
cow	cow	pl
cpu	Procesor	pl
cpustate	cpustate	pl
cpy	cpy	pl
cr	cr	pl
creat	creat	pl
create	create	pl
crtc	crtc	pl
cs	cs	pl
