original	localized	language
Activate	Włącz	pl
ActivateAll	WłączWszystkie	pl
Active	Aktywne	pl
ActiveInterruptManager	AktywnePrzerwaniemanager	pl
ActiveMemoryManager	AktywnePamięćmanager	pl
Add	Dodaj	pl
AddDriver	Dodajdriver	pl
AddRunnableThread	Dodajrunnablethread	pl
AddTask	DodajZadanie	pl
AddThread	Dodajthread	pl
Address	Adres	pl
AlignedMalloc	Alignedmalloc	pl
AlignmentCheck	Alignmentcheck	pl
AllocateBlock	AllocateBlok	pl
AllocatePID	AllocateIdentyfikator	pl
AmountOfMemory	IlośćzPamięć	pl
ArrayToUint16	Tablicatounsignedinteger16	pl
ArrayToUint32	Tablicatounsignedinteger32	pl
ArrayToUint48	Tablicatounsignedinteger48	pl
ArrayToUint48_BE	Tablicatounsignedinteger48be	pl
ArrayToUint64	Tablicatounsignedinteger64	pl
Atime	Atime	pl
AtimeNsec	Atimensec	pl
BLOCKS_PER_BYTE	Blokperbyte	pl
BLOCK_SIZE	BlokRozmiar	pl
Backend	Backend	pl
BaseAddr	BaseAdres	pl
Bind	Dowiąż	pl
Blksize	Blksize	pl
Blocked	Blocked	pl
BlockedState	BlockedStan	pl
Blocks	Blok	pl
BoundRangeExceeded	BoundZakresexceeded	pl
BroadcastMacAddress	BroadcastmacAdres	pl
BytesPerSector	Bajtypersector	pl
BytesToString	BajtytoCIĄG	pl
Checksum	Sumakontrolna	pl
Clear	Wyczyść	pl
Clone	Clone	pl
CloneAddressSpaceCOW	CloneAdresSpacjacow	pl
Connect	Połącz	pl
ContainsCoordinate	Containscoordinate	pl
CopyPageFrameBlock	KopiujStronaRamkaBlok	pl
CpuState	ProcesorStan	pl
Create	Create	pl
CreateFromData	Createzdata	pl
CreateFromFunction	CreatezFunkcja	pl
CreatePtrFromFunction	CreateKursorzFunkcja	pl
Cs	Cs	pl
Ctime	Ctime	pl
CtimeNsec	Ctimensec	pl
CurrentPID	BieżącyIdentyfikator	pl
CurrentParentPID	BieżącyrodzicIdentyfikator	pl
Data	Data	pl
Deactivate	Wyłącz	pl
Deactive	Deactive	pl
Decrement	Decrement	pl
Delete	Usuń	pl
DescriptorPrivilegeLevel	Descriptorprivilegelevel	pl
DescriptorType	DescriptorTyp	pl
Destroy	Zniszcz	pl
Dev	Urządzenie	pl
DeviceHasFunctions	UrządzeniehasFunkcje	pl
DeviceNotAvailable	UrządzenienotDostępne	pl
Device_id	UrządzenieIdentyfikator	pl
DisableInt	WyłączCałkowity	pl
Disconnect	Rozłącz	pl
