original	before	after	review_status	concept	changed_tokens
Activate	Włącz	Włącz	existing-unreviewed		0
ActivateAll	WłączWszystkie	WłączWszystkie	existing-unreviewed		0
Active	Aktywne	Aktywne	existing-unreviewed		0
ActiveInterruptManager	AktywnePrzerwaniemanager	AktywnePrzerwaniemanager	existing-unreviewed		0
ActiveMemoryManager	AktywnePamięćmanager	AktywnePamięćmanager	existing-unreviewed		0
Add	Dodaj	Dodaj	existing-unreviewed		0
AddDriver	Dodajdriver	Dodajdriver	existing-unreviewed		0
AddRunnableThread	Dodajrunnablethread	Dodajrunnablethread	existing-unreviewed		0
AddTask	DodajZadanie	DodajZadanie	existing-unreviewed		0
AddThread	Dodajthread	Dodajthread	existing-unreviewed		0
Address	Adres	Adres	existing-unreviewed		0
AlignedMalloc	Alignedmalloc	Alignedmalloc	existing-unreviewed		0
AlignmentCheck	Alignmentcheck	Alignmentcheck	existing-unreviewed		0
AllocateBlock	AllocateBlok	AllocateBlok	existing-unreviewed		0
AllocatePID	AllocateIdentyfikator	AllocateIdentyfikator	existing-unreviewed		0
AmountOfMemory	IlośćzPamięć	IlośćzPamięć	existing-unreviewed		0
ArrayToUint16	Tablicatounsignedinteger16	Tablicatounsignedinteger16	existing-unreviewed		0
ArrayToUint32	Tablicatounsignedinteger32	Tablicatounsignedinteger32	existing-unreviewed		0
ArrayToUint48	Tablicatounsignedinteger48	Tablicatounsignedinteger48	existing-unreviewed		0
ArrayToUint48_BE	Tablicatounsignedinteger48be	Tablicatounsignedinteger48be	existing-unreviewed		0
ArrayToUint64	Tablicatounsignedinteger64	Tablicatounsignedinteger64	existing-unreviewed		0
Atime	Atime	Atime	existing-unreviewed		0
AtimeNsec	Atimensec	Atimensec	existing-unreviewed		0
BLOCKS_PER_BYTE	Blokperbyte	Blokperbyte	existing-unreviewed		0
BLOCK_SIZE	BlokRozmiar	BlokRozmiar	existing-unreviewed		0
Backend	Backend	Backend	existing-unreviewed		0
BaseAddr	BaseAdres	BaseAdres	existing-unreviewed		0
Bind	Dowiąż	Dowiąż	existing-unreviewed		0
Blksize	Blksize	Blksize	existing-unreviewed		0
Blocked	Blocked	Blocked	existing-unreviewed		0
BlockedState	BlockedStan	BlockedStan	existing-unreviewed		0
Blocks	Blok	Blok	existing-unreviewed		0
BoundRangeExceeded	BoundZakresexceeded	BoundZakresexceeded	existing-unreviewed		0
BroadcastMacAddress	BroadcastmacAdres	BroadcastmacAdres	existing-unreviewed		0
BytesPerSector	Bajtypersector	Bajtypersector	existing-unreviewed		0
BytesToString	BajtytoCIĄG	BajtytoCIĄG	existing-unreviewed		0
Checksum	Sumakontrolna	Sumakontrolna	existing-unreviewed		0
Clear	Wyczyść	Wyczyść	existing-unreviewed		0
Clone	Clone	Clone	existing-unreviewed		0
CloneAddressSpaceCOW	CloneAdresSpacjacow	CloneAdresSpacjacow	existing-unreviewed		0
Connect	Połącz	Połącz	existing-unreviewed		0
