standard_identifier	native_identifier	category	status
AF_INET	상호연결망주소계열	network-declaration	project-proposal
AF_UNSPEC	주소계열미지정	network-declaration	project-proposal
CHAR_BIT	여덟자리묶음의이진자리수	integer-limit	project-proposal
CHAR_MAX	문자정수최댓값	integer-limit	project-proposal
CHAR_MIN	문자정수최솟값	integer-limit	project-proposal
CHECK	조건확인	variable	project-proposal
E2BIG	오류전달목록너무큼	error-code	project-proposal
EACCES	오류접근권한없음	error-code	project-proposal
EADDRINUSE	오류주소이미사용중	error-code	project-proposal
EAFNOSUPPORT	오류주소계열지원안함	error-code	project-proposal
EAGAIN	오류잠시사용불가	error-code	project-proposal
EBADF	오류서술번호잘못됨	error-code	project-proposal
EBUSY	오류자원사용중	error-code	project-proposal
ECHILD	오류자식실행과정없음	error-code	project-proposal
EEXIST	오류자료철이미있음	error-code	project-proposal
EFAULT	오류기억주소잘못됨	error-code	project-proposal
EFBIG	오류자료철너무큼	error-code	project-proposal
EINTR	오류동작중단됨	error-code	project-proposal
EINVAL	오류전달값잘못됨	error-code	project-proposal
EIO	오류입출력실패	error-code	project-proposal
EISDIR	오류목록임	error-code	project-proposal
EMFILE	오류과정열린자료철한도	error-code	project-proposal
EMSGSIZE	오류전문너무큼	error-code	project-proposal
ENETUNREACH	오류통신망도달불가	error-code	project-proposal
ENFILE	오류체제열린자료철한도	error-code	project-proposal
ENODEV	오류장치없음	error-code	project-proposal
ENOENT	오류자료철이나목록없음	error-code	project-proposal
ENOEXEC	오류실행형식잘못됨	error-code	project-proposal
ENOMEM	오류기억공간부족	error-code	project-proposal
ENOSPC	오류저장공간부족	error-code	project-proposal
ENOSYS	오류기능미구현	error-code	project-proposal
ENOTCONN	오류끝점연결안됨	error-code	project-proposal
ENOTDIR	오류목록아님	error-code	project-proposal
ENOTTY	오류장치에맞지않는동작	error-code	project-proposal
EOPNOTSUPP	오류동작지원안함	error-code	project-proposal
EPERM	오류허용되지않은동작	error-code	project-proposal
EPROTONOSUPPORT	오류규약지원안함	error-code	project-proposal
ERANGE	오류값범위벗어남	error-code	project-proposal
EROFS	오류읽기전용자료체계	error-code	project-proposal
ESPIPE	오류흐름위치이동불가	error-code	project-proposal
ESRCH	오류실행과정없음	error-code	project-proposal
EXIT_FAILURE	실패종료	interface-constant	project-proposal
EXIT_SUCCESS	성공종료	interface-constant	project-proposal
FD_CLOEXEC	실행내용교체때닫기	interface-constant	project-proposal
F_DUPFD	서술번호복제	interface-constant	project-proposal
F_GETFD	서술번호표시얻기	interface-constant	project-proposal
F_GETFL	자료철상태표시얻기	interface-constant	project-proposal
F_OK	존재확인	interface-constant	project-proposal
F_SETFD	서술번호표시설정	interface-constant	project-proposal
F_SETFL	자료철상태표시설정	interface-constant	project-proposal
INADDR_ANY	모든지역주소	network-declaration	project-proposal
INADDR_LOOPBACK	자기되돌림주소	network-declaration	project-proposal
INT_MAX	정수최댓값	integer-limit	project-proposal
INT_MIN	정수최솟값	integer-limit	project-proposal
IPPROTO_IP	상호연결망기본규약	network-declaration	project-proposal
IPPROTO_UDP	사용자자료전문규약	network-declaration	project-proposal
LLONG_MAX	아주긴정수최댓값	integer-limit	project-proposal
LLONG_MIN	아주긴정수최솟값	integer-limit	project-proposal
LONG_MAX	긴정수최댓값	integer-limit	project-proposal
LONG_MIN	긴정수최솟값	integer-limit	project-proposal
NULL	빈주소	interface-constant	project-proposal
O_ACCMODE	접근방식가림값	interface-constant	project-proposal
O_APPEND	끝에덧붙이기	interface-constant	project-proposal
O_CREAT	없으면만들기	interface-constant	project-proposal
O_DIRECTORY	목록만허용	interface-constant	project-proposal
O_EXCL	새자료철만허용	interface-constant	project-proposal
O_RDONLY	읽기전용열기	interface-constant	project-proposal
O_RDWR	읽고쓰기열기	interface-constant	project-proposal
O_TRUNC	기존내용비우기	interface-constant	project-proposal
O_WRONLY	쓰기전용열기	interface-constant	project-proposal
PF_INET	상호연결망규약계열	network-declaration	project-proposal
R_OK	읽기권한확인	interface-constant	project-proposal
SC0	인수없는체계호출	implementation-helper	project-proposal
SC1	인수하나체계호출	implementation-helper	project-proposal
SC2	인수둘체계호출	implementation-helper	project-proposal
SC3	인수셋체계호출	implementation-helper	project-proposal
SCHAR_MAX	부호있는문자정수최댓값	integer-limit	project-proposal
SCHAR_MIN	부호있는문자정수최솟값	integer-limit	project-proposal
SC_accept	통신끝점_연결요청받기	internal-name	derived-from-call-role
SC_bind	통신끝점_지역주소맺기	internal-name	derived-from-call-role
SC_connect	통신끝점_상대끝점잇기	internal-name	derived-from-call-role
SC_getpeername	통신끝점_상대끝점주소얻기	internal-name	derived-from-call-role
SC_getsockname	통신끝점_지역끝점주소얻기	internal-name	derived-from-call-role
SC_listen	통신끝점_연결요청받을준비하기	internal-name	derived-from-call-role
SC_recv	통신끝점_받기	internal-name	derived-from-call-role
SC_recvfrom	통신끝점_보낸곳과함께받기	internal-name	derived-from-call-role
SC_send	통신끝점_보내기	internal-name	derived-from-call-role
SC_sendto	통신끝점_목적지로보내기	internal-name	derived-from-call-role
SC_setsockopt	통신끝점_통신끝점설정하기	internal-name	derived-from-call-role
SC_shutdown	통신끝점_통신방향닫기	internal-name	derived-from-call-role
SC_socket	통신끝점_통신끝점만들기	internal-name	derived-from-call-role
SEEK_CUR	현재기준위치	interface-constant	project-proposal
SEEK_END	끝기준위치	interface-constant	project-proposal
SEEK_SET	처음기준위치	interface-constant	project-proposal
SHRT_MAX	짧은정수최댓값	integer-limit	project-proposal
SHRT_MIN	짧은정수최솟값	integer-limit	project-proposal
SHUT_RD	수신중단	network-declaration	project-proposal
SHUT_RDWR	양방향중단	network-declaration	project-proposal
SHUT_WR	송신중단	network-declaration	project-proposal
SOCK_DGRAM	자료전문끝점	network-declaration	project-proposal
SOCK_STREAM	자료흐름끝점	network-declaration	project-proposal
STDERR_FILENO	표준오류출력번호	interface-constant	project-proposal
STDIN_FILENO	표준입력번호	interface-constant	project-proposal
STDOUT_FILENO	표준출력번호	interface-constant	project-proposal
SYS_access	체계호출_접근권한확인하기	internal-name	derived-from-call-role
SYS_brk	체계호출_동적기억끝정하기	internal-name	derived-from-call-role
SYS_chdir	체계호출_작업목록바꾸기	internal-name	derived-from-call-role
SYS_close	체계호출_닫기	internal-name	derived-from-call-role
SYS_creat	체계호출_자료철만들기	internal-name	derived-from-call-role
SYS_dup	체계호출_열린자료참조복제하기	internal-name	derived-from-call-role
SYS_dup2	체계호출_지정번호로열린자료참조복제하기	internal-name	derived-from-call-role
SYS_execve	체계호출_실행내용바꾸기	internal-name	derived-from-call-role
SYS_exit	체계호출_즉시끝내기	internal-name	derived-from-call-role
SYS_fcntl	체계호출_자료철제어하기	internal-name	derived-from-call-role
SYS_fork	체계호출_실행과정갈라내기	internal-name	derived-from-call-role
SYS_fstat	체계호출_열린자료철상태얻기	internal-name	derived-from-call-role
SYS_fsync	체계호출_자료철기록맞추기	internal-name	derived-from-call-role
SYS_getcwd	체계호출_작업목록경로얻기	internal-name	derived-from-call-role
SYS_getegid	체계호출_유효무리번호얻기	internal-name	derived-from-call-role
SYS_geteuid	체계호출_유효사용자번호얻기	internal-name	derived-from-call-role
SYS_getgid	체계호출_무리번호얻기	internal-name	derived-from-call-role
SYS_getpid	체계호출_실행과정번호얻기	internal-name	derived-from-call-role
SYS_getppid	체계호출_부모실행과정번호얻기	internal-name	derived-from-call-role
SYS_getuid	체계호출_사용자번호얻기	internal-name	derived-from-call-role
SYS_lseek	체계호출_자료위치옮기기	internal-name	derived-from-call-role
SYS_lstat	체계호출_연결자체상태얻기	internal-name	derived-from-call-role
SYS_open	체계호출_열기	internal-name	derived-from-call-role
SYS_read	체계호출_읽기	internal-name	derived-from-call-role
SYS_socketcall	통신끝점체계호출번호	implementation-helper	project-proposal
SYS_stat	체계호출_자료철상태	internal-name	derived-from-call-role
SYS_sync	체계호출_모든기록맞추기	internal-name	derived-from-call-role
SYS_uname	체계호출_체제정보얻기	internal-name	derived-from-call-role
SYS_write	체계호출_쓰기	internal-name	derived-from-call-role
S_IFCHR	문자장치종류	interface-constant	project-proposal
S_IFDIR	목록종류	interface-constant	project-proposal
S_IFMT	자료철종류가림값	interface-constant	project-proposal
S_IFREG	일반자료철종류	interface-constant	project-proposal
S_IRGRP	소유무리읽기권한	interface-constant	project-proposal
S_IROTH	나머지읽기권한	interface-constant	project-proposal
S_IRUSR	소유자읽기권한	interface-constant	project-proposal
S_ISCHR	문자장치방식인지확인	interface-constant	project-proposal
S_ISDIR	목록방식인지확인	interface-constant	project-proposal
S_ISREG	일반자료철방식인지확인	interface-constant	project-proposal
S_IWGRP	소유무리쓰기권한	interface-constant	project-proposal
S_IWOTH	나머지쓰기권한	interface-constant	project-proposal
S_IWUSR	소유자쓰기권한	interface-constant	project-proposal
S_IXGRP	소유무리실행권한	interface-constant	project-proposal
S_IXOTH	나머지실행권한	interface-constant	project-proposal
S_IXUSR	소유자실행권한	interface-constant	project-proposal
UCHAR_MAX	부호없는문자정수최댓값	integer-limit	project-proposal
UINT_MAX	부호없는정수최댓값	integer-limit	project-proposal
ULLONG_MAX	부호없는아주긴정수최댓값	integer-limit	project-proposal
ULONG_MAX	부호없는긴정수최댓값	integer-limit	project-proposal
USHRT_MAX	부호없는짧은정수최댓값	integer-limit	project-proposal
WEXITSTATUS	종료값꺼내기	interface-constant	project-proposal
WIFEXITED	정상종료인지확인	interface-constant	project-proposal
