english	localized	language
a	a	gn
access	access	gn
ack	ack	gn
activate	activate	gn
active	active	gn
add	add	gn
addend	addend	gn
addr	addr	gn
addralign	addralign	gn
address	address	gn
advanced	advanced	gn
af	af	gn
after	after	gn
align	align	gn
aligned	aligned	gn
alignment	alignment	gn
all	all	gn
alloc	alloc	gn
allocate	allocate	gn
allocated	allocated	gn
am	am	gn
amd	amd	gn
amount	amount	gn
and	and	gn
append	append	gn
args	args	gn
argument	argument	gn
arguments	arguments	gn
arp	arp	gn
arp콘솔	arp콘솔	gn
array	array	gn
assembly	assembly	gn
at	at	gn
ata	ata	gn
atime	atime	gn
attachment	attachment	gn
attempts	attempts	gn
attr	attr	gn
attribute	attribute	gn
attributes	attributes	gn
aux	aux	gn
avail	avail	gn
available	available	gn
b	b	gn
ba	ba	gn
back	back	gn
backend	backend	gn
backup	backup	gn
bar	bar	gn
base	base	gn
be	be	gn
bh	bh	gn
big	big	gn
bind	bind	gn
bios	bios	gn
bit	bit	gn
bitmap	bitmap	gn
bitmasp	bitmasp	gn
bits	bits	gn
blksize	blksize	gn
block	block	gn
blocked	blocked	gn
blocking	blocking	gn
blocks	blocks	gn
boot	boot	gn
bootable	bootable	gn
bootloader	bootloader	gn
bound	bound	gn
bpb	bpb	gn
break	break	gn
brk	brk	gn
broadcast	broadcast	gn
buf	buf	gn
buffer	buffer	gn
buffers	buffers	gn
bufptr	bufptr	gn
bus	bus	gn
button	button	gn
buttons	buttons	gn
by	by	gn
byte	byte	gn
bytes	bytes	gn
c	c	gn
cache	cache	gn
call	call	gn
candidate	candidate	gn
cap	cap	gn
capable	capable	gn
card	card	gn
central	central	gn
char	char	gn
chdir	chdir	gn
check	check	gn
checked	checked	gn
checksum	checksum	gn
child	child	gn
chunk	chunk	gn
class	class	gn
clear	clear	gn
cloexec	cloexec	gn
clone	clone	gn
close	close	gn
cluster	cluster	gn
cmp	cmp	gn
code	code	gn
col	col	gn
color	color	gn
colordepth	colordepth	gn
command	command	gn
commandport	commandport	gn
common	common	gn
component	component	gn
connect	connect	gn
connected	connected	gn
console	console	gn
constant	constant	gn
contains	contains	gn
contents	contents	gn
control	control	gn
controller	controller	gn
coordinate	coordinate	gn
copies	copies	gn
copy	copy	gn
count	count	gn
cow	cow	gn
cpu	cpu	gn
cpustate	cpustate	gn
cpy	cpy	gn
cr	cr	gn
creat	creat	gn
create	create	gn
crtc	crtc	gn
cs	cs	gn
ctime	ctime	gn
cur	cur	gn
current	current	gn
cursor	cursor	gn
cylinder	cylinder	gn
d	d	gn
data	data	gn
databuffer	databuffer	gn
datagram	datagram	gn
dataport	dataport	gn
date	date	gn
deactivate	deactivate	gn
deactive	deactive	gn
debug	debug	gn
decrement	decrement	gn
default	default	gn
delete	delete	gn
delta	delta	gn
depth	depth	gn
desc	desc	gn
descr	descr	gn
description	description	gn
descriptor	descriptor	gn
descriptors	descriptors	gn
descsz	descsz	gn
destination	destination	gn
destroy	destroy	gn
dev	dev	gn
device	device	gn
diff	diff	gn
digits	digits	gn
dir	dir	gn
directory	directory	gn
dirent	dirent	gn
disable	disable	gn
discard	discard	gn
disconnect	disconnect	gn
dispatch	dispatch	gn
divide	divide	gn
divisor	divisor	gn
do	do	gn
domain	domain	gn
double	double	gn
down	down	gn
draw	draw	gn
drive	drive	gn
driver	driver	gn
drivercount	drivercount	gn
drivers	drivers	gn
drv	drv	gn
ds	ds	gn
dst	dst	gn
dstptr	dstptr	gn
dup	dup	gn
dword	dword	gn
dyn	dyn	gn
dynamic	dynamic	gn
e	e	gn
eacces	eacces	gn
eaddrinuse	eaddrinuse	gn
eafnosupport	eafnosupport	gn
eagain	eagain	gn
eax	eax	gn
ebadf	ebadf	gn
ebp	ebp	gn
ebusy	ebusy	gn
ebx	ebx	gn
echild	echild	gn
echo	echo	gn
ecx	ecx	gn
edi	edi	gn
edx	edx	gn
eexist	eexist	gn
ef	ef	gn
efault	efault	gn
efbig	efbig	gn
eflags	eflags	gn
ehsize	ehsize	gn
eintr	eintr	gn
einval	einval	gn
eio	eio	gn
eip	eip	gn
eisdir	eisdir	gn
elf	elf	gn
emfile	emfile	gn
empty	empty	gn
emsgsize	emsgsize	gn
enable	enable	gn
enabled	enabled	gn
end	end	gn
enetunreach	enetunreach	gn
enfile	enfile	gn
enodev	enodev	gn
enoent	enoent	gn
enoexec	enoexec	gn
enomem	enomem	gn
enospc	enospc	gn
enosys	enosys	gn
enotconn	enotconn	gn
enotdir	enotdir	gn
enotty	enotty	gn
ensure	ensure	gn
entries	entries	gn
entry	entry	gn
entrypoint	entrypoint	gn
entsize	entsize	gn
environment	environment	gn
eopnotsupp	eopnotsupp	gn
eperm	eperm	gn
ephemeral	ephemeral	gn
eprotonosupport	eprotonosupport	gn
equal	equal	gn
erange	erange	gn
erofs	erofs	gn
err	err	gn
error	error	gn
errorln	errorln	gn
es	es	gn
esi	esi	gn
esp	esp	gn
espipe	espipe	gn
esrch	esrch	gn
ether	ether	gn
etherframe	etherframe	gn
ethernet	ethernet	gn
event	event	gn
events	events	gn
exceeded	exceeded	gn
except	except	gn
exception	exception	gn
exec	exec	gn
execve	execve	gn
exists	exists	gn
exit	exit	gn
exited	exited	gn
ext	ext	gn
extended	extended	gn
f	f	gn
family	family	gn
fat	fat	gn
fatal	fatal	gn
fatbuf	fatbuf	gn
fatbuffer	fatbuffer	gn
fault	fault	gn
fb	fb	gn
fcntl	fcntl	gn
fd	fd	gn
fds	fds	gn
field	field	gn
file	file	gn
filename	filename	gn
files	files	gn
filesz	filesz	gn
fill	fill	gn
find	find	gn
first	first	gn
fl	fl	gn
flag	flag	gn
flags	flags	gn
floating	floating	gn
flush	flush	gn
fn	fn	gn
focus	focus	gn
focussable	focussable	gn
foo	foo	gn
for	for	gn
forced	forced	gn
fork	fork	gn
found	found	gn
fp	fp	gn
fpu	fpu	gn
frame	frame	gn
free	free	gn
frequency	frequency	gn
from	from	gn
front	front	gn
fs	fs	gn
fstat	fstat	gn
fsync	fsync	gn
fuction	fuction	gn
full	full	gn
func	func	gn
function	function	gn
functions	functions	gn
fxrstor	fxrstor	gn
fxsave	fxsave	gn
g	g	gn
gate	gate	gn
gateway	gateway	gn
gb	gb	gn
gdt	gdt	gn
get	get	gn
getcwd	getcwd	gn
getegid	getegid	gn
geteuid	geteuid	gn
getgid	getgid	gn
getpid	getpid	gn
getppid	getppid	gn
getuid	getuid	gn
gid	gid	gn
global	global	gn
got	got	gn
gpf	gpf	gn
gran	gran	gn
graphics	graphics	gn
grub	grub	gn
gs	gs	gn
h	h	gn
halt	halt	gn
handle	handle	gn
handler	handler	gn
handlers	handlers	gn
hardware	hardware	gn
has	has	gn
hd	hd	gn
head	head	gn
header	header	gn
headertype	headertype	gn
heap	heap	gn
height	height	gn
helper	helper	gn
hex	hex	gn
hex출력	hex출력	gn
hi	hi	gn
hidden	hidden	gn
high	high	gn
hop	hop	gn
i	i	gn
icmp	icmp	gn
icmp콘솔	icmp콘솔	gn
id	id	gn
ident	ident	gn
identify	identify	gn
idt	idt	gn
idx	idx	gn
ifchr	ifchr	gn
ifdir	ifdir	gn
ifmt	ifmt	gn
ifreg	ifreg	gn
ifsock	ifsock	gn
in	in	gn
increment	increment	gn
index	index	gn
inet	inet	gn
info	info	gn
init	init	gn
initial	initial	gn
initialization	initialization	gn
initialize	initialize	gn
ino	ino	gn
inode	inode	gn
input	input	gn
install	install	gn
int	int	gn
interconnect	interconnect	gn
interface	interface	gn
internet	internet	gn
internetprotocol	internetprotocol	gn
interrupt	interrupt	gn
interrupts	interrupts	gn
invalid	invalid	gn
io	io	gn
iomap	iomap	gn
ip	ip	gn
ipci	ipci	gn
ipmessage	ipmessage	gn
ipv	ipv	gn
ip콘솔	ip콘솔	gn
iret	iret	gn
is	is	gn
ist	ist	gn
j	j	gn
jmp	jmp	gn
jump	jump	gn
k	k	gn
kb	kb	gn
kcs	kcs	gn
kds	kds	gn
kernel	kernel	gn
key	key	gn
keyboard	keyboard	gn
kgs	kgs	gn
kind	kind	gn
k핵심	k핵심	gn
l	l	gn
label	label	gn
last	last	gn
lba	lba	gn
ldt	ldt	gn
left	left	gn
len	len	gn
length	length	gn
lengths	lengths	gn
level	level	gn
lib	lib	gn
lidt	lidt	gn
lidtaddr	lidtaddr	gn
limit	limit	gn
line	line	gn
link	link	gn
linked	linked	gn
linker	linker	gn
list	list	gn
listen	listen	gn
listening	listening	gn
live	live	gn
load	load	gn
loader	loader	gn
local	local	gn
log	log	gn
logical	logical	gn
loop	loop	gn
low	low	gn
lseek	lseek	gn
lstat	lstat	gn
