original	localized	language
Activate	Activate	gn
ActivateAll	Activateall	gn
Active	Active	gn
ActiveInterruptManager	Activeinterruptmanager	gn
ActiveMemoryManager	Activememorymanager	gn
Add	Add	gn
AddDriver	Adddriver	gn
AddRunnableThread	Addrunnablethread	gn
AddTask	Addtask	gn
AddThread	Addthread	gn
Address	Address	gn
AlignedMalloc	Alignedmalloc	gn
AlignmentCheck	Alignmentcheck	gn
AllocateBlock	Allocateblock	gn
AllocatePID	Allocatepid	gn
AmountOfMemory	Amountofmemory	gn
ArrayToUint16	Arraytounsignedinteger16	gn
ArrayToUint32	Arraytounsignedinteger32	gn
ArrayToUint48	Arraytounsignedinteger48	gn
ArrayToUint48_BE	Arraytounsignedinteger48be	gn
ArrayToUint64	Arraytounsignedinteger64	gn
Atime	Atime	gn
AtimeNsec	Atimensec	gn
BLOCKS_PER_BYTE	Blockperbyte	gn
BLOCK_SIZE	Blocksize	gn
Backend	Backend	gn
BaseAddr	Baseaddress	gn
Bind	Bind	gn
Blksize	Blksize	gn
Blocked	Blocked	gn
BlockedState	Blockedstate	gn
Blocks	Block	gn
BoundRangeExceeded	Boundrangeexceeded	gn
BroadcastMacAddress	Broadcastmacaddress	gn
BytesPerSector	Bytespersector	gn
BytesToString	Bytestostring	gn
Checksum	Checksum	gn
Clear	Clear	gn
Clone	Clone	gn
CloneAddressSpaceCOW	Cloneaddressspacecow	gn
Connect	Connect	gn
ContainsCoordinate	Containscoordinate	gn
CopyPageFrameBlock	Copypageframeblock	gn
CpuState	Cpustate	gn
Create	Create	gn
CreateFromData	Createfromdata	gn
CreateFromFunction	Createfromfunction	gn
CreatePtrFromFunction	Createpointerfromfunction	gn
Cs	Cs	gn
Ctime	Ctime	gn
CtimeNsec	Ctimensec	gn
CurrentPID	Currentpid	gn
CurrentParentPID	Currentparentpid	gn
Data	Data	gn
Deactivate	Deactivate	gn
Deactive	Deactive	gn
Decrement	Decrement	gn
Delete	Delete	gn
DescriptorPrivilegeLevel	Descriptorprivilegelevel	gn
DescriptorType	Descriptortype	gn
Destroy	Destroy	gn
Dev	Device	gn
DeviceHasFunctions	Devicehasfunctions	gn
DeviceNotAvailable	Devicenotavailable	gn
Device_id	Deviceid	gn
DisableInt	Disableint	gn
Disconnect	Disconnect	gn
DivideByZero	Dividebyzero	gn
DoHandleInterrupt	Dohandleinterrupt	gn
DoubleFault	Doublefault	gn
Draw	Draw	gn
DriverManager	Drivermanager	gn
Ds	Ds	gn
Dynamic	Dynamic	gn
E2BIG	E2big	gn
EACCES	Eacces	gn
EADDRINUSE	Eaddrinuse	gn
EAFNOSUPPORT	Eafnosupport	gn
EAGAIN	Eagain	gn
EBADF	Ebadf	gn
EBUSY	Ebusy	gn
ECHILD	Echild	gn
EEXIST	Eexist	gn
EFAULT	Efault	gn
EFBIG	Efbig	gn
EINTR	Eintr	gn
EINVAL	Einval	gn
EIO	Eio	gn
EISDIR	Eisdir	gn
EMFILE	Emfile	gn
EMSGSIZE	Emsgsize	gn
ENETUNREACH	Enetunreach	gn
ENFILE	Enfile	gn
ENODEV	Enodev	gn
ENOENT	Enoent	gn
ENOEXEC	Enoexec	gn
ENOMEM	Enomem	gn
ENOSPC	Enospc	gn
ENOSYS	Enosys	gn
ENOTCONN	Enotconn	gn
ENOTDIR	Enotdir	gn
ENOTTY	Enotty	gn
EOPNOTSUPP	Eopnotsupp	gn
EPERM	Eperm	gn
EPROTONOSUPPORT	Eprotonosupport	gn
ERANGE	Erange	gn
EROFS	Erofs	gn
ESPIPE	Espipe	gn
ESRCH	Esrch	gn
Eax	Eax	gn
Ebp	Ebp	gn
Ebx	Ebx	gn
Ecx	Ecx	gn
Edi	Edi	gn
Edx	Edx	gn
Eflags	Eflags	gn
Eip	Eip	gn
Elf	Elf	gn
Elf32Dyn	Elf32dyn	gn
Elf32Note	Elf32note	gn
Elf32Rel	Elf32rel	gn
Elf32Rela	Elf32rela	gn
Elf32Sym	Elf32sym	gn
ElfHeader	Elfheader	gn
ElfProgramHeader	Elfprogramheader	gn
ElfSectionHeader	Elfsectionheader	gn
EnablePaging	Enablepaging	gn
Enabled	Enabled	gn
EntryNumber	Entrynumber	gn
EqualBytes	Equalbytes	gn
Es	Es	gn
Esi	Esi	gn
Esp	Esp	gn
FPUBuffer	Fpubuffer	gn
FPUOffset	Fpuoffset	gn
Family	Family	gn
FileName	Filename	gn
Fill	Fill	gn
FillRectangle	Fillrectangle	gn
First	First	gn
FirstFree	Firstfree	gn
FirstFreeSize	Firstfreesize	gn
Flags	Flags	gn
FloatingPointException	Floatingpointexception	gn
Flush	Flush	gn
FlushTlsTable	Flushtlstable	gn
Focussable	Focussable	gn
Free	Free	gn
Fs	Fs	gn
GB	Gb	gn
GDT_ENTRIES	Gdtentry	gn
GOT	Got	gn
GPFException	Gpfexception	gn
GatewayIP	Gatewayip	gn
GdtAddressHigh	Gdtaddresshigh	gn
GdtAddressLow	Gdtaddresslow	gn
GdtDescriptor	Gdtdescriptor	gn
GdtEntry	Gdtentry_2	gn
GdtSize	Gdtsize	gn
GetAt	Getat	gn
GetBackend	Getbackend	gn
GetBaseAddressRegister	Getbaseaddressregister	gn
GetBitmaspSize	Getbitmaspsize	gn
GetBytesFromPtr	Getbytesfrompointer	gn
GetCR0	Getcr0	gn
GetCR2	Getcr2	gn
GetCR3	Getcr3	gn
GetCR4	Getcr4	gn
GetColorIndex	Getcolorindex	gn
GetDeviceDescriptor	Getdevicedescriptor	gn
GetDriver	Getdriver	gn
GetESP0	Getesp0	gn
GetEntry	Getentry	gn
GetFileSize	Getfilesize	gn
GetFocus	Getfocus	gn
GetFrameBufferSegment	Getframebuffersegment	gn
GetFuncPtrFromPtr	Getfuncpointerfrompointer	gn
GetFunctionName	Getfunctionname	gn
GetHandler	Gethandler	gn
GetIPAddress	Getipaddress	gn
GetMACAddress	Getmacaddress	gn
GetMACFromCache	Getmacfromcache	gn
GetNextReadyThread	Getnextreadythread	gn
GetNodeAt	Getnodeat	gn
GetProvider	Providerget	gn
GetSS0	Getss0	gn
GetStr	Getstr	gn
GetUint32ArrayFromPtr	Getunsignedinteger32arrayfrompointer	gn
GetUintptrArrayFromPtr	Getunsignedintegerpointerarrayfrompointer	gn
GetValue	Getvalue	gn
GetValueInPageDir	Getvalueinpagedirectory	gn
Gid	Gid	gn
Gs	Gs	gn
HandleException	Handleexception	gn
HandleFatalInterruptFrame	Handlefatalinterruptframe	gn
HandleInterrupt	Handleinterrupt	gn
HandleInterrupt1	Handleinterrupt1	gn
HandleUserDatagramProtocolMessage	Handleuserdatagramprotocolmessage	gn
IDT_DESC_PRESENT	Idtdescriptorpresent	gn
IDT_INTERRUPT_GATE	Idtinterruptgate	gn
IDriver	IDriver	gn
IEtherFrameHandler	IEthernetframehandler	gn
IInternetProtocolHandler	IInternetprotocolhandler	gn
IInterruptHandler	IInterrupthandler	gn
IKeyboardEventHandler	IKeyboardeventhandler	gn
IMouseEventHandler	IMouseeventhandler	gn
IPCIControllerHandler	Ipcicontrollerhandler	gn
IPCache	Ipcache	gn
IP_BE	Ipnetworkbyteorder	gn
IRawDataHandler	IRawdatahandler	gn
ITimerEventHandler	ITimereventhandler	gn
IUserDatagramProtocolHandler	IUserdatagramprotocolhandler	gn
IUserDatagramProtocolSocket	IUserdatagramprotocolsocket	gn
IWidget	IWidget	gn
Identify	Identify	gn
Increment	Increment	gn
IndexOf	Indexof	gn
Init	Init	gn
InitDriver	Initdriver	gn
InitialThreadUserJump	Initialthreaduserjump	gn
Ino	Ino	gn
Install	Install	gn
Interrupt	Interrupt	gn
InterruptActive	Interruptactive	gn
InterruptDeactive	Interruptdeactive	gn
InterruptManager	Interruptmanager	gn
InterruptNumber	Interruptnumber	gn
InvalidOpcode	Invalidopcode	gn
InvalidTSS	Invalidtss	gn
IsKernel	Iskernel	gn
IsPresent	Ispresent	gn
IsUserSpace	Isuserspace	gn
KB	Kb	gn
KCS_INDEX	Kcsindex	gn
KCS_SELECTOR	Kcsselector	gn
KDS_INDEX	Kdsindex	gn
KDS_SELECTOR	Kdsselector	gn
KERNEL_HEAP_START	Kernelheapstart	gn
KERNEL_VIRT_ADDR	Kernelvirtaddress	gn
KGS_INDEX	Kgsindex	gn
KGS_SELECTOR	Kgsselector	gn
K핵심	KKernelEntry	gn
LIDT	Lidt	gn
Last	Last	gn
Len	Len	gn
Limit	Limit	gn
Link	Link	gn
LinkMap	Linkmap	gn
LinkedList	Linkedlist	gn
Listen	Listen	gn
LoadElf	Loadelf	gn
MAC	Mac	gn
MAC0	Mac0	gn
MAC1	Mac1	gn
MAC2	Mac2	gn
MAC3	Mac3	gn
MAC4	Mac4	gn
MAC5	Mac5	gn
MACAddress0Port	Macaddress0port	gn
MACAddress2Port	Macaddress2port	gn
MACAddress4Port	Macaddress4port	gn
MACCache	Maccache	gn
MAX_QUEUE_SIZE	Maxqueuesize	gn
MB	Mb	gn
MBR	Mbr	gn
MHex출력	MHexadecimalprint	gn
MHex출력XY	MHexadecimalprintxy	gn
MUint16출력	MUnsignedinteger16print	gn
MUint16출력XY	MUnsignedinteger16printxy	gn
MUint32출력	MUnsignedinteger32print	gn
MUint32출력XY	MUnsignedinteger32printxy	gn
MUint64출력	MUnsignedinteger64print	gn
MUint64출력XY	MUnsignedinteger64printxy	gn
Machine	Machine	gn
MachineCheck	Machinecheck	gn
MakeRangePrivateWritable	Makerangeprivatewritable	gn
Malloc	Malloc	gn
MemCmp	Memcmp	gn
MemCpy	Memcopy	gn
MemMove	Memmove	gn
MemSet	Memset	gn
MemoryOper	Memoryoper	gn
Mode	Mode	gn
ModelToScreen	Set_local_coordinates	gn
Mtime	Mtime	gn
MtimeNsec	Mtimensec	gn
MyHandleInterrupt	Myhandleinterrupt	gn
MyTest	Mytest	gn
M긴급로그Hex8	MEmergencyloghexadecimal8	gn
M긴급로그Uint32	MEmergencylogunsignedinteger32	gn
M긴급로그문자열	MEmergencylogstring	gn
M직렬로그초기화	MSerialloginit	gn
M출력	MPrint	gn
M출력BytesXY	MPrintbytesxy	gn
M출력Hex	MPrinthexadecimal	gn
M출력Uint16	MPrintunsignedinteger16	gn
M출력Uint32	MPrintunsignedinteger32	gn
M출력XY	MPrintxy	gn
M테스트	M테스트	gn
NMI	Nmi	gn
New	New	gn
NewInterruptHandler	Newinterrupthandler	gn
Next	Next	gn
Nlink	Nlink	gn
Node	Node	gn
Nodename	Nodename	gn
OnEtherFrameReceived	Ethernetframereceivewhen	gn
OnGetDriver	Ongetdriver	gn
OnInternetProtocolReceived	Internetprotocolreceivewhen	gn
OnKeyDown	Onkeydown	gn
OnKeyUp	Onkeyup	gn
OnMouseDown	Onmousedown	gn
OnMouseMove	Onmousemove	gn
OnMouseUp	Onmouseup	gn
OnRawDataReceived	Onrawdatareceive	gn
OnTick	Ontick	gn
Overflow	Overflow	gn
P1LinkMap	PValue1linkmap	gn
P2LinkMap	PValue2linkmap	gn
P3LinkMap	PValue3linkmap	gn
PAGE_COW	Pagecow	gn
PAGE_FRAME	Pageframe	gn
PAGE_PRESENT	Pagepresent	gn
PAGE_USER	Pageuser	gn
PAGE_WRITABLE	Pagewritable	gn
PAUSE_LOOP	Pauseloop	gn
PICMasterCommandPort	Primarypiccommandioport	gn
PICMasterDataPort	Primarypicdataioport	gn
PICSlaveCommandPort	Secondarypiccommandioport	gn
PICSlaveDataPort	Secondarypicdataioport	gn
PRESENT	Present	gn
PRIV_KERNEL	Privkernel	gn
PRIV_USER	Privuser	gn
PROC_USER_HEAP_SIZE	Procuserheapsize	gn
PageDirEntry	Pagedirectoryentry	gn
PageDirectoryEntry	Pagedirectoryentry_2	gn
