original	localized	language
Activate	Activer	fr
ActivateAll	ActiverTout	fr
Active	Actif	fr
ActiveInterruptManager	Actifinterruptiongestionnaire	fr
ActiveMemoryManager	Actifmémoiregestionnaire	fr
Add	Ajouter	fr
AddDriver	Ajouterpilote	fr
AddRunnableThread	AjouterrunnablefilExécution	fr
AddTask	Ajoutertâche	fr
AddThread	AjouterfilExécution	fr
Address	Address	fr
AlignedMalloc	Alignedmalloc	fr
AlignmentCheck	Alignmentcheck	fr
AllocateBlock	AllocateBloc	fr
AllocatePID	Allocatepid	fr
AmountOfMemory	Quantitésurmémoire	fr
ArrayToUint16	Tableautounsignedinteger16	fr
ArrayToUint32	Tableautounsignedinteger32	fr
ArrayToUint48	Tableautounsignedinteger48	fr
ArrayToUint48_BE	Tableautounsignedinteger48be	fr
ArrayToUint64	Tableautounsignedinteger64	fr
Atime	Atime	fr
AtimeNsec	Atimensec	fr
BLOCKS_PER_BYTE	Blocperoctet	fr
BLOCK_SIZE	BlocTaille	fr
Backend	Backend	fr
BaseAddr	Baseaddress	fr
Bind	Relier	fr
Blksize	Blksize	fr
Blocked	Blocked	fr
BlockedState	BlockedÉtat	fr
Blocks	Bloc	fr
BoundRangeExceeded	BoundIntervalleexceeded	fr
BroadcastMacAddress	Broadcastmacaddress	fr
BytesPerSector	Octetspersector	fr
BytesToString	OctetstoChaîne	fr
Checksum	Checksum	fr
Clear	Effacer	fr
Clone	Clone	fr
CloneAddressSpaceCOW	CloneaddressEspacecow	fr
Connect	Connecter	fr
ContainsCoordinate	Containscoordinate	fr
CopyPageFrameBlock	CopierpagetrameBloc	fr
CpuState	ProcesseurÉtat	fr
Create	Créer	fr
CreateFromData	Créerdedonnées	fr
CreateFromFunction	CréerdeFonction	fr
CreatePtrFromFunction	CréerPointeurdeFonction	fr
Cs	Cs	fr
Ctime	Ctime	fr
CtimeNsec	Ctimensec	fr
CurrentPID	Courantepid	fr
CurrentParentPID	Couranteparentpid	fr
Data	Data	fr
Deactivate	Désactiver	fr
Deactive	Deactive	fr
Decrement	Decrement	fr
Delete	Supprimer	fr
DescriptorPrivilegeLevel	Descriptorprivilegelevel	fr
DescriptorType	Descriptortype	fr
Destroy	Détruire	fr
Dev	Périphérique	fr
DeviceHasFunctions	PériphériquehasFonctions	fr
DeviceNotAvailable	PériphériqueNonDisponible	fr
Device_id	PériphériqueIdentifiant	fr
DisableInt	Désactiverint	fr
Disconnect	Déconnecter	fr
DivideByZero	DivisionbyZéro	fr
DoHandleInterrupt	DoPoignéeinterruption	fr
DoubleFault	Doubledéfaut	fr
Draw	Draw	fr
DriverManager	Pilotegestionnaire	fr
Ds	Ds	fr
Dynamic	Dynamique	fr
E2BIG	E2Élevé	fr
EACCES	Eacces	fr
EADDRINUSE	Eaddrinuse	fr
EAFNOSUPPORT	Eafnosupport	fr
EAGAIN	Eagain	fr
EBADF	Ebadf	fr
EBUSY	Ebusy	fr
ECHILD	Echild	fr
EEXIST	Eexist	fr
EFAULT	Efault	fr
EFBIG	Efbig	fr
EINTR	Eintr	fr
EINVAL	Einval	fr
EIO	Eio	fr
EISDIR	Eisdir	fr
EMFILE	Emfile	fr
EMSGSIZE	Emsgsize	fr
ENETUNREACH	Enetunreach	fr
ENFILE	Enfile	fr
ENODEV	Enodev	fr
ENOENT	Enoent	fr
ENOEXEC	Enoexec	fr
ENOMEM	Enomem	fr
ENOSPC	Enospc	fr
ENOSYS	Enosys	fr
ENOTCONN	Enotconn	fr
ENOTDIR	Enotdir	fr
ENOTTY	Enotty	fr
EOPNOTSUPP	Eopnotsupp	fr
EPERM	Eperm	fr
EPROTONOSUPPORT	Eprotonosupport	fr
ERANGE	Erange	fr
EROFS	Erofs	fr
ESPIPE	Espipe	fr
ESRCH	Esrch	fr
Eax	Eax	fr
Ebp	Ebp	fr
Ebx	Ebx	fr
Ecx	Ecx	fr
Edi	Edi	fr
Edx	Edx	fr
Eflags	Eflags	fr
Eip	Eip	fr
Elf	Elf	fr
Elf32Dyn	Elf32dyn	fr
Elf32Note	Elf32note	fr
Elf32Rel	Elf32rel	fr
Elf32Rela	Elf32rela	fr
Elf32Sym	Elf32sym	fr
ElfHeader	ElfenTête	fr
ElfProgramHeader	ElfprogrammeenTête	fr
ElfSectionHeader	ElfsectionenTête	fr
EnablePaging	Activerpagination	fr
Enabled	Activé	fr
EntryNumber	ÉlémentNombre	fr
EqualBytes	ÉgalOctets	fr
Es	Es	fr
Esi	Esi	fr
Esp	Esp	fr
FPUBuffer	Fpubuffer	fr
FPUOffset	FpuDécalage	fr
Family	Family	fr
FileName	FichierNom	fr
Fill	Fill	fr
FillRectangle	Fillrectangle	fr
First	First	fr
FirstFree	FirstLibre	fr
FirstFreeSize	FirstLibreTaille	fr
Flags	Attributs	fr
FloatingPointException	Flottantepointexception	fr
Flush	Flush	fr
FlushTlsTable	FlushtlsTableau	fr
Focussable	Focussable	fr
Free	Libre	fr
Fs	Fs	fr
GB	Go	fr
GDT_ENTRIES	Gdtélément	fr
GOT	Got	fr
GPFException	Gpfexception	fr
GatewayIP	Gatewayip	fr
GdtAddressHigh	GdtaddressÉlevée	fr
GdtAddressLow	GdtaddressBasse	fr
GdtDescriptor	Gdtdescriptor	fr
GdtEntry	Gdtélément_2	fr
GdtSize	GdtTaille	fr
GetAt	Getat	fr
GetBackend	Getbackend	fr
GetBaseAddressRegister	Getbaseaddressregistre	fr
GetBitmaspSize	GetbitmaspTaille	fr
GetBytesFromPtr	GetOctetsdePointeur	fr
GetCR0	Getcr0	fr
GetCR2	Getcr2	fr
GetCR3	Getcr3	fr
GetCR4	Getcr4	fr
GetColorIndex	GetCouleurindex	fr
GetDeviceDescriptor	GetPériphériquedescriptor	fr
GetDriver	Getpilote	fr
GetESP0	Getesp0	fr
GetEntry	Getélément	fr
GetFileSize	GetfichierTaille	fr
GetFocus	GetFocalisation	fr
GetFrameBufferSegment	Gettramebuffersegment	fr
GetFuncPtrFromPtr	GetfuncPointeurdePointeur	fr
GetFunctionName	GetFonctionNom	fr
GetHandler	Gethandler	fr
GetIPAddress	Getipaddress	fr
GetMACAddress	Getmacaddress	fr
GetMACFromCache	Getmacdecache	fr
GetNextReadyThread	GetSuivantPrêtfilExécution	fr
GetNodeAt	GetNœudat	fr
GetProvider	Providerget	fr
GetSS0	Getss0	fr
GetStr	Getstr	fr
GetUint32ArrayFromPtr	Getunsignedinteger32tableaudePointeur	fr
GetUintptrArrayFromPtr	GetunsignedintegerPointeurtableaudePointeur	fr
GetValue	GetValeur	fr
GetValueInPageDir	GetValeurEntrantepagerépertoire	fr
Gid	Gid	fr
Gs	Gs	fr
HandleException	Poignéeexception	fr
HandleFatalInterruptFrame	Poignéefatalinterruptiontrame	fr
HandleInterrupt	Poignéeinterruption	fr
HandleInterrupt1	Poignéeinterruption1	fr
HandleUserDatagramProtocolMessage	Poignéeutilisateurdatagramprotocolmessage	fr
IDT_DESC_PRESENT	IdtdescriptorPrésente	fr
IDT_INTERRUPT_GATE	Idtinterruptionporte	fr
IDriver	IPilote	fr
IEtherFrameHandler	IEthernettramehandler	fr
IInternetProtocolHandler	IInternetprotocolhandler	fr
IInterruptHandler	IInterruptionhandler	fr
IKeyboardEventHandler	IClavierévénementhandler	fr
IMouseEventHandler	ISourisévénementhandler	fr
IPCIControllerHandler	Ipcicontrôleurhandler	fr
IPCache	Ipcache	fr
IP_BE	Ipréseauoctetorder	fr
IRawDataHandler	IRawdonnéeshandler	fr
ITimerEventHandler	IMinuterieévénementhandler	fr
IUserDatagramProtocolHandler	IUtilisateurdatagramprotocolhandler	fr
IUserDatagramProtocolSocket	IUtilisateurdatagramprotocolpriseRéseau	fr
IWidget	IÉlément_graphique	fr
Identify	Identify	fr
Increment	Increment	fr
IndexOf	Indexsur	fr
Init	Init	fr
InitDriver	Initpilote	fr
InitialThreadUserJump	InitialfilExécutionutilisateurjump	fr
Ino	Ino	fr
Install	Installer	fr
Interrupt	Interruption	fr
InterruptActive	InterruptionActif	fr
InterruptDeactive	Interruptiondeactive	fr
InterruptManager	Interruptiongestionnaire	fr
InterruptNumber	InterruptionNombre	fr
InvalidOpcode	Nonvalideopcode	fr
InvalidTSS	Nonvalidetss	fr
IsKernel	Isnoyau	fr
IsPresent	IsPrésente	fr
IsUserSpace	IsutilisateurEspace	fr
KB	Ko	fr
KCS_INDEX	Kcsindex	fr
KCS_SELECTOR	Kcsselector	fr
KDS_INDEX	Kdsindex	fr
KDS_SELECTOR	Kdsselector	fr
KERNEL_HEAP_START	NoyauheapDémarrer	fr
KERNEL_VIRT_ADDR	Noyauvirtaddress	fr
KGS_INDEX	Kgsindex	fr
KGS_SELECTOR	Kgsselector	fr
K핵심	KKernelEntry	fr
LIDT	Lidt	fr
Last	Dernière	fr
Len	Len	fr
Limit	Limite	fr
Link	Lien	fr
LinkMap	Liencarte	fr
LinkedList	Linkedliste	fr
Listen	Listen	fr
LoadElf	Chargerelf	fr
MAC	Mac	fr
MAC0	Mac0	fr
MAC1	Mac1	fr
MAC2	Mac2	fr
MAC3	Mac3	fr
MAC4	Mac4	fr
MAC5	Mac5	fr
MACAddress0Port	Macaddress0port	fr
MACAddress2Port	Macaddress2port	fr
MACAddress4Port	Macaddress4port	fr
MACCache	Maccache	fr
MAX_QUEUE_SIZE	MaxfileAttenteTaille	fr
MB	Mo	fr
MBR	Mbr	fr
MHex출력	MHexadecimalImprimer	fr
MHex출력XY	MHexadecimalImprimerxy	fr
MUint16출력	MUnsignedinteger16Imprimer	fr
MUint16출력XY	MUnsignedinteger16Imprimerxy	fr
MUint32출력	MUnsignedinteger32Imprimer	fr
MUint32출력XY	MUnsignedinteger32Imprimerxy	fr
