english	localized	language
a	a	ro
access	acces	ro
ack	ack	ro
activate	Activează	ro
active	Activ	ro
add	Adaugă	ro
addend	addend	ro
addr	addr	ro
addralign	addralign	ro
address	address	ro
advanced	Avansate	ro
af	af	ro
after	after	ro
align	Aliniere	ro
aligned	aligned	ro
alignment	alignment	ro
all	Toate	ro
alloc	alloc	ro
allocate	allocate	ro
allocated	allocated	ro
am	am	ro
amd	amd	ro
amount	Cantitate	ro
and	și	ro
append	append	ro
args	args	ro
argument	argument	ro
arguments	Argumente	ro
arp	arp	ro
arp콘솔	arp콘솔	ro
array	Vector	ro
assembly	assembly	ro
at	at	ro
ata	ata	ro
atime	atime	ro
attachment	attachment	ro
attempts	attempts	ro
attr	attr	ro
attribute	atribut	ro
attributes	Atribute	ro
aux	aux	ro
avail	avail	ro
available	Disponibil	ro
b	b	ro
ba	ba	ro
back	Înapoi	ro
backend	backend	ro
backup	backup	ro
bar	Bară	ro
base	base	ro
be	be	ro
bh	bh	ro
big	big	ro
bind	bind	ro
bios	bios	ro
bit	bit	ro
bitmap	bitmap	ro
bitmasp	bitmasp	ro
bits	biți	ro
blksize	blksize	ro
block	Bloc	ro
blocked	blocked	ro
blocking	blocking	ro
blocks	Blocuri	ro
boot	boot	ro
bootable	bootable	ro
bootloader	bootloader	ro
bound	bound	ro
bpb	bpb	ro
break	break	ro
brk	brk	ro
broadcast	broadcast	ro
buf	buf	ro
buffer	buffer	ro
buffers	Buffere	ro
bufptr	bufptr	ro
bus	bus	ro
button	Buton	ro
buttons	Ordineabutoanelor	ro
by	by	ro
byte	byte	ro
bytes	Octeți	ro
c	c	ro
cache	cache	ro
call	call	ro
candidate	candidate	ro
cap	cap	ro
capable	capable	ro
card	Cărți	ro
central	central	ro
char	char	ro
chdir	chdir	ro
check	check	ro
checked	checked	ro
checksum	checksum	ro
child	copil	ro
chunk	chunk	ro
class	Clasa	ro
clear	Golește	ro
cloexec	cloexec	ro
clone	clone	ro
close	Închide	ro
cluster	cluster	ro
cmp	cmp	ro
code	code	ro
col	col	ro
color	Culoare	ro
colordepth	colordepth	ro
command	Comandă	ro
commandport	commandport	ro
common	comun	ro
component	component	ro
connect	Conectează	ro
connected	connected	ro
console	console	ro
constant	Constantă	ro
contains	contains	ro
contents	Conținut	ro
control	control	ro
controller	controller	ro
coordinate	coordinate	ro
copies	copies	ro
copy	Copiază	ro
count	count	ro
cow	cow	ro
cpu	cpu	ro
cpustate	cpustate	ro
cpy	cpy	ro
cr	cr	ro
creat	creat	ro
create	create	ro
crtc	crtc	ro
cs	cs	ro
ctime	ctime	ro
cur	cur	ro
current	Curentă	ro
cursor	cursor	ro
cylinder	cylinder	ro
d	d	ro
data	data	ro
databuffer	databuffer	ro
datagram	datagram	ro
dataport	dataport	ro
date	Dată	ro
deactivate	Dezactivează	ro
deactive	deactive	ro
debug	Depanează	ro
decrement	decrement	ro
default	Implicită	ro
delete	Șterge	ro
delta	delta	ro
depth	depth	ro
desc	desc	ro
descr	descr	ro
description	Descriere	ro
descriptor	descriptor	ro
descriptors	descriptors	ro
descsz	descsz	ro
destination	Destinație	ro
destroy	Distruge	ro
dev	dev	ro
device	Dispozitiv	ro
diff	diff	ro
digits	digits	ro
dir	dir	ro
directory	Director	ro
dirent	dirent	ro
disable	Dezactivează	ro
discard	Elimină	ro
disconnect	Deconectează	ro
dispatch	dispatch	ro
divide	Impartire	ro
divisor	divisor	ro
do	do	ro
domain	Domeniu	ro
double	double	ro
down	Înjos	ro
draw	draw	ro
drive	drive	ro
driver	driver	ro
drivercount	drivercount	ro
drivers	drivers	ro
drv	drv	ro
ds	ds	ro
dst	dst	ro
dstptr	dstptr	ro
dup	dup	ro
dword	dword	ro
dyn	dyn	ro
dynamic	Dinamică	ro
e	e	ro
eacces	eacces	ro
eaddrinuse	eaddrinuse	ro
eafnosupport	eafnosupport	ro
eagain	eagain	ro
eax	eax	ro
ebadf	ebadf	ro
ebp	ebp	ro
ebusy	ebusy	ro
ebx	ebx	ro
echild	echild	ro
echo	echo	ro
ecx	ecx	ro
edi	edi	ro
edx	edx	ro
eexist	eexist	ro
ef	ef	ro
efault	efault	ro
efbig	efbig	ro
eflags	eflags	ro
ehsize	ehsize	ro
eintr	eintr	ro
einval	einval	ro
eio	eio	ro
eip	eip	ro
eisdir	eisdir	ro
elf	elf	ro
emfile	emfile	ro
empty	Gol	ro
emsgsize	emsgsize	ro
enable	Activează	ro
enabled	Activat	ro
end	Sfârșit	ro
enetunreach	enetunreach	ro
enfile	enfile	ro
enodev	enodev	ro
enoent	enoent	ro
enoexec	enoexec	ro
enomem	enomem	ro
enospc	enospc	ro
enosys	enosys	ro
enotconn	enotconn	ro
enotdir	enotdir	ro
enotty	enotty	ro
ensure	ensure	ro
entries	entries	ro
entry	înregistrare	ro
entrypoint	entrypoint	ro
entsize	entsize	ro
environment	environment	ro
eopnotsupp	eopnotsupp	ro
eperm	eperm	ro
ephemeral	ephemeral	ro
eprotonosupport	eprotonosupport	ro
equal	equal	ro
erange	erange	ro
erofs	erofs	ro
err	Erori	ro
error	Eroare	ro
errorln	errorln	ro
es	es	ro
esi	esi	ro
esp	esp	ro
espipe	espipe	ro
esrch	esrch	ro
ether	ether	ro
etherframe	etherframe	ro
ethernet	ethernet	ro
event	Eveniment	ro
events	events	ro
exceeded	exceeded	ro
except	except	ro
exception	exception	ro
exec	Execuție	ro
execve	execve	ro
exists	exists	ro
exit	Ieșire	ro
exited	Terminat	ro
ext	ext	ro
extended	extended	ro
f	f	ro
family	family	ro
fat	fat	ro
fatal	fatal	ro
fatbuf	fatbuf	ro
fatbuffer	fatbuffer	ro
fault	fault	ro
fb	fb	ro
fcntl	fcntl	ro
fd	Descriptorfișier	ro
fds	fds	ro
field	câmp	ro
file	Fișier	ro
filename	Numefișier	ro
files	FIȘIERE	ro
filesz	filesz	ro
fill	fill	ro
find	Caută	ro
first	first	ro
fl	fl	ro
flag	Steag	ro
flags	Indicatori	ro
floating	Liber	ro
flush	flush	ro
fn	fn	ro
focus	focus	ro
focussable	focussable	ro
foo	foo	ro
for	for	ro
forced	forced	ro
fork	fork	ro
found	found	ro
fp	fp	ro
fpu	fpu	ro
frame	Cadru	ro
free	Liber	ro
frequency	Frecvență	ro
from	from	ro
front	Față	ro
fs	fs	ro
fstat	fstat	ro
fsync	fsync	ro
fuction	fuction	ro
full	Complet	ro
func	func	ro
function	Funcție	ro
functions	Funcții	ro
fxrstor	fxrstor	ro
fxsave	fxsave	ro
g	g	ro
gate	gate	ro
gateway	gateway	ro
gb	gb	ro
gdt	gdt	ro
get	get	ro
getcwd	getcwd	ro
getegid	getegid	ro
geteuid	geteuid	ro
getgid	getgid	ro
getpid	getpid	ro
getppid	getppid	ro
getuid	getuid	ro
gid	gid	ro
global	global	ro
got	got	ro
gpf	gpf	ro
gran	gran	ro
graphics	Grafică	ro
grub	grub	ro
gs	gs	ro
h	h	ro
halt	halt	ro
handle	Mâner	ro
handler	handler	ro
handlers	handlers	ro
hardware	Componente	ro
has	has	ro
hd	hd	ro
head	head	ro
header	header	ro
headertype	headertype	ro
heap	heap	ro
height	Înălțime	ro
helper	helper	ro
hex	hex	ro
hex출력	hex출력	ro
hi	hi	ro
hidden	Ascunse	ro
high	Ridicată	ro
hop	hop	ro
i	i	ro
icmp	icmp	ro
icmp콘솔	icmp콘솔	ro
id	id	ro
ident	ident	ro
identify	identify	ro
idt	idt	ro
idx	idx	ro
ifchr	ifchr	ro
ifdir	ifdir	ro
