original	before	after	review_status	concept	changed_tokens
Activate	Activează	Activează	existing-unreviewed		0
ActivateAll	ActiveazăToate	ActiveazăToate	existing-unreviewed		0
Active	Activ	Activ	existing-unreviewed		0
ActiveInterruptManager	ActivIntreruperemanager	ActivIntreruperemanager	existing-unreviewed		0
ActiveMemoryManager	ActivMemoriemanager	ActivMemoriemanager	existing-unreviewed		0
Add	Adaugă	Adaugă	existing-unreviewed		0
AddDriver	Adaugădriver	Adaugădriver	existing-unreviewed		0
AddRunnableThread	Adaugărunnablethread	Adaugărunnablethread	existing-unreviewed		0
AddTask	Adaugătask	Adaugătask	existing-unreviewed		0
AddThread	Adaugăthread	Adaugăthread	existing-unreviewed		0
Address	Address	Address	existing-unreviewed		0
AlignedMalloc	Alignedmalloc	Alignedmalloc	existing-unreviewed		0
AlignmentCheck	Alignmentcheck	Alignmentcheck	existing-unreviewed		0
AllocateBlock	AllocateBloc	AllocateBloc	existing-unreviewed		0
AllocatePID	Allocatepid	Allocatepid	existing-unreviewed		0
AmountOfMemory	CantitatedinMemorie	CantitatedinMemorie	existing-unreviewed		0
ArrayToUint16	Vectortounsignedinteger16	Vectortounsignedinteger16	existing-unreviewed		0
ArrayToUint32	Vectortounsignedinteger32	Vectortounsignedinteger32	existing-unreviewed		0
ArrayToUint48	Vectortounsignedinteger48	Vectortounsignedinteger48	existing-unreviewed		0
ArrayToUint48_BE	Vectortounsignedinteger48be	Vectortounsignedinteger48be	existing-unreviewed		0
ArrayToUint64	Vectortounsignedinteger64	Vectortounsignedinteger64	existing-unreviewed		0
Atime	Atime	Atime	existing-unreviewed		0
AtimeNsec	Atimensec	Atimensec	existing-unreviewed		0
BLOCKS_PER_BYTE	Blocperbyte	Blocperbyte	existing-unreviewed		0
BLOCK_SIZE	BlocMărime	BlocMărime	existing-unreviewed		0
Backend	Backend	Backend	existing-unreviewed		0
BaseAddr	Baseaddress	Baseaddress	existing-unreviewed		0
Bind	Bind	Bind	existing-unreviewed		0
Blksize	Blksize	Blksize	existing-unreviewed		0
Blocked	Blocked	Blocked	existing-unreviewed		0
BlockedState	BlockedStare	BlockedStare	existing-unreviewed		0
Blocks	Bloc	Bloc	existing-unreviewed		0
BoundRangeExceeded	BoundIntervalexceeded	BoundIntervalexceeded	existing-unreviewed		0
BroadcastMacAddress	Broadcastmacaddress	Broadcastmacaddress	existing-unreviewed		0
BytesPerSector	Octețipersector	Octețipersector	existing-unreviewed		0
BytesToString	OctețitoȘir	OctețitoȘir	existing-unreviewed		0
Checksum	Checksum	Checksum	existing-unreviewed		0
Clear	Golește	Golește	existing-unreviewed		0
Clone	Clone	Clone	existing-unreviewed		0
CloneAddressSpaceCOW	CloneaddressSpațiucow	CloneaddressSpațiucow	existing-unreviewed		0
Connect	Conectează	Conectează	existing-unreviewed		0
ContainsCoordinate	Containscoordinate	Containscoordinate	existing-unreviewed		0
CopyPageFrameBlock	CopiazăPAGINĂCadruBloc	CopiazăPAGINĂCadruBloc	existing-unreviewed		0
CpuState	CpuStare	CpuStare	existing-unreviewed		0
Create	Create	Create	existing-unreviewed		0
CreateFromData	Createfromdata	Createfromdata	existing-unreviewed		0
CreateFromFunction	CreatefromFuncție	CreatefromFuncție	existing-unreviewed		0
CreatePtrFromFunction	CreateIndicatorfromFuncție	CreateIndicatorfromFuncție	existing-unreviewed		0
Cs	Cs	Cs	existing-unreviewed		0
Ctime	Ctime	Ctime	existing-unreviewed		0
CtimeNsec	Ctimensec	Ctimensec	existing-unreviewed		0
CurrentPID	Curentăpid	Curentăpid	existing-unreviewed		0
CurrentParentPID	Curentăpărintepid	Curentăpărintepid	existing-unreviewed		0
Data	Data	Data	compatibility		0
Deactivate	Dezactivează	Dezactivează	existing-unreviewed		0
Deactive	Deactive	Deactive	existing-unreviewed		0
Decrement	Decrement	Decrement	existing-unreviewed		0
Delete	Șterge	Șterge	existing-unreviewed		0
DescriptorPrivilegeLevel	Descriptorprivilegelevel	Descriptorprivilegelevel	existing-unreviewed		0
DescriptorType	DescriptorTip	DescriptorTip	existing-unreviewed		0
Destroy	Distruge	Distruge	existing-unreviewed		0
Dev	Dispozitiv	Dispozitiv	existing-unreviewed		0
DeviceHasFunctions	DispozitivhasFuncții	DispozitivhasFuncții	existing-unreviewed		0
DeviceNotAvailable	DispozitivnotDisponibil	DispozitivnotDisponibil	existing-unreviewed		0
Device_id	Dispozitivid	Dispozitivid	existing-unreviewed		0
DisableInt	Dezactiveazăint	Dezactiveazăint	existing-unreviewed		0
Disconnect	Deconectează	Deconectează	existing-unreviewed		0
DivideByZero	Impartirebyzero	Impartirebyzero	existing-unreviewed		0
DoHandleInterrupt	DoMânerIntrerupere	DoMânerIntrerupere	existing-unreviewed		0
DoubleFault	Doublefault	Doublefault	existing-unreviewed		0
Draw	Draw	Draw	existing-unreviewed		0
