compiler_file	native_file
Makefile	compiler.mk.in
include/arpa/inet.h	include/преобразование_адресов/порядок_байтов.h
include/sys/syscall.h	include/система/syscall.h
include/errno.h	include/errno.h
include/fcntl.h	include/fcntl.h
include/netinet/in.h	include/межсетевое_взаимодействие/адрес.h
include/stddef.h	include/основные_определения.h
include/stdint.h	include/целочисленные_типы.h
include/sys/socket.h	include/система/socket.h
include/sys/stat.h	include/система/stat.h
include/sys/types.h	include/система/типы_данных.h
include/sys/utsname.h	include/система/сведения_о_системе.h
include/sys/wait.h	include/система/ожидание_потомков.h
include/unistd.h	include/unistd.h
linker.ld	linker.ld
src/crt0.S	src/crt0.S
src/errno.c	src/errno.c
src/fcntl.c	src/fcntl.c
src/socket.c	src/socket.c
src/stat.c	src/stat.c
src/syscall.S	src/syscall.S
src/unistd.c	src/unistd.c
tests/compile.c	tests/проверка_компиляции.c
tests/exec_runtime.c	tests/проверка_замены_программы.c
tests/exec_target.c	tests/цель_замены.c
tests/fork_runtime.c	tests/проверка_ветвления_процесса.c
tests/heap_runtime.c	tests/проверка_динамической_памяти.c
tests/runtime.c	tests/проверка_выполнения.c
tests/socket_runtime.c	tests/проверка_конечной_точки.c
tests/stdin_runtime.c	tests/проверка_стандартного_ввода.c
include/ctype.h	include/ctype.h
include/limits.h	include/limits.h
include/stdlib.h	include/stdlib.h
include/string.h	include/string.h
include/strings.h	include/strings.h
src/allocation.c	src/allocation.c
src/ctype.c	src/ctype.c
src/stdlib.c	src/stdlib.c
src/string.c	src/string.c
tests/library.c	tests/library.c
tests/library_main.c	tests/library_main.c
tests/probe.c	tests/probe.c
