english	localized	source	evidence_count
a	ОТ	gettext	1
access	доступ	gettext	5
ack	ack	fallback-English	0
activate	Включить	gettext	2
active	Активно	gettext	7
add	Добавить	gettext	34
addend	addend	fallback-English	0
addr	addr	fallback-English	0
addralign	addralign	fallback-English	0
address	address	fallback-English	0
advanced	Дополнительно	gettext	19
af	af	fallback-English	0
after	После	gettext	5
align	Выравнивание	gettext	5
aligned	aligned	fallback-English	0
alignment	alignment	fallback-English	0
all	Все	gettext	8
alloc	alloc	fallback-English	0
allocate	allocate	fallback-English	0
allocated	allocated	fallback-English	0
am	am	fallback-English	0
amd	amd	fallback-English	0
amount	Количество	gettext	1
and	и	gettext	1
append	append	fallback-English	0
args	args	fallback-English	0
argument	argument	fallback-English	0
arguments	Аргументы	gettext	1
arp	arp	fallback-English	0
arp콘솔	arp콘솔	fallback-English	0
array	массив	curated-seed	10
assembly	ассемблер	curated-seed	0
at	at	fallback-English	0
ata	ata	fallback-English	0
atime	atime	fallback-English	0
attachment	attachment	fallback-English	0
attempts	attempts	fallback-English	0
attr	attr	fallback-English	0
attribute	атрибут	curated-seed	5
attributes	Атрибуты	gettext	1
aux	aux	fallback-English	0
avail	avail	fallback-English	0
available	Доступно	gettext	6
b	Б	gettext	2
ba	ba	fallback-English	0
back	Назад	gettext	19
backend	backend	fallback-English	0
backup	backup	fallback-English	0
bar	Полоса	gettext	2
base	base	fallback-English	0
be	be	fallback-English	0
bh	bh	fallback-English	0
big	big	fallback-English	0
bind	Прослушивать	gettext	5
bios	bios	fallback-English	0
bit	bit	fallback-English	0
bitmap	bitmap	fallback-English	0
bitmasp	bitmasp	fallback-English	0
bits	бит	gettext	1
blksize	blksize	fallback-English	0
block	Блок	gettext	10
blocked	blocked	fallback-English	0
blocking	blocking	fallback-English	0
blocks	Блоки	gettext	1
boot	boot	fallback-English	0
bootable	bootable	fallback-English	0
bootloader	bootloader	fallback-English	0
bound	bound	fallback-English	0
bpb	bpb	fallback-English	0
break	break	fallback-English	0
brk	brk	fallback-English	0
broadcast	broadcast	fallback-English	0
buf	buf	fallback-English	0
buffer	buffer	fallback-English	0
buffers	Буфера	gettext	2
bufptr	bufptr	fallback-English	0
bus	bus	fallback-English	0
button	Кнопка	gettext	7
buttons	Кнопки	gettext	11
by	by	fallback-English	0
byte	байт	curated-seed	0
bytes	Байт	gettext	10
c	Ч	gettext	1
cache	cache	fallback-English	0
call	вызов	curated-seed	0
candidate	candidate	fallback-English	0
cap	cap	fallback-English	0
capable	capable	fallback-English	0
card	Карточные	gettext	1
central	central	fallback-English	0
char	char	fallback-English	0
chdir	chdir	fallback-English	0
check	check	fallback-English	0
checked	checked	fallback-English	0
checksum	checksum	fallback-English	0
child	потомок	gettext	5
chunk	chunk	fallback-English	0
class	Класс	gettext	6
clear	Очистить	gettext	20
cloexec	cloexec	fallback-English	0
clone	clone	fallback-English	0
close	закрыть	curated-seed	60
cluster	cluster	fallback-English	0
cmp	NOT	gettext	1
code	code	fallback-English	0
col	col	fallback-English	0
color	Цвет	gettext	3
colordepth	colordepth	fallback-English	0
command	Команда	gettext	25
commandport	commandport	fallback-English	0
common	общий	curated-seed	5
component	component	fallback-English	0
connect	Подключить	gettext	5
connected	connected	fallback-English	0
console	консоль	curated-seed	10
constant	константа	curated-seed	2
contains	contains	fallback-English	0
contents	Содержание	gettext	50
control	Ctrl	gettext	1
controller	контроллер	curated-seed	5
coordinate	coordinate	fallback-English	0
copies	copies	fallback-English	0
copy	копировать	curated-seed	37
count	Количество	gettext	6
cow	cow	fallback-English	0
cpu	ЦП	gettext	6
cpustate	cpustate	fallback-English	0
cpy	cpy	fallback-English	0
