before	after
asm/gdt.inc	запуск_машины/gdt.inc
asm/goasmoffset.inc	запуск_машины/goasmoffset.inc
asm/multibootзаголовок.s	запуск_машины/multibootзаголовок.s
asm/rt0.s	запуск_машины/rt0.s
asm/константа.inc	запуск_машины/константа.inc
go.sh	собрать_ядро.sh
linker.ld	схема_компоновки.ld
src/icmp/icmp.go	src/протокол_управляющих_сообщений_объединённой_сети/протокол_управляющих_сообщений_объединённой_сети.go
src/ipv4/ipv4.go	src/протокол_объединённой_сети_4/протокол_объединённой_сети_4.go
src/udp/udp.go	src/протокол_пользовательских_датаграмм/протокол_пользовательских_датаграмм.go
src/драйвер/мышь/мышь.go	src/драйвер/устройство_указания/устройство_указания.go
src/файлсистема/elf/elf.go	src/файлсистема/исполняемый_и_компонуемый_формат/исполняемый_и_компонуемый_формат.go
src/файлсистема/elf/elfзаголовок.go	src/файлсистема/исполняемый_и_компонуемый_формат/elfзаголовок.go
src/файлсистема/elf/elfраздел.go	src/файлсистема/исполняемый_и_компонуемый_формат/elfраздел.go
src/файлсистема/elf/ссылкакарта.go	src/файлсистема/исполняемый_и_компонуемый_формат/ссылкакарта.go
src/элемент/элемент.go	src/элемент_экрана/элемент_экрана.go
src/эфирнаяСетькадр/эфирнаяСетькадр.go	src/кадр_сети_с_общей_средой/кадр_сети_с_общей_средой.go
tools/decode-virtualbox-log.sh	инструменты/разобрать_последовательный_журнал.sh
tools/offsets.go	инструменты/смещения_структуры.go
userland/posix/Makefile	пространство_пользователя/posix/Makefile
userland/posix/TEST_RESULTS.md	пространство_пользователя/posix/TEST_RESULTS.md
userland/posix/include/arpa/inet.h	пространство_пользователя/posix/объявления/arpa/inet.h
userland/posix/include/engos/syscall.h	пространство_пользователя/posix/объявления/engos/syscall.h
userland/posix/include/errno.h	пространство_пользователя/posix/объявления/errno.h
userland/posix/include/fcntl.h	пространство_пользователя/posix/объявления/fcntl.h
userland/posix/include/netinet/in.h	пространство_пользователя/posix/объявления/netinet/in.h
userland/posix/include/stddef.h	пространство_пользователя/posix/объявления/stddef.h
userland/posix/include/stdint.h	пространство_пользователя/posix/объявления/stdint.h
userland/posix/include/sys/socket.h	пространство_пользователя/posix/объявления/sys/socket.h
userland/posix/include/sys/stat.h	пространство_пользователя/posix/объявления/sys/stat.h
userland/posix/include/sys/types.h	пространство_пользователя/posix/объявления/sys/types.h
userland/posix/include/sys/utsname.h	пространство_пользователя/posix/объявления/sys/utsname.h
userland/posix/include/sys/wait.h	пространство_пользователя/posix/объявления/sys/wait.h
userland/posix/include/unistd.h	пространство_пользователя/posix/объявления/unistd.h
userland/posix/linker.ld	пространство_пользователя/posix/схема_компоновки.ld
userland/posix/src/crt0.S	пространство_пользователя/posix/реализация/запуск.S
userland/posix/src/errno.c	пространство_пользователя/posix/реализация/номер_ошибки.c
userland/posix/src/fcntl.c	пространство_пользователя/posix/реализация/управление_файлом.c
userland/posix/src/socket.c	пространство_пользователя/posix/реализация/socket.c
userland/posix/src/stat.c	пространство_пользователя/posix/реализация/состояние_файла.c
userland/posix/src/syscall.S	пространство_пользователя/posix/реализация/системный_вызов.S
userland/posix/src/unistd.c	пространство_пользователя/posix/реализация/unistd.c
userland/posix/tests/compile.c	пространство_пользователя/posix/испытания/compile.c
userland/posix/tests/exec_runtime.c	пространство_пользователя/posix/испытания/exec_runtime.c
userland/posix/tests/exec_target.c	пространство_пользователя/posix/испытания/exec_target.c
userland/posix/tests/fork_runtime.c	пространство_пользователя/posix/испытания/fork_runtime.c
userland/posix/tests/heap_runtime.c	пространство_пользователя/posix/испытания/heap_runtime.c
userland/posix/tests/runtime.c	пространство_пользователя/posix/испытания/runtime.c
userland/posix/tests/socket_runtime.c	пространство_пользователя/posix/испытания/socket_runtime.c
userland/posix/tests/stdin_runtime.c	пространство_пользователя/posix/испытания/stdin_runtime.c
