english	localized	language
a	a	und
access	access	und
ack	ack	und
activate	activate	und
active	active	und
add	add	und
addend	addend	und
addr	addr	und
addralign	addralign	und
address	address	und
advanced	advanced	und
af	af	und
after	after	und
align	align	und
aligned	aligned	und
alignment	alignment	und
all	all	und
alloc	alloc	und
allocate	allocate	und
allocated	allocated	und
am	am	und
amd	amd	und
amount	amount	und
and	and	und
append	append	und
args	args	und
argument	argument	und
arguments	arguments	und
arp	arp	und
arp콘솔	arp콘솔	und
array	array	und
assembly	assembly	und
at	at	und
ata	ata	und
atime	atime	und
attachment	attachment	und
attempts	attempts	und
attr	attr	und
attribute	attribute	und
attributes	attributes	und
aux	aux	und
avail	avail	und
available	available	und
b	b	und
ba	ba	und
back	back	und
backend	backend	und
backup	backup	und
bar	bar	und
base	base	und
be	be	und
bh	bh	und
big	big	und
bind	bind	und
bios	bios	und
bit	bit	und
bitmap	bitmap	und
bitmasp	bitmasp	und
bits	bits	und
blksize	blksize	und
block	block	und
blocked	blocked	und
blocking	blocking	und
blocks	blocks	und
boot	boot	und
bootable	bootable	und
bootloader	bootloader	und
bound	bound	und
bpb	bpb	und
break	break	und
brk	brk	und
broadcast	broadcast	und
buf	buf	und
buffer	buffer	und
buffers	buffers	und
bufptr	bufptr	und
bus	bus	und
button	button	und
buttons	buttons	und
by	by	und
byte	byte	und
bytes	bytes	und
c	c	und
cache	cache	und
call	call	und
candidate	candidate	und
cap	cap	und
capable	capable	und
card	card	und
central	central	und
char	char	und
chdir	chdir	und
check	check	und
checked	checked	und
checksum	checksum	und
child	child	und
chunk	chunk	und
class	class	und
clear	clear	und
cloexec	cloexec	und
clone	clone	und
close	close	und
cluster	cluster	und
cmp	cmp	und
code	code	und
col	col	und
color	color	und
colordepth	colordepth	und
command	command	und
commandport	commandport	und
common	common	und
component	component	und
connect	connect	und
connected	connected	und
console	console	und
constant	constant	und
contains	contains	und
contents	contents	und
control	control	und
controller	controller	und
coordinate	coordinate	und
copies	copies	und
copy	copy	und
count	count	und
cow	cow	und
cpu	cpu	und
cpustate	cpustate	und
cpy	cpy	und
cr	cr	und
creat	creat	und
create	create	und
crtc	crtc	und
cs	cs	und
ctime	ctime	und
cur	cur	und
current	current	und
cursor	cursor	und
cylinder	cylinder	und
d	d	und
data	data	und
databuffer	databuffer	und
datagram	datagram	und
dataport	dataport	und
date	date	und
deactivate	deactivate	und
deactive	deactive	und
debug	debug	und
decrement	decrement	und
default	default	und
delete	delete	und
delta	delta	und
depth	depth	und
desc	desc	und
descr	descr	und
description	description	und
descriptor	descriptor	und
descriptors	descriptors	und
descsz	descsz	und
destination	destination	und
destroy	destroy	und
dev	dev	und
device	device	und
diff	diff	und
digits	digits	und
dir	dir	und
directory	directory	und
dirent	dirent	und
disable	disable	und
discard	discard	und
disconnect	disconnect	und
dispatch	dispatch	und
divide	divide	und
divisor	divisor	und
do	do	und
domain	domain	und
double	double	und
down	down	und
draw	draw	und
drive	drive	und
driver	driver	und
drivercount	drivercount	und
drivers	drivers	und
drv	drv	und
ds	ds	und
dst	dst	und
dstptr	dstptr	und
dup	dup	und
dword	dword	und
dyn	dyn	und
dynamic	dynamic	und
e	e	und
eacces	eacces	und
eaddrinuse	eaddrinuse	und
eafnosupport	eafnosupport	und
eagain	eagain	und
eax	eax	und
ebadf	ebadf	und
ebp	ebp	und
ebusy	ebusy	und
ebx	ebx	und
echild	echild	und
echo	echo	und
ecx	ecx	und
edi	edi	und
edx	edx	und
eexist	eexist	und
ef	ef	und
efault	efault	und
efbig	efbig	und
eflags	eflags	und
ehsize	ehsize	und
eintr	eintr	und
einval	einval	und
eio	eio	und
eip	eip	und
eisdir	eisdir	und
elf	elf	und
emfile	emfile	und
empty	empty	und
emsgsize	emsgsize	und
enable	enable	und
enabled	enabled	und
end	end	und
enetunreach	enetunreach	und
enfile	enfile	und
enodev	enodev	und
enoent	enoent	und
enoexec	enoexec	und
enomem	enomem	und
enospc	enospc	und
enosys	enosys	und
enotconn	enotconn	und
enotdir	enotdir	und
enotty	enotty	und
ensure	ensure	und
entries	entries	und
entry	entry	und
entrypoint	entrypoint	und
entsize	entsize	und
environment	environment	und
eopnotsupp	eopnotsupp	und
eperm	eperm	und
ephemeral	ephemeral	und
eprotonosupport	eprotonosupport	und
equal	equal	und
erange	erange	und
erofs	erofs	und
err	err	und
error	error	und
errorln	errorln	und
es	es	und
esi	esi	und
esp	esp	und
espipe	espipe	und
esrch	esrch	und
ether	ether	und
etherframe	etherframe	und
ethernet	ethernet	und
event	event	und
events	events	und
exceeded	exceeded	und
except	except	und
exception	exception	und
exec	exec	und
execve	execve	und
exists	exists	und
exit	exit	und
exited	exited	und
ext	ext	und
extended	extended	und
f	f	und
family	family	und
fat	fat	und
fatal	fatal	und
fatbuf	fatbuf	und
fatbuffer	fatbuffer	und
fault	fault	und
fb	fb	und
fcntl	fcntl	und
fd	fd	und
fds	fds	und
field	field	und
file	file	und
filename	filename	und
files	files	und
filesz	filesz	und
fill	fill	und
find	find	und
first	first	und
fl	fl	und
flag	flag	und
flags	flags	und
floating	floating	und
flush	flush	und
fn	fn	und
focus	focus	und
focussable	focussable	und
foo	foo	und
for	for	und
forced	forced	und
fork	fork	und
found	found	und
fp	fp	und
fpu	fpu	und
frame	frame	und
free	free	und
frequency	frequency	und
from	from	und
front	front	und
fs	fs	und
fstat	fstat	und
fsync	fsync	und
fuction	fuction	und
full	full	und
func	func	und
function	function	und
functions	functions	und
fxrstor	fxrstor	und
fxsave	fxsave	und
g	g	und
gate	gate	und
gateway	gateway	und
gb	gb	und
gdt	gdt	und
get	get	und
getcwd	getcwd	und
getegid	getegid	und
geteuid	geteuid	und
getgid	getgid	und
getpid	getpid	und
getppid	getppid	und
getuid	getuid	und
gid	gid	und
global	global	und
got	got	und
gpf	gpf	und
gran	gran	und
graphics	graphics	und
grub	grub	und
gs	gs	und
h	h	und
halt	halt	und
handle	handle	und
handler	handler	und
handlers	handlers	und
hardware	hardware	und
has	has	und
hd	hd	und
head	head	und
header	header	und
headertype	headertype	und
heap	heap	und
height	height	und
helper	helper	und
hex	hex	und
hex출력	hex출력	und
hi	hi	und
hidden	hidden	und
high	high	und
hop	hop	und
i	i	und
icmp	icmp	und
icmp콘솔	icmp콘솔	und
id	id	und
ident	ident	und
identify	identify	und
idt	idt	und
idx	idx	und
ifchr	ifchr	und
ifdir	ifdir	und
ifmt	ifmt	und
ifreg	ifreg	und
ifsock	ifsock	und
in	in	und
increment	increment	und
index	index	und
inet	inet	und
info	info	und
init	init	und
initial	initial	und
initialization	initialization	und
initialize	initialize	und
ino	ino	und
inode	inode	und
input	input	und
install	install	und
int	int	und
interconnect	interconnect	und
interface	interface	und
internet	internet	und
internetprotocol	internetprotocol	und
interrupt	interrupt	und
interrupts	interrupts	und
invalid	invalid	und
io	io	und
iomap	iomap	und
ip	ip	und
ipci	ipci	und
ipmessage	ipmessage	und
ipv	ipv	und
ip콘솔	ip콘솔	und
iret	iret	und
is	is	und
ist	ist	und
j	j	und
jmp	jmp	und
jump	jump	und
k	k	und
kb	kb	und
kcs	kcs	und
kds	kds	und
kernel	kernel	und
key	key	und
keyboard	keyboard	und
kgs	kgs	und
kind	kind	und
k핵심	k핵심	und
l	l	und
label	label	und
last	last	und
lba	lba	und
ldt	ldt	und
left	left	und
len	len	und
length	length	und
lengths	lengths	und
level	level	und
lib	lib	und
lidt	lidt	und
lidtaddr	lidtaddr	und
limit	limit	und
line	line	und
link	link	und
linked	linked	und
linker	linker	und
list	list	und
listen	listen	und
listening	listening	und
live	live	und
load	load	und
loader	loader	und
local	local	und
log	log	und
logical	logical	und
loop	loop	und
low	low	und
lseek	lseek	und
lstat	lstat	und
m	m	und
mac	mac	und
machine	machine	und
magicnumber	magicnumber	und
main	main	und
make	make	und
malloc	malloc	und
manager	manager	und
map	map	und
mask	mask	und
master	master	und
matches	matches	und
max	max	und
maximum	maximum	und
mb	mb	und
mbr	mbr	und
media	media	und
mem	mem	und
memory	memory	und
memorymananger	memorymananger	und
memorytest	memorytest	und
memsz	memsz	und
mesg	mesg	und
message	message	und
mics	mics	und
mid	mid	und
minimum	minimum	und
mode	mode	und
model	model	und
mouse	mouse	und
mousemove	mousemove	und
move	move	und
msdospart	msdospart	und
