compiler_identifier	native_identifier	status
INPUT_LINE_CAPACITY	capacità_della_riga_di_ingresso	project-proposal
MAX_ARGUMENT_COUNT	numero_massimo_di_argomenti	project-proposal
MAX_SCRIPT_DEPTH	annidamento_massimo_dei_comandi	project-proposal
argument_count	numero_di_argomenti	project-proposal
arguments	argomenti	project-proposal
buffer	memoria_intermedia_di_trasferimento_2	project-proposal
bytes_read	ottetti_letti	project-proposal
bytes_written	numero_di_ottetti_scritti	project-proposal
capacity	capacità	project-proposal
character	carattere	project-proposal
child_pid	identificatore_del_processo_figlio	project-proposal
cleanup	chiudi_estremità_di_comunicazione	project-proposal
command	comando	project-proposal
command_aliases	nomi_locali_dei_comandi	project-proposal
command_cat	mostra_contenuto_del_file	project-proposal
command_echo	mostra_argomenti	project-proposal
command_matches	comando_corrispondente	project-proposal
command_names	comandi_di_riferimento	project-proposal
command_pid	mostra_identificatori_dei_processi	project-proposal
command_pwd	mostra_cartella_corrente	project-proposal
command_run	esegui_programma	project-proposal
command_source	interpreta_file_di_comandi	project-proposal
command_stat	mostra_informazioni_del_file	project-proposal
command_udp	verifica_ritorno_del_datagramma	project-proposal
command_uname	mostra_identità_del_sistema	project-proposal
current	posizione_corrente	project-proposal
digit_text	caratteri_delle_cifre	project-proposal
file_descriptor	descrittore_del_file_2	project-proposal
file_name	nome_del_file	project-proposal
input	ingresso	project-proposal
input_descriptor	descrittore_di_ingresso	project-proposal
input_line	riga_di_ingresso	project-proposal
input_stream	flusso_di_ingresso	project-proposal
left	sinistra	project-proposal
length	lunghezza	project-proposal
message	messaggio	project-proposal
message_length	lunghezza_del_messaggio_in_ottetti	project-proposal
name	identità_del_sistema	project-proposal
number	grandezza_senza_segno	project-proposal
operation	operazione	project-proposal
output	posizione_di_uscita	project-proposal
overflow	riga_di_ingresso_non_valida	project-proposal
path	percorso	project-proposal
position	posizione	project-proposal
print_help	mostra_aiuto	project-proposal
quote	virgolette	project-proposal
read_line	leggi_riga_di_ingresso	project-proposal
receive_address	indirizzo_ricevente	project-proposal
receive_socket	estremità_ricevente	project-proposal
received_data	dati_ricevuti	project-proposal
received_length	numero_di_ottetti_ricevuti	project-proposal
right	destra	project-proposal
run_input	interpreta_ingresso	project-proposal
script_depth	profondità_di_annidamento_dei_comandi	project-proposal
send_socket	estremità_trasmittente	project-proposal
size	numero_di_cifre	project-proposal
source_address	indirizzo_del_mittente	project-proposal
source_address_length	lunghezza_dell_indirizzo_del_mittente	project-proposal
split_arguments	separa_argomenti	project-proposal
status	stato	project-proposal
text	testo	project-proposal
text_equal	testi_uguali	project-proposal
text_length	lunghezza_del_testo_in_ottetti	project-proposal
value	valore	project-proposal
wait_status	stato_di_terminazione_del_figlio	project-proposal
write_error	segnala_errore	project-proposal
write_integer	scrivi_intero	project-proposal
write_text	scrivi_testo	project-proposal
