english	localized	language
a	a	so
access	access	so
ack	ack	so
activate	activate	so
active	active	so
add	add	so
addend	addend	so
addr	addr	so
addralign	addralign	so
address	address	so
advanced	advanced	so
af	af	so
after	after	so
align	align	so
aligned	aligned	so
alignment	alignment	so
all	all	so
alloc	alloc	so
allocate	allocate	so
allocated	allocated	so
am	am	so
amd	amd	so
amount	amount	so
and	and	so
append	append	so
args	args	so
argument	argument	so
arguments	arguments	so
arp	arp	so
arp콘솔	arp콘솔	so
array	array	so
assembly	assembly	so
at	at	so
ata	ata	so
atime	atime	so
attachment	attachment	so
attempts	attempts	so
attr	attr	so
attribute	attribute	so
attributes	attributes	so
aux	aux	so
avail	avail	so
available	available	so
b	b	so
ba	ba	so
back	back	so
backend	backend	so
backup	backup	so
bar	bar	so
base	base	so
be	be	so
bh	bh	so
big	big	so
bind	bind	so
bios	bios	so
bit	bit	so
bitmap	bitmap	so
bitmasp	bitmasp	so
bits	bits	so
blksize	blksize	so
block	block	so
blocked	blocked	so
blocking	blocking	so
blocks	blocks	so
boot	boot	so
bootable	bootable	so
bootloader	bootloader	so
bound	bound	so
bpb	bpb	so
break	break	so
brk	brk	so
broadcast	broadcast	so
buf	buf	so
buffer	buffer	so
buffers	buffers	so
bufptr	bufptr	so
bus	bus	so
button	button	so
buttons	buttons	so
by	by	so
byte	byte	so
bytes	bytes	so
c	c	so
cache	cache	so
call	call	so
candidate	candidate	so
cap	cap	so
capable	capable	so
card	card	so
central	central	so
char	char	so
chdir	chdir	so
check	check	so
checked	checked	so
checksum	checksum	so
child	child	so
chunk	chunk	so
class	class	so
clear	clear	so
cloexec	cloexec	so
clone	clone	so
close	close	so
cluster	cluster	so
cmp	cmp	so
code	code	so
col	col	so
color	color	so
colordepth	colordepth	so
command	command	so
commandport	commandport	so
common	common	so
component	component	so
connect	connect	so
connected	connected	so
console	console	so
constant	constant	so
contains	contains	so
contents	contents	so
control	control	so
controller	controller	so
coordinate	coordinate	so
copies	copies	so
copy	copy	so
count	count	so
cow	cow	so
cpu	cpu	so
cpustate	cpustate	so
cpy	cpy	so
cr	cr	so
creat	creat	so
create	create	so
crtc	crtc	so
cs	cs	so
ctime	ctime	so
cur	cur	so
current	current	so
cursor	cursor	so
cylinder	cylinder	so
d	d	so
data	data	so
databuffer	databuffer	so
datagram	datagram	so
dataport	dataport	so
date	date	so
deactivate	deactivate	so
deactive	deactive	so
debug	debug	so
decrement	decrement	so
default	default	so
delete	delete	so
delta	delta	so
depth	depth	so
desc	desc	so
descr	descr	so
description	description	so
descriptor	descriptor	so
descriptors	descriptors	so
descsz	descsz	so
destination	destination	so
destroy	destroy	so
dev	dev	so
device	device	so
diff	diff	so
digits	digits	so
dir	dir	so
directory	directory	so
dirent	dirent	so
disable	disable	so
discard	discard	so
disconnect	disconnect	so
dispatch	dispatch	so
divide	divide	so
divisor	divisor	so
do	do	so
domain	domain	so
double	double	so
down	down	so
draw	draw	so
drive	drive	so
driver	driver	so
drivercount	drivercount	so
drivers	drivers	so
drv	drv	so
ds	ds	so
dst	dst	so
dstptr	dstptr	so
dup	dup	so
dword	dword	so
dyn	dyn	so
dynamic	dynamic	so
e	e	so
eacces	eacces	so
eaddrinuse	eaddrinuse	so
eafnosupport	eafnosupport	so
eagain	eagain	so
eax	eax	so
ebadf	ebadf	so
ebp	ebp	so
ebusy	ebusy	so
ebx	ebx	so
echild	echild	so
echo	echo	so
ecx	ecx	so
edi	edi	so
edx	edx	so
eexist	eexist	so
ef	ef	so
efault	efault	so
efbig	efbig	so
eflags	eflags	so
ehsize	ehsize	so
eintr	eintr	so
einval	einval	so
eio	eio	so
eip	eip	so
eisdir	eisdir	so
elf	elf	so
emfile	emfile	so
empty	empty	so
emsgsize	emsgsize	so
enable	enable	so
enabled	enabled	so
end	end	so
enetunreach	enetunreach	so
enfile	enfile	so
enodev	enodev	so
enoent	enoent	so
enoexec	enoexec	so
enomem	enomem	so
enospc	enospc	so
enosys	enosys	so
enotconn	enotconn	so
enotdir	enotdir	so
enotty	enotty	so
ensure	ensure	so
entries	entries	so
entry	entry	so
entrypoint	entrypoint	so
entsize	entsize	so
environment	environment	so
eopnotsupp	eopnotsupp	so
eperm	eperm	so
ephemeral	ephemeral	so
eprotonosupport	eprotonosupport	so
equal	equal	so
erange	erange	so
erofs	erofs	so
err	err	so
error	error	so
errorln	errorln	so
es	es	so
esi	esi	so
esp	esp	so
espipe	espipe	so
esrch	esrch	so
ether	ether	so
etherframe	etherframe	so
ethernet	ethernet	so
event	event	so
events	events	so
exceeded	exceeded	so
except	except	so
exception	exception	so
exec	exec	so
execve	execve	so
exists	exists	so
exit	exit	so
exited	exited	so
ext	ext	so
extended	extended	so
f	f	so
family	family	so
fat	fat	so
fatal	fatal	so
fatbuf	fatbuf	so
fatbuffer	fatbuffer	so
fault	fault	so
fb	fb	so
fcntl	fcntl	so
fd	fd	so
fds	fds	so
field	field	so
file	file	so
filename	filename	so
files	files	so
filesz	filesz	so
fill	fill	so
find	find	so
first	first	so
fl	fl	so
flag	flag	so
flags	flags	so
floating	floating	so
flush	flush	so
fn	fn	so
focus	focus	so
focussable	focussable	so
foo	foo	so
for	for	so
forced	forced	so
fork	fork	so
found	found	so
fp	fp	so
fpu	fpu	so
frame	frame	so
free	free	so
frequency	frequency	so
from	from	so
front	front	so
fs	fs	so
fstat	fstat	so
fsync	fsync	so
fuction	fuction	so
full	full	so
func	func	so
function	function	so
functions	functions	so
fxrstor	fxrstor	so
fxsave	fxsave	so
g	g	so
gate	gate	so
gateway	gateway	so
gb	gb	so
gdt	gdt	so
get	get	so
getcwd	getcwd	so
getegid	getegid	so
geteuid	geteuid	so
getgid	getgid	so
getpid	getpid	so
getppid	getppid	so
getuid	getuid	so
gid	gid	so
global	global	so
got	got	so
gpf	gpf	so
gran	gran	so
graphics	graphics	so
grub	grub	so
gs	gs	so
h	h	so
halt	halt	so
handle	handle	so
handler	handler	so
handlers	handlers	so
hardware	hardware	so
has	has	so
hd	hd	so
head	head	so
header	header	so
headertype	headertype	so
heap	heap	so
height	height	so
helper	helper	so
hex	hex	so
hex출력	hex출력	so
hi	hi	so
hidden	hidden	so
high	high	so
hop	hop	so
i	i	so
icmp	icmp	so
icmp콘솔	icmp콘솔	so
id	id	so
ident	ident	so
identify	identify	so
idt	idt	so
idx	idx	so
ifchr	ifchr	so
ifdir	ifdir	so
ifmt	ifmt	so
ifreg	ifreg	so
ifsock	ifsock	so
in	in	so
increment	increment	so
index	index	so
inet	inet	so
info	info	so
init	init	so
initial	initial	so
initialization	initialization	so
initialize	initialize	so
ino	ino	so
inode	inode	so
input	input	so
install	install	so
int	int	so
interconnect	interconnect	so
interface	interface	so
internet	internet	so
internetprotocol	internetprotocol	so
interrupt	interrupt	so
interrupts	interrupts	so
invalid	invalid	so
io	io	so
iomap	iomap	so
ip	ip	so
ipci	ipci	so
ipmessage	ipmessage	so
ipv	ipv	so
ip콘솔	ip콘솔	so
iret	iret	so
is	is	so
ist	ist	so
j	j	so
jmp	jmp	so
jump	jump	so
k	k	so
kb	kb	so
kcs	kcs	so
kds	kds	so
kernel	kernel	so
key	key	so
keyboard	keyboard	so
kgs	kgs	so
kind	kind	so
k핵심	k핵심	so
l	l	so
label	label	so
last	last	so
lba	lba	so
ldt	ldt	so
left	left	so
len	len	so
length	length	so
lengths	lengths	so
level	level	so
lib	lib	so
lidt	lidt	so
lidtaddr	lidtaddr	so
limit	limit	so
line	line	so
link	link	so
linked	linked	so
linker	linker	so
list	list	so
listen	listen	so
listening	listening	so
live	live	so
load	load	so
loader	loader	so
local	local	so
log	log	so
logical	logical	so
loop	loop	so
low	low	so
lseek	lseek	so
lstat	lstat	so
m	m	so
mac	mac	so
machine	machine	so
magicnumber	magicnumber	so
main	weyn	so
make	make	so
malloc	malloc	so
manager	manager	so
map	map	so
mask	mask	so
master	master	so
matches	matches	so
max	max	so
maximum	maximum	so
mb	mb	so
mbr	mbr	so
media	media	so
mem	mem	so
memory	memory	so
memorymananger	memorymananger	so
memorytest	memorytest	so
memsz	memsz	so
mesg	mesg	so
message	message	so
mics	mics	so
mid	mid	so
minimum	minimum	so
mode	mode	so
model	model	so
mouse	mouse	so
mousemove	mousemove	so
move	move	so
msdospart	msdospart	so
msg	msg	so
mtime	mtime	so
multi	multi	so
multiboot	multiboot	so
multitasking	multitasking	so
my	my	so
myfunction	myfunction	so
m긴급로그	m긴급로그	so
m긴급로그문자열	m긴급로그문자열	so
m직렬로그초기화	m직렬로그초기화	so
m출력	m출력	so
m테스트	m테스트	so
n	n	so
name	name	so
namesz	namesz	so
net	net	so
network	network	so
new	new	so
next	next	so
nibble	nibble	so
nlink	nlink	so
nmi	nmi	so
node	node	so
nodename	nodename	so
noexec	noexec	so
none	none	so
normal	normal	so
norw	norw	so
not	not	so
note	note	so
nsec	nsec	so
num	num	so
number	number	so
o	o	so
of	of	so
offset	offset	so
ok	ok	so
old	old	so
on	on	so
only	only	so
opcode	opcode	so
open	open	so
oper	oper	so
operation	operation	so
options	options	so
order	order	so
org	org	so
other	other	so
out	out	so
output	output	so
overflow	overflow	so
p	p	so
packet	packet	so
packets	packets	so
paddr	paddr	so
page	page	so
pages	pages	so
paging	paging	so
param	param	so
parameter	parameter	so
params	params	so
parent	parent	so
parse	parse	so
part	part	so
partition	partition	so
partitions	partitions	so
path	path	so
pause	pause	so
payload	payload	so
pci	pci	so
pde	pde	so
pdelen	pdelen	so
peer	peer	so
pending	pending	so
per	per	so
peripheral	peripheral	so
phentsize	phentsize	so
phnum	phnum	so
phoff	phoff	so
phy	phy	so
phyaddr	phyaddr	so
phymem	phymem	so
phys	phys	so
physical	physical	so
pic	pic	so
pid	pid	so
pit	pit	so
pixel	pixel	so
point	point	so
pointer	pointer	so
pointers	pointers	so
poll	poll	so
port	port	so
portnumber	portnumber	so
pos	pos	so
position	position	so
posix	posix	so
prefetch	prefetch	so
prefetchable	prefetchable	so
present	present	so
prev	prev	so
primary	primary	so
print	print	so
printf	printf	so
println	println	so
printreg	printreg	so
priv	priv	so
private	private	so
privilege	privilege	so
proc	proc	so
process	process	so
processes	processes	so
processing	processing	so
program	program	so
programmable	programmable	so
protocol	protocol	so
provided	provided	so
provider	provider	so
ps	ps	so
pt	pt	so
pte	pte	so
ptr	ptr	so
push	push	so
put	put	so
pv	pv	so
queue	queue	so
r	r	so
range	range	so
raw	raw	so
rdev	rdev	so
read	akhri	so
ready	ready	so
receive	receive	so
received	received	so
receiver	receiver	so
receviced	receviced	so
record	record	so
rectangle	rectangle	so
recv	recv	so
ref	ref	so
refs	refs	so
reg	reg	so
region	region	so
register	register	so
registeroffset	registeroffset	so
registers	registers	so
regs	regs	so
regtype	regtype	so
rel	rel	so
rela	rela	so
release	release	so
released	released	so
reload	reload	so
relocation	relocation	so
remaining	remaining	so
remote	remote	so
remove	remove	so
reply	reply	so
request	request	so
requested	requested	so
reserved	reserved	so
reset	reset	so
resolve	resolve	so
restore	restore	so
result	result	so
ret	ret	so
revision	revision	so
rgb	rgb	so
right	right	so
root	root	so
round	round	so
route	route	so
rs	rs	so
rt	rt	so
run	run	so
runnable	runnable	so
rx	rx	so
s	s	so
saved	saved	so
sc	sc	so
scan	scan	so
scancode	scancode	so
sche	sche	so
schedule	schedule	so
scheduler	scheduler	so
screen	screen	so
secondary	secondary	so
sect	sect	so
section	section	so
sector	sector	so
sectors	sectors	so
seek	seek	so
seg	seg	so
segment	segment	so
segments	segments	so
select	select	so
selector	selector	so
self	self	so
send	send	so
sequencer	sequencer	so
serial	serial	so
set	set	so
setup	setup	so
sh	sh	so
shared	shared	so
shentsize	shentsize	so
shift	shift	so
shndx	shndx	so
shnum	shnum	so
shoff	shoff	so
shstrndx	shstrndx	so
signature	signature	so
simd	simd	so
size	size	so
sl	sl	so
slave	slave	so
sock	sock	so
socket	socket	so
socketcall	socketcall	so
sockets	sockets	so
soft	soft	so
software	software	so
source	source	so
space	space	so
spawn	spawn	so
src	src	so
srcptr	srcptr	so
ss	ss	so
st	st	so
stack	stack	so
stackbottom	stackbottom	so
stacktop	stacktop	so
start	start	so
started	started	so
starting	starting	so
stat	stat	so
state	state	so
status	status	so
