compiler_file	native_file
Makefile	compiler.mk.in
include/arpa/inet.h	include/conversion_des_adresses/ordre_des_octets.h
include/sys/syscall.h	include/système/syscall.h
include/errno.h	include/errno.h
include/fcntl.h	include/fcntl.h
include/netinet/in.h	include/interréseau/adresse.h
include/stddef.h	include/définitions_de_base.h
include/stdint.h	include/types_entiers.h
include/sys/socket.h	include/système/socket.h
include/sys/stat.h	include/système/stat.h
include/sys/types.h	include/système/types_de_données.h
include/sys/utsname.h	include/système/identité_du_système.h
include/sys/wait.h	include/système/attente_des_enfants.h
include/unistd.h	include/unistd.h
linker.ld	linker.ld
src/crt0.S	src/crt0.S
src/errno.c	src/errno.c
src/fcntl.c	src/fcntl.c
src/socket.c	src/socket.c
src/stat.c	src/stat.c
src/syscall.S	src/syscall.S
src/unistd.c	src/unistd.c
tests/compile.c	tests/vérification_de_compilation.c
tests/exec_runtime.c	tests/essai_de_remplacement_du_programme.c
tests/exec_target.c	tests/cible_de_remplacement.c
tests/fork_runtime.c	tests/essai_de_dédoublement_du_processus.c
tests/heap_runtime.c	tests/essai_de_mémoire_dynamique.c
tests/runtime.c	tests/essai_en_exécution.c
tests/socket_runtime.c	tests/essai_du_point_de_communication.c
tests/stdin_runtime.c	tests/essai_entrée_standard.c
include/ctype.h	include/ctype.h
include/limits.h	include/limits.h
include/stdlib.h	include/stdlib.h
include/string.h	include/string.h
include/strings.h	include/strings.h
src/allocation.c	src/allocation.c
src/ctype.c	src/ctype.c
src/stdlib.c	src/stdlib.c
src/string.c	src/string.c
tests/library.c	tests/library.c
tests/library_main.c	tests/library_main.c
tests/probe.c	tests/probe.c
