english	localized	language
a	а	sr_Cyrl
access	приступање	sr_Cyrl
ack	ack	sr_Cyrl
activate	Покрени	sr_Cyrl
active	Активна	sr_Cyrl
add	Додај	sr_Cyrl
addend	addend	sr_Cyrl
addr	addr	sr_Cyrl
addralign	addralign	sr_Cyrl
address	address	sr_Cyrl
advanced	Напредно	sr_Cyrl
af	af	sr_Cyrl
after	После	sr_Cyrl
align	Поравнање	sr_Cyrl
aligned	aligned	sr_Cyrl
alignment	alignment	sr_Cyrl
all	Све	sr_Cyrl
alloc	alloc	sr_Cyrl
allocate	allocate	sr_Cyrl
allocated	allocated	sr_Cyrl
am	am	sr_Cyrl
amd	amd	sr_Cyrl
amount	Износ	sr_Cyrl
and	and	sr_Cyrl
append	append	sr_Cyrl
args	args	sr_Cyrl
argument	argument	sr_Cyrl
arguments	Аргументи	sr_Cyrl
arp	arp	sr_Cyrl
arp콘솔	arp콘솔	sr_Cyrl
array	Низ	sr_Cyrl
assembly	assembly	sr_Cyrl
at	at	sr_Cyrl
ata	ata	sr_Cyrl
atime	atime	sr_Cyrl
attachment	attachment	sr_Cyrl
attempts	attempts	sr_Cyrl
attr	attr	sr_Cyrl
attribute	атрибут	sr_Cyrl
attributes	attributes	sr_Cyrl
aux	aux	sr_Cyrl
avail	avail	sr_Cyrl
available	Расположиво	sr_Cyrl
b	b	sr_Cyrl
ba	ba	sr_Cyrl
back	Назад	sr_Cyrl
backend	backend	sr_Cyrl
backup	backup	sr_Cyrl
bar	Бар	sr_Cyrl
base	base	sr_Cyrl
be	be	sr_Cyrl
bh	bh	sr_Cyrl
big	big	sr_Cyrl
bind	bind	sr_Cyrl
bios	bios	sr_Cyrl
bit	bit	sr_Cyrl
bitmap	bitmap	sr_Cyrl
bitmasp	bitmasp	sr_Cyrl
bits	бита	sr_Cyrl
blksize	blksize	sr_Cyrl
block	Блок	sr_Cyrl
blocked	blocked	sr_Cyrl
blocking	blocking	sr_Cyrl
blocks	blocks	sr_Cyrl
boot	boot	sr_Cyrl
bootable	bootable	sr_Cyrl
bootloader	bootloader	sr_Cyrl
bound	bound	sr_Cyrl
bpb	bpb	sr_Cyrl
break	break	sr_Cyrl
brk	brk	sr_Cyrl
broadcast	broadcast	sr_Cyrl
