original	localized	language
Activate	Покрени	sr_Cyrl
ActivateAll	ПокрениСве	sr_Cyrl
Active	Активна	sr_Cyrl
ActiveInterruptManager	АктивнаОметањеmanager	sr_Cyrl
ActiveMemoryManager	АктивнаМеморијаmanager	sr_Cyrl
Add	Додај	sr_Cyrl
AddDriver	Додајdriver	sr_Cyrl
AddRunnableThread	Додајrunnablethread	sr_Cyrl
AddTask	ДодајЗадатак	sr_Cyrl
AddThread	Додајthread	sr_Cyrl
Address	Address	sr_Cyrl
AlignedMalloc	Alignedmalloc	sr_Cyrl
AlignmentCheck	Alignmentcheck	sr_Cyrl
AllocateBlock	AllocateБлок	sr_Cyrl
AllocatePID	AllocateПИД	sr_Cyrl
AmountOfMemory	ИзносодМеморија	sr_Cyrl
ArrayToUint16	Низtounsignedinteger16	sr_Cyrl
ArrayToUint32	Низtounsignedinteger32	sr_Cyrl
ArrayToUint48	Низtounsignedinteger48	sr_Cyrl
ArrayToUint48_BE	Низtounsignedinteger48be	sr_Cyrl
ArrayToUint64	Низtounsignedinteger64	sr_Cyrl
Atime	Atime	sr_Cyrl
AtimeNsec	Atimensec	sr_Cyrl
BLOCKS_PER_BYTE	Блокperbyte	sr_Cyrl
BLOCK_SIZE	БлокВеличина	sr_Cyrl
Backend	Backend	sr_Cyrl
BaseAddr	Baseaddress	sr_Cyrl
Bind	Bind	sr_Cyrl
Blksize	Blksize	sr_Cyrl
Blocked	Blocked	sr_Cyrl
BlockedState	BlockedСтање	sr_Cyrl
Blocks	Блок	sr_Cyrl
BoundRangeExceeded	BoundОпсегexceeded	sr_Cyrl
BroadcastMacAddress	Broadcastmacaddress	sr_Cyrl
BytesPerSector	Бајтоваpersector	sr_Cyrl
BytesToString	Бајтоваtoниска	sr_Cyrl
Checksum	Checksum	sr_Cyrl
Clear	Очисти	sr_Cyrl
Clone	Clone	sr_Cyrl
CloneAddressSpaceCOW	Cloneaddressразмакcow	sr_Cyrl
Connect	Повежисе	sr_Cyrl
ContainsCoordinate	Containscoordinate	sr_Cyrl
CopyPageFrameBlock	УмножиСТРАНАОквирБлок	sr_Cyrl
CpuState	ПроцесорСтање	sr_Cyrl
Create	Create	sr_Cyrl
CreateFromData	Createсаdata	sr_Cyrl
CreateFromFunction	Createсафункција	sr_Cyrl
CreatePtrFromFunction	CreateПоказивачсафункција	sr_Cyrl
Cs	Cs	sr_Cyrl
Ctime	Ctime	sr_Cyrl
CtimeNsec	Ctimensec	sr_Cyrl
CurrentPID	ТренутноПИД	sr_Cyrl
CurrentParentPID	ТренутнонадређениПИД	sr_Cyrl
Data	Data	sr_Cyrl
Deactivate	Обустави	sr_Cyrl
Deactive	Deactive	sr_Cyrl
Decrement	Decrement	sr_Cyrl
Delete	Обриши	sr_Cyrl
DescriptorPrivilegeLevel	Descriptorprivilegelevel	sr_Cyrl
DescriptorType	DescriptorВрста	sr_Cyrl
Destroy	Уништи	sr_Cyrl
Dev	Уређај	sr_Cyrl
DeviceHasFunctions	УређајХасФункције	sr_Cyrl
DeviceNotAvailable	УређајnotРасположиво	sr_Cyrl
Device_id	УређајИБ	sr_Cyrl
DisableInt	ИскључиЦелиброј	sr_Cyrl
Disconnect	Прекинивезу	sr_Cyrl
DivideByZero	Dividebyzero	sr_Cyrl
DoHandleInterrupt	DoРучкаОметање	sr_Cyrl
DoubleFault	Двострукоfault	sr_Cyrl
Draw	Draw	sr_Cyrl
DriverManager	Drivermanager	sr_Cyrl
Ds	Ds	sr_Cyrl
Dynamic	Растегљиво	sr_Cyrl
E2BIG	E2big	sr_Cyrl
EACCES	Eacces	sr_Cyrl
EADDRINUSE	Eaddrinuse	sr_Cyrl
EAFNOSUPPORT	Eafnosupport	sr_Cyrl
EAGAIN	Eagain	sr_Cyrl
EBADF	Ebadf	sr_Cyrl
EBUSY	Ebusy	sr_Cyrl
ECHILD	Echild	sr_Cyrl
EEXIST	Eexist	sr_Cyrl
EFAULT	Efault	sr_Cyrl
EFBIG	Efbig	sr_Cyrl
EINTR	Eintr	sr_Cyrl
EINVAL	Einval	sr_Cyrl
EIO	Eio	sr_Cyrl
EISDIR	Eisdir	sr_Cyrl
EMFILE	Emfile	sr_Cyrl
EMSGSIZE	Emsgsize	sr_Cyrl
ENETUNREACH	Enetunreach	sr_Cyrl
ENFILE	Enfile	sr_Cyrl
ENODEV	Enodev	sr_Cyrl
ENOENT	Enoent	sr_Cyrl
ENOEXEC	Enoexec	sr_Cyrl
ENOMEM	Enomem	sr_Cyrl
ENOSPC	Enospc	sr_Cyrl
ENOSYS	Enosys	sr_Cyrl
ENOTCONN	Enotconn	sr_Cyrl
ENOTDIR	Enotdir	sr_Cyrl
ENOTTY	Enotty	sr_Cyrl
EOPNOTSUPP	Eopnotsupp	sr_Cyrl
EPERM	Eperm	sr_Cyrl
EPROTONOSUPPORT	Eprotonosupport	sr_Cyrl
ERANGE	Erange	sr_Cyrl
