original	before	after	review_status	concept	changed_tokens
Activate	Покрени	Покрени	existing-unreviewed		0
ActivateAll	ПокрениСве	ПокрениСве	existing-unreviewed		0
Active	Активна	Активна	existing-unreviewed		0
ActiveInterruptManager	АктивнаОметањеmanager	АктивнаОметањеmanager	existing-unreviewed		0
ActiveMemoryManager	АктивнаМеморијаmanager	АктивнаМеморијаmanager	existing-unreviewed		0
Add	Додај	Додај	existing-unreviewed		0
AddDriver	Додајdriver	Додајdriver	existing-unreviewed		0
AddRunnableThread	Додајrunnablethread	Додајrunnablethread	existing-unreviewed		0
AddTask	ДодајЗадатак	ДодајЗадатак	existing-unreviewed		0
AddThread	Додајthread	Додајthread	existing-unreviewed		0
Address	Address	Address	existing-unreviewed		0
AlignedMalloc	Alignedmalloc	Alignedmalloc	existing-unreviewed		0
AlignmentCheck	Alignmentcheck	Alignmentcheck	existing-unreviewed		0
AllocateBlock	AllocateБлок	AllocateБлок	existing-unreviewed		0
AllocatePID	AllocateПИД	AllocateПИД	existing-unreviewed		0
AmountOfMemory	ИзносодМеморија	ИзносодМеморија	existing-unreviewed		0
ArrayToUint16	Низtounsignedinteger16	Низtounsignedinteger16	existing-unreviewed		0
ArrayToUint32	Низtounsignedinteger32	Низtounsignedinteger32	existing-unreviewed		0
ArrayToUint48	Низtounsignedinteger48	Низtounsignedinteger48	existing-unreviewed		0
ArrayToUint48_BE	Низtounsignedinteger48be	Низtounsignedinteger48be	existing-unreviewed		0
ArrayToUint64	Низtounsignedinteger64	Низtounsignedinteger64	existing-unreviewed		0
Atime	Atime	Atime	existing-unreviewed		0
AtimeNsec	Atimensec	Atimensec	existing-unreviewed		0
BLOCKS_PER_BYTE	Блокperbyte	Блокperbyte	existing-unreviewed		0
BLOCK_SIZE	БлокВеличина	БлокВеличина	existing-unreviewed		0
Backend	Backend	Backend	existing-unreviewed		0
BaseAddr	Baseaddress	Baseaddress	existing-unreviewed		0
Bind	Bind	Bind	existing-unreviewed		0
Blksize	Blksize	Blksize	existing-unreviewed		0
Blocked	Blocked	Blocked	existing-unreviewed		0
BlockedState	BlockedСтање	BlockedСтање	existing-unreviewed		0
Blocks	Блок	Блок	existing-unreviewed		0
BoundRangeExceeded	BoundОпсегexceeded	BoundОпсегexceeded	existing-unreviewed		0
BroadcastMacAddress	Broadcastmacaddress	Broadcastmacaddress	existing-unreviewed		0
BytesPerSector	Бајтоваpersector	Бајтоваpersector	existing-unreviewed		0
BytesToString	Бајтоваtoниска	Бајтоваtoниска	existing-unreviewed		0
Checksum	Checksum	Checksum	existing-unreviewed		0
Clear	Очисти	Очисти	existing-unreviewed		0
Clone	Clone	Clone	existing-unreviewed		0
CloneAddressSpaceCOW	Cloneaddressразмакcow	Cloneaddressразмакcow	existing-unreviewed		0
Connect	Повежисе	Повежисе	existing-unreviewed		0
ContainsCoordinate	Containscoordinate	Containscoordinate	existing-unreviewed		0
CopyPageFrameBlock	УмножиСТРАНАОквирБлок	УмножиСТРАНАОквирБлок	existing-unreviewed		0
CpuState	ПроцесорСтање	ПроцесорСтање	existing-unreviewed		0
Create	Create	Create	existing-unreviewed		0
CreateFromData	Createсаdata	Createсаdata	existing-unreviewed		0
CreateFromFunction	Createсафункција	Createсафункција	existing-unreviewed		0
CreatePtrFromFunction	CreateПоказивачсафункција	CreateПоказивачсафункција	existing-unreviewed		0
Cs	Cs	Cs	existing-unreviewed		0
Ctime	Ctime	Ctime	existing-unreviewed		0
CtimeNsec	Ctimensec	Ctimensec	existing-unreviewed		0
CurrentPID	ТренутноПИД	ТренутноПИД	existing-unreviewed		0
CurrentParentPID	ТренутнонадређениПИД	ТренутнонадређениПИД	existing-unreviewed		0
Data	Data	Data	compatibility		0
Deactivate	Обустави	Обустави	existing-unreviewed		0
Deactive	Deactive	Deactive	existing-unreviewed		0
Decrement	Decrement	Decrement	existing-unreviewed		0
Delete	Обриши	Обриши	existing-unreviewed		0
DescriptorPrivilegeLevel	Descriptorprivilegelevel	Descriptorprivilegelevel	existing-unreviewed		0
DescriptorType	DescriptorВрста	DescriptorВрста	existing-unreviewed		0
Destroy	Уништи	Уништи	existing-unreviewed		0
Dev	Уређај	Уређај	existing-unreviewed		0
DeviceHasFunctions	УређајХасФункције	УређајХасФункције	existing-unreviewed		0
DeviceNotAvailable	УређајnotРасположиво	УређајnotРасположиво	existing-unreviewed		0
Device_id	УређајИБ	УређајИБ	existing-unreviewed		0
DisableInt	ИскључиЦелиброј	ИскључиЦелиброј	existing-unreviewed		0
Disconnect	Прекинивезу	Прекинивезу	existing-unreviewed		0
DivideByZero	Dividebyzero	Dividebyzero	existing-unreviewed		0
DoHandleInterrupt	DoРучкаОметање	DoРучкаОметање	existing-unreviewed		0
DoubleFault	Двострукоfault	Двострукоfault	existing-unreviewed		0
Draw	Draw	Draw	existing-unreviewed		0
DriverManager	Drivermanager	Drivermanager	existing-unreviewed		0
Ds	Ds	Ds	existing-unreviewed		0
Dynamic	Растегљиво	Растегљиво	existing-unreviewed		0
E2BIG	E2big	E2big	existing-unreviewed		0
EACCES	Eacces	Eacces	existing-unreviewed		0
EADDRINUSE	Eaddrinuse	Eaddrinuse	existing-unreviewed		0
EAFNOSUPPORT	Eafnosupport	Eafnosupport	existing-unreviewed		0
EAGAIN	Eagain	Eagain	existing-unreviewed		0
EBADF	Ebadf	Ebadf	existing-unreviewed		0
EBUSY	Ebusy	Ebusy	existing-unreviewed		0
ECHILD	Echild	Echild	existing-unreviewed		0
EEXIST	Eexist	Eexist	existing-unreviewed		0
EFAULT	Efault	Efault	existing-unreviewed		0
EFBIG	Efbig	Efbig	existing-unreviewed		0
EINTR	Eintr	Eintr	existing-unreviewed		0
EINVAL	Einval	Einval	existing-unreviewed		0
