english	localized	source	evidence_count
a	a	fallback-English	0
access	acesso	gettext	5
ack	ack	fallback-English	0
activate	Ativar	gettext	3
active	Ativo	gettext	13
add	Adicionar	gettext	32
addend	addend	fallback-English	0
addr	addr	fallback-English	0
addralign	addralign	fallback-English	0
address	Endereço	gettext	5
advanced	Avançado	gettext	32
af	af	fallback-English	0
after	Depois	gettext	5
align	Alinhamento	gettext	5
aligned	aligned	fallback-English	0
alignment	alignment	fallback-English	0
all	Tudo	gettext	5
alloc	alloc	fallback-English	0
allocate	allocate	fallback-English	0
allocated	allocated	fallback-English	0
am	am	fallback-English	0
amd	amd	fallback-English	0
amount	Montante	gettext	1
and	e	gettext	2
append	append	fallback-English	0
args	args	fallback-English	0
argument	argument	fallback-English	0
arguments	Argumentos	gettext	1
arp	arp	fallback-English	0
arp콘솔	arp콘솔	fallback-English	0
array	matriz	curated-seed	10
assembly	montador	curated-seed	0
at	at	fallback-English	0
ata	ata	fallback-English	0
atime	atime	fallback-English	0
attachment	attachment	fallback-English	0
attempts	attempts	fallback-English	0
attr	attr	fallback-English	0
attribute	atributo	curated-seed	5
attributes	attributes	fallback-English	0
aux	aux	fallback-English	0
avail	avail	fallback-English	0
available	Disponível	gettext	6
b	b	fallback-English	0
ba	ba	fallback-English	0
back	Recuar	gettext	7
backend	backend	fallback-English	0
backup	backup	fallback-English	0
bar	Barra	gettext	2
base	base	fallback-English	0
be	be	fallback-English	0
bh	bh	fallback-English	0
big	big	fallback-English	0
bind	Vincular	gettext	5
bios	bios	fallback-English	0
bit	bit	fallback-English	0
bitmap	bitmap	fallback-English	0
bitmasp	bitmasp	fallback-English	0
bits	bits	fallback-English	0
blksize	blksize	fallback-English	0
block	Bloco	gettext	15
blocked	blocked	fallback-English	0
blocking	blocking	fallback-English	0
blocks	Blocos	gettext	1
boot	boot	fallback-English	0
bootable	bootable	fallback-English	0
bootloader	bootloader	fallback-English	0
bound	bound	fallback-English	0
bpb	bpb	fallback-English	0
break	break	fallback-English	0
brk	brk	fallback-English	0
broadcast	broadcast	fallback-English	0
buf	buf	fallback-English	0
buffer	buffer	fallback-English	0
buffers	Tampões	gettext	1
bufptr	bufptr	fallback-English	0
bus	bus	fallback-English	0
button	Botão	gettext	7
buttons	Botões	gettext	11
by	by	fallback-English	0
byte	octeto	curated-seed	0
bytes	bytes	fallback-English	0
c	c	fallback-English	0
cache	cache	fallback-English	0
call	chamada	curated-seed	0
candidate	candidate	fallback-English	0
cap	cap	fallback-English	0
capable	capable	fallback-English	0
card	Cartas	gettext	1
central	central	fallback-English	0
char	char	fallback-English	0
chdir	chdir	fallback-English	0
check	check	fallback-English	0
checked	checked	fallback-English	0
checksum	checksum	fallback-English	0
child	dependente	gettext	5
chunk	chunk	fallback-English	0
class	Classe	gettext	6
clear	Limpar	gettext	15
cloexec	cloexec	fallback-English	0
clone	clone	fallback-English	0
close	fechar	curated-seed	49
cluster	cluster	fallback-English	0
cmp	cmp	fallback-English	0
code	code	fallback-English	0
col	col	fallback-English	0
color	Cor	gettext	4
colordepth	colordepth	fallback-English	0
command	Comando	gettext	24
commandport	commandport	fallback-English	0
common	comum	curated-seed	5
component	component	fallback-English	0
connect	Ligar	gettext	5
connected	connected	fallback-English	0
console	console	curated-seed	10
constant	constante	curated-seed	2
contains	contains	fallback-English	0
contents	Conteúdo	gettext	51
control	Controlo	gettext	2
controller	controlador	curated-seed	5
coordinate	coordinate	fallback-English	0
copies	copies	fallback-English	0
copy	copiar	curated-seed	41
count	Contar	gettext	5
cow	cow	fallback-English	0
cpu	cpu	fallback-English	0
cpustate	cpustate	fallback-English	0
cpy	cpy	fallback-English	0
cr	cr	fallback-English	0
creat	creat	fallback-English	0
create	criar	curated-seed	0
crtc	crtc	fallback-English	0
cs	cs	fallback-English	0
ctime	ctime	fallback-English	0
cur	cur	fallback-English	0
current	Atual	gettext	5
cursor	cursor	fallback-English	0
cylinder	cylinder	fallback-English	0
d	d	fallback-English	0
data	dados	curated-seed	0
databuffer	databuffer	fallback-English	0
datagram	datagram	fallback-English	0
dataport	dataport	fallback-English	0
date	Data	gettext	12
deactivate	Desativar	gettext	3
deactive	deactive	fallback-English	0
debug	Depurar	gettext	10
decrement	decrement	fallback-English	0
default	Predefinição	gettext	21
delete	eliminar	curated-seed	25
delta	delta	fallback-English	0
depth	Profundidade	gettext	1
desc	desc	fallback-English	0
descr	descr	fallback-English	0
description	Descrição	gettext	38
descriptor	descriptor	fallback-English	0
descriptors	descriptors	fallback-English	0
descsz	descsz	fallback-English	0
destination	Destino	gettext	10
destroy	Destruir	gettext	1
dev	dev	fallback-English	0
device	Dispositivo	gettext	15
diff	diff	fallback-English	0
digits	digits	fallback-English	0
dir	dir	fallback-English	0
directory	diretório	gettext	10
dirent	dirent	fallback-English	0
