compiler_identifier	native_identifier	status
INPUT_LINE_CAPACITY	capacidade_da_linha_de_entrada	project-proposal
MAX_ARGUMENT_COUNT	máximo_de_argumentos	project-proposal
MAX_SCRIPT_DEPTH	máximo_de_níveis_de_comandos	project-proposal
argument_count	número_de_argumentos	project-proposal
arguments	argumentos	project-proposal
buffer	memória_intermédia_de_transferência_2	project-proposal
bytes_read	octetos_lidos	project-proposal
bytes_written	número_de_octetos_escritos	project-proposal
capacity	capacidade	project-proposal
character	caráter	project-proposal
child_pid	identificador_do_processo_filho	project-proposal
cleanup	fechar_extremidades_de_comunicação	project-proposal
command	comando	project-proposal
command_aliases	nomes_locais_dos_comandos	project-proposal
command_cat	mostrar_conteúdo_do_ficheiro	project-proposal
command_echo	mostrar_argumentos	project-proposal
command_matches	comando_corresponde	project-proposal
command_names	comandos_de_referência	project-proposal
command_pid	mostrar_identificadores_de_processos	project-proposal
command_pwd	mostrar_diretório_atual	project-proposal
command_run	executar_programa	project-proposal
command_source	interpretar_ficheiro_de_comandos	project-proposal
command_stat	mostrar_informações_do_ficheiro	project-proposal
command_udp	testar_retorno_do_datagrama	project-proposal
command_uname	mostrar_identidade_do_sistema	project-proposal
current	posição_atual	project-proposal
digit_text	caracteres_dos_algarismos	project-proposal
file_descriptor	descritor_do_ficheiro_2	project-proposal
file_name	nome_do_ficheiro	project-proposal
input	entrada	project-proposal
input_descriptor	descritor_de_entrada	project-proposal
input_line	linha_de_entrada	project-proposal
input_stream	fluxo_de_entrada	project-proposal
left	esquerda	project-proposal
length	comprimento	project-proposal
message	mensagem	project-proposal
message_length	comprimento_da_mensagem_em_octetos	project-proposal
name	identidade_do_sistema	project-proposal
number	magnitude_sem_sinal	project-proposal
operation	operação	project-proposal
output	posição_de_saída	project-proposal
overflow	linha_de_entrada_inválida	project-proposal
path	caminho	project-proposal
position	posição	project-proposal
print_help	mostrar_ajuda	project-proposal
quote	aspas	project-proposal
read_line	ler_linha_de_entrada	project-proposal
receive_address	endereço_de_receção	project-proposal
receive_socket	extremidade_recetora	project-proposal
received_data	dados_recebidos	project-proposal
received_length	número_de_octetos_recebidos	project-proposal
right	direita	project-proposal
run_input	interpretar_entrada	project-proposal
script_depth	profundidade_dos_níveis_de_comandos	project-proposal
send_socket	extremidade_emissora	project-proposal
size	número_de_algarismos	project-proposal
source_address	endereço_do_remetente	project-proposal
source_address_length	comprimento_do_endereço_do_remetente	project-proposal
split_arguments	separar_argumentos	project-proposal
status	estado	project-proposal
text	texto	project-proposal
text_equal	textos_iguais	project-proposal
text_length	comprimento_do_texto_em_octetos	project-proposal
value	valor	project-proposal
wait_status	estado_de_terminação_do_filho	project-proposal
write_error	comunicar_erro	project-proposal
write_integer	escrever_inteiro	project-proposal
write_text	escrever_texto	project-proposal
