english	localized	language
a	P	sk
access	Prístup	sk
ack	ack	sk
activate	Aktivovať	sk
active	Aktívny	sk
add	Pridať	sk
addend	addend	sk
addr	addr	sk
addralign	addralign	sk
address	address	sk
advanced	Pokročilé	sk
af	af	sk
after	after	sk
align	Zarovnanie	sk
aligned	aligned	sk
alignment	alignment	sk
all	Všetky	sk
alloc	alloc	sk
allocate	allocate	sk
allocated	allocated	sk
am	am	sk
amd	amd	sk
amount	Množstvo	sk
and	a	sk
append	append	sk
args	args	sk
argument	argument	sk
arguments	Argumenty	sk
arp	arp	sk
arp콘솔	arp콘솔	sk
array	Pole	sk
assembly	assembly	sk
at	at	sk
ata	ata	sk
atime	atime	sk
attachment	attachment	sk
attempts	attempts	sk
attr	attr	sk
attribute	vlastnosť	sk
attributes	Atribúty	sk
aux	aux	sk
avail	avail	sk
available	Dostupné	sk
b	b	sk
ba	ba	sk
back	Späť	sk
backend	backend	sk
backup	backup	sk
bar	Lišta	sk
base	base	sk
be	be	sk
bh	bh	sk
big	big	sk
bind	bind	sk
bios	bios	sk
bit	bit	sk
bitmap	bitmap	sk
bitmasp	bitmasp	sk
bits	bity	sk
blksize	blksize	sk
block	Blok	sk
blocked	blocked	sk
blocking	blocking	sk
blocks	Blokové	sk
boot	boot	sk
bootable	bootable	sk
bootloader	bootloader	sk
bound	bound	sk
bpb	bpb	sk
break	break	sk
brk	brk	sk
broadcast	broadcast	sk
buf	buf	sk
buffer	buffer	sk
buffers	Buffery	sk
bufptr	bufptr	sk
bus	bus	sk
button	Tlačidlo	sk
buttons	Tlačidlá	sk
by	by	sk
byte	byte	sk
bytes	Bajty	sk
c	O	sk
cache	cache	sk
call	call	sk
candidate	candidate	sk
cap	cap	sk
capable	capable	sk
card	Kartové	sk
central	central	sk
char	char	sk
chdir	chdir	sk
check	check	sk
checked	checked	sk
checksum	checksum	sk
child	dieťa	sk
chunk	chunk	sk
class	Trieda	sk
clear	Vyčistiť	sk
cloexec	cloexec	sk
clone	clone	sk
close	Zavrieť	sk
cluster	cluster	sk
cmp	cmp	sk
code	code	sk
col	col	sk
color	Farba	sk
colordepth	colordepth	sk
command	Príkaz	sk
commandport	commandport	sk
common	bežné	sk
component	component	sk
connect	Pripojiť	sk
connected	connected	sk
console	Konzola	sk
constant	Konštanta	sk
contains	contains	sk
contents	Obsah	sk
control	Ovládanie	sk
controller	Radič	sk
coordinate	coordinate	sk
copies	copies	sk
copy	Kopírovať	sk
count	count	sk
cow	cow	sk
cpu	Procesor	sk
cpustate	cpustate	sk
cpy	cpy	sk
cr	cr	sk
creat	creat	sk
create	create	sk
crtc	crtc	sk
cs	cs	sk
ctime	ctime	sk
cur	cur	sk
current	Aktuálny	sk
cursor	Kurzor	sk
cylinder	cylinder	sk
d	R	sk
data	data	sk
databuffer	databuffer	sk
datagram	datagram	sk
dataport	dataport	sk
date	Dátum	sk
deactivate	Deaktivovať	sk
deactive	deactive	sk
debug	Ladenie	sk
decrement	decrement	sk
default	Predvolené	sk
delete	Odstrániť	sk
delta	delta	sk
depth	depth	sk
desc	desc	sk
descr	descr	sk
description	Popis	sk
descriptor	descriptor	sk
descriptors	descriptors	sk
descsz	descsz	sk
destination	Cieľ	sk
destroy	Zničiť	sk
dev	dev	sk
device	Zariadenie	sk
diff	diff	sk
digits	digits	sk
dir	dir	sk
directory	Adresár	sk
dirent	dirent	sk
disable	Zakázať	sk
discard	Zahodiť	sk
disconnect	Odpojiť	sk
dispatch	dispatch	sk
divide	Delenie	sk
divisor	divisor	sk
do	do	sk
domain	Doména	sk
double	dvojité	sk
down	Dole	sk
draw	draw	sk
drive	drive	sk
driver	driver	sk
drivercount	drivercount	sk
drivers	drivers	sk
drv	drv	sk
ds	ds	sk
dst	dst	sk
dstptr	dstptr	sk
dup	dup	sk
dword	dword	sk
dyn	dyn	sk
dynamic	Dynamická	sk
e	V	sk
eacces	eacces	sk
eaddrinuse	eaddrinuse	sk
eafnosupport	eafnosupport	sk
eagain	eagain	sk
eax	eax	sk
ebadf	ebadf	sk
ebp	ebp	sk
ebusy	ebusy	sk
ebx	ebx	sk
echild	echild	sk
echo	echo	sk
ecx	ecx	sk
edi	edi	sk
edx	edx	sk
eexist	eexist	sk
ef	ef	sk
efault	efault	sk
efbig	efbig	sk
eflags	eflags	sk
ehsize	ehsize	sk
eintr	eintr	sk
einval	einval	sk
eio	eio	sk
eip	eip	sk
eisdir	eisdir	sk
elf	elf	sk
emfile	emfile	sk
empty	Prázdne	sk
emsgsize	emsgsize	sk
