english	localized	language
a	NT	sl
access	dostop	sl
ack	ack	sl
activate	Omogoči	sl
active	Dejaven	sl
add	Dodaj	sl
addend	addend	sl
addr	addr	sl
addralign	addralign	sl
address	address	sl
advanced	Napredno	sl
af	af	sl
after	after	sl
align	Poravnaj	sl
aligned	aligned	sl
alignment	alignment	sl
all	Vse	sl
alloc	alloc	sl
allocate	allocate	sl
allocated	allocated	sl
am	am	sl
amd	amd	sl
amount	Količina	sl
and	and	sl
append	append	sl
args	args	sl
argument	argument	sl
arguments	Argumenti	sl
arp	arp	sl
arp콘솔	arp콘솔	sl
array	Polje	sl
assembly	assembly	sl
at	at	sl
ata	ata	sl
atime	atime	sl
attachment	attachment	sl
attempts	attempts	sl
attr	attr	sl
attribute	atribut	sl
attributes	attributes	sl
aux	aux	sl
avail	avail	sl
available	Razpoložljivo	sl
b	b	sl
ba	ba	sl
back	Nazaj	sl
backend	backend	sl
backup	backup	sl
bar	Vrstica	sl
base	base	sl
be	be	sl
bh	bh	sl
big	big	sl
bind	bind	sl
bios	bios	sl
bit	bit	sl
bitmap	bitmap	sl
bitmasp	bitmasp	sl
bits	biti	sl
blksize	blksize	sl
block	Blok	sl
blocked	blocked	sl
blocking	blocking	sl
blocks	blocks	sl
boot	boot	sl
bootable	bootable	sl
bootloader	bootloader	sl
bound	bound	sl
bpb	bpb	sl
break	break	sl
brk	brk	sl
broadcast	broadcast	sl
buf	buf	sl
buffer	buffer	sl
buffers	Medpomnilniki	sl
bufptr	bufptr	sl
bus	bus	sl
button	Gumb	sl
buttons	Gumbi	sl
by	by	sl
byte	byte	sl
bytes	Bajtov	sl
c	O	sl
cache	cache	sl
call	call	sl
candidate	candidate	sl
cap	cap	sl
capable	capable	sl
card	card	sl
central	central	sl
char	char	sl
chdir	chdir	sl
check	check	sl
checked	checked	sl
checksum	checksum	sl
child	podrejenipredmet	sl
chunk	chunk	sl
class	Razred	sl
clear	Počisti	sl
cloexec	cloexec	sl
clone	clone	sl
close	Zapri	sl
cluster	cluster	sl
cmp	cmp	sl
code	code	sl
col	col	sl
color	Barva	sl
colordepth	colordepth	sl
command	Ukaz	sl
commandport	commandport	sl
common	skupno	sl
component	component	sl
connect	Poveži	sl
connected	connected	sl
console	console	sl
constant	Konstanta	sl
contains	contains	sl
contents	Vsebina	sl
control	Nadzor	sl
controller	controller	sl
coordinate	coordinate	sl
copies	copies	sl
copy	Kopiraj	sl
count	count	sl
cow	cow	sl
cpu	CPE	sl
cpustate	cpustate	sl
cpy	cpy	sl
cr	cr	sl
creat	creat	sl
create	create	sl
crtc	crtc	sl
cs	cs	sl
ctime	ctime	sl
cur	cur	sl
current	current	sl
cursor	Kazalec	sl
cylinder	cylinder	sl
d	R	sl
data	data	sl
databuffer	databuffer	sl
datagram	datagram	sl
dataport	dataport	sl
date	Datum	sl
deactivate	Onemogoči	sl
deactive	deactive	sl
debug	Razhrošči	sl
decrement	decrement	sl
default	Privzeto	sl
delete	Izbriši	sl
delta	delta	sl
depth	depth	sl
desc	desc	sl
descr	descr	sl
description	Opis	sl
descriptor	descriptor	sl
descriptors	descriptors	sl
descsz	descsz	sl
destination	Cilj	sl
destroy	Uniči	sl
dev	dev	sl
device	Naprava	sl
diff	diff	sl
digits	digits	sl
dir	dir	sl
directory	Mapa	sl
dirent	dirent	sl
disable	Onemogoči	sl
discard	Zavrzi	sl
disconnect	Prekinipovezavo	sl
dispatch	dispatch	sl
divide	divide	sl
divisor	divisor	sl
do	do	sl
domain	Domena	sl
double	Dvojno	sl
down	Dol	sl
draw	draw	sl
drive	drive	sl
driver	driver	sl
drivercount	drivercount	sl
drivers	drivers	sl
drv	drv	sl
ds	ds	sl
dst	dst	sl
dstptr	dstptr	sl
dup	dup	sl
dword	dword	sl
dyn	dyn	sl
dynamic	Dinamično	sl
e	V	sl
eacces	eacces	sl
eaddrinuse	eaddrinuse	sl
eafnosupport	eafnosupport	sl
eagain	eagain	sl
eax	eax	sl
ebadf	ebadf	sl
ebp	ebp	sl
ebusy	ebusy	sl
ebx	ebx	sl
echild	echild	sl
echo	echo	sl
ecx	ecx	sl
edi	edi	sl
edx	edx	sl
eexist	eexist	sl
ef	ef	sl
efault	efault	sl
efbig	efbig	sl
eflags	eflags	sl
ehsize	ehsize	sl
eintr	eintr	sl
einval	einval	sl
eio	eio	sl
eip	eip	sl
eisdir	eisdir	sl
elf	elf	sl
emfile	emfile	sl
empty	Prazno	sl
emsgsize	emsgsize	sl
enable	Omogoči	sl
enabled	Omogočeno	sl
end	end	sl
enetunreach	enetunreach	sl
enfile	enfile	sl
enodev	enodev	sl
enoent	enoent	sl
enoexec	enoexec	sl
enomem	enomem	sl
enospc	enospc	sl
enosys	enosys	sl
enotconn	enotconn	sl
enotdir	enotdir	sl
enotty	enotty	sl
ensure	ensure	sl
entries	entries	sl
entry	vnos	sl
entrypoint	entrypoint	sl
entsize	entsize	sl
environment	environment	sl
eopnotsupp	eopnotsupp	sl
eperm	eperm	sl
ephemeral	ephemeral	sl
eprotonosupport	eprotonosupport	sl
equal	equal	sl
erange	erange	sl
erofs	erofs	sl
err	Napaka	sl
error	Napaka	sl
errorln	errorln	sl
es	es	sl
esi	esi	sl
esp	esp	sl
espipe	espipe	sl
esrch	esrch	sl
ether	ether	sl
etherframe	etherframe	sl
ethernet	ethernet	sl
event	event	sl
events	Dogodki	sl
exceeded	exceeded	sl
except	except	sl
exception	exception	sl
exec	Izvedljivo	sl
execve	execve	sl
exists	exists	sl
exit	Izhod	sl
exited	Končal	sl
ext	ext	sl
extended	extended	sl
f	M	sl
family	family	sl
fat	fat	sl
fatal	fatal	sl
fatbuf	fatbuf	sl
fatbuffer	fatbuffer	sl
fault	fault	sl
fb	fb	sl
fcntl	fcntl	sl
fd	fd	sl
fds	fds	sl
field	polje	sl
file	Datoteka	sl
filename	Imedatoteke	sl
files	Datoteke	sl
filesz	filesz	sl
fill	fill	sl
find	Najdi	sl
first	Prvi	sl
fl	fl	sl
flag	Zastava	sl
flags	Zastavice	sl
floating	floating	sl
flush	flush	sl
fn	fn	sl
focus	Žarišče	sl
focussable	focussable	sl
foo	foo	sl
for	for	sl
forced	forced	sl
fork	fork	sl
found	found	sl
fp	fp	sl
fpu	fpu	sl
frame	Okvir	sl
free	Prosto	sl
frequency	frequency	sl
from	from	sl
front	Spredaj	sl
fs	fs	sl
fstat	fstat	sl
fsync	fsync	sl
fuction	fuction	sl
full	Polno	sl
func	func	sl
function	Funkcija	sl
functions	Funkcije	sl
fxrstor	fxrstor	sl
fxsave	fxsave	sl
g	g	sl
gate	gate	sl
gateway	gateway	sl
gb	gb	sl
gdt	gdt	sl
get	get	sl
getcwd	getcwd	sl
getegid	getegid	sl
geteuid	geteuid	sl
getgid	getgid	sl
getpid	getpid	sl
getppid	getppid	sl
getuid	getuid	sl
gid	gid	sl
global	Splošno	sl
got	got	sl
gpf	gpf	sl
gran	gran	sl
graphics	Grafika	sl
grub	grub	sl
gs	gs	sl
h	V	sl
halt	halt	sl
handle	Ročica	sl
handler	handler	sl
handlers	handlers	sl
hardware	Strojnaoprema	sl
has	has	sl
hd	hd	sl
head	head	sl
header	header	sl
headertype	headertype	sl
heap	heap	sl
height	Višina	sl
helper	helper	sl
hex	Šestnajstiško	sl
hex출력	hex출력	sl
hi	hi	sl
hidden	Skrito	sl
high	Visoko	sl
hop	hop	sl
i	i	sl
icmp	icmp	sl
icmp콘솔	icmp콘솔	sl
id	id	sl
ident	ident	sl
identify	identify	sl
idt	idt	sl
idx	idx	sl
ifchr	ifchr	sl
ifdir	ifdir	sl
ifmt	ifmt	sl
ifreg	ifreg	sl
ifsock	ifsock	sl
in	Vhodno	sl
increment	increment	sl
