original	localized	language
Activate	Omogoči	sl
ActivateAll	OmogočiVse	sl
Active	Dejaven	sl
ActiveInterruptManager	DejavenPrekinitevmanager	sl
ActiveMemoryManager	DejavenPomnilnikmanager	sl
Add	Dodaj	sl
AddDriver	Dodajdriver	sl
AddRunnableThread	Dodajrunnablethread	sl
AddTask	DodajNaloga	sl
AddThread	Dodajthread	sl
Address	Address	sl
AlignedMalloc	Alignedmalloc	sl
AlignmentCheck	Alignmentcheck	sl
AllocateBlock	AllocateBlok	sl
AllocatePID	Allocatepid	sl
AmountOfMemory	KoličinaodPomnilnik	sl
ArrayToUint16	Poljetounsignedinteger16	sl
ArrayToUint32	Poljetounsignedinteger32	sl
ArrayToUint48	Poljetounsignedinteger48	sl
ArrayToUint48_BE	Poljetounsignedinteger48be	sl
ArrayToUint64	Poljetounsignedinteger64	sl
Atime	Atime	sl
AtimeNsec	Atimensec	sl
BLOCKS_PER_BYTE	Blokperbyte	sl
BLOCK_SIZE	BlokVelikost	sl
Backend	Backend	sl
BaseAddr	Baseaddress	sl
Bind	Bind	sl
Blksize	Blksize	sl
Blocked	Blocked	sl
BlockedState	BlockedStanje	sl
Blocks	Blok	sl
BoundRangeExceeded	BoundObmočjeexceeded	sl
BroadcastMacAddress	Broadcastmacaddress	sl
BytesPerSector	Bajtovpersector	sl
BytesToString	BajtovtoNiz	sl
Checksum	Checksum	sl
Clear	Počisti	sl
Clone	Clone	sl
CloneAddressSpaceCOW	CloneaddressPresledekcow	sl
Connect	Poveži	sl
ContainsCoordinate	Containscoordinate	sl
CopyPageFrameBlock	KopirajStranOkvirBlok	sl
CpuState	CPEStanje	sl
Create	Create	sl
CreateFromData	Createfromdata	sl
CreateFromFunction	CreatefromFunkcija	sl
CreatePtrFromFunction	CreateKazalnikfromFunkcija	sl
Cs	Cs	sl
Ctime	Ctime	sl
CtimeNsec	Ctimensec	sl
CurrentPID	Currentpid	sl
CurrentParentPID	Currentnadrejenipredmetpid	sl
Data	Data	sl
Deactivate	Onemogoči	sl
Deactive	Deactive	sl
Decrement	Decrement	sl
Delete	Izbriši	sl
DescriptorPrivilegeLevel	Descriptorprivilegelevel	sl
DescriptorType	DescriptorVrsta	sl
Destroy	Uniči	sl
Dev	Naprava	sl
DeviceHasFunctions	NapravahasFunkcije	sl
DeviceNotAvailable	NapravanotRazpoložljivo	sl
Device_id	Napravaid	sl
DisableInt	OnemogočiŠtevilo	sl
Disconnect	Prekinipovezavo	sl
DivideByZero	Dividebyzero	sl
DoHandleInterrupt	DoRočicaPrekinitev	sl
DoubleFault	Dvojnofault	sl
Draw	Draw	sl
DriverManager	Drivermanager	sl
Ds	Ds	sl
Dynamic	Dinamično	sl
E2BIG	E2big	sl
EACCES	Eacces	sl
EADDRINUSE	Eaddrinuse	sl
EAFNOSUPPORT	Eafnosupport	sl
EAGAIN	Eagain	sl
EBADF	Ebadf	sl
EBUSY	Ebusy	sl
ECHILD	Echild	sl
EEXIST	Eexist	sl
EFAULT	Efault	sl
EFBIG	Efbig	sl
EINTR	Eintr	sl
EINVAL	Einval	sl
EIO	Eio	sl
EISDIR	Eisdir	sl
EMFILE	Emfile	sl
EMSGSIZE	Emsgsize	sl
ENETUNREACH	Enetunreach	sl
ENFILE	Enfile	sl
ENODEV	Enodev	sl
ENOENT	Enoent	sl
ENOEXEC	Enoexec	sl
ENOMEM	Enomem	sl
ENOSPC	Enospc	sl
ENOSYS	Enosys	sl
ENOTCONN	Enotconn	sl
ENOTDIR	Enotdir	sl
ENOTTY	Enotty	sl
EOPNOTSUPP	Eopnotsupp	sl
EPERM	Eperm	sl
EPROTONOSUPPORT	Eprotonosupport	sl
ERANGE	Erange	sl
EROFS	Erofs	sl
ESPIPE	Espipe	sl
ESRCH	Esrch	sl
Eax	Eax	sl
Ebp	Ebp	sl
Ebx	Ebx	sl
Ecx	Ecx	sl
Edi	Edi	sl
Edx	Edx	sl
Eflags	Eflags	sl
Eip	Eip	sl
Elf	Elf	sl
Elf32Dyn	Elf32dyn	sl
Elf32Note	Elf32Opomba	sl
Elf32Rel	Elf32rel	sl
Elf32Rela	Elf32rela	sl
Elf32Sym	Elf32sym	sl
ElfHeader	Elfheader	sl
ElfProgramHeader	Elfprogramheader	sl
ElfSectionHeader	Elfsectionheader	sl
EnablePaging	Omogočipaging	sl
Enabled	Omogočeno	sl
EntryNumber	VnosŠtevilka	sl
EqualBytes	EqualBajtov	sl
Es	Es	sl
Esi	Esi	sl
Esp	Esp	sl
FPUBuffer	Fpubuffer	sl
FPUOffset	Fpuoffset	sl
Family	Family	sl
FileName	DatotekaIme	sl
Fill	Fill	sl
FillRectangle	FillPravokotnik	sl
First	Prvi	sl
FirstFree	PrviProsto	sl
FirstFreeSize	PrviProstoVelikost	sl
Flags	Zastavice	sl
FloatingPointException	Floatingpointexception	sl
Flush	Flush	sl
