english	localized	source	evidence_count
a	U	gettext	1
access	Åtkomst	gettext	5
ack	ack	fallback-English	0
activate	Aktivera	gettext	3
active	Aktiv	gettext	8
add	Läggtill	gettext	34
addend	addend	fallback-English	0
addr	addr	fallback-English	0
addralign	addralign	fallback-English	0
address	Adress	gettext	5
advanced	Avancerat	gettext	29
af	af	fallback-English	0
after	after	fallback-English	0
align	Justera	gettext	6
aligned	aligned	fallback-English	0
alignment	alignment	fallback-English	0
all	Alla	gettext	7
alloc	alloc	fallback-English	0
allocate	allocate	fallback-English	0
allocated	allocated	fallback-English	0
am	am	fallback-English	0
amd	amd	fallback-English	0
amount	Mängd	gettext	1
and	och	gettext	1
append	append	fallback-English	0
args	args	fallback-English	0
argument	argument	fallback-English	0
arguments	Argument	gettext	1
arp	arp	fallback-English	0
arp콘솔	arp콘솔	fallback-English	0
array	Vektor	gettext	5
assembly	assembly	fallback-English	0
at	at	fallback-English	0
ata	ata	fallback-English	0
atime	atime	fallback-English	0
attachment	attachment	fallback-English	0
attempts	attempts	fallback-English	0
attr	attr	fallback-English	0
attribute	attribut	gettext	5
attributes	Attribut	gettext	1
aux	aux	fallback-English	0
avail	avail	fallback-English	0
available	Tillgängligt	gettext	6
b	b	fallback-English	0
ba	ba	fallback-English	0
back	Bakåt	gettext	16
backend	backend	fallback-English	0
backup	backup	fallback-English	0
bar	Rad	gettext	1
base	base	fallback-English	0
be	be	fallback-English	0
bh	bh	fallback-English	0
big	big	fallback-English	0
bind	bind	fallback-English	0
bios	bios	fallback-English	0
bit	bit	fallback-English	0
bitmap	bitmap	fallback-English	0
bitmasp	bitmasp	fallback-English	0
bits	bitar	gettext	2
blksize	blksize	fallback-English	0
block	block	fallback-English	0
blocked	blocked	fallback-English	0
blocking	blocking	fallback-English	0
blocks	Klossar	gettext	1
boot	boot	fallback-English	0
bootable	bootable	fallback-English	0
bootloader	bootloader	fallback-English	0
bound	bound	fallback-English	0
bpb	bpb	fallback-English	0
break	break	fallback-English	0
brk	brk	fallback-English	0
broadcast	broadcast	fallback-English	0
buf	buf	fallback-English	0
buffer	buffer	fallback-English	0
buffers	Buffertar	gettext	2
bufptr	bufptr	fallback-English	0
bus	bus	fallback-English	0
button	Knapp	gettext	2
buttons	Knappar	gettext	11
by	by	fallback-English	0
byte	byte	fallback-English	0
bytes	Byte	gettext	11
c	M	gettext	1
cache	cache	fallback-English	0
call	call	fallback-English	0
candidate	candidate	fallback-English	0
cap	cap	fallback-English	0
capable	capable	fallback-English	0
card	Kortspel	gettext	1
central	central	fallback-English	0
char	char	fallback-English	0
chdir	chdir	fallback-English	0
check	check	fallback-English	0
checked	checked	fallback-English	0
checksum	Kontrollsumma	gettext	1
child	barn	gettext	5
chunk	chunk	fallback-English	0
class	Klass	gettext	6
clear	Töm	gettext	8
cloexec	cloexec	fallback-English	0
clone	clone	fallback-English	0
close	Stäng	gettext	47
cluster	cluster	fallback-English	0
cmp	cmp	fallback-English	0
code	code	fallback-English	0
col	col	fallback-English	0
color	Färg	gettext	4
colordepth	colordepth	fallback-English	0
command	Kommando	gettext	24
commandport	commandport	fallback-English	0
common	gemensam	gettext	5
component	component	fallback-English	0
connect	Anslut	gettext	10
connected	connected	fallback-English	0
console	Konsol	gettext	10
constant	Konstant	gettext	2
contains	contains	fallback-English	0
contents	Innehåll	gettext	52
control	Ctrl	gettext	1
controller	Styrenhet	gettext	5
coordinate	coordinate	fallback-English	0
copies	copies	fallback-English	0
copy	Kopiera	gettext	42
count	Antal	gettext	5
cow	cow	fallback-English	0
cpu	Processor	gettext	5
