english	localized	language
a	a	fr
access	accès	fr
ack	ack	fr
activate	Activer	fr
active	Actif	fr
add	Ajouter	fr
addend	addend	fr
addr	addr	fr
addralign	addralign	fr
address	address	fr
advanced	Avancé	fr
af	af	fr
after	Après	fr
align	Aligner	fr
aligned	aligned	fr
alignment	alignment	fr
all	Tout	fr
alloc	alloc	fr
allocate	allocate	fr
allocated	allocated	fr
am	am	fr
amd	amd	fr
amount	Quantité	fr
and	et	fr
append	append	fr
args	args	fr
argument	argument	fr
arguments	arguments	fr
arp	arp	fr
arp콘솔	arp콘솔	fr
array	tableau	fr
assembly	assembleur	fr
at	at	fr
ata	ata	fr
atime	atime	fr
attachment	attachment	fr
attempts	attempts	fr
attr	attr	fr
attribute	attribut	fr
attributes	Attributs	fr
aux	aux	fr
avail	avail	fr
available	Disponible	fr
b	o	fr
ba	ba	fr
back	Précédent	fr
backend	backend	fr
backup	backup	fr
bar	Barre	fr
base	base	fr
be	be	fr
bh	bh	fr
big	Élevé	fr
bind	Relier	fr
bios	bios	fr
bit	bit	fr
bitmap	bitmap	fr
bitmasp	bitmasp	fr
bits	bits	fr
blksize	blksize	fr
block	Bloc	fr
blocked	blocked	fr
blocking	blocking	fr
blocks	Chutedeblocs	fr
boot	boot	fr
bootable	bootable	fr
bootloader	bootloader	fr
bound	bound	fr
bpb	bpb	fr
break	break	fr
brk	brk	fr
broadcast	broadcast	fr
buf	buf	fr
buffer	buffer	fr
buffers	Tampons	fr
bufptr	bufptr	fr
bus	bus	fr
button	Bouton	fr
buttons	Boutons	fr
by	by	fr
byte	octet	fr
bytes	Octets	fr
c	CN	fr
cache	cache	fr
call	appel	fr
candidate	candidate	fr
cap	cap	fr
capable	capable	fr
card	Cartes	fr
central	central	fr
char	char	fr
chdir	chdir	fr
check	check	fr
checked	checked	fr
checksum	checksum	fr
child	enfant	fr
chunk	chunk	fr
class	Classe	fr
clear	Effacer	fr
cloexec	cloexec	fr
clone	clone	fr
close	fermer	fr
cluster	cluster	fr
cmp	cmp	fr
code	code	fr
col	col	fr
color	Couleur	fr
colordepth	colordepth	fr
command	Commande	fr
commandport	commandport	fr
common	commun	fr
component	component	fr
connect	Connecter	fr
connected	connected	fr
console	console	fr
constant	constante	fr
contains	contains	fr
contents	Sommaire	fr
control	Ctrl	fr
controller	contrôleur	fr
coordinate	coordinate	fr
copies	copies	fr
copy	copier	fr
count	Nombre	fr
cow	cow	fr
cpu	Processeur	fr
cpustate	cpustate	fr
cpy	cpy	fr
cr	cr	fr
creat	creat	fr
create	créer	fr
crtc	crtc	fr
cs	cs	fr
ctime	ctime	fr
cur	cur	fr
current	Courante	fr
cursor	Curseur	fr
cylinder	cylinder	fr
d	TR	fr
data	données	fr
databuffer	databuffer	fr
datagram	datagram	fr
dataport	dataport	fr
date	date	fr
deactivate	Désactiver	fr
deactive	deactive	fr
debug	Déboguer	fr
decrement	decrement	fr
default	Pardéfaut	fr
delete	supprimer	fr
delta	delta	fr
depth	Profondeur	fr
desc	desc	fr
descr	descr	fr
description	description	fr
descriptor	descriptor	fr
descriptors	descriptors	fr
descsz	descsz	fr
destination	destination	fr
destroy	Détruire	fr
dev	dev	fr
device	Périphérique	fr
diff	diff	fr
digits	digits	fr
dir	dir	fr
directory	répertoire	fr
dirent	dirent	fr
disable	Désactiver	fr
discard	Abandonner	fr
disconnect	Déconnecter	fr
dispatch	dispatch	fr
divide	Division	fr
divisor	divisor	fr
do	do	fr
domain	Domaine	fr
double	double	fr
down	Verslebas	fr
draw	draw	fr
drive	drive	fr
driver	pilote	fr
drivercount	drivercount	fr
drivers	drivers	fr
drv	drv	fr
ds	ds	fr
dst	dst	fr
dstptr	dstptr	fr
dup	dup	fr
dword	dword	fr
dyn	dyn	fr
dynamic	Dynamique	fr
e	e	fr
eacces	eacces	fr
eaddrinuse	eaddrinuse	fr
eafnosupport	eafnosupport	fr
eagain	eagain	fr
eax	eax	fr
ebadf	ebadf	fr
ebp	ebp	fr
ebusy	ebusy	fr
ebx	ebx	fr
echild	echild	fr
echo	echo	fr
ecx	ecx	fr
edi	edi	fr
edx	edx	fr
eexist	eexist	fr
ef	ef	fr
efault	efault	fr
efbig	efbig	fr
eflags	eflags	fr
ehsize	ehsize	fr
eintr	eintr	fr
einval	einval	fr
eio	eio	fr
eip	eip	fr
eisdir	eisdir	fr
elf	elf	fr
emfile	emfile	fr
empty	Vide	fr
emsgsize	emsgsize	fr
enable	Activer	fr
enabled	Activé	fr
end	Fin	fr
enetunreach	enetunreach	fr
enfile	enfile	fr
enodev	enodev	fr
enoent	enoent	fr
enoexec	enoexec	fr
enomem	enomem	fr
enospc	enospc	fr
enosys	enosys	fr
enotconn	enotconn	fr
enotdir	enotdir	fr
enotty	enotty	fr
ensure	ensure	fr
entries	entries	fr
entry	élément	fr
entrypoint	entrypoint	fr
entsize	entsize	fr
environment	environment	fr
eopnotsupp	eopnotsupp	fr
eperm	eperm	fr
ephemeral	ephemeral	fr
eprotonosupport	eprotonosupport	fr
equal	Égal	fr
erange	erange	fr
erofs	erofs	fr
err	err	fr
error	Erreur	fr
errorln	errorln	fr
es	es	fr
esi	esi	fr
esp	esp	fr
espipe	espipe	fr
esrch	esrch	fr
ether	ether	fr
etherframe	etherframe	fr
ethernet	ethernet	fr
event	événement	fr
events	événements	fr
exceeded	exceeded	fr
except	except	fr
exception	exception	fr
exec	Exécution	fr
execve	execve	fr
exists	exists	fr
exit	Quitter	fr
exited	Fermé	fr
ext	ext	fr
extended	extended	fr
f	B	fr
family	family	fr
fat	fat	fr
fatal	fatal	fr
fatbuf	fatbuf	fr
fatbuffer	fatbuffer	fr
fault	défaut	fr
fb	fb	fr
fcntl	fcntl	fr
fd	fd	fr
fds	fds	fr
field	champ	fr
file	fichier	fr
filename	Nomdefichier	fr
files	FICHIERS	fr
filesz	filesz	fr
fill	fill	fr
find	Rechercher	fr
first	first	fr
fl	fl	fr
flag	Drapeau	fr
flags	Attributs	fr
floating	Flottante	fr
flush	flush	fr
fn	fn	fr
focus	Focalisation	fr
focussable	focussable	fr
foo	foo	fr
for	for	fr
forced	forced	fr
fork	fork	fr
found	found	fr
fp	fp	fr
fpu	fpu	fr
frame	trame	fr
free	Libre	fr
frequency	Fréquence	fr
from	de	fr
front	Avant	fr
fs	fs	fr
fstat	fstat	fr
fsync	fsync	fr
fuction	fuction	fr
full	Important	fr
func	func	fr
function	Fonction	fr
functions	Fonctions	fr
fxrstor	fxrstor	fr
fxsave	fxsave	fr
g	g	fr
gate	porte	fr
gateway	gateway	fr
gb	Go	fr
gdt	gdt	fr
get	get	fr
getcwd	getcwd	fr
getegid	getegid	fr
geteuid	geteuid	fr
getgid	getgid	fr
getpid	getpid	fr
getppid	getppid	fr
getuid	getuid	fr
gid	gid	fr
global	global	fr
got	got	fr
gpf	gpf	fr
gran	gran	fr
graphics	Affichage	fr
grub	grub	fr
gs	gs	fr
h	h	fr
halt	halt	fr
handle	Poignée	fr
handler	handler	fr
handlers	handlers	fr
hardware	Matériel	fr
has	has	fr
hd	hd	fr
head	head	fr
header	enTête	fr
headertype	headertype	fr
heap	heap	fr
height	Hauteur	fr
helper	helper	fr
hex	hex	fr
hex출력	hex출력	fr
hi	hi	fr
hidden	Masqué	fr
high	Élevée	fr
hop	hop	fr
i	i	fr
icmp	icmp	fr
icmp콘솔	icmp콘솔	fr
id	Identifiant	fr
ident	ident	fr
identify	identify	fr
idt	idt	fr
idx	idx	fr
ifchr	ifchr	fr
ifdir	ifdir	fr
ifmt	ifmt	fr
ifreg	ifreg	fr
ifsock	ifsock	fr
in	Entrante	fr
increment	increment	fr
index	index	fr
inet	inet	fr
info	info	fr
init	init	fr
initial	initial	fr
initialization	initialization	fr
initialize	initialize	fr
ino	ino	fr
inode	Inœud	fr
input	Entrée	fr
install	Installer	fr
int	int	fr
interconnect	interconnect	fr
interface	interface	fr
internet	internet	fr
internetprotocol	internetprotocol	fr
interrupt	interruption	fr
interrupts	interrupts	fr
invalid	Nonvalide	fr
io	ES	fr
iomap	iomap	fr
ip	ip	fr
ipci	ipci	fr
ipmessage	ipmessage	fr
ipv	ipv	fr
ip콘솔	ip콘솔	fr
iret	iret	fr
is	is	fr
ist	ist	fr
j	j	fr
jmp	jmp	fr
jump	jump	fr
k	k	fr
kb	ko	fr
kcs	kcs	fr
kds	kds	fr
kernel	noyau	fr
key	Clé	fr
keyboard	clavier	fr
kgs	kgs	fr
kind	Type	fr
k핵심	k핵심	fr
l	l	fr
label	étiquette	fr
last	Dernière	fr
lba	lba	fr
ldt	ldt	fr
left	Gauche	fr
len	len	fr
length	Durée	fr
lengths	lengths	fr
level	level	fr
lib	lib	fr
lidt	lidt	fr
lidtaddr	lidtaddr	fr
limit	Limite	fr
line	Ligne	fr
link	lien	fr
linked	linked	fr
linker	linker	fr
list	liste	fr
listen	listen	fr
listening	listening	fr
live	live	fr
load	charger	fr
loader	loader	fr
local	Locale	fr
log	Journal	fr
logical	Logique	fr
loop	Boucles	fr
low	Basse	fr
lseek	lseek	fr
lstat	lstat	fr
m	m	fr
mac	mac	fr
machine	machine	fr
magicnumber	magicnumber	fr
main	principal	fr
make	make	fr
malloc	malloc	fr
manager	gestionnaire	fr
map	carte	fr
mask	Masque	fr
master	Maître	fr
matches	matches	fr
max	max	fr
maximum	maximum	fr
mb	Mo	fr
mbr	mbr	fr
media	Supports	fr
mem	mem	fr
memory	mémoire	fr
memorymananger	memorymananger	fr
memorytest	memorytest	fr
memsz	memsz	fr
mesg	mesg	fr
message	message	fr
mics	mics	fr
mid	mid	fr
minimum	minimum	fr
mode	mode	fr
model	Modèle	fr
mouse	souris	fr
mousemove	mousemove	fr
move	Déplacer	fr
msdospart	msdospart	fr
msg	msg	fr
mtime	mtime	fr
multi	multiple	fr
multiboot	multiboot	fr
multitasking	multitasking	fr
my	my	fr
myfunction	myfunction	fr
m긴급로그	m긴급로그	fr
m긴급로그문자열	m긴급로그문자열	fr
m직렬로그초기화	m직렬로그초기화	fr
m출력	m출력	fr
m테스트	m테스트	fr
n	n	fr
name	Nom	fr
namesz	namesz	fr
net	net	fr
network	réseau	fr
new	Nouveau	fr
next	Suivant	fr
nibble	nibble	fr
nlink	nlink	fr
nmi	nmi	fr
node	Nœud	fr
nodename	nodename	fr
noexec	noexec	fr
none	Aucun	fr
normal	Normale	fr
norw	norw	fr
not	Non	fr
note	note	fr
nsec	nsec	fr
num	num	fr
number	Nombre	fr
o	o	fr
of	sur	fr
offset	Décalage	fr
ok	Valider	fr
old	Vieux	fr
on	sur	fr
only	seulement	fr
opcode	opcode	fr
open	ouvrir	fr
oper	oper	fr
operation	opération	fr
options	options	fr
order	order	fr
org	org	fr
other	Autre	fr
out	Sortante	fr
output	Sortie	fr
overflow	overflow	fr
p	p	fr
packet	packet	fr
packets	paquets	fr
paddr	paddr	fr
page	page	fr
pages	pages	fr
paging	pagination	fr
param	param	fr
parameter	parameter	fr
params	Paramètres	fr
parent	parent	fr
parse	parse	fr
part	part	fr
partition	partition	fr
partitions	partitions	fr
path	CHEMIN	fr
pause	Suspendre	fr
payload	payload	fr
pci	pci	fr
pde	pde	fr
pdelen	pdelen	fr
peer	peer	fr
pending	attente	fr
per	per	fr
peripheral	peripheral	fr
phentsize	phentsize	fr
phnum	phnum	fr
phoff	phoff	fr
phy	phy	fr
phyaddr	phyaddr	fr
phymem	phymem	fr
phys	phys	fr
physical	physique	fr
pic	pic	fr
pid	pid	fr
pit	pit	fr
pixel	pixel	fr
point	point	fr
pointer	Pointeur	fr
pointers	pointers	fr
poll	poll	fr
port	port	fr
portnumber	portnumber	fr
pos	pos	fr
position	position	fr
posix	posix	fr
prefetch	prefetch	fr
prefetchable	prefetchable	fr
present	Présente	fr
prev	prev	fr
primary	primary	fr
print	Imprimer	fr
printf	printf	fr
println	println	fr
printreg	printreg	fr
priv	priv	fr
private	Privé	fr
privilege	privilege	fr
proc	proc	fr
process	processus	fr
processes	Processus	fr
processing	processing	fr
program	programme	fr
programmable	programmable	fr
protocol	protocol	fr
provided	provided	fr
provider	provider	fr
ps	ps	fr
pt	pt	fr
pte	pte	fr
ptr	ptr	fr
push	push	fr
put	put	fr
pv	Valeur	fr
queue	fileAttente	fr
r	l	fr
range	Intervalle	fr
raw	raw	fr
rdev	rdev	fr
read	lire	fr
ready	Prêt	fr
receive	receive	fr
received	Reçu	fr
receiver	receiver	fr
receviced	receviced	fr
record	Enregistrement	fr
rectangle	rectangle	fr
recv	recv	fr
ref	ref	fr
refs	refs	fr
reg	reg	fr
region	region	fr
register	registre	fr
registeroffset	registeroffset	fr
registers	registers	fr
regs	regs	fr
regtype	regtype	fr
rel	rel	fr
rela	rela	fr
release	release	fr
released	released	fr
reload	Recharger	fr
relocation	relocation	fr
remaining	remaining	fr
remote	Distant	fr
remove	Supprimer	fr
reply	reply	fr
request	request	fr
requested	requested	fr
reserved	Réservé	fr
reset	Réinitialiser	fr
resolve	résoudre	fr
restore	Restaurer	fr
result	RÉSULTAT	fr
ret	ret	fr
revision	revision	fr
rgb	RVB	fr
right	Droite	fr
root	Racine	fr
round	Arrondi	fr
route	route	fr
rs	rs	fr
rt	rt	fr
run	Démarrer	fr
runnable	runnable	fr
rx	rx	fr
s	s	fr
saved	Sauvegardé	fr
sc	sc	fr
scan	Analyser	fr
scancode	scancode	fr
sche	sche	fr
schedule	schedule	fr
scheduler	ordonnanceur	fr
screen	Écran	fr
secondary	secondary	fr
sect	sect	fr
section	section	fr
sector	sector	fr
sectors	sectors	fr
seek	seek	fr
seg	seg	fr
segment	segment	fr
segments	segments	fr
select	Sélectionner	fr
selector	selector	fr
self	self	fr
send	Envoyer	fr
sequencer	sequencer	fr
serial	série	fr
set	ensemble	fr
setup	setup	fr
sh	sh	fr
shared	shared	fr
shentsize	shentsize	fr
shift	Maj	fr
shndx	shndx	fr
shnum	shnum	fr
shoff	shoff	fr
shstrndx	shstrndx	fr
signature	signature	fr
simd	simd	fr
size	Taille	fr
sl	sl	fr
slave	slave	fr
sock	sock	fr
socket	priseRéseau	fr
socketcall	socketcall	fr
sockets	sockets	fr
soft	soft	fr
software	Logiciel	fr
source	source	fr
space	Espace	fr
spawn	spawn	fr
src	src	fr
srcptr	srcptr	fr
ss	ss	fr
st	st	fr
stack	stack	fr
stackbottom	stackbottom	fr
stacktop	stacktop	fr
start	Démarrer	fr
started	Démarré	fr
starting	starting	fr
stat	stat	fr
state	État	fr
status	État	fr
stderr	stderr	fr
stdin	stdin	fr
stdout	stdout	fr
stop	Arrêter	fr
stopped	Stoppé	fr
str	str	fr
string	Chaîne	fr
strtab	strtab	fr
subclass	subclass	fr
subnet	subnet	fr
support	Priseencharge	fr
swap	swap	fr
switch	switch	fr
sym	sym	fr
sync	sync	fr
sys	sys	fr
syscall	syscall	fr
sysname	sysname	fr
system	système	fr
systemcall	systemcall	fr
t	t	fr
table	Tableau	fr
tag	Étiquette	fr
tail	tail	fr
tamd	tamd	fr
tarp	tarp	fr
task	tâche	fr
tasking	gestionTâches	fr
tasks	Tâches	fr
tcow	tcow	fr
tcpu	tcpu	fr
