original	before	after	review_status	concept	changed_tokens
Activate	Activer	Activer	existing-unreviewed		0
ActivateAll	ActiverTout	ActiverTout	existing-unreviewed		0
Active	Actif	Actif	existing-unreviewed		0
ActiveInterruptManager	Actifinterruptiongestionnaire	Actifinterruptiongestionnaire	existing-unreviewed		0
ActiveMemoryManager	Actifmémoiregestionnaire	Actifmémoiregestionnaire	existing-unreviewed		0
Add	Ajouter	Ajouter	existing-unreviewed		0
AddDriver	Ajouterpilote	Ajouterpilote	existing-unreviewed		0
AddRunnableThread	AjouterrunnablefilExécution	AjouterrunnablefilExécution	existing-unreviewed		0
AddTask	Ajoutertâche	Ajoutertâche	existing-unreviewed		0
AddThread	AjouterfilExécution	AjouterfilExécution	existing-unreviewed		0
Address	Address	Address	existing-unreviewed		0
AlignedMalloc	Alignedmalloc	Alignedmalloc	existing-unreviewed		0
AlignmentCheck	Alignmentcheck	Alignmentcheck	existing-unreviewed		0
AllocateBlock	AllocateBloc	AllocateBloc	existing-unreviewed		0
AllocatePID	Allocatepid	Allocatepid	existing-unreviewed		0
AmountOfMemory	Quantitésurmémoire	Quantitésurmémoire	existing-unreviewed		0
ArrayToUint16	Tableautounsignedinteger16	Tableautounsignedinteger16	existing-unreviewed		0
ArrayToUint32	Tableautounsignedinteger32	Tableautounsignedinteger32	existing-unreviewed		0
ArrayToUint48	Tableautounsignedinteger48	Tableautounsignedinteger48	existing-unreviewed		0
ArrayToUint48_BE	Tableautounsignedinteger48be	Tableautounsignedinteger48be	existing-unreviewed		0
ArrayToUint64	Tableautounsignedinteger64	Tableautounsignedinteger64	existing-unreviewed		0
Atime	Atime	Atime	existing-unreviewed		0
AtimeNsec	Atimensec	Atimensec	existing-unreviewed		0
BLOCKS_PER_BYTE	Blocperoctet	Blocperoctet	existing-unreviewed		0
BLOCK_SIZE	BlocTaille	BlocTaille	existing-unreviewed		0
Backend	Backend	Backend	existing-unreviewed		0
BaseAddr	Baseaddress	Baseaddress	existing-unreviewed		0
Bind	Relier	Relier	existing-unreviewed		0
Blksize	Blksize	Blksize	existing-unreviewed		0
Blocked	Blocked	Blocked	existing-unreviewed		0
BlockedState	BlockedÉtat	BlockedÉtat	existing-unreviewed		0
Blocks	Bloc	Bloc	existing-unreviewed		0
BoundRangeExceeded	BoundIntervalleexceeded	BoundIntervalleexceeded	existing-unreviewed		0
BroadcastMacAddress	Broadcastmacaddress	Broadcastmacaddress	existing-unreviewed		0
BytesPerSector	Octetspersector	Octetspersector	existing-unreviewed		0
BytesToString	OctetstoChaîne	OctetstoChaîne	existing-unreviewed		0
Checksum	Checksum	Checksum	existing-unreviewed		0
Clear	Effacer	Effacer	existing-unreviewed		0
Clone	Clone	Clone	existing-unreviewed		0
CloneAddressSpaceCOW	CloneaddressEspacecow	CloneaddressEspacecow	existing-unreviewed		0
Connect	Connecter	Connecter	existing-unreviewed		0
ContainsCoordinate	Containscoordinate	Containscoordinate	existing-unreviewed		0
CopyPageFrameBlock	CopierpagetrameBloc	CopierpagetrameBloc	existing-unreviewed		0
CpuState	ProcesseurÉtat	ProcesseurÉtat	existing-unreviewed		0
Create	Créer	Créer	existing-unreviewed		0
CreateFromData	Créerdedonnées	Créerdedonnées	existing-unreviewed		0
CreateFromFunction	CréerdeFonction	CréerdeFonction	existing-unreviewed		0
CreatePtrFromFunction	CréerPointeurdeFonction	CréerPointeurdeFonction	existing-unreviewed		0
Cs	Cs	Cs	existing-unreviewed		0
Ctime	Ctime	Ctime	existing-unreviewed		0
CtimeNsec	Ctimensec	Ctimensec	existing-unreviewed		0
CurrentPID	Courantepid	Courantepid	existing-unreviewed		0
CurrentParentPID	Couranteparentpid	Couranteparentpid	existing-unreviewed		0
Data	Data	Data	compatibility		0
Deactivate	Désactiver	Désactiver	existing-unreviewed		0
Deactive	Deactive	Deactive	existing-unreviewed		0
Decrement	Decrement	Decrement	existing-unreviewed		0
Delete	Supprimer	Supprimer	existing-unreviewed		0
DescriptorPrivilegeLevel	Descriptorprivilegelevel	Descriptorprivilegelevel	existing-unreviewed		0
DescriptorType	Descriptortype	Descriptortype	existing-unreviewed		0
Destroy	Détruire	Détruire	existing-unreviewed		0
Dev	Périphérique	Périphérique	existing-unreviewed		0
DeviceHasFunctions	PériphériquehasFonctions	PériphériquehasFonctions	existing-unreviewed		0
DeviceNotAvailable	PériphériqueNonDisponible	PériphériqueNonDisponible	existing-unreviewed		0
Device_id	PériphériqueIdentifiant	PériphériqueIdentifiant	existing-unreviewed		0
DisableInt	Désactiverint	Désactiverint	existing-unreviewed		0
