english	localized	language
a	ก	th
access	access	th
ack	ack	th
activate	activate	th
active	ทำงาน	th
add	add	th
addend	addend	th
addr	addr	th
addralign	addralign	th
address	address	th
advanced	advanced	th
af	af	th
after	after	th
align	align	th
aligned	aligned	th
alignment	alignment	th
all	all	th
alloc	alloc	th
allocate	allocate	th
allocated	allocated	th
am	am	th
amd	amd	th
amount	amount	th
and	และ	th
append	append	th
args	args	th
argument	argument	th
arguments	arguments	th
arp	arp	th
arp콘솔	arp콘솔	th
array	array	th
assembly	assembly	th
at	at	th
ata	ata	th
atime	atime	th
attachment	attachment	th
attempts	attempts	th
attr	attr	th
attribute	attribute	th
attributes	attributes	th
aux	aux	th
avail	avail	th
available	available	th
b	b	th
ba	ba	th
back	back	th
backend	backend	th
backup	backup	th
bar	แถบ	th
base	base	th
be	be	th
bh	bh	th
big	big	th
bind	bind	th
bios	bios	th
bit	bit	th
bitmap	bitmap	th
bitmasp	bitmasp	th
bits	bits	th
blksize	blksize	th
block	block	th
blocked	blocked	th
blocking	blocking	th
blocks	blocks	th
boot	boot	th
bootable	bootable	th
bootloader	bootloader	th
bound	bound	th
bpb	bpb	th
break	break	th
brk	brk	th
broadcast	broadcast	th
buf	buf	th
buffer	buffer	th
buffers	buffers	th
bufptr	bufptr	th
bus	bus	th
button	button	th
buttons	buttons	th
by	by	th
byte	byte	th
bytes	bytes	th
c	c	th
cache	cache	th
call	call	th
candidate	candidate	th
cap	cap	th
capable	capable	th
card	card	th
central	ภาคกลาง	th
char	char	th
chdir	chdir	th
check	check	th
checked	checked	th
checksum	checksum	th
child	child	th
chunk	chunk	th
class	คลาส	th
clear	clear	th
cloexec	cloexec	th
clone	clone	th
close	close	th
cluster	cluster	th
cmp	cmp	th
code	code	th
col	col	th
color	color	th
colordepth	colordepth	th
command	command	th
commandport	commandport	th
common	common	th
component	component	th
connect	connect	th
connected	connected	th
console	console	th
constant	constant	th
contains	contains	th
contents	contents	th
control	control	th
controller	controller	th
coordinate	coordinate	th
copies	copies	th
copy	copy	th
count	count	th
cow	cow	th
cpu	cpu	th
cpustate	cpustate	th
cpy	cpy	th
cr	cr	th
creat	creat	th
create	create	th
crtc	crtc	th
cs	cs	th
ctime	ctime	th
cur	cur	th
current	current	th
cursor	cursor	th
cylinder	cylinder	th
d	d	th
data	data	th
databuffer	databuffer	th
datagram	datagram	th
dataport	dataport	th
date	date	th
deactivate	deactivate	th
deactive	deactive	th
debug	debug	th
decrement	decrement	th
default	default	th
delete	ลบ	th
delta	เดลตา	th
depth	depth	th
desc	desc	th
descr	descr	th
description	คำบรรยาย	th
descriptor	descriptor	th
descriptors	descriptors	th
descsz	descsz	th
destination	ปลายทาง	th
destroy	ทำลาย	th
dev	dev	th
device	device	th
diff	diff	th
digits	digits	th
dir	dir	th
directory	directory	th
dirent	dirent	th
disable	disable	th
discard	discard	th
disconnect	disconnect	th
dispatch	dispatch	th
divide	divide	th
divisor	divisor	th
do	do	th
domain	โดเมน	th
double	double	th
down	ลง	th
draw	draw	th
drive	drive	th
driver	driver	th
drivercount	drivercount	th
drivers	drivers	th
drv	drv	th
ds	ds	th
dst	dst	th
dstptr	dstptr	th
dup	dup	th
dword	dword	th
dyn	dyn	th
dynamic	dynamic	th
e	e	th
eacces	eacces	th
eaddrinuse	eaddrinuse	th
eafnosupport	eafnosupport	th
eagain	eagain	th
eax	eax	th
ebadf	ebadf	th
ebp	ebp	th
ebusy	ebusy	th
ebx	ebx	th
echild	echild	th
echo	echo	th
ecx	ecx	th
edi	edi	th
edx	edx	th
eexist	eexist	th
ef	ef	th
efault	efault	th
efbig	efbig	th
eflags	eflags	th
ehsize	ehsize	th
eintr	eintr	th
einval	einval	th
eio	eio	th
eip	eip	th
eisdir	eisdir	th
elf	elf	th
emfile	emfile	th
empty	empty	th
emsgsize	emsgsize	th
enable	enable	th
enabled	enabled	th
end	end	th
enetunreach	enetunreach	th
enfile	enfile	th
enodev	enodev	th
enoent	enoent	th
enoexec	enoexec	th
enomem	enomem	th
enospc	enospc	th
enosys	enosys	th
enotconn	enotconn	th
enotdir	enotdir	th
enotty	enotty	th
ensure	ensure	th
entries	entries	th
entry	entry	th
entrypoint	entrypoint	th
entsize	entsize	th
environment	environment	th
eopnotsupp	eopnotsupp	th
eperm	eperm	th
ephemeral	ephemeral	th
eprotonosupport	eprotonosupport	th
equal	equal	th
erange	erange	th
erofs	erofs	th
err	err	th
error	error	th
errorln	errorln	th
es	es	th
esi	esi	th
esp	esp	th
espipe	espipe	th
esrch	esrch	th
ether	ether	th
etherframe	etherframe	th
ethernet	ethernet	th
event	event	th
events	events	th
exceeded	exceeded	th
except	except	th
exception	exception	th
exec	ประมวลผล	th
execve	execve	th
exists	exists	th
exit	exit	th
exited	exited	th
ext	ext	th
extended	extended	th
f	f	th
family	family	th
fat	fat	th
fatal	fatal	th
fatbuf	fatbuf	th
fatbuffer	fatbuffer	th
fault	fault	th
fb	fb	th
fcntl	fcntl	th
fd	fd	th
fds	fds	th
field	field	th
file	file	th
filename	filename	th
files	files	th
filesz	filesz	th
fill	fill	th
find	หา	th
first	first	th
fl	fl	th
flag	flag	th
flags	flags	th
floating	floating	th
flush	flush	th
fn	fn	th
focus	focus	th
focussable	focussable	th
foo	foo	th
for	for	th
forced	forced	th
fork	fork	th
found	found	th
fp	fp	th
fpu	fpu	th
frame	เฟรม	th
free	free	th
frequency	frequency	th
from	from	th
front	front	th
fs	fs	th
fstat	fstat	th
fsync	fsync	th
fuction	fuction	th
full	full	th
func	func	th
function	function	th
functions	functions	th
fxrstor	fxrstor	th
fxsave	fxsave	th
g	g	th
gate	gate	th
gateway	gateway	th
gb	gb	th
gdt	gdt	th
get	get	th
getcwd	getcwd	th
getegid	getegid	th
geteuid	geteuid	th
getgid	getgid	th
getpid	getpid	th
getppid	getppid	th
getuid	getuid	th
gid	gid	th
global	global	th
got	got	th
gpf	gpf	th
gran	gran	th
graphics	graphics	th
grub	grub	th
gs	gs	th
h	h	th
halt	halt	th
handle	handle	th
handler	handler	th
handlers	handlers	th
hardware	hardware	th
has	has	th
hd	hd	th
head	head	th
header	header	th
headertype	headertype	th
heap	heap	th
height	height	th
helper	helper	th
hex	hex	th
hex출력	hex출력	th
hi	hi	th
hidden	hidden	th
high	high	th
hop	hop	th
i	i	th
icmp	icmp	th
icmp콘솔	icmp콘솔	th
id	id	th
ident	ident	th
identify	identify	th
idt	idt	th
idx	idx	th
ifchr	ifchr	th
ifdir	ifdir	th
ifmt	ifmt	th
ifreg	ifreg	th
ifsock	ifsock	th
in	ขยาย	th
increment	increment	th
index	index	th
inet	inet	th
info	info	th
init	init	th
initial	initial	th
initialization	initialization	th
initialize	initialize	th
ino	ino	th
inode	inode	th
input	input	th
install	install	th
int	int	th
interconnect	interconnect	th
interface	interface	th
internet	internet	th
internetprotocol	internetprotocol	th
interrupt	interrupt	th
interrupts	interrupts	th
invalid	invalid	th
io	io	th
iomap	iomap	th
ip	ip	th
ipci	ipci	th
ipmessage	ipmessage	th
ipv	ipv	th
ip콘솔	ip콘솔	th
iret	iret	th
is	is	th
ist	ist	th
j	j	th
jmp	jmp	th
jump	jump	th
k	k	th
kb	kb	th
kcs	kcs	th
kds	kds	th
kernel	kernel	th
key	key	th
keyboard	keyboard	th
kgs	kgs	th
kind	kind	th
k핵심	k핵심	th
l	l	th
label	ฉลาก	th
last	last	th
lba	lba	th
ldt	ldt	th
left	left	th
len	len	th
length	ความยาว	th
lengths	lengths	th
level	level	th
lib	lib	th
lidt	lidt	th
lidtaddr	lidtaddr	th
limit	limit	th
line	line	th
link	link	th
linked	linked	th
linker	linker	th
list	list	th
listen	listen	th
listening	listening	th
live	live	th
load	โหลด	th
loader	loader	th
local	local	th
log	log	th
logical	logical	th
loop	loop	th
low	low	th
lseek	lseek	th
lstat	lstat	th
m	เมตร	th
mac	mac	th
machine	machine	th
magicnumber	magicnumber	th
main	lak	th
make	make	th
malloc	malloc	th
manager	manager	th
map	map	th
mask	mask	th
master	master	th
matches	matches	th
max	max	th
maximum	maximum	th
mb	mb	th
mbr	mbr	th
media	media	th
mem	mem	th
memory	memory	th
memorymananger	memorymananger	th
memorytest	memorytest	th
memsz	memsz	th
mesg	mesg	th
message	message	th
mics	mics	th
mid	mid	th
minimum	minimum	th
mode	โหมด	th
model	model	th
mouse	mouse	th
mousemove	mousemove	th
move	move	th
msdospart	msdospart	th
msg	msg	th
mtime	mtime	th
multi	multi	th
multiboot	multiboot	th
multitasking	multitasking	th
my	my	th
myfunction	myfunction	th
m긴급로그	m긴급로그	th
m긴급로그문자열	m긴급로그문자열	th
m직렬로그초기화	m직렬로그초기화	th
m출력	m출력	th
