function	native_identifier	implementation	limits
_exit	terminar_imediatamente	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
read	ler	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
write	escrever	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
close	fechar	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
lseek	mover_posição_do_ficheiro	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
fork	bifurcar_processo	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
execve	substituir_programa_em_execução	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getpid	obter_identificador_do_processo	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getppid	obter_identificador_do_processo_pai	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getuid	obter_identificador_do_utilizador	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
geteuid	obter_identificador_efetivo_do_utilizador	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getgid	obter_identificador_do_grupo	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getegid	obter_identificador_efetivo_do_grupo	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
access	verificar_permissões_de_acesso	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
chdir	mudar_diretório_de_trabalho	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
getcwd	obter_caminho_do_diretório_de_trabalho	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
dup	duplicar_referência_de_ficheiro_aberto	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
dup2	duplicar_referência_para_número_indicado	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
fsync	sincronizar_dados_do_ficheiro	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
sync	sincronizar_todos_os_dados	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
isatty	verificar_se_é_terminal	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
brk	definir_fim_da_memória_dinâmica	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
sbrk	mover_fim_da_memória_dinâmica	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
waitpid	aguardar_filho_indicado	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
wait	aguardar_filho	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
open	abrir	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
creat	criar_ficheiro	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
fcntl	controlar_ficheiro	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
stat	estado_do_ficheiro	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
lstat	obter_estado_da_ligação_em_si	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
fstat	obter_estado_do_ficheiro_aberto	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
uname	obter_informações_do_sistema	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
htons	converter_16_bits_para_ordem_da_rede	existing-kernel-wrapper	kernel-dependent;not-full-POSIX
