original	localized	language
Activate	Activate	to
ActivateAll	Activateall	to
Active	Active	to
ActiveInterruptManager	Activeinterruptmanager	to
ActiveMemoryManager	Activememorymanager	to
Add	Add	to
AddDriver	Adddriver	to
AddRunnableThread	Addrunnablethread	to
AddTask	Addtask	to
AddThread	Addthread	to
Address	Address	to
AlignedMalloc	Alignedmalloc	to
AlignmentCheck	Alignmentcheck	to
AllocateBlock	Allocateblock	to
AllocatePID	Allocatepid	to
AmountOfMemory	Amountofmemory	to
ArrayToUint16	Arraytounsignedinteger16	to
ArrayToUint32	Arraytounsignedinteger32	to
ArrayToUint48	Arraytounsignedinteger48	to
ArrayToUint48_BE	Arraytounsignedinteger48be	to
ArrayToUint64	Arraytounsignedinteger64	to
Atime	Atime	to
AtimeNsec	Atimensec	to
BLOCKS_PER_BYTE	Blockperbyte	to
BLOCK_SIZE	Blocksize	to
Backend	Backend	to
BaseAddr	Baseaddress	to
Bind	Bind	to
Blksize	Blksize	to
Blocked	Blocked	to
BlockedState	Blockedstate	to
Blocks	Block	to
BoundRangeExceeded	Boundrangeexceeded	to
BroadcastMacAddress	Broadcastmacaddress	to
BytesPerSector	Bytespersector	to
BytesToString	Bytestostring	to
Checksum	Checksum	to
Clear	Clear	to
Clone	Clone	to
CloneAddressSpaceCOW	Cloneaddressspacecow	to
Connect	Connect	to
ContainsCoordinate	Containscoordinate	to
CopyPageFrameBlock	Copypageframeblock	to
CpuState	Cpustate	to
Create	Create	to
CreateFromData	Createfromdata	to
CreateFromFunction	Createfromfunction	to
CreatePtrFromFunction	Createpointerfromfunction	to
Cs	Cs	to
Ctime	Ctime	to
CtimeNsec	Ctimensec	to
CurrentPID	Currentpid	to
CurrentParentPID	Currentparentpid	to
Data	Data	to
Deactivate	Deactivate	to
Deactive	Deactive	to
Decrement	Decrement	to
Delete	Delete	to
DescriptorPrivilegeLevel	Descriptorprivilegelevel	to
DescriptorType	Descriptortype	to
Destroy	Destroy	to
Dev	Device	to
DeviceHasFunctions	Devicehasfunctions	to
DeviceNotAvailable	Devicenotavailable	to
Device_id	Deviceid	to
DisableInt	Disableint	to
Disconnect	Disconnect	to
DivideByZero	Dividebyzero	to
DoHandleInterrupt	Dohandleinterrupt	to
DoubleFault	Doublefault	to
Draw	Draw	to
DriverManager	Drivermanager	to
Ds	Ds	to
Dynamic	Dynamic	to
E2BIG	E2big	to
EACCES	Eacces	to
EADDRINUSE	Eaddrinuse	to
EAFNOSUPPORT	Eafnosupport	to
EAGAIN	Eagain	to
EBADF	Ebadf	to
EBUSY	Ebusy	to
ECHILD	Echild	to
EEXIST	Eexist	to
EFAULT	Efault	to
EFBIG	Efbig	to
EINTR	Eintr	to
EINVAL	Einval	to
EIO	Eio	to
EISDIR	Eisdir	to
EMFILE	Emfile	to
EMSGSIZE	Emsgsize	to
ENETUNREACH	Enetunreach	to
ENFILE	Enfile	to
ENODEV	Enodev	to
ENOENT	Enoent	to
ENOEXEC	Enoexec	to
ENOMEM	Enomem	to
ENOSPC	Enospc	to
ENOSYS	Enosys	to
ENOTCONN	Enotconn	to
ENOTDIR	Enotdir	to
ENOTTY	Enotty	to
EOPNOTSUPP	Eopnotsupp	to
EPERM	Eperm	to
EPROTONOSUPPORT	Eprotonosupport	to
ERANGE	Erange	to
EROFS	Erofs	to
ESPIPE	Espipe	to
ESRCH	Esrch	to
Eax	Eax	to
Ebp	Ebp	to
Ebx	Ebx	to
Ecx	Ecx	to
Edi	Edi	to
Edx	Edx	to
Eflags	Eflags	to
Eip	Eip	to
Elf	Elf	to
Elf32Dyn	Elf32dyn	to
Elf32Note	Elf32note	to
Elf32Rel	Elf32rel	to
Elf32Rela	Elf32rela	to
Elf32Sym	Elf32sym	to
ElfHeader	Elfheader	to
ElfProgramHeader	Elfprogramheader	to
ElfSectionHeader	Elfsectionheader	to
EnablePaging	Enablepaging	to
Enabled	Enabled	to
EntryNumber	Entrynumber	to
EqualBytes	Equalbytes	to
Es	Es	to
Esi	Esi	to
Esp	Esp	to
FPUBuffer	Fpubuffer	to
FPUOffset	Fpuoffset	to
Family	Family	to
FileName	Filename	to
Fill	Fill	to
FillRectangle	Fillrectangle	to
First	First	to
FirstFree	Firstfree	to
