원래경로	변환경로
src/amd_am79c973/amd_am79c973.go	src/amdam79c973/amdam79c973.go
src/arp/arp.go	src/arp/arp.go
src/common/memoperations.go	src/genel/bellekoperation.go
src/common/type.go	src/genel/tür.go
src/console/console.go	src/konsol/konsol.go
src/console/console.s	src/konsol/konsol.s
src/drivers/ata/ata.go	src/driver/ata/ata.go
src/drivers/driver/driver.go	src/driver/driver/driver.go
src/drivers/keyboard/keyboard.go	src/driver/klavye/klavye.go
src/drivers/mouse/mouse.go	src/driver/işaretleme_aygıtı/işaretleme_aygıtı.go
src/drivers/timer/timer.go	src/driver/zamanlayıcı/zamanlayıcı.go
src/etherframe/etherframe.go	src/ortak_ortam_ağ_çerçevesi/ortak_ortam_ağ_çerçevesi.go
src/filesystem/elf/elf.go	src/dosyaSistem/çalıştırılabilir_ve_bağlanabilir_biçim/çalıştırılabilir_ve_bağlanabilir_biçim.go
src/filesystem/elf/elfheader.go	src/dosyaSistem/çalıştırılabilir_ve_bağlanabilir_biçim/elfheader.go
src/filesystem/elf/elfsection.go	src/dosyaSistem/çalıştırılabilir_ve_bağlanabilir_biçim/elfsection.go
src/filesystem/elf/linkmap.go	src/dosyaSistem/çalıştırılabilir_ve_bağlanabilir_biçim/bağmap.go
src/filesystem/fat/fat.go	src/dosyaSistem/fat/fat.go
src/filesystem/msdospart/msdospart.go	src/dosyaSistem/msdospartition/msdospartition.go
src/gate/gate.go	src/gate/gate.go
src/gate/gate.s	src/gate/gate.s
src/gate/gate_amd64.go	src/gate/gateamd64.go
src/gate/gate_amd64.s	src/gate/gateamd64.s
src/gdt/gdt.go	src/gdt/gdt.go
src/gdt/gdt.s	src/gdt/gdt.s
src/icmp/icmp.go	src/ağlar_arası_ağ_denetim_iletisi_protokolü/ağlar_arası_ağ_denetim_iletisi_protokolü.go
src/interrupt/interrupt.go	src/kesme/kesme.go
src/interrupt/interrupt.s	src/kesme/kesme.s
src/ipv4/ipv4.go	src/ağlar_arası_ağ_protokolü_4/ağlar_arası_ağ_protokolü_4.go
src/memorymanager/memorymanager.go	src/bellekmanager/bellekmanager.go
src/multitasking/multi.s	src/multitasking/multi.s
src/multitasking/multitasking.go	src/multitasking/multitasking.go
src/paging/paging.go	src/paging/paging.go
src/paging/paging.s	src/paging/paging.s
src/pci/pci.go	src/pci/pci.go
src/phymem/phymem.go	src/physicalBellek/physicalBellek.go
src/port/port.go	src/bağlantıNoktası/bağlantıNoktası.go
src/port/port.s	src/bağlantıNoktası/bağlantıNoktası.s
src/systemcall/systemcall.go	src/sistemcall/sistemcall.go
src/systemcall/systemcall.s	src/sistemcall/sistemcall.s
src/tasking/process/process.go	src/tasking/süreç/süreç.go
src/tasking/scheduler/scheduler.go	src/tasking/scheduler/scheduler.go
src/tasking/scheduler/scheduler.s	src/tasking/scheduler/scheduler.s
src/tasking/thread/thread.go	src/tasking/thread/thread.go
src/tasking/tss/tss.go	src/tasking/tss/tss.go
src/tasking/tss/tss.s	src/tasking/tss/tss.s
src/text_mode/text_mode.go	src/metinKİP/metinKİP.go
src/udp/udp.go	src/kullanıcı_veri_birimi_protokolü/kullanıcı_veri_birimi_protokolü.go
src/util/array/array.go	src/util/dizi/dizi.go
src/util/list/list.go	src/util/liste/liste.go
src/util/util.go	src/util/util.go
src/vga/vga.go	src/vga/vga.go
src/virtmem/virtmem.go	src/sanalBellek/sanalBellek.go
src/widget/widget.go	src/ekran_öğesi/ekran_öğesi.go
main.go	ana.go
main.s	ana.s
asm/constants.inc	makine_başlatma/sabit.inc
asm/gdt.inc	makine_başlatma/gdt.inc
asm/go_asm_offsets.inc	makine_başlatma/goasmoffset.inc
asm/multiboot_header.s	makine_başlatma/multibootheader.s
asm/rt0.s	makine_başlatma/rt0.s
go.sh	çekirdek_derle.sh
linker.ld	bağlama_düzeni.ld
