english	localized	language
a	a	tr
access	erişim	tr
ack	ack	tr
activate	Etkinleştir	tr
active	Aktif	tr
add	Ekle	tr
addend	addend	tr
addr	addr	tr
addralign	addralign	tr
address	address	tr
advanced	Gelişmiş	tr
af	af	tr
after	Sonra	tr
align	Hizala	tr
aligned	aligned	tr
alignment	alignment	tr
all	Hepsi	tr
alloc	alloc	tr
allocate	allocate	tr
allocated	allocated	tr
am	am	tr
amd	amd	tr
amount	Miktar	tr
and	VE	tr
append	append	tr
args	args	tr
argument	argument	tr
arguments	Argümanlar	tr
arp	arp	tr
arp콘솔	arp콘솔	tr
array	Dizi	tr
assembly	assembly	tr
at	at	tr
ata	ata	tr
atime	atime	tr
attachment	attachment	tr
attempts	attempts	tr
attr	attr	tr
attribute	Öznitelik	tr
attributes	Öznitelikler	tr
aux	aux	tr
avail	avail	tr
available	Ulaşılabilir	tr
b	b	tr
ba	ba	tr
back	Geri	tr
backend	backend	tr
backup	backup	tr
bar	Çubuk	tr
base	base	tr
be	be	tr
bh	bh	tr
big	big	tr
bind	bind	tr
bios	bios	tr
bit	bit	tr
bitmap	bitmap	tr
bitmasp	bitmasp	tr
bits	bit	tr
blksize	blksize	tr
block	Blok	tr
blocked	blocked	tr
blocking	blocking	tr
blocks	Bloklar	tr
boot	boot	tr
bootable	bootable	tr
bootloader	bootloader	tr
bound	bound	tr
bpb	bpb	tr
break	break	tr
brk	brk	tr
broadcast	broadcast	tr
buf	buf	tr
buffer	buffer	tr
buffers	Tamponlar	tr
bufptr	bufptr	tr
bus	bus	tr
button	Düğme	tr
buttons	Düğmeler	tr
by	by	tr
byte	byte	tr
bytes	Bayt	tr
c	c	tr
cache	cache	tr
call	call	tr
candidate	candidate	tr
cap	cap	tr
capable	capable	tr
card	Kart	tr
central	central	tr
char	char	tr
chdir	chdir	tr
check	check	tr
checked	checked	tr
checksum	checksum	tr
child	child	tr
chunk	chunk	tr
class	Sınıf	tr
clear	Temizle	tr
cloexec	cloexec	tr
clone	clone	tr
close	Kapat	tr
cluster	cluster	tr
cmp	cmp	tr
code	code	tr
col	col	tr
color	Renk	tr
colordepth	colordepth	tr
command	Komut	tr
commandport	commandport	tr
common	genel	tr
component	component	tr
connect	Bağlan	tr
connected	connected	tr
console	Konsol	tr
constant	Sabit	tr
contains	contains	tr
contents	İçindekiler	tr
control	Ctrl	tr
controller	Denetleyici	tr
coordinate	coordinate	tr
copies	copies	tr
copy	Kopyala	tr
count	count	tr
cow	cow	tr
cpu	MİB	tr
cpustate	cpustate	tr
cpy	cpy	tr
cr	cr	tr
creat	creat	tr
create	create	tr
crtc	crtc	tr
cs	cs	tr
ctime	ctime	tr
cur	cur	tr
current	Şuan	tr
cursor	İmleç	tr
cylinder	cylinder	tr
d	d	tr
data	data	tr
databuffer	databuffer	tr
datagram	datagram	tr
dataport	dataport	tr
date	Tarih	tr
deactivate	Etkisizleştir	tr
deactive	deactive	tr
debug	HataAyıkla	tr
decrement	decrement	tr
default	Öntanımlı	tr
delete	Sil	tr
delta	delta	tr
depth	depth	tr
desc	desc	tr
descr	descr	tr
description	Açıklama	tr
descriptor	descriptor	tr
descriptors	descriptors	tr
descsz	descsz	tr
destination	Hedef	tr
destroy	YokEt	tr
dev	dev	tr
device	Aygıt	tr
diff	diff	tr
digits	digits	tr
dir	dir	tr
directory	Dizin	tr
dirent	dirent	tr
disable	Kapat	tr
discard	Vazgeç	tr
disconnect	BağlantıyıKes	tr
dispatch	dispatch	tr
divide	Böl	tr
divisor	divisor	tr
do	do	tr
domain	AlanAdı	tr
double	çift	tr
down	Aşağı	tr
draw	draw	tr
drive	drive	tr
driver	driver	tr
drivercount	drivercount	tr
drivers	drivers	tr
drv	drv	tr
ds	ds	tr
dst	dst	tr
dstptr	dstptr	tr
dup	dup	tr
dword	dword	tr
dyn	dyn	tr
dynamic	Devingen	tr
e	D	tr
eacces	eacces	tr
eaddrinuse	eaddrinuse	tr
eafnosupport	eafnosupport	tr
eagain	eagain	tr
eax	eax	tr
ebadf	ebadf	tr
ebp	ebp	tr
ebusy	ebusy	tr
ebx	ebx	tr
echild	echild	tr
echo	echo	tr
ecx	ecx	tr
edi	edi	tr
edx	edx	tr
eexist	eexist	tr
ef	ef	tr
efault	efault	tr
efbig	efbig	tr
eflags	eflags	tr
ehsize	ehsize	tr
eintr	eintr	tr
einval	einval	tr
eio	eio	tr
eip	eip	tr
eisdir	eisdir	tr
elf	elf	tr
emfile	emfile	tr
empty	Boş	tr
emsgsize	emsgsize	tr
enable	Etkinleştir	tr
enabled	Etkin	tr
end	Son	tr
enetunreach	enetunreach	tr
enfile	enfile	tr
enodev	enodev	tr
enoent	enoent	tr
enoexec	enoexec	tr
enomem	enomem	tr
enospc	enospc	tr
enosys	enosys	tr
enotconn	enotconn	tr
enotdir	enotdir	tr
enotty	enotty	tr
ensure	ensure	tr
entries	entries	tr
entry	girdi	tr
entrypoint	entrypoint	tr
entsize	entsize	tr
environment	environment	tr
eopnotsupp	eopnotsupp	tr
eperm	eperm	tr
ephemeral	ephemeral	tr
eprotonosupport	eprotonosupport	tr
equal	Eşit	tr
erange	erange	tr
erofs	erofs	tr
err	Hata	tr
error	Hata	tr
errorln	errorln	tr
es	es	tr
esi	esi	tr
esp	esp	tr
espipe	espipe	tr
esrch	esrch	tr
ether	ether	tr
etherframe	etherframe	tr
ethernet	Eternet	tr
event	Olay	tr
events	Olaylar	tr
exceeded	exceeded	tr
except	except	tr
exception	exception	tr
exec	Çalıştır	tr
execve	execve	tr
exists	exists	tr
exit	Çık	tr
exited	Çıkıldı	tr
ext	ext	tr
extended	extended	tr
f	HS	tr
family	family	tr
fat	fat	tr
fatal	fatal	tr
fatbuf	fatbuf	tr
fatbuffer	fatbuffer	tr
fault	fault	tr
fb	fb	tr
fcntl	fcntl	tr
fd	DT	tr
fds	fds	tr
field	alan	tr
file	Dosya	tr
filename	Dosyaadı	tr
files	DOSYALAR	tr
filesz	filesz	tr
fill	fill	tr
find	Bul	tr
first	first	tr
fl	fl	tr
flag	Bayrak	tr
flags	İmler	tr
floating	Kayan	tr
flush	flush	tr
fn	fn	tr
focus	Odak	tr
focussable	focussable	tr
foo	foo	tr
for	for	tr
forced	forced	tr
fork	fork	tr
found	found	tr
fp	fp	tr
fpu	fpu	tr
frame	Çerçeve	tr
free	Boş	tr
frequency	Sıklık	tr
from	from	tr
front	Ön	tr
fs	fs	tr
fstat	fstat	tr
fsync	fsync	tr
fuction	fuction	tr
full	Tam	tr
func	func	tr
function	Fonksiyon	tr
functions	Fonksiyonlar	tr
fxrstor	fxrstor	tr
fxsave	fxsave	tr
g	g	tr
gate	gate	tr
gateway	gateway	tr
gb	gb	tr
gdt	gdt	tr
get	get	tr
getcwd	getcwd	tr
getegid	getegid	tr
geteuid	geteuid	tr
getgid	getgid	tr
getpid	getpid	tr
getppid	getppid	tr
getuid	getuid	tr
gid	gid	tr
global	Genel	tr
got	got	tr
gpf	gpf	tr
gran	gran	tr
graphics	Grafikler	tr
grub	grub	tr
gs	gs	tr
h	N	tr
halt	halt	tr
handle	handle	tr
handler	handler	tr
handlers	handlers	tr
hardware	Donanım	tr
has	has	tr
hd	hd	tr
head	head	tr
header	header	tr
headertype	headertype	tr
heap	heap	tr
height	Başlık	tr
helper	helper	tr
hex	Onaltılık	tr
hex출력	hex출력	tr
hi	hi	tr
hidden	Gizli	tr
high	Yüksek	tr
hop	hop	tr
i	i	tr
icmp	icmp	tr
icmp콘솔	icmp콘솔	tr
id	No	tr
ident	ident	tr
identify	identify	tr
idt	idt	tr
idx	idx	tr
ifchr	ifchr	tr
ifdir	ifdir	tr
ifmt	ifmt	tr
ifreg	ifreg	tr
ifsock	ifsock	tr
in	Gelen	tr
increment	increment	tr
index	İçindekiler	tr
inet	inet	tr
info	Bilgi	tr
init	init	tr
initial	initial	tr
initialization	initialization	tr
initialize	initialize	tr
ino	ino	tr
inode	Dosyaindeksi	tr
input	Girdi	tr
install	Kur	tr
int	int	tr
interconnect	interconnect	tr
interface	arayüz	tr
internet	İnternet	tr
internetprotocol	internetprotocol	tr
interrupt	Kesme	tr
interrupts	interrupts	tr
invalid	Geçersiz	tr
io	GirdiÇıktı	tr
iomap	iomap	tr
ip	ip	tr
ipci	ipci	tr
ipmessage	ipmessage	tr
ipv	ipv	tr
ip콘솔	ip콘솔	tr
iret	iret	tr
is	is	tr
ist	ist	tr
j	j	tr
jmp	jmp	tr
jump	jump	tr
k	k	tr
kb	kb	tr
kcs	kcs	tr
kds	kds	tr
kernel	kernel	tr
key	Anahtar	tr
keyboard	Klavye	tr
kgs	kgs	tr
kind	Tür	tr
k핵심	k핵심	tr
l	l	tr
label	etiket	tr
last	Son	tr
lba	lba	tr
ldt	ldt	tr
left	Sol	tr
len	len	tr
length	Süre	tr
lengths	lengths	tr
level	level	tr
lib	lib	tr
lidt	lidt	tr
lidtaddr	lidtaddr	tr
limit	Kısıtla	tr
line	Satır	tr
link	Bağ	tr
linked	linked	tr
linker	linker	tr
list	Liste	tr
listen	listen	tr
listening	listening	tr
live	live	tr
load	Yük	tr
loader	loader	tr
local	yerel	tr
log	Günlük	tr
logical	Mantıksal	tr
loop	loop	tr
low	Düşük	tr
lseek	lseek	tr
lstat	lstat	tr
m	dk	tr
mac	mac	tr
machine	machine	tr
magicnumber	magicnumber	tr
main	ana	tr
make	make	tr
malloc	malloc	tr
manager	manager	tr
map	map	tr
mask	Maske	tr
master	Ana	tr
matches	matches	tr
max	mak	tr
maximum	EnÇok	tr
mb	mb	tr
mbr	mbr	tr
media	Ortam	tr
mem	mem	tr
memory	Bellek	tr
memorymananger	memorymananger	tr
memorytest	memorytest	tr
memsz	memsz	tr
mesg	mesg	tr
message	İleti	tr
mics	mics	tr
mid	mid	tr
minimum	Enaz	tr
mode	KİP	tr
model	model	tr
mouse	Fare	tr
mousemove	mousemove	tr
move	Taşı	tr
msdospart	msdospart	tr
msg	msg	tr
mtime	mtime	tr
multi	multi	tr
multiboot	multiboot	tr
multitasking	multitasking	tr
my	my	tr
myfunction	myfunction	tr
m긴급로그	m긴급로그	tr
m긴급로그문자열	m긴급로그문자열	tr
m직렬로그초기화	m직렬로그초기화	tr
m출력	m출력	tr
m테스트	m테스트	tr
n	H	tr
name	İsim	tr
namesz	namesz	tr
net	net	tr
network	Ağ	tr
new	Yeni	tr
next	Sonraki	tr
nibble	nibble	tr
nlink	nlink	tr
nmi	nmi	tr
node	Düğüm	tr
nodename	nodename	tr
noexec	noexec	tr
none	Hiçbiri	tr
normal	normal	tr
norw	norw	tr
not	not	tr
note	Not	tr
nsec	nsec	tr
num	num	tr
number	Sayı	tr
o	o	tr
of	of	tr
offset	offset	tr
ok	Tamam	tr
old	old	tr
on	Açık	tr
only	only	tr
opcode	opcode	tr
open	Aç	tr
oper	oper	tr
operation	operation	tr
options	Seçenekler	tr
order	order	tr
org	org	tr
other	Diğer	tr
out	Giden	tr
output	Çıktı	tr
overflow	overflow	tr
p	AB	tr
packet	PAKET	tr
packets	paket	tr
paddr	paddr	tr
page	Sayfa	tr
pages	pages	tr
paging	paging	tr
param	param	tr
parameter	parameter	tr
params	Parametreler	tr
parent	üst	tr
parse	parse	tr
part	part	tr
partition	partition	tr
partitions	partitions	tr
path	YOL	tr
pause	Duraklat	tr
payload	payload	tr
pci	pci	tr
pde	pde	tr
pdelen	pdelen	tr
peer	peer	tr
pending	pending	tr
per	per	tr
peripheral	peripheral	tr
phentsize	phentsize	tr
phnum	phnum	tr
phoff	phoff	tr
phy	phy	tr
phyaddr	phyaddr	tr
phymem	phymem	tr
phys	phys	tr
physical	physical	tr
pic	pic	tr
pid	pid	tr
pit	pit	tr
pixel	pixel	tr
point	point	tr
pointer	Belirteç	tr
pointers	pointers	tr
poll	poll	tr
port	BağlantıNoktası	tr
portnumber	portnumber	tr
pos	pos	tr
position	Konum	tr
posix	posix	tr
prefetch	prefetch	tr
prefetchable	prefetchable	tr
present	Mevcut	tr
prev	prev	tr
primary	primary	tr
print	Yazdır	tr
printf	printf	tr
println	println	tr
printreg	printreg	tr
priv	priv	tr
private	GizliÖzel	tr
privilege	privilege	tr
proc	proc	tr
process	Süreç	tr
processes	Süreçler	tr
processing	processing	tr
program	uygulama	tr
programmable	programmable	tr
protocol	protocol	tr
provided	provided	tr
provider	provider	tr
ps	ps	tr
pt	pt	tr
pte	pte	tr
ptr	ptr	tr
push	push	tr
put	put	tr
pv	pv	tr
queue	queue	tr
r	r	tr
range	Aralık	tr
raw	raw	tr
rdev	rdev	tr
read	Okuma	tr
ready	Hazır	tr
receive	receive	tr
received	Alınan	tr
receiver	receiver	tr
receviced	receviced	tr
record	Kayıt	tr
rectangle	Dikdörtgen	tr
recv	recv	tr
ref	ref	tr
refs	refs	tr
reg	reg	tr
region	region	tr
register	register	tr
registeroffset	registeroffset	tr
registers	registers	tr
regs	regs	tr
regtype	regtype	tr
rel	rel	tr
rela	rela	tr
release	release	tr
released	released	tr
reload	YenidenYükle	tr
relocation	relocation	tr
remaining	remaining	tr
remote	Uzak	tr
remove	Kaldır	tr
reply	reply	tr
request	request	tr
requested	requested	tr
reserved	Rezerve	tr
reset	Sıfırla	tr
resolve	resolve	tr
restore	GeriAl	tr
result	SONUÇ	tr
ret	ret	tr
revision	revision	tr
rgb	rgb	tr
right	Sağ	tr
root	KökDizin	tr
round	Yuvarla	tr
route	route	tr
rs	rs	tr
rt	rt	tr
run	Çalıştır	tr
runnable	runnable	tr
rx	rx	tr
s	G	tr
saved	Kaydedildi	tr
sc	sc	tr
scan	Tara	tr
scancode	scancode	tr
sche	sche	tr
schedule	schedule	tr
scheduler	scheduler	tr
screen	Ekran	tr
secondary	secondary	tr
sect	sect	tr
section	section	tr
sector	sector	tr
sectors	sectors	tr
seek	seek	tr
seg	seg	tr
segment	segment	tr
segments	segments	tr
select	Seç	tr
selector	selector	tr
self	self	tr
send	Gönder	tr
sequencer	sequencer	tr
serial	Seri	tr
set	ayarla	tr
setup	setup	tr
sh	sh	tr
shared	shared	tr
shentsize	shentsize	tr
shift	shift	tr
shndx	shndx	tr
shnum	shnum	tr
shoff	shoff	tr
shstrndx	shstrndx	tr
signature	signature	tr
simd	simd	tr
size	Boyut	tr
sl	sl	tr
slave	slave	tr
sock	sock	tr
socket	Yuva	tr
socketcall	socketcall	tr
sockets	sockets	tr
soft	soft	tr
software	Yazılım	tr
source	Kaynak	tr
space	Boşluk	tr
spawn	spawn	tr
src	src	tr
srcptr	srcptr	tr
ss	ss	tr
st	st	tr
stack	stack	tr
stackbottom	stackbottom	tr
stacktop	stacktop	tr
start	Başlat	tr
started	Başlamış	tr
starting	starting	tr
stat	stat	tr
state	Durum	tr
status	Durum	tr
stderr	stderr	tr
stdin	stdin	tr
stdout	stdout	tr
stop	Durdur	tr
stopped	Durdurulmuş	tr
str	str	tr
string	Katar	tr
strtab	strtab	tr
subclass	subclass	tr
subnet	subnet	tr
support	Destek	tr
swap	TakasAlanı	tr
switch	switch	tr
sym	sym	tr
sync	sync	tr
sys	sys	tr
syscall	syscall	tr
sysname	sysname	tr
system	Sistem	tr
systemcall	systemcall	tr
t	S	tr
table	Tablo	tr
tag	Etiket	tr
tail	tail	tr
tamd	tamd	tr
tarp	tarp	tr
task	Görev	tr
tasking	tasking	tr
tasks	İşler	tr
tcow	tcow	tr
tcpu	tcpu	tr
technology	Teknoloji	tr
temp	temp	tr
temporary	temporary	tr
tenth	tenth	tr
terminated	terminated	tr
test	Dene	tr
text	Metin	tr
thr	thr	tr
