original	localized	language
Activate	Etkinleştir	tr
ActivateAll	EtkinleştirHepsi	tr
Active	Aktif	tr
ActiveInterruptManager	AktifKesmemanager	tr
ActiveMemoryManager	AktifBellekmanager	tr
Add	Ekle	tr
AddDriver	Ekledriver	tr
AddRunnableThread	Eklerunnablethread	tr
AddTask	EkleGörev	tr
AddThread	Eklethread	tr
Address	Address	tr
AlignedMalloc	Alignedmalloc	tr
AlignmentCheck	Alignmentcheck	tr
AllocateBlock	AllocateBlok	tr
AllocatePID	Allocatepid	tr
AmountOfMemory	MiktarofBellek	tr
ArrayToUint16	Dizitounsignedinteger16	tr
ArrayToUint32	Dizitounsignedinteger32	tr
ArrayToUint48	Dizitounsignedinteger48	tr
ArrayToUint48_BE	Dizitounsignedinteger48be	tr
ArrayToUint64	Dizitounsignedinteger64	tr
Atime	Atime	tr
AtimeNsec	Atimensec	tr
BLOCKS_PER_BYTE	Blokperbyte	tr
BLOCK_SIZE	BlokBoyut	tr
Backend	Backend	tr
BaseAddr	Baseaddress	tr
Bind	Bind	tr
Blksize	Blksize	tr
Blocked	Blocked	tr
BlockedState	BlockedDurum	tr
Blocks	Blok	tr
BoundRangeExceeded	BoundAralıkexceeded	tr
BroadcastMacAddress	Broadcastmacaddress	tr
BytesPerSector	Baytpersector	tr
BytesToString	BayttoKatar	tr
Checksum	Checksum	tr
Clear	Temizle	tr
Clone	Clone	tr
CloneAddressSpaceCOW	CloneaddressBoşlukcow	tr
Connect	Bağlan	tr
ContainsCoordinate	Containscoordinate	tr
CopyPageFrameBlock	KopyalaSayfaÇerçeveBlok	tr
CpuState	MİBDurum	tr
Create	Create	tr
CreateFromData	Createfromdata	tr
CreateFromFunction	CreatefromFonksiyon	tr
CreatePtrFromFunction	CreateBelirteçfromFonksiyon	tr
Cs	Cs	tr
Ctime	Ctime	tr
CtimeNsec	Ctimensec	tr
CurrentPID	Şuanpid	tr
CurrentParentPID	Şuanüstpid	tr
Data	Data	tr
Deactivate	Etkisizleştir	tr
Deactive	Deactive	tr
Decrement	Decrement	tr
Delete	Sil	tr
DescriptorPrivilegeLevel	Descriptorprivilegelevel	tr
DescriptorType	DescriptorTür	tr
Destroy	YokEt	tr
Dev	Aygıt	tr
DeviceHasFunctions	AygıthasFonksiyonlar	tr
DeviceNotAvailable	AygıtnotUlaşılabilir	tr
Device_id	AygıtNo	tr
DisableInt	Kapatint	tr
Disconnect	BağlantıyıKes	tr
DivideByZero	BölbySıfır	tr
DoHandleInterrupt	DohandleKesme	tr
DoubleFault	Çiftfault	tr
Draw	Draw	tr
DriverManager	Drivermanager	tr
Ds	Ds	tr
Dynamic	Devingen	tr
E2BIG	E2big	tr
EACCES	Eacces	tr
EADDRINUSE	Eaddrinuse	tr
EAFNOSUPPORT	Eafnosupport	tr
EAGAIN	Eagain	tr
EBADF	Ebadf	tr
EBUSY	Ebusy	tr
ECHILD	Echild	tr
EEXIST	Eexist	tr
EFAULT	Efault	tr
EFBIG	Efbig	tr
EINTR	Eintr	tr
EINVAL	Einval	tr
EIO	Eio	tr
EISDIR	Eisdir	tr
EMFILE	Emfile	tr
EMSGSIZE	Emsgsize	tr
ENETUNREACH	Enetunreach	tr
ENFILE	Enfile	tr
ENODEV	Enodev	tr
ENOENT	Enoent	tr
ENOEXEC	Enoexec	tr
ENOMEM	Enomem	tr
ENOSPC	Enospc	tr
ENOSYS	Enosys	tr
ENOTCONN	Enotconn	tr
ENOTDIR	Enotdir	tr
ENOTTY	Enotty	tr
EOPNOTSUPP	Eopnotsupp	tr
EPERM	Eperm	tr
EPROTONOSUPPORT	Eprotonosupport	tr
ERANGE	Erange	tr
EROFS	Erofs	tr
ESPIPE	Espipe	tr
ESRCH	Esrch	tr
Eax	Eax	tr
Ebp	Ebp	tr
Ebx	Ebx	tr
Ecx	Ecx	tr
Edi	Edi	tr
Edx	Edx	tr
Eflags	Eflags	tr
Eip	Eip	tr
Elf	Elf	tr
Elf32Dyn	Elf32dyn	tr
Elf32Note	Elf32Not	tr
Elf32Rel	Elf32rel	tr
Elf32Rela	Elf32rela	tr
Elf32Sym	Elf32sym	tr
ElfHeader	Elfheader	tr
ElfProgramHeader	Elfuygulamaheader	tr
ElfSectionHeader	Elfsectionheader	tr
EnablePaging	Etkinleştirpaging	tr
Enabled	Etkin	tr
EntryNumber	GirdiSayı	tr
EqualBytes	EşitBayt	tr
Es	Es	tr
Esi	Esi	tr
Esp	Esp	tr
FPUBuffer	Fpubuffer	tr
FPUOffset	Fpuoffset	tr
Family	Family	tr
FileName	Dosyaİsim	tr
Fill	Fill	tr
FillRectangle	FillDikdörtgen	tr
First	First	tr
FirstFree	FirstBoş	tr
FirstFreeSize	FirstBoşBoyut	tr
Flags	İmler	tr
FloatingPointException	Kayanpointexception	tr
Flush	Flush	tr
FlushTlsTable	FlushtlsTablo	tr
Focussable	Focussable	tr
Free	Boş	tr
Fs	Fs	tr
GB	Gb	tr
GDT_ENTRIES	Gdtgirdi	tr
GOT	Got	tr
GPFException	Gpfexception	tr
GatewayIP	Gatewayip	tr
GdtAddressHigh	GdtaddressYüksek	tr
GdtAddressLow	GdtaddressDüşük	tr
GdtDescriptor	Gdtdescriptor	tr
GdtEntry	Gdtgirdi_2	tr
GdtSize	GdtBoyut	tr
GetAt	Getat	tr
GetBackend	Getbackend	tr
GetBaseAddressRegister	Getbaseaddressregister	tr
GetBitmaspSize	GetbitmaspBoyut	tr
GetBytesFromPtr	GetBaytfromBelirteç	tr
GetCR0	Getcr0	tr
GetCR2	Getcr2	tr
GetCR3	Getcr3	tr
GetCR4	Getcr4	tr
GetColorIndex	GetRenkİçindekiler	tr
GetDeviceDescriptor	GetAygıtdescriptor	tr
GetDriver	Getdriver	tr
GetESP0	Getesp0	tr
GetEntry	Getgirdi	tr
GetFileSize	GetDosyaBoyut	tr
GetFocus	GetOdak	tr
GetFrameBufferSegment	GetÇerçevebuffersegment	tr
GetFuncPtrFromPtr	GetfuncBelirteçfromBelirteç	tr
GetFunctionName	GetFonksiyonİsim	tr
GetHandler	Gethandler	tr
GetIPAddress	Getipaddress	tr
GetMACAddress	Getmacaddress	tr
GetMACFromCache	Getmacfromcache	tr
GetNextReadyThread	GetSonrakiHazırthread	tr
GetNodeAt	GetDüğümat	tr
GetProvider	Providerget	tr
GetSS0	Getss0	tr
GetStr	Getstr	tr
GetUint32ArrayFromPtr	Getunsignedinteger32DizifromBelirteç	tr
GetUintptrArrayFromPtr	GetunsignedintegerBelirteçDizifromBelirteç	tr
GetValue	GetDeğer	tr
GetValueInPageDir	GetDeğerGelenSayfaDizin	tr
Gid	Gid	tr
Gs	Gs	tr
HandleException	Handleexception	tr
HandleFatalInterruptFrame	HandlefatalKesmeÇerçeve	tr
HandleInterrupt	HandleKesme	tr
HandleInterrupt1	HandleKesme1	tr
HandleUserDatagramProtocolMessage	HandleKullanıcıdatagramprotocolİleti	tr
IDT_DESC_PRESENT	IdtdescriptorMevcut	tr
IDT_INTERRUPT_GATE	IdtKesmegate	tr
IDriver	IDriver	tr
IEtherFrameHandler	IEternetÇerçevehandler	tr
IInternetProtocolHandler	Iİnternetprotocolhandler	tr
IInterruptHandler	IKesmehandler	tr
IKeyboardEventHandler	IKlavyeOlayhandler	tr
IMouseEventHandler	IFareOlayhandler	tr
IPCIControllerHandler	IpciDenetleyicihandler	tr
IPCache	Ipcache	tr
IP_BE	IpAğbyteorder	tr
IRawDataHandler	IRawdatahandler	tr
ITimerEventHandler	IZamanlayıcıOlayhandler	tr
IUserDatagramProtocolHandler	IKullanıcıdatagramprotocolhandler	tr
IUserDatagramProtocolSocket	IKullanıcıdatagramprotocolYuva	tr
IWidget	IEkran_öğesi	tr
Identify	Identify	tr
Increment	Increment	tr
IndexOf	İçindekilerof	tr
Init	Init	tr
InitDriver	Initdriver	tr
InitialThreadUserJump	InitialthreadKullanıcıjump	tr
Ino	Ino	tr
Install	Kur	tr
Interrupt	Kesme	tr
InterruptActive	KesmeAktif	tr
InterruptDeactive	Kesmedeactive	tr
InterruptManager	Kesmemanager	tr
InterruptNumber	KesmeSayı	tr
InvalidOpcode	Geçersizopcode	tr
InvalidTSS	Geçersiztss	tr
IsKernel	Iskernel	tr
IsPresent	IsMevcut	tr
IsUserSpace	IsKullanıcıBoşluk	tr
KB	Kb	tr
KCS_INDEX	Kcsİçindekiler	tr
KCS_SELECTOR	Kcsselector	tr
KDS_INDEX	Kdsİçindekiler	tr
KDS_SELECTOR	Kdsselector	tr
KERNEL_HEAP_START	KernelheapBaşlat	tr
KERNEL_VIRT_ADDR	Kernelvirtaddress	tr
